Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Store
2012-07-01,20,170,10.11,No,40669,Baltimore
2012-07-02,12,152,8.78,No,35360,Baltimore
2012-07-03,10,185,9.09,No,40741,Baltimore
2012-07-04,16,182,10.23,No,33871,Baltimore
2012-07-05,19,155,9.95,No,36880,Baltimore
2012-07-06,25,175,12.22,No,43441,Baltimore
2012-07-07,24,261,8.55,No,47133,Baltimore
2012-07-08,19,172,11.24,No,40165,Baltimore
2012-07-09,11,125,9.45,No,37262,Baltimore
2012-07-10,13,125,7.09,No,37718,Baltimore
2012-07-11,16,134,11.17,No,35429,Baltimore
2012-07-12,23,145,9.19,No,36206,Baltimore
2012-07-13,19,151,7.76,No,37865,Baltimore
2012-07-14,20,195,9.94,No,39216,Baltimore
2012-07-15,18,148,7.19,No,37190,Baltimore
2012-07-16,14,127,9.76,No,42122,Baltimore
2012-07-17,10,133,7.76,No,33963,Baltimore
2012-07-18,12,139,6.46,No,35233,Baltimore
2012-07-19,16,154,9.12,No,43886,Baltimore
2012-07-20,22,154,8.61,No,42240,Baltimore
2012-07-21,29,216,6.93,No,39429,Baltimore
2012-07-22,18,156,6.22,No,43074,Baltimore
2012-07-23,19,129,8.17,No,43286,Baltimore
2012-07-24,20,129,6.92,No,34304,Baltimore
2012-07-25,21,144,6.32,No,44173,Baltimore
2012-07-26,17,147,11.09,No,34838,Baltimore
2012-07-27,31,167,8.02,No,39265,Baltimore
2012-07-28,26,211,10.03,No,50872,Baltimore
2012-07-29,15,149,9.97,No,47784,Baltimore
2012-07-30,12,126,6.04,No,42671,Baltimore
2012-07-31,12,120,8.03,No,30718,Baltimore
2012-08-01,16,153,8.06,No,36406,Baltimore
2012-08-02,17,155,9.89,No,36633,Baltimore
2012-08-03,21,161,11.75,No,39509,Baltimore
2012-08-04,15,217,8.42,No,43499,Baltimore
2012-08-05,29,170,9.86,No,42099,Baltimore
2012-08-06,13,120,10.99,No,42310,Baltimore
2012-08-07,9,120,8.85,No,39751,Baltimore
2012-08-08,14,143,10.25,No,34594,Baltimore
2012-08-09,20,132,8.84,No,38389,Baltimore
2012-08-10,26,175,13.99,No,45335,Baltimore
2012-08-11,17,201,11.72,No,49045,Baltimore
2012-08-12,21,172,8.52,No,41026,Baltimore
2012-08-13,11,125,10.4,No,44224,Baltimore
2012-08-14,15,119,8.58,No,34561,Baltimore
2012-08-15,18,125,9.12,No,35221,Baltimore
2012-08-16,32,174,8.38,No,54077,Baltimore
2012-08-17,20,165,9.39,No,37241,Baltimore
2012-08-18,23,198,7.01,No,40656,Baltimore
2012-08-19,25,151,9.62,No,44702,Baltimore
2012-08-20,21,99,8.9,No,44339,Baltimore
2012-08-21,9,116,10.95,No,37333,Baltimore
2012-08-22,14,116,11.22,No,36936,Baltimore
2012-08-23,29,131,7.89,No,32440,Baltimore
2012-08-24,26,177,12.61,No,43856,Baltimore
2012-08-25,31,237,9.5,No,41578,Baltimore
2012-08-26,21,168,14.5,No,37605,Baltimore
2012-08-27,9,113,9.12,No,39517,Baltimore
2012-08-28,10,113,10.45,No,34096,Baltimore
2012-08-29,15,96,10.64,No,43255,Baltimore
2012-08-30,22,98,9.9,No,39801,Baltimore
2012-08-31,31,150,8.99,No,48063,Baltimore
2012-09-01,27,236,12.55,No,42480,Baltimore
2012-09-02,27,205,10.62,No,41413,Baltimore
2012-09-03,12,207,9.58,No,53051,Baltimore
2012-09-04,18,81,7.91,No,34523,Baltimore
2012-09-05,18,75,7.92,No,36234,Baltimore
2012-09-06,24,100,6.73,No,44362,Baltimore
2012-09-07,24,115,7.28,No,37721,Baltimore
2012-09-08,17,155,6.63,No,44614,Baltimore
2012-09-09,22,123,6.37,No,43165,Baltimore
2012-09-10,33,281,8.01,Yes,47905,Baltimore
2012-09-11,36,321,5.74,Yes,67441,Baltimore
2012-09-12,28,312,8.36,Yes,52790,Baltimore
2012-09-13,23,106,8.91,No,43510,Baltimore
2012-09-14,24,117,8.16,No,35836,Baltimore
2012-09-15,30,169,9.23,No,48921,Baltimore
2012-09-16,20,123,6.91,No,38582,Baltimore
2012-09-17,11,83,5.67,No,39150,Baltimore
2012-09-18,11,74,8.13,No,37869,Baltimore
2012-09-19,17,74,5.91,No,36245,Baltimore
2012-09-20,34,103,9.22,No,34681,Baltimore
2012-09-21,26,125,9.3,No,39210,Baltimore
2012-09-22,28,200,6.58,No,41146,Baltimore
2012-09-23,30,145,10.18,No,35787,Baltimore
2012-09-24,13,80,9.5,No,36780,Baltimore
2012-09-25,14,71,8.01,No,38106,Baltimore
2012-09-26,20,80,11.51,No,35168,Baltimore
2012-09-27,23,88,6.6,No,33661,Baltimore
2012-09-28,27,122,9.65,No,35259,Baltimore
2012-09-29,27,196,8.91,No,50016,Baltimore
2012-09-30,22,122,10.59,No,38171,Baltimore
2012-10-01,9,68,9.54,No,33965,Baltimore
2012-10-02,14,82,6.89,No,44245,Baltimore
2012-10-03,16,77,6.98,No,36227,Baltimore
2012-10-04,21,102,11.44,No,40053,Baltimore
2012-10-05,27,124,9.54,No,32449,Baltimore
2012-10-06,62,820,8.65,Yes,114885,Baltimore
2012-10-07,54,532,9.65,Yes,78397,Baltimore
2012-10-08,33,331,11.19,Yes,54465,Baltimore
2012-10-09,18,68,8.31,No,35868,Baltimore
2012-10-10,17,70,10.69,No,33957,Baltimore
2012-10-11,20,99,7.82,No,37253,Baltimore
2012-10-12,25,155,10.59,No,41685,Baltimore
2012-10-13,27,211,10.7,No,55157,Baltimore
2012-10-14,23,149,7.11,No,45905,Baltimore
2012-10-15,16,76,11.18,No,34668,Baltimore
2012-10-16,20,90,7.32,No,37773,Baltimore
2012-10-17,13,81,6.29,No,32077,Baltimore
2012-10-18,36,96,12.7,No,39300,Baltimore
2012-10-19,38,134,14.56,No,46434,Baltimore
2012-10-20,39,253,15.15,No,52463,Baltimore
2012-10-21,23,154,12.78,No,50927,Baltimore
2012-10-22,14,76,7.05,No,37452,Baltimore
2012-10-23,19,93,9.16,No,40508,Baltimore
2012-10-24,21,104,7.64,No,40354,Baltimore
2012-10-25,25,98,6.48,No,53853,Baltimore
2012-10-26,38,126,8.03,No,55673,Baltimore
2012-10-27,29,154,10.82,No,45241,Baltimore
2012-10-28,32,112,8.86,No,49978,Baltimore
2012-10-29,14,70,10.15,No,47304,Baltimore
2012-10-30,15,81,5.84,No,38894,Baltimore
2012-10-31,17,101,6.45,No,50197,Baltimore
2012-11-01,17,97,10.68,No,48835,Baltimore
2012-11-02,32,150,5.66,No,38227,Baltimore
2012-11-03,26,212,6.61,No,65925,Baltimore
2012-11-04,28,158,10.07,No,52522,Baltimore
2012-11-05,10,75,8.91,No,47155,Baltimore
2012-11-06,20,75,9.92,No,46734,Baltimore
2012-11-07,23,86,10.95,No,45575,Baltimore
2012-11-08,29,100,6.77,No,40855,Baltimore
2012-11-09,34,144,8.58,No,59062,Baltimore
2012-11-10,79,857,10.55,Yes,116394,Baltimore
2012-11-11,80,654,8.17,Yes,82584,Baltimore
2012-11-12,53,576,9.44,Yes,103290,Baltimore
2012-11-13,13,86,6.69,No,42996,Baltimore
2012-11-14,20,92,8.24,No,41537,Baltimore
2012-11-15,22,111,11.08,No,47359,Baltimore
2012-11-16,50,163,15.05,No,43261,Baltimore
2012-11-17,49,290,19.94,No,80397,Baltimore
2012-11-18,49,213,14.94,No,58634,Baltimore
2012-11-19,19,144,8.84,No,59036,Baltimore
2012-11-20,24,149,14.76,No,43151,Baltimore
2012-11-21,30,163,14.15,No,57208,Baltimore
2012-11-22,13,237,15.17,No,46675,Baltimore
2012-11-23,83,1088,15.88,No,171345,Baltimore
2012-11-24,48,297,16.39,No,71030,Baltimore
2012-11-25,35,223,17.48,No,52077,Baltimore
2012-11-26,15,88,14.55,No,48822,Baltimore
2012-11-27,19,83,10.65,No,53724,Baltimore
2012-11-28,15,96,11.24,No,61901,Baltimore
2012-11-29,32,96,10.39,No,60584,Baltimore
2012-11-30,39,124,15.86,No,66716,Baltimore
2012-12-01,30,269,11.0,No,76409,Baltimore
2012-12-02,30,189,11.39,No,80560,Baltimore
2012-12-03,18,93,14.78,No,64383,Baltimore
2012-12-04,9,99,17.07,No,54377,Baltimore
2012-12-05,13,120,15.82,No,69302,Baltimore
2012-12-06,19,126,14.3,No,62347,Baltimore
2012-12-07,30,161,13.25,No,81766,Baltimore
2012-12-08,25,243,10.55,No,73663,Baltimore
2012-12-09,28,256,17.63,No,71624,Baltimore
2012-12-10,17,112,12.72,No,56252,Baltimore
2012-12-11,14,126,13.02,No,69250,Baltimore
2012-12-12,17,144,13.36,No,64184,Baltimore
2012-12-13,23,139,11.2,No,73069,Baltimore
2012-12-14,29,177,19.22,No,72654,Baltimore
2012-12-15,29,356,18.86,No,81759,Baltimore
2012-12-16,21,288,18.74,No,81381,Baltimore
2012-12-17,14,207,18.15,No,77255,Baltimore
2012-12-18,18,201,14.8,No,64461,Baltimore
2012-12-19,18,261,19.56,No,74585,Baltimore
2012-12-20,30,261,17.01,No,76553,Baltimore
2012-12-21,36,314,18.78,No,68743,Baltimore
2012-12-22,42,466,20.65,No,88382,Baltimore
2012-12-23,40,466,17.99,No,79196,Baltimore
2012-12-24,18,217,22.1,No,71162,Baltimore
2012-12-25,0,0,0.0,No,0,Baltimore
2012-12-26,23,452,19.36,No,74881,Baltimore
2012-12-27,28,260,20.14,No,63853,Baltimore
2012-12-28,29,265,12.56,No,74461,Baltimore
2012-12-29,24,302,13.06,No,76098,Baltimore
2012-12-30,26,288,17.81,No,48917,Baltimore
2012-12-31,18,243,13.9,No,62693,Baltimore
2013-01-01,18,140,18.43,No,48973,Baltimore
2013-01-02,15,186,13.89,No,47743,Baltimore
2013-01-03,21,135,20.73,No,58291,Baltimore
2013-01-04,27,137,17.56,No,60871,Baltimore
2013-01-05,26,197,17.65,No,51324,Baltimore
2013-01-06,27,129,15.72,No,46833,Baltimore
2013-01-07,9,99,18.16,No,50882,Baltimore
2013-01-08,12,75,13.17,No,41597,Baltimore
2013-01-09,11,97,15.43,No,49296,Baltimore
2013-01-10,18,89,17.43,No,40061,Baltimore
2013-01-11,24,113,16.4,No,48834,Baltimore
2013-01-12,16,169,17.98,No,58881,Baltimore
2013-01-13,16,139,16.05,No,61532,Baltimore
2013-01-14,15,77,19.14,No,48030,Baltimore
2013-01-15,10,85,16.14,No,51677,Baltimore
2013-01-16,12,83,13.03,No,52836,Baltimore
2013-01-17,16,80,15.09,No,48870,Baltimore
2013-01-18,27,112,11.82,No,42455,Baltimore
2013-01-19,45,622,14.67,Yes,85376,Baltimore
2013-01-20,39,488,17.5,Yes,61592,Baltimore
2013-01-21,30,357,12.78,Yes,51725,Baltimore
2013-01-22,11,61,16.89,No,29401,Baltimore
2013-01-23,11,75,15.33,No,36534,Baltimore
2013-01-24,22,64,9.62,No,34180,Baltimore
2013-01-25,20,66,10.7,No,36310,Baltimore
2013-01-26,15,135,8.7,No,35596,Baltimore
2013-01-27,23,112,14.3,No,38898,Baltimore
2013-01-28,12,48,14.78,No,30026,Baltimore
2013-01-29,17,53,7.75,No,29317,Baltimore
2013-01-30,11,64,9.03,No,30136,Baltimore
2013-01-31,22,88,7.56,No,30715,Baltimore
2013-02-01,19,106,11.29,No,38401,Baltimore
2013-02-02,22,172,8.03,No,33975,Baltimore
2013-02-03,10,96,7.05,No,33435,Baltimore
2013-02-04,11,72,9.73,No,26380,Baltimore
2013-02-05,11,72,7.03,No,34067,Baltimore
2013-02-06,11,68,6.43,No,33653,Baltimore
2013-02-07,19,68,11.95,No,27681,Baltimore
2013-02-08,27,116,16.58,No,42371,Baltimore
2013-02-09,19,198,15.86,No,40885,Baltimore
2013-02-10,15,142,16.53,No,28068,Baltimore
2013-02-11,16,84,14.57,No,31563,Baltimore
2013-02-12,14,90,11.47,No,30593,Baltimore
2013-02-13,10,84,15.31,No,29867,Baltimore
2013-02-14,18,113,10.16,No,39821,Baltimore
2013-02-15,26,119,10.18,No,34430,Baltimore
2013-02-16,58,718,11.4,Yes,113669,Baltimore
2013-02-17,28,544,11.5,Yes,70343,Baltimore
2013-02-18,30,457,13.75,Yes,65109,Baltimore
2013-02-19,18,58,11.36,No,29660,Baltimore
2013-02-20,13,71,12.61,No,27147,Baltimore
2013-02-21,18,60,9.41,No,27070,Baltimore
2013-02-22,21,84,9.88,No,33510,Baltimore
2013-02-23,27,144,10.33,No,32936,Baltimore
2013-02-24,17,102,7.54,No,35108,Baltimore
2013-02-25,13,63,7.44,No,24331,Baltimore
2013-02-26,10,57,7.8,No,28161,Baltimore
2013-02-27,13,63,8.17,No,28990,Baltimore
2013-02-28,22,71,10.83,No,32831,Baltimore
2013-03-01,15,99,8.2,No,39263,Baltimore
2013-03-02,20,152,7.18,No,34879,Baltimore
2013-03-03,21,99,8.76,No,31991,Baltimore
2013-03-04,16,68,6.31,No,32005,Baltimore
2013-03-05,8,55,8.88,No,37806,Baltimore
2013-03-06,11,63,9.71,No,40000,Baltimore
2013-03-07,19,67,8.91,No,35925,Baltimore
2013-03-08,19,83,12.21,No,31243,Baltimore
2013-03-09,17,174,8.41,No,40058,Baltimore
2013-03-10,38,122,10.07,No,39202,Baltimore
2013-03-11,12,67,10.54,No,38644,Baltimore
2013-03-12,11,62,9.88,No,35610,Baltimore
2013-03-13,14,70,8.91,No,33752,Baltimore
2013-03-14,23,80,10.6,No,31068,Baltimore
2013-03-15,25,109,9.28,No,39265,Baltimore
2013-03-16,23,194,13.56,No,43220,Baltimore
2013-03-17,26,137,16.4,No,41794,Baltimore
2013-03-18,10,86,6.5,No,35165,Baltimore
2013-03-19,10,67,8.12,No,33749,Baltimore
2013-03-20,13,82,6.42,No,36494,Baltimore
2013-03-21,20,90,7.06,No,33312,Baltimore
2013-03-22,28,121,9.35,No,37911,Baltimore
2013-03-23,24,165,6.74,No,43411,Baltimore
2013-03-24,16,126,6.58,No,34053,Baltimore
2013-03-25,13,101,8.32,No,34946,Baltimore
2013-03-26,12,93,9.31,No,32855,Baltimore
2013-03-27,13,98,8.11,No,35643,Baltimore
2013-03-28,15,105,6.71,No,30178,Baltimore
