Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,is_holiday,day_of_week,is_weekend,month,year,season_num,days_to_next_holiday,sales_lag_1,customers_lag_1,sales_lag_7,customers_lag_7,sales_lag_14,customers_lag_14,sales_lag_21,customers_lag_21,sales_lag_28,customers_lag_28,sales_roll_mean_7,sales_roll_std_7,ds,y,store_id
2012-07-29,15.0,149.0,9.97,0,47784.0,0,6,1,7,2012,2,36,50872.0,211.0,43074.0,156.0,37190.0,148.0,40165.0,172.0,40669.0,170.0,41401.71428571428,5798.546505067334,2012-07-29,47784.0,baltimore
2012-07-30,12.0,126.0,6.04,0,42671.0,0,0,0,7,2012,2,35,47784.0,149.0,43286.0,129.0,42122.0,127.0,37262.0,125.0,35360.0,152.0,42074.57142857143,6278.358645833663,2012-07-30,42671.0,baltimore
2012-07-31,12.0,120.0,8.03,0,30718.0,0,1,0,7,2012,2,34,42671.0,126.0,34304.0,129.0,33963.0,133.0,37718.0,125.0,40741.0,185.0,41986.71428571428,6262.864885292401,2012-07-31,30718.0,baltimore
2012-08-01,16.0,153.0,8.06,0,36406.0,0,2,0,8,2012,2,33,30718.0,120.0,44173.0,144.0,35233.0,139.0,35429.0,134.0,33871.0,182.0,41474.42857142857,7088.2958190983845,2012-08-01,36406.0,baltimore
2012-08-02,17.0,155.0,9.89,0,36633.0,0,3,0,8,2012,2,32,36406.0,153.0,34838.0,147.0,43886.0,154.0,36206.0,145.0,36880.0,155.0,40364.857142857145,7202.456350175995,2012-08-02,36633.0,baltimore
2012-08-03,21.0,161.0,11.75,0,39509.0,0,4,0,8,2012,2,31,36633.0,155.0,39265.0,167.0,42240.0,154.0,37865.0,151.0,43441.0,175.0,40621.28571428572,7002.054263197476,2012-08-03,39509.0,baltimore
2012-08-04,15.0,217.0,8.42,0,43499.0,0,5,1,8,2012,2,30,39509.0,161.0,50872.0,211.0,39429.0,216.0,39216.0,195.0,47133.0,261.0,40656.142857142855,6994.78075492891,2012-08-04,43499.0,baltimore
2012-08-05,29.0,170.0,9.86,0,42099.0,0,6,1,8,2012,2,29,43499.0,217.0,47784.0,149.0,43074.0,156.0,37190.0,148.0,40165.0,172.0,39602.857142857145,5620.112259512604,2012-08-05,42099.0,baltimore
2012-08-06,13.0,120.0,10.99,0,42310.0,0,0,0,8,2012,2,28,42099.0,170.0,42671.0,126.0,43286.0,129.0,42122.0,127.0,37262.0,125.0,38790.71428571428,4549.662431224464,2012-08-06,42310.0,baltimore
2012-08-07,9.0,120.0,8.85,0,39751.0,0,1,0,8,2012,2,27,42310.0,120.0,30718.0,120.0,34304.0,129.0,33963.0,133.0,37718.0,125.0,38739.142857142855,4500.124199344266,2012-08-07,39751.0,baltimore
2012-08-08,14.0,143.0,10.25,0,34594.0,0,2,0,8,2012,2,26,39751.0,120.0,36406.0,153.0,44173.0,144.0,35233.0,139.0,35429.0,134.0,40029.57142857143,2784.9412834709788,2012-08-08,34594.0,baltimore
2012-08-09,20.0,132.0,8.84,0,38389.0,0,3,0,8,2012,2,25,34594.0,143.0,36633.0,155.0,34838.0,147.0,43886.0,154.0,36206.0,145.0,39770.71428571428,3227.0085587266844,2012-08-09,38389.0,baltimore
2012-08-10,26.0,175.0,13.99,0,45335.0,0,4,0,8,2012,2,24,38389.0,132.0,39509.0,161.0,39265.0,167.0,42240.0,154.0,37865.0,151.0,40021.57142857143,3002.91202319476,2012-08-10,45335.0,baltimore
2012-08-11,17.0,201.0,11.72,0,49045.0,0,5,1,8,2012,2,23,45335.0,175.0,43499.0,217.0,50872.0,211.0,39429.0,216.0,39216.0,195.0,40853.857142857145,3587.6125036283506,2012-08-11,49045.0,baltimore
2012-08-12,21.0,172.0,8.52,0,41026.0,0,6,1,8,2012,2,22,49045.0,201.0,42099.0,170.0,47784.0,149.0,43074.0,156.0,37190.0,148.0,41646.142857142855,4706.906359403219,2012-08-12,41026.0,baltimore
2012-08-13,11.0,125.0,10.4,0,44224.0,0,0,0,8,2012,2,21,41026.0,172.0,42310.0,120.0,42671.0,126.0,43286.0,129.0,42122.0,127.0,41492.857142857145,4707.172308600688,2012-08-13,44224.0,baltimore
2012-08-14,15.0,119.0,8.58,0,34561.0,0,1,0,8,2012,2,20,44224.0,125.0,39751.0,120.0,30718.0,120.0,34304.0,129.0,33963.0,133.0,41766.28571428572,4816.861070388947,2012-08-14,34561.0,baltimore
2012-08-15,18.0,125.0,9.12,0,35221.0,0,2,0,8,2012,2,19,34561.0,119.0,34594.0,143.0,36406.0,153.0,44173.0,144.0,35233.0,139.0,41024.857142857145,5525.993950671421,2012-08-15,35221.0,baltimore
2012-08-16,32.0,174.0,8.38,0,54077.0,0,3,0,8,2012,2,18,35221.0,125.0,38389.0,132.0,36633.0,155.0,34838.0,147.0,43886.0,154.0,41114.42857142857,5408.208694726404,2012-08-16,54077.0,baltimore
2012-08-17,20.0,165.0,9.39,0,37241.0,0,4,0,8,2012,2,17,54077.0,174.0,45335.0,175.0,39509.0,161.0,39265.0,167.0,42240.0,154.0,43355.57142857143,7082.06156090025,2012-08-17,37241.0,baltimore
2012-08-18,23.0,198.0,7.01,0,40656.0,0,5,1,8,2012,2,16,37241.0,165.0,49045.0,201.0,43499.0,217.0,50872.0,211.0,39429.0,216.0,42199.28571428572,7360.3039501161375,2012-08-18,40656.0,baltimore
2012-08-19,25.0,151.0,9.62,0,44702.0,0,6,1,8,2012,2,15,40656.0,198.0,41026.0,172.0,42099.0,170.0,47784.0,149.0,43074.0,156.0,41000.857142857145,6714.521016140355,2012-08-19,44702.0,baltimore
2012-08-20,21.0,99.0,8.9,0,44339.0,0,0,0,8,2012,2,14,44702.0,151.0,44224.0,125.0,42310.0,120.0,42671.0,126.0,43286.0,129.0,41526.0,6859.010570045799,2012-08-20,44339.0,baltimore
2012-08-21,9.0,116.0,10.95,0,37333.0,0,1,0,8,2012,2,13,44339.0,99.0,34561.0,119.0,39751.0,120.0,30718.0,120.0,34304.0,129.0,41542.42857142857,6866.683232758565,2012-08-21,37333.0,baltimore
2012-08-22,14.0,116.0,11.22,0,36936.0,0,2,0,8,2012,2,12,37333.0,116.0,35221.0,125.0,34594.0,143.0,36406.0,153.0,44173.0,144.0,41938.42857142857,6465.153565001191,2012-08-22,36936.0,baltimore
2012-08-23,29.0,131.0,7.89,0,32440.0,0,3,0,8,2012,2,11,36936.0,116.0,54077.0,174.0,38389.0,132.0,36633.0,155.0,34838.0,147.0,42183.42857142857,6195.018613293069,2012-08-23,32440.0,baltimore
2012-08-24,26.0,177.0,12.61,0,43856.0,0,4,0,8,2012,2,10,32440.0,131.0,37241.0,165.0,45335.0,175.0,39509.0,161.0,39265.0,167.0,39092.42857142857,4413.368436056647,2012-08-24,43856.0,baltimore
2012-08-25,31.0,237.0,9.5,0,41578.0,0,5,1,8,2012,2,9,43856.0,177.0,40656.0,198.0,49045.0,201.0,43499.0,217.0,50872.0,211.0,40037.42857142857,4652.590241186197,2012-08-25,41578.0,baltimore
2012-08-26,21.0,168.0,14.5,0,37605.0,0,6,1,8,2012,2,8,41578.0,237.0,44702.0,151.0,41026.0,172.0,42099.0,170.0,47784.0,149.0,40169.142857142855,4685.951786228409,2012-08-26,37605.0,baltimore
2012-08-27,9.0,113.0,9.12,0,39517.0,0,0,0,8,2012,2,7,37605.0,168.0,44339.0,99.0,44224.0,125.0,42310.0,120.0,42671.0,126.0,39155.28571428572,4293.047779619436,2012-08-27,39517.0,baltimore
2012-08-28,10.0,113.0,10.45,0,34096.0,0,1,0,8,2012,2,6,39517.0,113.0,37333.0,116.0,34561.0,119.0,39751.0,120.0,30718.0,120.0,38466.42857142857,3663.327943147838,2012-08-28,34096.0,baltimore
2012-08-29,15.0,96.0,10.64,0,43255.0,0,2,0,8,2012,2,5,34096.0,113.0,36936.0,116.0,35221.0,125.0,34594.0,143.0,36406.0,153.0,38004.0,4017.439773454421,2012-08-29,43255.0,baltimore
2012-08-30,22.0,98.0,9.9,0,39801.0,0,3,0,8,2012,2,4,43255.0,96.0,32440.0,131.0,54077.0,174.0,38389.0,132.0,36633.0,155.0,38906.71428571428,4426.568637755663,2012-08-30,39801.0,baltimore
2012-08-31,31.0,150.0,8.99,0,48063.0,0,4,0,8,2012,2,3,39801.0,98.0,43856.0,177.0,37241.0,165.0,45335.0,175.0,39509.0,161.0,39958.28571428572,3386.4385281239,2012-08-31,48063.0,baltimore
2012-09-01,27.0,236.0,12.55,0,42480.0,0,5,1,9,2012,3,2,48063.0,150.0,41578.0,237.0,40656.0,198.0,49045.0,201.0,43499.0,217.0,40559.28571428572,4411.606008182122,2012-09-01,42480.0,baltimore
2012-09-02,27.0,205.0,10.62,0,41413.0,0,6,1,9,2012,3,1,42480.0,236.0,37605.0,168.0,44702.0,151.0,41026.0,172.0,42099.0,170.0,40688.142857142855,4459.236497749044,2012-09-02,41413.0,baltimore
2012-09-03,12.0,207.0,9.58,0,53051.0,1,0,0,9,2012,3,0,41413.0,205.0,39517.0,113.0,44339.0,99.0,44224.0,125.0,42310.0,120.0,41232.142857142855,4247.682443740013,2012-09-03,53051.0,baltimore
