Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Store,DayOfWeek,Month,DayOfMonth,IsWeekend,pr,TouristEvent_Bin,Sales_Lag7,Customers_Lag7
2012-07-01,20,170,10.11,No,40669,Baltimore,6,7,1,1,0.1011,0,40669.0,170.0
2012-07-02,12,152,8.78,No,35360,Baltimore,0,7,2,0,0.08779999999999999,0,40669.0,170.0
2012-07-03,10,185,9.09,No,40741,Baltimore,1,7,3,0,0.0909,0,40669.0,170.0
2012-07-04,16,182,10.23,No,33871,Baltimore,2,7,4,0,0.1023,0,40669.0,170.0
2012-07-05,19,155,9.95,No,36880,Baltimore,3,7,5,0,0.09949999999999999,0,40669.0,170.0
2012-07-06,25,175,12.22,No,43441,Baltimore,4,7,6,0,0.1222,0,40669.0,170.0
2012-07-07,24,261,8.55,No,47133,Baltimore,5,7,7,1,0.0855,0,40669.0,170.0
2012-07-08,19,172,11.24,No,40165,Baltimore,6,7,8,1,0.1124,0,40669.0,170.0
2012-07-09,11,125,9.45,No,37262,Baltimore,0,7,9,0,0.09449999999999999,0,35360.0,152.0
2012-07-10,13,125,7.09,No,37718,Baltimore,1,7,10,0,0.0709,0,40741.0,185.0
2012-07-11,16,134,11.17,No,35429,Baltimore,2,7,11,0,0.1117,0,33871.0,182.0
2012-07-12,23,145,9.19,No,36206,Baltimore,3,7,12,0,0.0919,0,36880.0,155.0
2012-07-13,19,151,7.76,No,37865,Baltimore,4,7,13,0,0.0776,0,43441.0,175.0
2012-07-14,20,195,9.94,No,39216,Baltimore,5,7,14,1,0.09939999999999999,0,47133.0,261.0
2012-07-15,18,148,7.19,No,37190,Baltimore,6,7,15,1,0.0719,0,40165.0,172.0
2012-07-16,14,127,9.76,No,42122,Baltimore,0,7,16,0,0.09759999999999999,0,37262.0,125.0
2012-07-17,10,133,7.76,No,33963,Baltimore,1,7,17,0,0.0776,0,37718.0,125.0
