<<<<<<< HEAD
Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,is_holiday,day_of_week,IsWeekend,month,year,season_num,sales_lag_1,customers_lag_1,sales_lag_7,customers_lag_7,sales_lag_14,customers_lag_14,sales_lag_21,customers_lag_21,sales_lag_28,customers_lag_28,sales_roll_mean_7,sales_roll_std_7,ds,y
2012-07-29,37,276.0,9.63,0,69722.0,0,6,1,7,2012,2,86450.0,390.0,61181.0,290.0,77308.0,276.0,81983.0,322.0,74455.0,319.0,73247.85714285714,10074.304333775319,2012-07-29,69722.0
2012-07-30,19,233.0,5.83,0,87795.0,0,0,0,7,2012,2,69722.0,276.0,74311.0,241.0,71923.0,236.0,81009.0,233.0,74705.0,285.0,74468.0,8806.73070251765,2012-07-30,87795.0
2012-07-31,21,221.0,7.75,0,75027.0,0,1,0,7,2012,2,87795.0,233.0,73508.0,240.0,57302.0,247.0,67071.0,233.0,66793.0,346.0,76394.28571428571,10140.358946873079,2012-07-31,75027.0
2012-08-01,22,281.0,7.78,0,76894.0,0,2,0,8,2012,2,75027.0,221.0,76533.0,266.0,78192.0,258.0,86437.0,249.0,78958.0,341.0,76611.28571428571,10084.397845422513,2012-08-01,76894.0
2012-08-02,33,286.0,9.55,0,70693.0,0,3,0,8,2012,2,76894.0,281.0,58962.0,272.0,77528.0,286.0,92355.0,270.0,67374.0,290.0,76662.85714285714,10084.853831837332,2012-08-02,70693.0
2012-08-03,39,297.0,11.34,0,76223.0,0,4,0,8,2012,2,70693.0,286.0,81790.0,309.0,73533.0,285.0,80387.0,281.0,80129.0,328.0,78338.71428571429,7221.322956224541,2012-08-03,76223.0
2012-08-04,28,398.0,8.12,0,81892.0,0,5,1,8,2012,2,76223.0,297.0,86450.0,390.0,76333.0,399.0,82752.0,364.0,79426.0,489.0,77543.42857142857,7083.10842444059,2012-08-04,81892.0
2012-08-05,44,312.0,9.51,0,73603.0,0,6,1,8,2012,2,81892.0,398.0,69722.0,276.0,61181.0,290.0,77308.0,276.0,81983.0,322.0,76892.28571428571,6293.352305257949,2012-08-05,73603.0
2012-08-06,24,220.0,10.61,0,67039.0,0,0,0,8,2012,2,73603.0,312.0,87795.0,233.0,74311.0,241.0,71923.0,236.0,81009.0,233.0,77446.71428571429,5699.3035455889,2012-08-06,67039.0
2012-08-07,18,219.0,8.54,0,67392.0,0,1,0,8,2012,2,67039.0,220.0,75027.0,221.0,73508.0,240.0,57302.0,247.0,67071.0,233.0,74481.57142857143,4736.056019416139,2012-08-07,67392.0
2012-08-08,24,262.0,9.89,0,68397.0,0,2,0,8,2012,2,67392.0,219.0,76894.0,281.0,76533.0,266.0,78192.0,258.0,86437.0,249.0,73390.85714285714,5419.383219167166,2012-08-08,68397.0
2012-08-09,36,241.0,8.53,0,69336.0,0,3,0,8,2012,2,68397.0,262.0,70693.0,286.0,58962.0,272.0,77528.0,286.0,92355.0,270.0,72177.0,5455.436768337939,2012-08-09,69336.0
2012-08-10,48,321.0,13.51,0,91534.0,0,4,0,8,2012,2,69336.0,241.0,76223.0,297.0,81790.0,309.0,73533.0,285.0,80387.0,281.0,71983.14285714286,5540.407669373915,2012-08-10,91534.0
2012-08-11,31,368.0,11.31,0,68738.0,0,5,1,8,2012,2,91534.0,321.0,81892.0,398.0,86450.0,390.0,76333.0,399.0,82752.0,364.0,74170.42857142857,9264.149517668337,2012-08-11,68738.0
2012-08-12,34,314.0,8.22,0,62394.0,0,6,1,8,2012,2,68738.0,368.0,73603.0,312.0,69722.0,276.0,61181.0,290.0,77308.0,276.0,72291.28571428571,8757.065408653103,2012-08-12,62394.0
2012-08-13,25,229.0,10.04,0,75697.0,0,0,0,8,2012,2,62394.0,314.0,67039.0,220.0,87795.0,233.0,74311.0,241.0,71923.0,236.0,70690.0,9472.80340413193,2012-08-13,75697.0
2012-08-14,27,218.0,8.28,0,66363.0,0,1,0,8,2012,2,75697.0,229.0,67392.0,219.0,75027.0,221.0,73508.0,240.0,57302.0,247.0,71926.85714285714,9481.873626883595,2012-08-14,66363.0
2012-08-15,30,228.0,8.8,0,69877.0,0,2,0,8,2012,2,66363.0,218.0,68397.0,262.0,76894.0,281.0,76533.0,266.0,78192.0,258.0,71779.85714285714,9571.449549372897,2012-08-15,69877.0
2012-08-16,56,319.0,8.09,0,86485.0,0,3,0,8,2012,2,69877.0,228.0,69336.0,241.0,70693.0,286.0,58962.0,272.0,77528.0,286.0,71991.28571428571,9500.351813034546,2012-08-16,86485.0
2012-08-17,43,302.0,9.06,0,61505.0,0,4,0,8,2012,2,86485.0,319.0,91534.0,321.0,76223.0,297.0,81790.0,309.0,73533.0,285.0,74441.14285714286,10820.84961896203,2012-08-17,61505.0
2012-08-18,45,360.0,6.77,0,76455.0,0,5,1,8,2012,2,61505.0,302.0,68738.0,368.0,81892.0,398.0,86450.0,390.0,76333.0,399.0,70151.28571428571,8649.688100625099,2012-08-18,76455.0
2012-08-19,39,275.0,9.29,0,73931.0,0,6,1,8,2012,2,76455.0,360.0,62394.0,314.0,73603.0,312.0,69722.0,276.0,61181.0,290.0,71253.71428571429,8926.87535319211,2012-08-19,73931.0
2012-08-20,27,180.0,8.59,0,53599.0,0,0,0,8,2012,2,73931.0,275.0,75697.0,229.0,67039.0,220.0,87795.0,233.0,74311.0,241.0,72901.85714285714,8039.4166336572,2012-08-20,53599.0
2012-08-21,24,211.0,10.57,0,74885.0,0,1,0,8,2012,2,53599.0,180.0,66363.0,218.0,67392.0,219.0,75027.0,221.0,73508.0,240.0,69745.0,10667.868890582919,2012-08-21,74885.0
2012-08-22,23,211.0,10.83,0,75273.0,0,2,0,8,2012,2,74885.0,211.0,69877.0,228.0,68397.0,262.0,76894.0,281.0,76533.0,266.0,70962.42857142857,10703.794574155208,2012-08-22,75273.0
2012-08-23,44,237.0,7.61,0,71139.0,0,3,0,8,2012,2,75273.0,211.0,86485.0,319.0,69336.0,241.0,70693.0,286.0,58962.0,272.0,71733.28571428571,10806.40732334736,2012-08-23,71139.0
2012-08-24,47,321.0,12.17,0,82682.0,0,4,0,8,2012,2,71139.0,237.0,61505.0,302.0,91534.0,321.0,76223.0,297.0,81790.0,309.0,69541.0,8658.020558996159,2012-08-24,82682.0
2012-08-25,58,430.0,9.17,0,83619.0,0,5,1,8,2012,2,82682.0,321.0,76455.0,360.0,68738.0,368.0,81892.0,398.0,86450.0,390.0,72566.28571428571,9072.026872283219,2012-08-25,83619.0
2012-08-26,43,304.0,13.99,0,69476.0,0,6,1,8,2012,2,83619.0,430.0,73931.0,275.0,62394.0,314.0,73603.0,312.0,69722.0,276.0,73589.71428571429,9945.841521531946,2012-08-26,69476.0
2012-08-27,19,204.0,8.81,0,72818.0,0,0,0,8,2012,2,69476.0,304.0,53599.0,180.0,75697.0,229.0,67039.0,220.0,87795.0,233.0,72953.28571428571,10062.218620733145,2012-08-27,72818.0
2012-08-28,18,204.0,10.09,0,69929.0,0,1,0,8,2012,2,72818.0,204.0,74885.0,211.0,66363.0,218.0,67392.0,219.0,75027.0,221.0,75698.85714285714,5479.541508452842,2012-08-28,69929.0
2012-08-29,35,172.0,10.27,0,71877.0,0,2,0,8,2012,2,69929.0,204.0,75273.0,211.0,69877.0,228.0,68397.0,262.0,76894.0,281.0,74990.85714285714,5905.820446208772,2012-08-29,71877.0
2012-08-30,49,178.0,9.55,0,65458.0,0,3,0,8,2012,2,71877.0,172.0,71139.0,237.0,86485.0,319.0,69336.0,241.0,70693.0,286.0,74505.71428571429,6017.214851692514,2012-08-30,65458.0
2012-08-31,51,271.0,8.68,0,66024.0,0,4,0,8,2012,2,65458.0,178.0,82682.0,321.0,61505.0,302.0,91534.0,321.0,76223.0,297.0,73694.14285714286,6869.704977376451,2012-08-31,66024.0
