Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,is_holiday,day_of_week,is_weekend,month,year,season_num,sales_lag_1,customers_lag_1,sales_lag_7,customers_lag_7,sales_lag_14,customers_lag_14,sales_lag_21,customers_lag_21,sales_lag_28,customers_lag_28,sales_roll_mean_7,sales_roll_std_7,ds,y
2012-07-29,27.0,214.0,10.23,0,71237.0,0,6,1,7,2012,2,69754.0,301.0,58726.0,222.0,54487.0,209.0,52975.0,242.0,53618.0,238.0,60782.28571428572,5893.484869307967,2012-07-29,71237.0
2012-07-30,16.0,180.0,6.19,0,56619.0,0,0,0,7,2012,2,71237.0,214.0,60517.0,184.0,53061.0,180.0,58618.0,175.0,50357.0,213.0,62569.57142857143,6965.5221354215555,2012-07-30,56619.0
2012-07-31,14.0,172.0,8.24,0,45829.0,0,1,0,7,2012,2,56619.0,180.0,53215.0,184.0,54143.0,188.0,55134.0,175.0,43814.17,258.0,62012.71428571428,7304.52614740308,2012-07-31,45829.0
2012-08-01,22.0,218.0,8.26,0,57814.0,0,2,0,8,2012,2,45829.0,172.0,60523.0,205.0,61069.0,197.0,61280.0,188.0,56826.0,255.0,60957.57142857143,9099.964832480453,2012-08-01,57814.0
2012-08-02,33.0,222.0,10.14,0,66691.0,0,3,0,8,2012,2,57814.0,218.0,55644.0,209.0,68382.0,217.0,55462.0,205.0,55282.0,216.0,60570.57142857143,9178.788642973592,2012-08-02,66691.0
2012-08-03,23.0,231.0,12.05,0,59139.0,0,4,0,8,2012,2,66691.0,222.0,67097.0,239.0,53759.0,217.0,58950.0,213.0,71907.0,246.0,62148.71428571428,9140.165584099774,2012-08-03,59139.0
2012-08-04,25.0,310.0,8.63,0,66645.0,0,5,1,8,2012,2,59139.0,231.0,69754.0,301.0,61388.0,305.0,58198.0,275.0,50442.0,367.0,61011.857142857145,8914.23487889962,2012-08-04,66645.0
2012-08-05,30.0,243.0,10.11,0,68447.0,0,6,1,8,2012,2,66645.0,310.0,71237.0,214.0,58726.0,222.0,54487.0,209.0,52975.0,242.0,60567.71428571428,8472.582225710685,2012-08-05,68447.0
2012-08-06,15.0,172.0,11.27,0,54153.0,0,0,0,8,2012,2,68447.0,243.0,56619.0,180.0,60517.0,184.0,53061.0,180.0,58618.0,175.0,60169.142857142855,7935.630292727679,2012-08-06,54153.0
2012-08-07,18.0,172.0,9.07,0,52186.0,0,1,0,8,2012,2,54153.0,172.0,45829.0,172.0,53215.0,184.0,54143.0,188.0,55134.0,175.0,59816.857142857145,8170.7516265553695,2012-08-07,52186.0
2012-08-08,17.0,206.0,10.51,0,59029.0,0,2,0,8,2012,2,52186.0,172.0,57814.0,218.0,60523.0,205.0,61069.0,197.0,61280.0,188.0,60725.0,6549.349356997232,2012-08-08,59029.0
2012-08-09,27.0,189.0,9.07,0,54063.0,0,3,0,8,2012,2,59029.0,206.0,66691.0,222.0,55644.0,209.0,68382.0,217.0,55462.0,205.0,60898.57142857143,6475.022106967229,2012-08-09,54063.0
2012-08-10,32.0,252.0,14.35,0,53911.0,0,4,0,8,2012,2,54063.0,189.0,59139.0,231.0,67097.0,239.0,53759.0,217.0,58950.0,213.0,59094.57142857143,6350.162251395446,2012-08-10,53911.0
2012-08-11,31.0,289.0,12.02,0,71035.0,0,5,1,8,2012,2,53911.0,252.0,66645.0,310.0,69754.0,301.0,61388.0,305.0,58198.0,275.0,58347.71428571428,6644.674978614729,2012-08-11,71035.0
2012-08-12,28.0,248.0,8.74,0,52517.0,0,6,1,8,2012,2,71035.0,289.0,68447.0,243.0,71237.0,214.0,58726.0,222.0,54487.0,209.0,58974.857142857145,7684.175783790382,2012-08-12,52517.0
2012-08-13,15.0,181.0,10.67,0,48202.0,0,0,0,8,2012,2,52517.0,248.0,54153.0,172.0,56619.0,180.0,60517.0,184.0,53061.0,180.0,56699.142857142855,6708.3237456305405,2012-08-13,48202.0
2012-08-14,28.0,172.0,8.8,0,51847.0,0,1,0,8,2012,2,48202.0,181.0,52186.0,172.0,45829.0,172.0,53215.0,184.0,54143.0,188.0,55849.0,7423.712436061451,2012-08-14,51847.0
2012-08-15,27.0,181.0,9.35,0,47950.0,0,2,0,8,2012,2,51847.0,172.0,59029.0,206.0,57814.0,218.0,60523.0,205.0,61069.0,197.0,55800.57142857143,7452.639976481336,2012-08-15,47950.0
2012-08-16,55.0,252.0,8.6,0,79361.0,0,3,0,8,2012,2,47950.0,181.0,54063.0,189.0,66691.0,222.0,55644.0,209.0,68382.0,217.0,54217.857142857145,7820.111730416043,2012-08-16,79361.0
