<<<<<<< HEAD
Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,is_holiday,day_of_week,IsWeekend,month,year,season_num,sales_lag_1,customers_lag_1,sales_lag_7,customers_lag_7,sales_lag_14,customers_lag_14,sales_lag_21,customers_lag_21,sales_lag_28,customers_lag_28,sales_roll_mean_7,sales_roll_std_7,ds,y
2012-07-29,10.0,79.0,10.42,0,21111.0,0,6,1,7,2012,2,29912.0,112.0,23127.0,82.0,19341.0,78.0,22472.0,90.0,19532.0,89.0,21990.0,4806.212160665958,2012-07-29,21111.0
2012-07-30,6.0,67.0,6.31,0,24762.0,0,0,0,7,2012,2,21111.0,79.0,17733.0,69.0,22671.0,67.0,20388.0,66.0,25403.0,79.0,21702.0,4787.088816110825,2012-07-30,24762.0
2012-07-31,7.0,64.0,8.39,0,18873.0,0,1,0,7,2012,2,24762.0,67.0,21533.0,69.0,20870.0,70.0,18678.0,66.0,17711.0,97.0,22706.14285714286,4546.973991149552,2012-07-31,18873.0
2012-08-01,9.0,81.0,8.41,0,17580.0,0,2,0,8,2012,2,18873.0,64.0,22028.0,76.0,22328.0,73.0,24364.0,70.0,23336.0,95.0,22326.14285714286,4767.17517434142,2012-08-01,17580.0
2012-08-02,9.0,82.0,10.33,0,18984.0,0,3,0,8,2012,2,17580.0,81.0,14971.0,78.0,21355.0,81.0,23707.0,76.0,22879.0,81.0,21690.714285714286,5098.469564953969,2012-08-02,18984.0
2012-08-03,10.0,85.0,12.27,0,22136.0,0,4,0,8,2012,2,18984.0,82.0,24626.0,88.0,23471.0,81.0,21728.0,79.0,20918.0,92.0,22264.0,4393.887762183585,2012-08-03,22136.0
2012-08-04,9.0,114.0,8.79,0,21602.0,0,5,1,8,2012,2,22136.0,85.0,29912.0,112.0,23647.0,114.0,22557.0,103.0,21308.0,137.0,21908.285714285714,4269.838198116557,2012-08-04,21602.0
2012-08-05,17.0,90.0,10.29,0,24428.0,0,6,1,8,2012,2,21602.0,114.0,21111.0,79.0,23127.0,82.0,19341.0,78.0,22472.0,90.0,20721.14285714286,2434.417139588821,2012-08-05,24428.0
2012-08-06,6.0,63.0,11.48,0,20836.0,0,0,0,8,2012,2,24428.0,90.0,24762.0,67.0,17733.0,69.0,22671.0,67.0,20388.0,66.0,21195.0,2815.887604291054,2012-08-06,20836.0
2012-08-07,7.0,63.0,9.24,0,20904.0,0,1,0,8,2012,2,20836.0,63.0,18873.0,64.0,21533.0,69.0,20870.0,70.0,18678.0,66.0,20634.14285714286,2337.334837556902,2012-08-07,20904.0
