Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Store
2012-07-01,20.0,170.0,10.11,0,40669.0,Baltimore
2012-07-02,12.0,152.0,8.78,0,35360.0,Baltimore
2012-07-03,10.0,185.0,9.09,0,40741.0,Baltimore
2012-07-04,16.0,182.0,10.23,0,33871.0,Baltimore
2012-07-05,19.0,155.0,9.95,0,36880.0,Baltimore
2012-07-06,25.0,175.0,12.22,0,43441.0,Baltimore
2012-07-07,24.0,261.0,8.55,0,47133.0,Baltimore
2012-07-08,19.0,172.0,11.24,0,40165.0,Baltimore
2012-07-09,11.0,125.0,9.45,0,37262.0,Baltimore
2012-07-10,13.0,125.0,7.09,0,37718.0,Baltimore
2012-07-11,16.0,134.0,11.17,0,35429.0,Baltimore
2012-07-12,23.0,145.0,9.19,0,36206.0,Baltimore
2012-07-13,19.0,151.0,7.76,0,37865.0,Baltimore
2012-07-14,20.0,195.0,9.94,0,39216.0,Baltimore
2012-07-15,18.0,148.0,7.19,0,37190.0,Baltimore
2012-07-16,14.0,127.0,9.76,0,42122.0,Baltimore
2012-07-17,10.0,133.0,7.76,0,33963.0,Baltimore
2012-07-18,12.0,139.0,6.46,0,35233.0,Baltimore
2012-07-19,16.0,154.0,9.12,0,43886.0,Baltimore
2012-07-20,22.0,154.0,8.61,0,42240.0,Baltimore
2012-07-21,29.0,216.0,6.93,0,39429.0,Baltimore
2012-07-22,18.0,156.0,6.22,0,43074.0,Baltimore
2012-07-23,19.0,129.0,8.17,0,43286.0,Baltimore
2012-07-24,20.0,129.0,6.92,0,34304.0,Baltimore
2012-07-25,21.0,144.0,6.32,0,44173.0,Baltimore
2012-07-26,17.0,147.0,11.09,0,34838.0,Baltimore
2012-07-27,31.0,167.0,8.02,0,39265.0,Baltimore
2012-07-28,26.0,211.0,10.03,0,50872.0,Baltimore
2012-07-29,15.0,149.0,9.97,0,47784.0,Baltimore
2012-07-30,12.0,126.0,6.04,0,42671.0,Baltimore
2012-07-31,12.0,120.0,8.03,0,30718.0,Baltimore
2012-08-01,16.0,153.0,8.06,0,36406.0,Baltimore
2012-08-02,17.0,155.0,9.89,0,36633.0,Baltimore
2012-08-03,21.0,161.0,11.75,0,39509.0,Baltimore
2012-08-04,15.0,217.0,8.42,0,43499.0,Baltimore
2012-08-05,29.0,170.0,9.86,0,42099.0,Baltimore
2012-08-06,13.0,120.0,10.99,0,42310.0,Baltimore
2012-08-07,9.0,120.0,8.85,0,39751.0,Baltimore
2012-08-08,14.0,143.0,10.25,0,34594.0,Baltimore
2012-08-09,20.0,132.0,8.84,0,38389.0,Baltimore
2012-08-10,26.0,175.0,13.99,0,45335.0,Baltimore
2012-08-11,17.0,201.0,11.72,0,49045.0,Baltimore
2012-08-12,21.0,172.0,8.52,0,41026.0,Baltimore
2012-08-13,11.0,125.0,10.4,0,44224.0,Baltimore
2012-08-14,15.0,119.0,8.58,0,34561.0,Baltimore
2012-08-15,18.0,125.0,9.12,0,35221.0,Baltimore
2012-08-16,32.0,174.0,8.38,0,54077.0,Baltimore
2012-08-17,20.0,165.0,9.39,0,37241.0,Baltimore
2012-08-18,23.0,198.0,7.01,0,40656.0,Baltimore
2012-08-19,25.0,151.0,9.62,0,44702.0,Baltimore
2012-08-20,21.0,99.0,8.9,0,44339.0,Baltimore
2012-08-21,9.0,116.0,10.95,0,37333.0,Baltimore
2012-08-22,14.0,116.0,11.22,0,36936.0,Baltimore
2012-08-23,29.0,131.0,7.89,0,32440.0,Baltimore
2012-08-24,26.0,177.0,12.61,0,43856.0,Baltimore
2012-08-25,31.0,237.0,9.5,0,41578.0,Baltimore
2012-08-26,21.0,168.0,14.5,0,37605.0,Baltimore
2012-08-27,9.0,113.0,9.12,0,39517.0,Baltimore
2012-08-28,10.0,113.0,10.45,0,34096.0,Baltimore
2012-08-29,15.0,96.0,10.64,0,43255.0,Baltimore
2012-08-30,22.0,98.0,9.9,0,39801.0,Baltimore
2012-08-31,31.0,150.0,8.99,0,48063.0,Baltimore
2012-09-01,27.0,236.0,12.55,0,42480.0,Baltimore
2012-09-02,27.0,205.0,10.62,0,41413.0,Baltimore
2012-09-03,12.0,207.0,9.58,0,53051.0,Baltimore
2012-09-04,18.0,81.0,7.91,0,34523.0,Baltimore
2012-09-05,18.0,75.0,7.92,0,36234.0,Baltimore
2012-09-06,24.0,100.0,6.73,0,44362.0,Baltimore
2012-09-07,24.0,115.0,7.28,0,37721.0,Baltimore
2012-09-08,17.0,155.0,6.63,0,44614.0,Baltimore
2012-09-09,22.0,123.0,6.37,0,43165.0,Baltimore
2012-09-10,33.0,281.0,8.01,1,47905.0,Baltimore
2012-09-11,36.0,321.0,5.74,1,67441.0,Baltimore
2012-09-12,28.0,312.0,8.36,1,52790.0,Baltimore
