iteration,lucro
0,39480
1,39480
2,41580
3,42910
4,44870
5,44870
6,44870
7,44870
8,44870
9,44870
10,44870
11,44870
12,46305
13,46305
14,48405
15,50330
16,50470
17,50470
18,50470
19,50470
20,51030
21,51030
22,51030
23,51030
24,51030
25,51030
26,51030
27,51030
28,51030
29,51030
30,51030
31,52185
32,57785
33,57785
34,57785
35,57785
36,58695
37,58695
38,58695
39,59290
40,59290
41,59745
42,62055
43,62650
44,62685
45,62685
46,62685
47,62685
48,62685
49,62685
50,63630
51,64015
52,65835
53,68635
54,68950
55,71330
56,71330
57,71330
58,71330
59,71330
60,75880
61,75880
62,75880
63,75880
64,75880
65,75880
66,75880
67,75880
68,75880
69,78260
70,78260
71,78260
72,79205
73,79205
74,79205
75,79205
76,79205
77,79205
78,79205
79,79205
80,79205
81,79205
82,79205
83,79205
84,79415
85,80220
86,80220
87,80220
88,80220
89,80220
90,80220
91,80850
92,80850
93,82110
94,82110
95,82110
96,82110
97,82110
98,82110
99,82110
100,82110
101,82110
102,83650
103,83650
104,83650
105,87010
106,87010
107,87010
108,87010
109,87010
110,87010
111,87010
112,87010
113,87010
114,87010
115,87010
116,87010
117,87010
118,87010
119,87010
120,87010
121,87010
122,87010
123,87010
124,87010
125,87010
126,87010
127,87010
128,87010
129,87010
130,87185
131,87185
132,87185
133,87185
134,87185
135,87185
136,87185
137,89285
138,91385
139,91385
140,91385
141,91385
142,91385
143,91385
144,91385
145,91385
146,91385
147,91385
148,91385
149,91385
150,91385
151,91385
152,91385
153,93485
154,93485
155,93485
156,93485
157,94465
158,94465
159,94465
160,94465
161,94465
162,94465
163,94465
164,94465
165,94465
166,94465
167,94465
168,94465
169,94465
170,94990
171,97160
172,97160
173,97160
174,97160
175,97160
176,97160
177,97160
178,97160
179,97160
180,97160
181,97230
182,97230
183,97230
184,97230
185,97230
186,97230
187,97230
188,97230
189,97230
190,97230
191,97230
192,97615
193,97615
194,97615
195,97615
196,101045
197,101045
198,101045
199,101045
200,101045
201,101045
202,101045
203,102725
204,102725
205,102725
206,102725
207,102725
208,102725
209,102725
210,102725
211,102725
212,102725
213,102725
214,102725
215,102725
216,102725
217,102725
218,102725
219,102725
220,102725
221,102725
222,102725
223,102725
224,102725
225,102725
226,102725
227,102725
228,102725
229,102725
230,102725
231,102725
232,102725
233,102725
234,102725
235,102725
236,102725
237,102725
238,102725
239,102725
240,102725
241,102725
242,102725
243,102725
244,102725
245,102725
246,102725
247,102725
248,102725
249,102725
250,102725
251,102725
252,102725
253,102725
254,102725
255,102725
256,102725
257,102725
258,102725
259,102725
260,102725
261,102725
262,102725
263,102725
264,102725
265,103740
266,103740
267,103740
268,103740
269,103740
270,103740
271,103740
272,103740
273,103740
274,103740
275,103740
276,103740
277,103740
278,103740
279,103740
280,103740
281,103740
282,103740
283,103740
284,103740
285,103740
286,103740
287,103740
288,103740
289,103740
290,103740
291,103740
292,103740
293,103740
294,103740
295,103740
296,103740
297,103740
298,103740
299,103740
300,103740
301,103740
302,103740
303,103740
304,103740
305,103740
306,103740
307,103740
308,103740
309,103740
310,103740
311,103740
312,103740
313,103740
314,103740
315,103740
316,103740
317,103740
318,104160
319,104160
320,104160
321,104160
322,104160
323,104160
324,104160
325,104195
326,104195
327,104195
328,104195
329,104195
330,104195
331,104195
332,104195
333,104195
334,104195
335,104195
336,104195
337,104195
338,104195
339,104195
340,104195
341,104195
342,104195
343,104195
344,104195
345,104195
346,104195
347,104195
348,104195
349,104195
350,104195
351,104195
352,104195
353,104195
354,104195
355,104195
356,104195
357,104195
358,104195
359,104195
360,104195
361,104195
362,104510
363,104510
364,104510
365,104510
366,104510
367,104510
368,104510
369,104510
370,104510
371,104510
372,104510
373,104510
374,104510
375,104510
376,104510
377,104510
378,104510
379,104510
380,104510
381,104510
382,104930
383,104930
384,104930
385,104930
386,104930
387,104930
388,104930
389,104930
390,104930
391,104930
392,104930
393,104930
394,104930
395,104930
396,104930
397,104930
398,104930
399,104930
400,104930
401,104930
402,104930
403,104930
404,104930
405,104930
406,104930
407,104930
408,104930
409,104930
410,104930
411,104930
412,104930
413,104930
414,104930
415,104930
416,104930
417,104930
418,104930
419,104930
420,104930
421,104930
422,104930
423,104930
424,104930
425,104930
426,104930
427,104930
428,104930
429,104930
430,104930
431,104930
432,104930
433,104930
434,104930
435,104930
436,104930
437,104930
438,104930
439,104930
440,104930
441,104930
442,104930
443,104930
444,104930
445,104930
446,104930
447,104930
448,104930
449,104930
450,104930
451,104930
452,104930
453,105175
454,105175
455,105175
456,105175
457,105175
458,105175
459,105175
460,105175
461,105175
462,105175
463,105175
464,105175
465,105175
466,105175
467,105175
468,105175
469,105175
470,105175
471,105175
472,105175
473,105175
474,105175
475,105175
476,105175
477,105175
478,105175
479,105175
480,105175
481,105175
482,105175
483,105175
484,105175
485,105175
486,105175
487,105175
488,105175
489,105175
490,105175
491,105175
492,105175
493,105175
494,105175
495,105175
496,105175
497,105175
498,105175
499,105175
500,105175
501,105175
502,105175
503,105175
504,105175
505,105175
506,105175
507,105175
508,105175
509,105175
510,105175
511,105175
512,105175
513,105175
514,105175
515,105175
516,105175
517,105175
518,105245
519,105245
520,105245
521,105245
522,105245
523,105245
524,105245
525,105245
526,105245
527,105245
528,105245
529,105245
530,105245
531,105245
532,105245
533,105245
534,105245
535,105245
536,105245
537,105245
538,105245
539,105245
540,105245
541,105245
542,105245
543,105245
544,105245
545,105245
546,105245
547,105245
548,105245
549,105245
550,105245
551,105245
552,105245
553,105245
554,105245
555,105245
556,105245
557,105245
558,105245
559,105245
560,105245
561,105245
562,105245
563,105245
564,105245
565,105245
566,105245
567,105245
568,105245
569,105245
570,105245
571,105245
572,105245
573,105630
574,105630
575,105630
576,105630
577,105630
578,105630
579,105630
580,105630
581,105630
582,105630
583,105630
584,105630
585,105630
586,105630
587,105630
588,105630
589,105630
590,105630
591,105630
592,105630
593,105630
594,105630
595,105630
596,105630
597,105630
598,105630
599,105630
600,105630
601,105630
602,105630
603,105630
604,105630
605,105630
606,105630
607,105805
608,105805
609,105805
610,105805
611,106190
612,106190
613,106190
614,106190
615,106190
616,106190
617,106190
618,106190
619,106190
620,106190
621,106190
622,106190
623,106190
624,106190
625,106190
626,106190
627,106190
628,106190
629,106190
630,106190
631,106190
632,106190
633,106190
634,106190
635,106190
636,106190
637,106190
638,106190
639,106190
640,106190
641,106190
642,106190
643,106190
644,106190
645,106190
646,106190
647,106190
648,106190
649,106190
650,106190
651,106190
652,106190
653,106190
654,106190
655,106190
656,106190
657,106190
658,106190
659,106190
660,106190
661,106190
662,106190
663,106190
664,106190
665,106190
666,106190
667,106190
668,106190
669,106190
670,106190
671,106190
672,106190
673,106190
674,106190
675,106190
676,106190
677,106190
678,106190
679,106190
680,106190
681,106190
682,106190
683,106190
684,106190
685,106190
686,106190
687,106190
688,106190
689,106190
690,106190
691,106190
692,106190
693,106190
694,106190
695,106190
696,106190
697,106190
698,106190
699,106190
700,106225
701,106225
702,106225
703,106225
704,106225
705,106225
706,106225
707,106225
708,106225
709,106225
710,106225
711,106225
712,106225
713,106225
714,106225
715,106225
716,106225
717,106225
718,106225
719,106225
720,106225
721,106225
722,106225
723,106225
724,106225
725,106225
726,106225
727,106225
728,106225
729,106225
730,106225
731,106225
732,106225
733,106225
734,106225
735,106225
736,106225
737,106225
738,106225
739,106225
740,106225
741,106225
742,106225
743,106225
744,106225
745,106225
746,106225
747,106225
748,106225
749,106225
750,106225
751,106225
752,106225
753,106225
754,106225
755,106225
