iteration,lucro
0,52220
1,56420
2,58520
3,59430
4,63595
5,63595
6,64435
7,64435
8,65100
9,69545
10,71750
11,71750
12,71925
13,71960
14,71960
15,71960
16,71960
17,71960
18,73360
19,73465
20,74200
21,75635
22,75635
23,75635
24,75635
25,76650
26,79555
27,80185
28,82285
29,83335
30,83335
31,84770
32,84770
33,84770
34,85085
35,85085
36,86170
37,89705
38,89950
39,89950
40,89950
41,91420
42,92330
43,92330
44,92330
45,92330
46,92330
47,92330
48,94290
49,96425
50,96425
51,97020
52,97020
53,97020
54,97020
55,97825
56,97825
57,97825
58,98315
59,98315
60,98315
61,98315
62,98315
63,98315
64,98315
65,98315
66,98315
67,98315
68,98315
69,98315
70,98315
71,98315
72,98315
73,98315
74,98315
75,98315
76,98315
77,99785
78,99785
79,99785
80,99785
81,99785
82,99785
83,101325
84,101325
85,101325
86,102795
87,102795
88,102795
89,102795
90,102795
91,102795
92,102795
93,104545
94,104545
95,104545
96,104545
97,104545
98,104545
99,104545
100,104615
101,104615
102,104615
103,104615
104,104615
105,104615
106,104615
107,104615
108,104615
109,104615
110,104615
111,104615
112,104615
113,104615
114,104615
115,104615
116,104615
117,106400
118,106400
119,106400
120,106400
121,108010
122,108010
123,108010
124,108010
125,109655
126,109655
127,109655
128,109655
129,109655
130,109655
131,109655
132,109655
133,112525
134,112525
135,115255
136,117390
137,118160
138,118755
139,122290
140,122290
141,122290
142,122290
143,122885
144,122885
145,122885
146,125020
147,126140
148,126140
149,126140
150,126140
151,126140
152,126140
153,126140
154,126245
155,126245
156,126245
157,126245
158,126245
159,126245
160,126245
161,126245
162,126665
163,126665
164,126665
165,126665
166,126665
167,126665
168,126665
169,126665
170,129640
171,129640
172,129640
173,129640
174,129640
175,130655
176,131810
177,133595
178,133595
179,133595
180,133595
181,133595
182,133595
183,133595
184,133595
185,133595
186,133595
187,133595
188,133595
189,133595
190,133595
191,133595
192,133595
193,133595
194,133595
195,133595
196,133595
197,133595
198,133595
199,133595
200,133595
201,133595
202,136500
203,136500
204,137165
205,140315
206,140315
207,140315
208,140315
209,140315
210,140315
211,140315
212,140315
213,140315
214,140315
215,140315
216,140315
217,140315
218,140315
219,140315
220,140315
221,140315
222,140315
223,140805
224,140805
225,140805
226,140805
227,140805
228,140805
229,140805
230,142555
231,142555
232,142555
233,143605
234,143605
235,143605
236,143605
237,143605
238,143605
239,145145
240,145145
241,145145
242,145145
243,145145
244,145145
245,147105
246,148085
247,148085
248,148085
249,148085
250,148085
251,148085
252,148085
253,148085
254,148085
255,149030
256,149030
257,149030
258,149030
259,149030
260,151375
261,151375
262,151375
263,151375
264,151375
265,151375
266,151375
267,151375
268,151375
269,151375
270,151375
271,151375
272,151375
273,151375
274,151375
275,151375
276,151375
277,151375
278,151375
279,151375
280,151375
281,151375
282,151375
283,151375
284,151375
285,151375
286,151375
287,151375
288,151375
289,151375
290,151375
291,151375
292,151375
293,151375
294,151375
295,152460
296,152460
297,152460
298,152460
299,152460
300,152460
301,152460
302,152460
303,152460
304,152460
305,152460
306,152460
307,152460
308,152460
309,152460
310,152460
311,152460
312,152460
313,152460
314,152460
315,152460
316,152460
317,152460
318,152460
319,152460
320,152460
321,152460
322,152460
323,152460
324,152530
325,152530
326,152530
327,152530
328,152530
329,152530
330,152530
331,152530
332,152530
333,152530
334,152530
335,152530
336,152530
337,152530
338,152530
339,152530
340,152530
341,152530
342,152530
343,152530
344,152530
345,152530
346,152530
347,152530
348,152530
349,152530
350,152530
351,152530
352,152530
353,152530
354,152530
355,152530
356,152530
357,152530
358,152530
359,152530
360,152530
361,152530
362,152530
363,152530
364,152530
365,152530
366,152530
