iteration,lucro
0,108395
1,109900
2,109900
3,112630
4,115360
5,115360
6,118475
7,118720
8,118720
9,120085
10,121380
11,121380
12,121380
13,121695
14,121695
15,121695
16,121695
17,124530
18,124530
19,125720
20,125720
21,125720
22,125720
23,125720
24,125965
25,128800
26,131040
27,131040
28,132125
29,134890
30,134890
31,134890
32,134890
33,136255
34,137270
35,137270
36,137270
37,137270
38,137270
39,138565
40,138565
41,138565
42,138565
43,140665
44,140665
45,140665
46,143220
47,145635
48,145635
49,145635
50,145635
51,145635
52,145635
53,148435
54,148435
55,148435
56,148435
57,149660
58,152425
59,152425
60,153790
61,154350
62,154350
63,154350
64,154350
65,154350
66,157115
67,157115
68,157115
69,157115
70,158130
71,158130
72,159600
73,159600
74,159600
75,159600
76,159600
77,162400
78,162400
79,162400
80,162400
81,165130
82,167895
83,167895
84,170485
85,170485
86,173075
87,173075
88,173075
89,175630
90,175630
91,175630
92,175630
93,176155
94,177590
95,177590
96,177590
97,177590
98,178990
99,180040
100,181090
101,181090
102,181090
103,181090
104,183680
105,184870
106,184870
107,184870
108,184870
109,187285
110,187285
111,189875
112,189875
113,189875
114,189875
115,189875
116,189875
117,191170
118,191170
119,191170
120,191170
121,191170
122,191170
123,191170
124,191170
125,191170
126,191170
127,192220
128,192220
129,192220
130,195370
131,195370
132,195370
133,195370
134,195370
135,195370
136,195370
137,195370
138,195370
139,195370
140,195370
141,195370
142,195370
143,195370
144,195370
145,196805
146,196805
147,196805
148,196805
149,196805
150,197855
151,197855
152,197855
153,197855
154,197855
155,197855
156,201040
157,201040
158,201040
159,201040
160,201040
161,201040
162,201040
163,201040
164,201040
165,201040
166,201040
167,201040
168,203595
169,203595
170,203595
171,203595
172,203595
173,204645
174,205940
175,205940
176,205940
177,206955
178,206955
179,206955
180,206955
181,209090
182,209090
183,209090
184,209090
185,209090
186,209090
187,210105
188,210105
189,211400
190,211400
191,211400
192,211400
193,212450
194,212450
195,212450
196,212450
197,212450
198,212450
199,212450
200,212450
201,212450
202,212450
203,212450
204,212450
205,212450
206,212450
207,212450
208,212450
209,212450
210,212450
211,212450
212,213465
213,213465
214,213465
215,214235
216,214235
217,214235
218,214235
219,214235
220,214235
221,216090
222,216860
223,216930
224,216930
225,216930
226,216930
227,218225
228,218225
229,218225
