iteration,score,profit,units
0,34421100.0,185150.0,29775
1,34421100.0,185150.0,29775
2,34311760.0,185990.0,29713
3,33977860.0,183890.0,29521
4,33977860.0,183890.0,29521
5,33907825.0,183925.0,29481
6,33698980.0,182770.0,29361
7,33698980.0,182770.0,29361
8,33686940.0,184310.0,29355
9,33488105.0,183645.0,29241
10,33488035.0,183715.0,29241
11,33187420.0,183330.0,29069
12,33187420.0,183330.0,29069
13,33030200.0,183050.0,28979
14,33029885.0,183365.0,28979
15,33029885.0,183365.0,28979
16,33029885.0,183365.0,28979
17,33029885.0,183365.0,28979
18,32696545.0,180705.0,28787
19,32696545.0,180705.0,28787
20,32696545.0,180705.0,28787
21,32498025.0,179725.0,28673
22,32184810.0,177940.0,28493
23,32183795.0,178955.0,28493
24,32183795.0,178955.0,28493
25,32182955.0,179795.0,28493
26,32181800.0,180950.0,28493
27,31963225.0,179025.0,28367
28,31963225.0,179025.0,28367
29,31962210.0,180040.0,28367
30,31730335.0,179165.0,28234
31,31703980.0,181020.0,28220
32,31661560.0,181440.0,28196
33,31556735.0,181265.0,28136
34,31442040.0,182210.0,28071
35,30979410.0,179340.0,27805
36,30933700.0,179550.0,27779
37,30536065.0,178185.0,27551
38,30349725.0,179025.0,27445
39,30324595.0,179655.0,27431
40,30093245.0,178255.0,27298
41,29886465.0,176785.0,27179
42,29885695.0,177555.0,27179
43,29883875.0,179375.0,27179
44,29716855.0,178395.0,27083
45,29716855.0,178395.0,27083
46,29569995.0,178255.0,26999
47,29569995.0,178255.0,26999
48,29156645.0,175105.0,26761
49,29156505.0,175245.0,26761
50,29156505.0,175245.0,26761
51,28949410.0,174090.0,26642
52,28949410.0,174090.0,26642
53,28949410.0,174090.0,26642
54,28666750.0,173250.0,26480
55,28645820.0,173180.0,26468
56,28645820.0,173180.0,26468
57,28438655.0,172095.0,26349
58,28438655.0,172095.0,26349
59,28438480.0,172270.0,26349
60,28239680.0,171570.0,26235
61,28239680.0,171570.0,26235
62,27947780.0,169470.0,26067
63,27947780.0,169470.0,26067
64,27716360.0,168140.0,25934
65,27679050.0,168700.0,25913
