Feature,Importance
TouristEvent,0.5367431608865049
customers_lag_7,0.0931968015558819
Pct_On_Sale,0.06125147404990943
days_to_next_holiday,0.047394480962892276
sales_lag_7,0.043861906972143094
day_of_week,0.040440214715043374
sales_roll_mean_7,0.031867195297209897
month,0.02863737806651053
customers_lag_14,0.02229409918160982
IsWeekend,0.016271437767868255
customers_lag_28,0.015790937604679908
sales_lag_14,0.013950232889471021
sales_lag_21,0.013298950531108213
customers_lag_21,0.012129365338350531
sales_roll_std_7,0.010184502425306545
sales_lag_28,0.009803670592768725
season_num,0.0015403716532575295
is_holiday,0.00134381950948399
