Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,32518.0,34729.0,43470.55979620799,54817.73,28932.732627281526,28538.45087186688,31920.276302792234,34643.0956569557
2014-01-29,29639.0,34272.0,42182.18285856063,57596.71,26239.507203568155,27949.35875089277,31471.71577017801,33867.752459877134
2014-01-30,28327.0,31752.0,39829.77748848297,56880.67,32185.00777283478,28851.656186158994,36576.858348366644,35086.09734100287
2014-01-31,30686.0,36008.0,39427.91880031693,58156.94,37046.69390785457,30587.35633171409,39395.72897602792,36470.33470268632
2014-02-01,35363.0,44687.0,53203.86520183876,58561.53,45959.2168206543,44001.726910720536,51315.11367787822,49506.90193014583
2014-02-02,27745.0,35334.0,48207.638194297775,65076.57,37790.3652376025,35426.846010821115,43555.64417647264,42396.70946053051
2014-02-03,28000.0,33081.0,39418.684876734216,56909.03,34495.89746052594,28672.11328015697,38055.0146269324,35381.93759460786
2014-02-04,27104.28,32518.0,41655.24495907795,55957.72,28409.455228243824,24670.936059625816,34334.5802419982,33553.587086900654
2014-02-05,28546.0,29639.0,38307.52246881191,58919.69,25716.229804530452,24327.69045361211,31718.47496059685,31451.22929434029
2014-02-06,31681.0,28327.0,40052.99807400371,57621.66,31661.730373797076,27727.170135711825,33721.61491530031,33833.92770833862
2014-02-07,30934.0,30686.0,41404.849541502765,57683.39,36523.41650881687,31461.439191196107,36825.17627572497,36563.821669474615
2014-02-08,38859.0,35363.0,47314.438355812665,61580.36,45435.9394216166,42502.72827983649,44264.30649097245,44693.824375540535
2014-02-09,42119.0,27745.0,43185.76379044839,61162.4,37267.087838564796,34730.51903579777,36725.338147951275,38213.87365806581
2014-02-10,28109.0,28000.0,36856.962358522054,57325.91,33972.62006148824,29351.79336409187,33259.776300735895,33156.17734111661
2014-02-11,34032.0,27104.28,37893.27561592736,56850.43,27886.177829206114,25485.22378831473,30884.98422773053,31421.161210657545
2014-02-12,32637.0,28546.0,34212.80769856651,60239.44,25192.95240549275,24690.612292813996,28623.328249814684,29175.582747065066
2014-02-13,28738.0,31681.0,39045.52590008716,59919.69,31138.452974759373,29187.243717491867,33550.88834814305,33927.88598857403
2014-02-14,35529.0,30934.0,41022.03281258008,56967.34,36000.13910977916,34274.51920149814,36806.52026187279,37367.69075865034
2014-02-15,72639.0,38859.0,56882.994823276,54523.07,44912.662022578894,49788.51374860618,49630.14212748213,52100.55023312144
2014-02-16,66425.0,42119.0,51464.45061680203,57424.17,36743.81043952709,39430.96248825438,42379.06028998364,44424.82446501335
2014-02-17,61519.0,28109.0,39495.1208272645,55696.48,33449.34266245053,34351.52087092165,34818.889428331924,36221.84370883936
2014-02-18,32546.0,34032.0,34661.00479176616,59783.26,27362.90043016841,26309.602509133234,29651.147378339607,30207.251559746335
2014-02-19,35221.0,32637.0,34215.08502060883,60069.09,24669.675006455047,27579.348199489847,28757.32925184338,30183.920823980687
2014-02-20,27104.28,28738.0,32276.7946628094,59160.9,30615.17557572167,30068.482806160515,29517.810420171932,30621.029296380613
2014-02-21,33092.0,35529.0,35983.03910699586,61226.84,35476.861710741454,34208.42093594654,34229.917731481146,34807.12592480785
2014-02-22,31934.0,72639.0,53939.58929551751,58996.57,44389.38462354119,44491.688671519674,50417.69796220971,49616.325309748965
2014-02-23,28618.0,66425.0,48859.51446484099,58947.58,36220.53304048939,35796.750132621084,42567.07422645598,42407.77960797268
2014-02-24,27414.0,61519.0,42214.66166841059,52268.04,32926.06526341283,30965.05859031849,38437.21113605439,37205.64379826115
2014-02-25,27637.0,32546.0,33422.38412989052,59298.68,26839.623031130708,27540.710866064608,28562.972445321982,29842.0224804257
2014-02-26,35402.0,35221.0,33336.22255416555,58276.59,24146.39760741734,27596.724272448533,28181.98591356579,29704.97758005996
2014-02-27,27506.0,27104.28,30559.390699848384,59160.9,30091.898176683964,29948.57038721374,28221.23962102439,29576.40023602884
2014-02-28,40853.0,33092.0,33345.02393083719,59619.13,34953.58431170375,33215.3775466177,32408.85353297477,32989.75167014322
2014-03-01,42069.0,31934.0,39281.94831721516,67352.44,43866.10722450349,47899.92178946934,39844.639119110885,42342.1697419318
2014-03-02,33756.0,28618.0,35695.61046704411,65355.58,35697.25564145168,38780.44838451696,32980.1445016257,35818.73445106226
2014-03-03,29661.0,27414.0,31063.23852012682,61340.67,32402.787864375125,33649.751683490256,30154.964834759994,31622.651679459024
2014-03-04,30804.0,27637.0,30947.832830695843,61101.72,26316.345632093005,28036.384492938214,26967.316713511806,28650.511345715287
2014-03-05,32668.0,35402.0,33940.77305947729,61369.01,23623.120208379638,28140.538864107264,28541.94692056099,30207.752948048514
2014-03-06,40452.0,27506.0,32821.24608909966,61911.65,29568.620777646258,30911.9168058227,29425.96802598865,31053.04364030367
2014-03-07,30147.0,40853.0,36712.915930909,54461.06,34430.30691266605,32969.87586334606,34757.6775803644,34813.489791539825
2014-03-08,43578.0,42069.0,43585.93600708884,52927.13,43342.82982546578,44415.36135148279,42501.3109972533,43500.86945194164
2014-03-09,32921.0,33756.0,42385.49500012615,65783.08,35173.97824241398,37377.222829935796,36438.48532499281,38733.73438501826
2014-03-10,42364.0,29661.0,31779.18556701936,61340.67,31879.510465337422,29963.055627485912,30375.3402159967,30705.86047016732
2014-03-11,32625.0,30804.0,34380.18362514116,62523.37,25793.068233055303,25573.88396794646,28631.638680861794,29528.56875798314
2014-03-12,32704.0,32668.0,34580.55734050046,62702.31,23099.842809341935,25710.944131628756,28329.11496439478,29540.205478841333
2014-03-13,31822.0,40452.0,35668.70619022099,56629.49,29045.343378608555,26642.322910066738,31578.55652968867,31296.528543325465
2014-03-14,41783.0,30147.0,35131.26552350895,63141.74,33907.02951362834,31682.96130723768,32791.121078070275,33201.782636272306
2014-03-15,42210.0,43578.0,56124.54458481401,59808.98,42819.552426428076,47863.156257961724,48620.13761206859,50869.27948494811
2014-03-16,43200.0,32921.0,50828.82734137898,64383.98,34650.700843376275,39771.834018137255,40308.20887452022,43636.290078012156
