Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,32518.0,34729.0,36941.9414739254,37893.97,28932.770167783183,26062.90322451655,32586.305276106075,35807.405583343825
2014-01-29,29639.0,34272.0,36523.32195742125,37107.31,26239.58905093087,26588.304765029956,33851.61925352103,35827.41707031409
2014-01-30,28327.0,31752.0,34778.339745813406,37264.13,32184.89409003693,26081.6948578092,34078.90531746552,35373.791687759636
2014-01-31,30686.0,36008.0,34415.457541607975,40387.38,37046.4884367015,23146.68047927549,31965.21621190856,35589.35125117217
2014-02-01,35363.0,44687.0,40127.11142105989,42890.58,45958.989670191666,29390.216871582772,38636.52341947975,40551.404946846545
2014-02-02,27745.0,35334.0,33662.700513927266,38783.16,37790.0985532555,21188.555112578902,31392.102033406853,34612.654182444705
2014-02-03,28000.0,33081.0,33697.08081856085,41292.93,34495.556993519174,19790.307035584814,30363.019782626394,35117.67686706241
2014-02-04,27104.28,32518.0,32266.758471230984,38225.9828,28409.113223944656,20179.90252415178,31052.59471045273,33848.445327227906
2014-02-05,28546.0,29639.0,31058.651268174803,39538.0128,25715.93210709235,18879.72383666145,29708.353906040567,33435.00599140512
2014-02-06,31681.0,28327.0,31000.20066745871,38197.2428,31661.237146198404,21988.118301904033,32579.666630701504,33925.70336605341
2014-02-07,30934.0,30686.0,34500.32345540747,41656.07,36522.83149286298,24731.94336142109,35185.00507058523,37113.79950866423
2014-02-08,38859.0,35363.0,41384.597477039555,50029.32,45435.33272635315,31674.177290450403,41790.618394910576,44401.51195731671
2014-02-09,42119.0,27745.0,37191.77352194436,43135.62,37266.44160941698,24090.123733445278,34524.92794611711,38284.107156020495
2014-02-10,28109.0,28000.0,36257.120120344625,45575.0,33971.900049680655,21076.766001553195,31038.50985943932,37623.54332659465
2014-02-11,34032.0,27104.28,35697.26206038682,38896.68,27885.456280106137,24003.162485384804,33667.16334732845,36087.03513590509
2014-02-12,32637.0,28546.0,36974.62727267365,40550.05,25192.27516325383,25088.557211657768,34055.845533537475,37193.50760207038
2014-02-13,28738.0,31681.0,38865.59054551351,41641.95,31137.580202359884,28084.908719922896,36494.33501945162,39000.625188321705
2014-02-14,35529.0,30934.0,40989.097063543566,46278.52,35999.17454902446,31043.485213814056,38640.55080786394,41969.38929046917
2014-02-15,72639.0,38859.0,75090.65015851663,82405.5,44911.67578251462,72885.47766952377,78916.69339754267,78804.2811853531
2014-02-16,66425.0,42119.0,76047.97567032717,81311.36,36742.78466557846,66389.2459201471,72526.47485191806,76628.60350741509
2014-02-17,61519.0,28109.0,54051.866383185254,75061.4,33448.243105842135,48458.3265997283,55638.21934117991,61583.828574788386
2014-02-18,32546.0,34032.0,42258.46994605663,46978.8328,27361.799336267617,20232.493312197254,28136.031562012584,39124.44476935641
2014-02-19,35221.0,32637.0,38865.15829342121,41175.2,24668.61821941531,20427.215482259096,27657.978701659908,35899.44566502704
2014-02-20,27104.28,28738.0,37668.896464500656,41649.2628,30613.923258521365,22935.103931318336,29126.87941948093,36148.34622799386
2014-02-21,33092.0,35529.0,37759.112937029524,41975.62,35475.51760518594,23947.615213014895,29498.964175783432,36411.23237093765
2014-02-22,31934.0,72639.0,44520.80500119716,49112.84,44388.0188386761,30162.316464152063,35360.73976169174,42998.128254296294
2014-02-23,28618.0,66425.0,36566.88044834762,44547.15,36219.12772173994,23555.46660380126,28388.99452277037,36501.008323705995
2014-02-24,27414.0,61519.0,33308.7697016518,40666.612799999995,32924.58616200361,23971.83336822677,27586.078640076463,33853.820380576086
2014-02-25,27637.0,32546.0,30007.36087971632,40408.7328,26838.142392429098,24982.37917051921,27458.99854746872,32625.030742395014
2014-02-26,35402.0,35221.0,29471.208400735668,40615.7728,24144.96127557679,25179.659411332876,27108.40937311127,32398.463524615643
2014-02-27,27506.0,27104.28,29324.029563778233,42699.822799999994,30090.266314682845,25837.96187190572,27154.19056208827,33059.3476419555
2014-02-28,40853.0,33092.0,29143.187616856027,42628.9,34951.86066134742,26118.555010475604,27183.772579656477,32985.28673217084
2014-03-01,42069.0,31934.0,35895.873773740546,46562.1,43864.36189483758,31960.918302303162,32453.483685966603,38303.81915323572
2014-03-02,33756.0,28618.0,33697.27276772913,48357.67,35695.47077790142,26126.32367663786,27355.543475054852,36470.16208092799
2014-03-03,29661.0,27414.0,32741.16279099672,42061.44279999999,32400.929218165085,26075.335073121143,27033.030695171394,33945.21209538937
2014-03-04,30804.0,27637.0,31510.614896463638,42325.432799999995,26314.485448590574,25020.332251387947,26144.040352430675,33326.696016298105
2014-03-05,32668.0,35402.0,31921.491040551453,42244.37279999999,23621.304331738265,25537.692361448466,26566.847734129224,33577.570524893556
2014-03-06,40452.0,27506.0,31727.1931812759,42235.2,29566.609370844326,27342.89609988135,28021.971317399013,33994.78816622497
2014-03-07,30147.0,40853.0,35059.654486144296,43991.88,34428.2037175089,31042.310103024873,31661.8368020689,36904.45709607107
2014-03-08,43578.0,42069.0,37720.898206156206,45885.01,43340.70495099906,34297.767330389834,34676.3490984944,39427.41910155021
2014-03-09,32921.0,33756.0,35501.78168697728,46747.94,35171.8138340629,29289.37973785716,30147.13819861973,37465.619961865676
2014-03-10,42364.0,29661.0,33702.50199001568,41538.67,31877.272274326566,27200.210946657662,27915.35391091267,34385.508633642785
2014-03-11,32625.0,30804.0,34633.65797225799,44931.05279999999,25790.828504752055,26101.964264316215,27069.18916913392,35544.6333137973
2014-03-12,32704.0,32668.0,33509.54526327562,42454.9,23097.647387899746,25960.849286339926,26857.415306424777,34273.95352323347
2014-03-13,31822.0,40452.0,33863.372110261414,40449.52,29042.952427005803,29903.422364829148,30604.993995992376,34972.62870208459
2014-03-14,41783.0,30147.0,36483.53578053948,45659.21,33904.54677367037,31873.104690073364,32260.748152315035,38134.497977618164
2014-03-15,42210.0,43578.0,43754.48911594955,54302.38,42817.04800716054,38504.2472054241,38724.47637786187,45593.78183127047
2014-03-16,43200.0,32921.0,38795.0093687654,46665.23,34648.156890224374,31121.056408570068,31861.80387563062,39107.34774813201
2014-03-17,38388.0,42364.0,38493.11759998329,45107.9,31353.615330488046,29260.584682392502,29971.96627493739,37857.66129164022
2014-03-18,32568.0,32625.0,36058.55665562275,42378.61,25267.171560913535,28927.34828940388,29492.907408599058,35976.6913547406
2014-03-19,35232.0,32704.0,35966.990797712104,42572.03,22573.990444061226,28087.72404755326,28602.329665231846,35713.78348764798
2014-03-20,32948.0,31822.0,35662.63118818679,41600.84,28519.295483167283,30700.03967837135,30893.275282128736,36052.24882343851
2014-03-21,30500.0,41783.0,37694.88312660655,45599.54,33380.88982983185,32156.88680308166,32395.727327448774,38563.38348468512
2014-03-22,43841.0,42210.0,41622.29286925494,51623.37,42293.39106332202,37523.27916115237,37349.64368094109,43531.76885006534
2014-03-23,30775.0,43200.0,39133.21866250115,46746.46,34124.499946385855,32377.6172045013,32839.86661315424,39573.1817585518
2014-03-24,35433.0,38388.0,34654.16979532876,40782.68,30829.958386649523,28984.882025863455,29197.105956475127,34877.98525060129
2014-03-25,33959.0,32568.0,36051.56822463307,40800.5,24743.514617075012,31169.39827493476,31479.111815992328,36110.39334687513
2014-03-26,30864.0,35232.0,35409.674847035356,44181.7,22050.333500222707,29601.323588370877,30027.476683510104,36539.617176848486
2014-03-27,27104.28,32948.0,35281.71625782683,45412.43,27995.63853932876,32588.017578846942,32967.4211572153,37887.18913834738
2014-03-28,48764.0,30500.0,36485.08439418638,45506.75,32857.23288599333,35334.72435720972,35671.70410961176,39221.179501266044
2014-03-29,46627.0,43841.0,45322.21925801271,52053.38,41769.7341194835,40107.83897844715,40728.650634387646,46034.74996413345
2014-03-30,37544.0,30775.0,39683.68358644809,47454.68,33600.843002547335,33101.80366333739,34580.553576266044,40572.972387571375
2014-03-31,36594.0,35433.0,38653.356995328504,47146.5,30306.301442811004,28749.59217929865,30848.16945755011,38882.67548429287
2014-04-01,29111.0,33959.0,36660.822335044046,41058.81,24219.857673236493,28554.819318423866,31096.74933396488,36272.12722300298
2014-04-02,31723.0,30864.0,35425.27996313093,41748.19,21526.676556384184,26536.699356086305,29479.988707881937,35551.152890337624
2014-04-03,35000.0,27104.28,35074.60385378201,40042.84,27471.98159549024,28883.718867529424,32006.707877045294,35708.050576942434
2014-04-04,38267.0,48764.0,37926.188433808624,44193.14,32333.575942154814,29866.326869610137,33784.83683539735,38634.72175640199
2014-04-05,39104.0,46627.0,43389.094685751625,52736.07,41246.077175644976,35281.23434807996,39329.80992059011,45151.65820211391
2014-04-06,32669.0,37544.0,39141.25200455061,46134.6,33077.186058708816,28307.92147604582,33503.12831783166,39592.99344079409
2014-04-07,31464.0,36594.0,35487.51771910637,39881.47,29782.64449897248,25037.58255570371,30501.1634669079,35290.05039533809
2014-04-08,35668.0,29111.0,34818.48021893023,40140.54,23696.200729397973,24264.95990408573,30337.129843432333,35098.71668745419
2014-04-09,44241.0,31723.0,35447.75505830113,40283.92,21003.019612545664,23905.92642509839,30417.088369918267,35382.921142739804
2014-04-10,31363.0,35000.0,37289.09914024599,41916.11,26948.32465165172,26087.691791233057,33040.967704396906,37415.39228154763
2014-04-11,37368.0,38267.0,37704.6836137002,44074.88,31809.918998316294,25852.725978655682,33361.58058461537,38380.38139943852
2014-04-12,35179.0,39104.0,43674.54912332161,50087.09,40722.420231806456,31003.200417712167,38620.9215796853,44127.52023433564
2014-04-13,40109.0,32669.0,38010.7251564945,42428.98,32553.529114870293,24502.3757578462,33019.612248722966,37819.77246840583
2014-04-14,35733.0,31464.0,38500.17189727396,43079.07,29258.98755513396,22281.483863435067,31002.256464508067,37527.16612059401
2014-04-15,36752.0,35668.0,39233.47028630388,43506.02,23172.54378555945,23001.28368967224,32333.200408126846,38357.56356481024
2014-04-16,30683.0,44241.0,38700.38912172247,44766.92,20479.36266870714,23125.600508520056,32532.20749477726,38666.50553883324
2014-04-17,41618.0,31363.0,37785.30224925581,41095.9,26424.6677078132,25082.035112217614,34224.59230978535,37701.93151968039
2014-04-18,58069.0,37368.0,45462.297183560186,51272.89,31286.26205447777,32204.88360025496,41358.98144451287,46031.389542691024
2014-04-19,47013.0,35179.0,51692.062006037195,51118.25,40198.76328796794,36899.16688991798,45685.360971613874,49498.55765921702
2014-04-20,30812.0,40109.0,45127.05857076005,44836.86,32029.872171031773,28696.217374075342,38392.28083323365,42785.39980133123
2014-04-21,41069.0,35733.0,40244.190418002705,40546.5,28735.33061129544,25999.125664829255,35255.027925851784,38681.90611461816
2014-04-22,32370.0,36752.0,40962.795006110726,42454.53,22648.88684172093,22920.899544502463,32360.368221770397,38592.56440929371
2014-04-23,33575.0,30683.0,38265.931908042854,38966.37,19955.70572486862,22002.432401992606,30949.144542899056,36060.48215031397
2014-04-24,30431.0,41618.0,40781.724865085605,41127.37,25901.01076397468,26893.95160968846,35633.809050597956,39180.96797189452
2014-04-25,41945.0,58069.0,40027.64458891539,41431.91,30762.60511063925,26296.59085643935,34786.39012703449,38748.64823864996
2014-04-26,44658.0,47013.0,45731.30499374672,52284.96,39675.10634412941,32990.14190451773,40451.95539215671,46156.07346196781
2014-04-27,41867.0,30812.0,39336.51025108602,41889.76,31506.21522719325,25283.238362357206,32829.51551855445,38018.595256546825
2014-04-28,33916.0,41069.0,39222.434780838885,42947.6,28211.673667456922,24040.58884276649,31424.05470307763,37864.69649463884
2014-04-29,34440.0,32370.0,35543.2879840887,38464.9528,22125.229897882407,22748.412736464667,29816.4888897329,34608.2432246072
2014-04-30,34789.0,33575.0,36877.84159574924,39964.49,19432.048781030102,23521.78616944547,30317.352051794907,35719.89454918139
2014-05-01,35608.0,30431.0,36543.76078351875,38223.82,25377.35382013616,26250.342809246366,32581.55201398419,35783.044265834316
2014-05-02,37658.0,41945.0,39442.21551282162,41634.98,30238.948166800732,28216.642804978714,34512.93791978681,38530.04447753615
2014-05-03,32217.0,44658.0,43449.04095190458,47408.22,39151.44940029089,32954.65153763529,38785.671465401916,43214.31080576883
2014-05-04,31154.0,41867.0,37386.38381733929,39502.99,30982.55828335473,27183.78269300144,33495.15084172966,36794.841553022976
2014-05-05,31095.0,33916.0,35128.85931876576,38198.6728,27688.0167236184,25165.098896444968,31038.761342884645,34788.7644872168
2014-05-06,35453.0,34440.0,34272.40728411594,37746.5228,21601.572954043888,25205.684007604472,31249.3527652536,34422.760949789845
2014-05-07,28961.0,34789.0,34821.04929604589,38640.14,18908.391837191582,25041.505402376286,31048.839417899453,34836.67623798178
2014-05-08,36191.0,35608.0,34139.32472193175,40364.44,24853.696876297636,26220.04567554051,32331.42854276191,35611.73108823122
2014-05-09,39915.0,37658.0,37630.80290513055,43063.93,29715.291222962212,30859.368524172583,36888.50417133559,39194.41235882205
2014-05-10,33740.0,32217.0,42596.693999439165,48787.52,38627.79245645237,34942.88864242084,40887.132446665004,44090.44881536806
2014-05-11,36898.0,31154.0,38519.46360736356,41013.48,30458.90133951621,28359.88757325221,35479.0702916306,38337.33796633139
2014-05-12,31505.0,31095.0,36933.0092970172,39908.18,27164.35977977988,25449.61281465777,32694.657919552454,36511.949072189884
2014-05-13,31564.0,35453.0,35762.66457735863,39555.28,21077.91601020537,23548.64802672596,31527.387377532385,35615.11065163033
2014-05-14,35303.0,28961.0,35324.86953068393,37144.76,18384.73489335306,24614.506458129865,32583.837955790208,35017.82249549138
2014-05-15,28183.0,36191.0,37658.75415299664,42045.36,24330.039932459116,26981.134802025645,35432.307357126316,38378.807170040986
2014-05-16,38993.0,39915.0,37086.64162280154,41615.51,29191.63427912369,27148.686199400916,35844.11621218907,38182.089278330204
2014-05-17,33476.0,33740.0,42013.55307163622,47212.76,38104.13551261385,31075.057772884516,39645.943029953865,42957.41870053003
2014-05-18,37105.0,36898.0,37751.28182967061,40479.06,29935.24439567769,24702.899938574876,34502.51799896444,37577.61994287835
2014-05-19,35208.0,31505.0,37996.21909770537,40827.7,26640.702835941356,24034.662633269552,33856.17035793023,37560.0298185452
2014-05-20,34508.0,31564.0,37146.55581149317,40692.34,20554.25906636685,22112.954357821436,32529.883932017052,36789.59324783674
2014-05-21,34898.0,35303.0,37799.20580054358,42171.83,17861.077949514536,22808.388242652887,33419.53730972842,37796.857703424
2014-05-22,39580.0,28183.0,37297.68398327056,42398.93,23806.382988620597,24388.578291173137,34928.23231920283,38208.282100824465
2014-05-23,34627.0,38993.0,40774.27315771741,44112.14,28667.97733528517,25623.745135334153,36494.312693430205,40460.241950382544
2014-05-24,65615.0,33476.0,81323.02413995416,84693.82,37580.47856877533,72187.70595347689,82545.47417409255,82854.10610468224
2014-05-25,80678.0,37105.0,76845.26840695032,81279.76,29411.58745183917,61468.8254771242,72592.19506564704,76905.74115753245
2014-05-26,71236.0,35208.0,67464.3501154817,81210.98,26117.045892102837,52115.84989332883,65489.644622386695,71388.3249126228
2014-05-27,27104.28,34508.0,48142.42565916236,45716.28,20030.602122528326,19573.312984007665,32749.6262981733,42202.77731911189
2014-05-28,32741.0,34898.0,42410.29553478644,39307.62,17337.421005676017,18095.227720922725,31388.180527252116,37702.03202067952
2014-05-29,28366.0,39580.0,41454.60282977486,38086.49,23282.726044782077,19548.64359027525,32513.955198588745,37351.68267612121
2014-05-30,36205.0,34627.0,41181.38576318782,41403.84,28144.320391446647,21104.65357071667,33584.74469012048,38723.3234844361
2014-05-31,33030.0,65615.0,47137.54125526169,47692.27,37056.82162493681,24810.129124444455,37384.64198520327,44071.484413488324
2014-06-01,35912.0,80678.0,41360.345571112026,42168.84,28887.930508000645,21080.346848923466,34048.18935858076,39192.45830989759
2014-06-02,31303.0,71236.0,38392.445846760806,40278.9228,25593.388948264317,19969.10130979691,31977.88907636294,36883.085907707915
2014-06-03,31352.0,27104.28,34959.12095573236,38911.11,19506.945178689806,20744.92154960372,31721.858506520453,35197.36315408427
2014-06-04,31166.0,32741.0,34737.576759575364,37755.2,16813.764061837497,21201.51427483501,31971.50912034249,34821.42862663928
2014-06-05,29406.0,28366.0,33712.40077072461,37455.84,22759.069100943554,22341.453295382533,32775.29354258584,34647.84477110348
2014-06-06,31805.0,36205.0,34045.03959851186,39005.18,27620.663447608127,23248.824302420486,33545.18297482388,35531.80085777858
2014-06-07,34901.0,33030.0,37599.890028230795,40326.99,36533.16468109829,27343.79915989752,37173.10025446498,38366.66009423192
2014-06-08,28767.0,35912.0,35425.757950344494,41065.67,28364.273564162126,21661.651784198526,32411.227718256567,36300.88522286702
2014-06-09,27104.28,31303.0,33999.04033042784,36440.41,25069.732004425798,22052.053251878497,32496.430694202805,34311.96034154355
2014-06-10,27104.28,31352.0,33343.73060511073,36209.8,18983.288234851283,21784.41372658783,32523.890497712946,34025.807034274556
2014-06-11,38848.0,31166.0,32997.94215571391,37375.46,16290.107117998978,21127.779007939367,31891.8594990066,34088.4205515735
2014-06-12,35089.0,29406.0,34069.760101386295,40176.13,22235.412157105035,22736.81403361359,33513.80696757553,35919.89902298728
2014-06-13,39513.0,31805.0,35961.21053743195,42085.15,27097.006503769608,24468.80669879278,35511.343068404356,37852.5678686121
2014-06-14,36099.0,34901.0,40117.49321254059,44007.4,36009.50773725977,27195.339044947857,38377.513555318044,40834.13558928621
