ds,trend,weekly,yearly
2014-01-28,46030.47884538377,-309.62928914577515,-9744.298758505534
2014-01-29,45945.616725963984,-658.5272780156965,-10711.739613167101
2014-01-30,45860.75460654419,1172.9466801957642,-11581.972130664839
2014-01-31,45775.89248712441,618.1137343418008,-12343.10806835477
2014-02-01,45691.030367704625,1082.106553057412,-12985.227075381214
2014-02-02,45606.16824828485,-1895.1439048467766,-13500.600243289287
2014-02-03,45521.306128865064,-9.86649558036018,-13883.856537388396
2014-02-04,45436.44400944527,-309.62928914446627,-14132.088291003076
2014-02-05,45351.58189002549,-658.5272780110411,-14244.893638106478
2014-02-06,45266.71977060571,1172.946680190047,-14224.355497643963
2014-02-07,45181.85765118593,618.1137343385523,-14074.95845597697
2014-02-08,45096.99553176613,1082.1065530559354,-13803.446573948297
2014-02-09,45012.13341234635,-1895.143904843053,-13418.626725196673
2014-02-10,44927.27129292657,-9.866495580922022,-12931.123509078958
2014-02-11,44842.40917350679,-309.6292891491918,-12353.093035415985
2014-02-12,44757.54705408701,-658.5272780123444,-11697.903915567022
2014-02-13,44672.68493466721,1172.9466801873261,-10979.794587586188
2014-02-14,44587.82281524743,618.1137343407489,-10213.516631853208
2014-02-15,44502.96069582765,1082.1065530544588,-9413.973985300183
2014-02-16,44418.09857640787,-1895.1439048451807,-8595.867932077117
2014-02-17,44333.23645698809,-9.866495577928136,-7773.357439817189
2014-02-18,44248.37433756829,-309.62928914788273,-6959.743834877142
2014-02-19,44163.51221814851,-658.5272780136478,-6167.187985726017
2014-02-20,44078.65009872873,1172.9466801944684,-5406.467117159824
2014-02-21,43993.78797930895,618.1137343378741,-4686.777140888676
2014-02-22,43908.92585988916,1082.1065530571834,-4015.5849979555446
2014-02-23,43824.06374046937,-1895.1439048446462,-3398.5340064453803
2014-02-24,43739.20162104959,-9.866495573106079,-2839.403638494659
2014-02-25,43654.33950162981,-309.62928915308584,-2340.123559630413
2014-02-26,43569.47738221003,-658.5272780149512,-1900.8401970812577
2014-02-27,43484.61526279024,1172.9466801887513,-1520.032607091638
2014-02-28,43399.75314337046,618.1137343396969,-1194.6730271539714
2014-03-01,43314.89102395067,1082.106553055707,-920.4262666617042
2014-03-02,43230.02890453089,-1895.1439048441111,-691.8810433142236
2014-03-03,43145.16678511111,-9.866495586263214,-502.8055412820883
2014-03-04,43060.30466569132,-309.62928914478726,-346.4188732665772
2014-03-05,42975.44254627154,-658.5272780102956,-215.669787127958
2014-03-06,42890.58042685175,1172.946680190962,-103.5138766031704
2014-03-07,42805.71830743197,618.1137343389838,-3.1807348966346396
2014-03-08,42720.856188012185,1082.106553054593,91.57707822694702
2014-03-09,42635.9940685924,-1895.1439048435764,186.26071528080087
2014-03-10,42551.13194917262,-9.866495588653043,285.4339395478912
2014-03-11,42466.26982975283,-309.6292891499903,392.5697430151218
2014-03-12,42381.40771033306,-658.527278011599,509.93895513516685
2014-03-13,42296.545590913265,1172.946680190176,638.5437683883769
2014-03-14,42211.68347149348,618.1137343382709,778.0976852390703
2014-03-15,42126.8213520737,1082.1065530565925,927.0519366519324
2014-03-16,42041.95923265391,-1895.1439048457044,1082.6669784354335
2014-03-17,41957.09711323414,-9.866495583831108,1241.126281455779
2014-03-18,41872.234993814345,-309.6292891486814,1397.6883363287718
2014-03-19,41787.37287439456,-658.5272780065521,1546.8716308744822
2014-03-20,41702.51075497478,1172.94668018939,1682.6663633457406
2014-03-21,41617.64863555499,618.1137343379319,1798.7658551091529
2014-03-22,41532.78651613521,1082.1065530554786,1888.8100460536723
2014-03-23,41447.924396715425,-1895.1439048451693,1946.6331107867693
2014-03-24,41363.06227729565,-9.866495579008989,1966.5071328491726
2014-03-25,41278.20015787586,-309.6292891473724,1943.3739197585808
2014-03-26,41193.33803845607,-658.5272780145976,1873.057428099187
2014-03-27,41108.47591903629,1172.9466801916008,1752.449882684482
2014-03-28,41023.613799616505,618.1137343397543,1579.6654975812178
2014-03-29,40938.75168019673,1082.1065530540022,1354.1567140871575
2014-03-30,40853.88956077694,-1895.1439048441082,1076.7890306569227
2014-03-31,40769.02744135715,-9.866495581399064,749.8717770540829
2014-04-01,40684.16532193737,-309.6292891455858,377.1435409155909
2014-04-02,40599.303202517585,-658.5272780095506,-36.287651463464556
