Feature,Importance
TouristEvent,0.5073204522463712
customers_lag_7,0.15441715052823834
Pct_On_Sale,0.056183467004332584
sales_roll_mean_7,0.043865052713071194
sales_lag_7,0.030125012540610365
days_to_next_holiday,0.02945129074684177
customers_lag_14,0.02752007548706177
month,0.021875763214147383
sales_lag_14,0.021526105834627423
customers_lag_21,0.021370406703086733
sales_lag_21,0.019441561028955105
customers_lag_28,0.01757644681050178
day_of_week,0.012269173825027001
sales_roll_std_7,0.011883174087375869
IsWeekend,0.010815055315945883
sales_lag_28,0.01022653374635375
is_holiday,0.002489622353282309
season_num,0.001643655814169581
