Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,59124.0,72897.0,69085.49422190132,70504.77,57281.590719156375,64237.39531254136,56446.46392418094,59321.81665195956
2014-01-29,53535.0,68068.0,57842.5436830923,64851.1117,53579.90756324382,57555.86954072247,48204.26764389874,53113.34824928834
2014-01-30,43814.17,63701.0,65937.90409661041,66796.54,63346.48511278959,65505.46037029289,60948.7367524856,63266.89407852269
2014-01-31,55382.0,55694.0,62562.48860213536,58463.03,65000.939938747,68430.43101483285,61263.52605334895,64898.2990023096
2014-02-01,63565.0,68986.0,73749.31423825459,91127.66,79842.26255052967,81519.57533938033,75342.69800584443,78901.51196525148
2014-02-02,47161.0,68500.0,70445.36160489303,70135.23,67418.47367513007,68584.42592450808,65185.247428262046,67062.71567596673
2014-02-03,59616.0,56580.0,58610.47999299121,51760.1919,62747.762832640496,63134.26763779332,59155.033466127046,61679.02131218695
2014-02-04,47236.0,59124.0,62042.343563915856,61783.74,57333.004778505696,60647.72360877745,58910.624926999095,58963.78443809409
2014-02-05,49231.0,53535.0,56646.58435845484,50126.38719999999,53631.32162259314,58163.34937715196,53506.20753529054,55100.292845011885
2014-02-06,49080.0,43814.17,58344.067164866414,76804.2617,63397.8991721389,63518.07048243095,60234.104173369604,62383.357942646486
2014-02-07,63110.0,55382.0,63649.86417136724,57349.22,65052.35399809632,68824.00338313499,65385.59866075337,66420.65201399488
2014-02-08,68709.0,63565.0,71488.83809901038,84878.22,79893.67660987901,81706.7486914897,76353.24308932207,79317.88946356358
2014-02-09,72905.0,47161.0,68115.9659485705,74805.64,67469.88773447939,71913.60923944239,66256.08094078243,68546.52597156807
2014-02-10,51029.0,59616.0,60788.01326369589,59560.96,62799.17689198981,65352.17052103482,62179.58714101534,63443.64485134665
2014-02-11,50004.0,47236.0,62495.25168706408,65397.01,57384.41883785502,64745.07915542968,60916.295575636046,61015.264522973586
2014-02-12,51667.0,49231.0,56395.9469631236,50625.39269999999,53682.73568194246,60786.565448533685,54368.91775476119,56279.40629507912
2014-02-13,64247.0,49080.0,60182.86216783851,57468.91,63449.313231488224,66004.67507313659,62085.408193137286,63846.46549925404
2014-02-14,50115.0,63110.0,58647.653760039575,64093.59,65103.76805744563,66827.94434290378,61689.010288413585,64540.240896254334
2014-02-15,130963.0,68709.0,83838.50684969645,85293.81,79945.09066922832,91062.99297231101,86054.09037774273,85687.3913397607
2014-02-16,108253.0,72905.0,74674.1187682569,79735.91,67521.30179382871,74139.70533181576,70483.12051986494,70714.7092151698
2014-02-17,90446.0,51029.0,61885.09154470618,55632.6617,62850.59095133913,70220.41206666853,63634.38980170556,65568.46427323774
2014-02-18,51090.0,50004.0,57837.64405017681,54920.475099999996,57435.83289720433,63997.89187102522,57371.534492551626,59601.753086927056
2014-02-19,46273.0,51667.0,57144.96358602831,49983.0185,53734.149741291774,63331.381689086185,54973.865461987836,57346.465630788596
2014-02-20,54298.0,64247.0,59161.44487357383,62026.74,63500.727290837545,65035.07177532835,60729.51400444598,63088.43769020395
2014-02-21,53338.0,50115.0,53899.09933564479,52087.495299999995,65155.18211679495,68238.84468352913,58673.573521128565,64022.53344048422
2014-02-22,58040.0,130963.0,82688.47982052092,73789.1866,79996.50472857764,81210.71902869937,82477.71792839325,81228.31389522343
2014-02-23,43814.17,108253.0,77339.38346170344,69059.5766,67572.71585317802,71018.63728329647,71027.33800559174,69872.8970473554
2014-02-24,48786.0,90446.0,63040.76866587976,54564.576799999995,62902.00501068845,65052.516403414826,62822.20181689273,63592.241076998675
2014-02-25,51603.0,51090.0,54528.02665446814,47811.42249999999,57487.24695655365,62348.02158469882,54794.34079003324,58209.869777095235
2014-02-26,53945.0,46273.0,52101.455016620865,51737.849099999985,53785.563800641095,61283.07184657492,51337.18073183517,55468.60545968373
2014-02-27,47358.0,54298.0,51650.8486801084,53193.58,63552.14135018686,61779.843831494276,55383.52853218396,60238.504571288366
2014-02-28,60434.0,53338.0,54582.784098981414,50940.0917,65206.596176144274,67276.8262336164,59071.508804162564,63851.643737974424
2014-03-01,60828.0,58040.0,62394.39732316856,68050.75,80047.91878792696,86754.64887106357,73040.26795913017,79947.6118727069
2014-03-02,65313.0,43814.17,54934.9670780757,61604.0234,67624.12991252734,73308.69049998616,59583.173552186665,66838.66465490004
2014-03-03,61518.0,48786.0,52352.61251198879,55216.7334,62953.419070037766,70187.8897833846,59420.21577407133,64187.17487583123
2014-03-04,57205.0,51603.0,49977.94612956348,56870.5502,57538.66101590297,63507.28944346504,54270.23551562191,58438.72865832998
2014-03-05,62304.0,53945.0,51213.744223018395,57328.1,53836.97785999042,63118.88909228815,53324.80774619193,56760.22489949017
2014-03-06,52458.0,47358.0,49775.77547222097,56269.5185,63603.55540953618,65283.44866125012,57252.852485304,62046.6188520301
2014-03-07,59424.0,60434.0,56674.74218288878,69612.62,65258.01023549359,70565.0024545455,63384.68941917474,66402.56736973794
2014-03-08,77569.0,60828.0,64388.00789165064,68374.48,80099.33284727627,83951.8255141702,74458.45998738945,79503.20611627864
2014-03-09,63947.0,65313.0,66702.18422144109,68101.9,67675.54397187666,73223.11790323158,67723.98906931822,69540.88364814216
2014-03-10,61322.0,61518.0,53148.594057155344,61879.0634,63004.83312938709,64849.27886277303,59473.78941720862,62442.63380312291
2014-03-11,62399.0,57205.0,52023.64969160942,60711.68,57590.07507525229,60291.33733837525,55603.64225702276,57828.35155688343
2014-03-12,53776.0,62304.0,53827.41771738363,60273.8,53888.39191933973,59950.02462915519,54975.04199147865,56271.15284665785
2014-03-13,54897.0,52458.0,54913.75388316742,62107.81,63654.9694688855,64508.01564619756,60996.5778338985,63053.18764966051
2014-03-14,74186.0,59424.0,53069.457795473005,64674.31,65309.42429484291,65766.4668278421,60644.90323190352,63906.93145152952
2014-03-15,73714.0,77569.0,84482.78473449196,75789.91,80150.7469066256,91138.52628327477,89240.51345217603,86843.26221402547
2014-03-16,69636.0,63947.0,75533.32448468085,74149.81,67726.95803122598,77051.18871506905,74605.4973166704,73127.8813543218
2014-03-17,56931.0,61322.0,63311.1309343786,69324.16,63056.24718873641,69799.86327255351,67331.95601386542,66729.35549171845
2014-03-18,63467.0,62399.0,53536.936924537724,59843.92,57641.48913460161,59469.84767680716,56543.284103367296,57884.873638258694
2014-03-19,58730.0,53776.0,50407.53369157521,56802.14,53939.80597868905,59036.63042888853,52710.13615922583,55228.85752226781
2014-03-20,62568.0,54897.0,52915.485396704404,61717.58,63706.383528234815,63126.71918243265,59345.53189932492,62059.54486999746
2014-03-21,61478.0,74186.0,57405.75114366283,61888.67,65360.83835419223,66724.0093064685,63342.54089860967,65142.46285309014
2014-03-22,73802.0,73714.0,64681.27879460374,64266.79,80202.16096597491,80939.66435585555,74116.36189592852,78419.39573925298
2014-03-23,48120.0,69636.0,60193.052921952185,64796.86,67778.3720905753,68468.08256336875,62505.78980080995,66250.74815158466
2014-03-24,60331.0,56931.0,51479.62299575575,61409.8634,63107.66124808572,65637.9000874351,58387.35362814982,62377.63832122355
2014-03-25,60559.0,63467.0,53923.13297419476,61960.29,57692.90319395093,62349.89111161822,56794.4427558208,58945.74568712999
2014-03-26,51241.0,58730.0,53569.67128426411,64712.11,53991.22003803837,63309.014056386324,54933.83105073462,57411.35504838644
2014-03-27,57847.0,62568.0,52937.57592763813,61624.92,63757.79758758414,65248.067422143504,59023.95488975216,62676.606633159936
2014-03-28,86141.0,61478.0,56229.29243633428,66262.53,65412.252413541544,71861.33111864698,62994.88449862275,66756.15601027042
2014-03-29,92237.0,73802.0,65424.24608491866,65609.13,80253.57502532423,85117.30433951081,74686.33854248184,80019.07263577229
2014-03-30,67904.0,48120.0,60657.68590230978,55846.6317,67829.78614992462,76256.6111796438,63814.52700791448,69300.30811249431
2014-03-31,76969.0,60331.0,55583.69625965827,62555.6317,63159.07530743504,71211.63651975036,61407.17985632087,65259.29722783542
2014-04-01,59201.0,60559.0,57896.68701643526,61613.0,57744.31725330024,68185.0365166749,59973.90854546343,61967.754105146196
2014-04-02,71152.0,51241.0,57170.680620846855,58831.48,54042.63409738769,69416.29697495342,58027.78413191601,60495.57173475237
2014-04-03,61136.0,57847.0,56351.06953728414,59066.21,63809.21164693346,70361.88124945184,61850.87560091358,65340.6561657663
2014-04-04,64454.0,86141.0,65030.15291997329,64464.99,65463.666472890865,74688.52362731882,68685.71885760015,69612.63631926994
2014-04-05,77276.0,92237.0,77345.35028986508,73803.66,80304.98908467355,90419.80991074105,83062.144653245,84595.64788288654
2014-04-06,80238.0,67904.0,68209.04735651058,64167.28,67881.20020927393,77995.15998603817,68755.65876010458,71544.00631847222
2014-04-07,58696.0,76969.0,62691.85982983267,59773.59,63210.489366784364,72558.25025097169,66144.87756032903,67304.53905936169
2014-04-08,58717.0,59201.0,58919.819811842506,68805.47,57795.731312649565,68766.28016269532,60824.111622628116,62462.04103265767
2014-04-09,70014.0,71152.0,59684.79612415036,58890.64,54094.04815673701,66464.39716142106,59090.64493035778,59883.03008283861
2014-04-10,63448.0,61136.0,57762.92018556347,72522.77,63860.62570628277,68904.97372732709,62796.168883222505,65187.25610561079
2014-04-11,71758.0,64454.0,63709.38161180963,68012.78,65515.08053224019,75189.5613681982,68622.98309095617,69775.87499713153
2014-04-12,63921.0,77276.0,72798.16590513715,79626.59,80356.40314402287,87040.00175510257,80210.44830818116,82535.61773576887
2014-04-13,64134.0,80238.0,72608.11665191813,79266.06,67932.61426862325,74720.9509014861,71608.92665056788,71420.83060689241
2014-04-14,75844.0,58696.0,57220.247418606465,59773.47,63261.90342613368,67926.06060641035,62725.38101872394,64637.78168375599
2014-04-15,60292.0,58717.0,59081.62808332471,67667.57,57847.14537199888,63979.57604852246,60970.45678570452,60932.39273540862
2014-04-16,57778.0,70014.0,60697.9525876797,56771.27,54145.46221608633,61874.356870728574,59923.42987115143,58647.749652655446
2014-04-17,67241.0,63448.0,60298.118541255506,70981.85,63912.03976563209,64303.20625839026,64652.249258676,64289.16509423279
2014-04-18,92725.0,71758.0,62150.50439716161,64639.06,65566.49459158951,66926.21802797262,67096.48426536898,66529.73229497705
2014-04-19,94565.0,63921.0,69653.16289768706,75205.91,80407.8172033722,81279.69336693069,78370.87523232406,80019.46193420899
2014-04-20,51806.0,64134.0,63215.60343916954,66203.9,67984.02832797257,65548.1760039069,65065.23412968671,66199.1461538554
2014-04-21,71128.0,75844.0,62168.34112469646,60085.86,63313.317485483,61918.77382286664,65790.18495981256,63674.09208938739
2014-04-22,53850.0,60292.0,58702.0429552595,64793.59,57898.5594313482,57616.279069461256,60607.74035225652,58707.52628435532
2014-04-23,62214.0,57778.0,55855.92767418023,59032.79,54196.87627543564,55499.12480445375,56723.703782298435,55473.23495406261
2014-04-24,79061.0,67241.0,59975.073050731255,55816.67,63963.453824981414,58367.03421894137,64235.286019042614,62188.591354321805
2014-04-25,74224.0,92725.0,73511.59221672929,77493.78,65617.90865093883,65777.47724838246,74945.98795467743,68780.45795133291
