Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,59124.0,72897.0,61533.04447924293,59629.85,57282.040630411306,60504.33078043822,59056.71491886196,60555.741753227056
2014-01-29,53535.0,68068.0,61451.51058131286,60413.25,53580.3749642366,60088.37194763307,55522.4095831819,60651.04417631531
2014-01-30,43814.17,63701.0,58054.997068215715,57817.37,63347.058033002715,59868.874927768906,58561.23900682708,58580.41399866154
2014-01-31,55382.0,55694.0,54547.983477319765,56584.67,65001.565839720635,57888.25682825199,55279.039470225674,56340.30343519058
2014-02-01,63565.0,68986.0,65929.45132894602,64250.36,79842.9815407737,68719.95770284327,64887.31805272957,66299.92301059642
2014-02-02,47161.0,68500.0,55915.15986310078,60965.7,67419.2564177622,56215.62840078099,53409.214256652034,57698.82942129392
2014-02-03,59616.0,56580.0,53428.102993318826,54046.4719,62748.643128063195,54986.78508802597,52819.47074938074,54153.78666044826
2014-02-04,47236.0,59124.0,52876.51115829751,51918.1517,57333.94717170281,55472.61708965643,54047.524355260364,53422.42664931798
2014-02-05,49231.0,53535.0,50202.09647614266,51987.55,53632.2815055281,53392.38095339383,49383.032017535435,51860.6758098455
2014-02-06,49080.0,43814.17,50502.95860559735,50943.2368,63398.96457429422,56489.139193941206,54786.18900348071,52645.11153317952
2014-02-07,63110.0,55382.0,56476.61472414048,56593.1034,65053.472381012136,61913.0220635195,58858.79931171135,58327.58006255332
2014-02-08,68709.0,63565.0,69822.51983140182,73428.75,79894.8880820652,73881.04655170994,69355.30240886041,72377.43879437058
2014-02-09,72905.0,47161.0,60102.946841433135,63713.6617,67471.16295905369,61189.08613532164,57476.690947024705,61668.56489225159
2014-02-10,51029.0,59616.0,57049.73426156034,60066.2434,62800.549669354696,55575.79869501223,52119.09191774693,57563.92545219086
2014-02-11,50004.0,47236.0,58252.561677677455,57830.6368,57385.85371299431,61615.36262084562,59686.359411400656,59232.85369950769
2014-02-12,51667.0,49231.0,58838.57713039307,56819.9534,53684.18804681961,61426.439449524114,56232.04695629954,59028.32332663905
2014-02-13,64247.0,49080.0,61201.544799491545,60131.0,63450.87111558572,65411.387017729976,63060.36717091854,62247.97727240717
2014-02-14,50115.0,63110.0,68953.8987325386,70201.81,65105.37892230364,71168.10962263346,66757.14930501502,70107.93945172401
2014-02-15,130963.0,68709.0,126551.54790206342,144565.77060000005,79946.7946233567,137503.68394792257,130588.4331801801,136207.000816662
2014-02-16,108253.0,72905.0,124173.66320142115,125016.56620000002,67523.0695003452,122220.14863173023,113849.66144224539,123803.4593443838
2014-02-17,90446.0,51029.0,94436.85067996847,106300.0898,62852.456210646196,97080.66088876987,92240.69516149416,99272.53378957945
2014-02-18,51090.0,50004.0,61970.84330248108,60138.3534,57437.76025428581,51810.27963649796,37567.383715319906,57973.15877965968
2014-02-19,46273.0,51667.0,62081.73077081595,52550.775299999994,53736.09458811111,54287.52549330376,38577.08201258381,56306.6771880399
2014-02-20,54298.0,64247.0,60282.366832455424,54850.006799999996,63502.777656877224,56807.12212036559,43237.90778585366,57313.165250940336
2014-02-21,53338.0,50115.0,61283.12393601362,54613.9234,65157.28546359514,58608.22605747015,41818.181777560414,58168.424464494594
2014-02-22,58040.0,130963.0,75115.81774298809,73520.78,79998.7011646482,72627.43748160542,55805.586314454806,73754.67840819784
