Feature,Importance
TouristEvent,0.5299773499164226
sales_roll_mean_7,0.09454043986760233
customers_lag_7,0.06738550385682786
Pct_On_Sale,0.05523991344176333
day_of_week,0.054033769590013776
days_to_next_holiday,0.04284664881223853
sales_lag_7,0.029124851584146863
customers_lag_14,0.028667518196299945
month,0.01979747624555847
sales_lag_21,0.018315768634622927
IsWeekend,0.01254986466017208
customers_lag_28,0.012136730616177446
sales_roll_std_7,0.008777066227488146
customers_lag_21,0.008688277979166641
sales_lag_28,0.007685432748014684
sales_lag_14,0.007168627256372692
season_num,0.001983715789783821
is_holiday,0.0010810445773279497
