Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,17835.0,19149.0,19728.87213382811,19648.83,14732.054933271611,16588.972258627706,16685.6300286945,17016.63310857581
2014-01-29,14361.0,18162.0,18865.49341103156,19534.65,14965.242838701339,15757.060351690037,17594.48651305491,16529.265533807644
2014-01-30,13556.0,18322.0,19652.802814483948,20661.62,16839.103446695844,17380.24114988739,19996.930574075217,17957.38247035573
2014-01-31,13370.0,17856.0,20218.210454300966,20496.59,18183.57900871362,18830.554042647058,21478.043041835874,19077.447835220548
2014-02-01,18657.0,22286.0,24386.002261076017,20775.38,22512.74003670977,23005.73271308146,26167.00768412251,23301.49167028908
2014-02-02,13645.0,17725.0,22265.53956211732,19628.82,18597.188336260428,19382.15562033665,22352.203848653433,20081.627839571465
2014-02-03,14549.0,15893.0,19120.937007130182,19866.32,17499.73995735996,17868.71837425734,21065.347859431142,18163.131779582494
2014-02-04,13891.0,17835.0,19517.466660994614,18757.11,14815.900523310287,15678.507039246902,18984.19156408558,16670.624741183932
2014-02-05,13455.0,14361.0,19352.386453639272,20160.06,15049.088428740015,15975.68976576314,18928.709671458244,16792.388216047475
2014-02-06,13207.31,13556.0,18806.442996787446,21847.76,16922.94903673452,17314.17058822287,19832.702089342085,17681.187540581614
2014-02-07,15574.0,13370.0,19210.922453453248,22376.41,18267.424598752295,18876.27598780441,21018.47134878281,18784.874346669985
2014-02-08,18417.0,18657.0,21396.76348141432,21639.5627,22596.585626748445,22239.872992184013,24518.273011554273,22077.740700115595
2014-02-09,20097.0,13645.0,20664.11393274284,20436.37,18681.033926299104,19702.84958842435,21331.428037014084,19682.665815822096
2014-02-10,13207.31,14549.0,18778.408675359882,20071.72,17583.585547398638,18562.21184004806,20520.813248090995,18308.068687602194
2014-02-11,16631.0,13891.0,17693.16721705613,19949.15,14899.746113348967,16266.330916632996,18080.142079020752,16286.414749012698
2014-02-12,13647.0,13455.0,18280.207643223275,20023.66,15132.934018778691,16552.347830458173,18449.679537222597,16655.16316415338
2014-02-13,17997.0,13207.31,17907.88205423933,22484.44,17006.794626773197,18020.502966899247,19494.69270571259,17645.059882637255
