Feature,Importance
TouristEvent,0.5373780746187785
customers_lag_7,0.07362704189898446
Pct_On_Sale,0.06311719674437569
sales_roll_mean_7,0.05680863545774371
day_of_week,0.05480103393551646
days_to_next_holiday,0.04223887170889305
month,0.02440206448049968
sales_lag_14,0.02429149682253576
customers_lag_14,0.024023422201445335
sales_lag_21,0.01925727134081862
IsWeekend,0.018119853584122745
sales_lag_7,0.015278932461675372
sales_lag_28,0.014390189399914056
customers_lag_28,0.012785333511106948
sales_roll_std_7,0.008847639843033812
customers_lag_21,0.008017473989759652
is_holiday,0.0014984121369246062
season_num,0.0011170558638717051
