ds,trend,weekly,yearly
2014-01-28,35305.22736411204,-2312.92817528193,-1189.2568734444171
2014-01-29,35282.08655746325,-2103.383552010233,-1717.016109056225
2014-01-30,35258.945750814455,-1904.7562367777566,-2207.2787762800654
2014-01-31,35235.80494416566,-129.59345868811175,-2654.5979312461427
2014-02-01,35212.66413751686,5920.387927581793,-3054.0469361474757
2014-02-02,35189.523330868076,-1018.2672651730995,-3401.3604990994513
2014-02-03,35166.38252421928,1548.540760369475,-3693.061772232959
2014-02-04,35143.24171757049,-2312.928175279328,-3926.5718976993535
2014-02-05,35120.10091092169,-2103.383551994695,-4100.298829312424
2014-02-06,35096.9601042729,-1904.7562367937714,-4213.702784188039
2014-02-07,35073.819297624104,-129.59345870098625,-4267.336280066007
2014-02-08,35050.67849097531,5920.387927583007,-4262.857374168164
2014-02-09,35027.53768432652,-1018.2672651743762,-4203.015420816351
2014-02-10,35004.396877677726,1548.54076036714,-4091.6093889415824
2014-02-11,34981.256071028925,-2312.928175289159,-3933.419507537133
2014-02-12,34958.11526438014,-2103.3835519999043,-3734.1137175468834
2014-02-13,34934.97445773134,-1904.756236805018,-3500.131083465795
2014-02-14,34911.833651082554,-129.59345869652154,-3238.544938698894
2014-02-15,34888.69284443375,5920.38792758422,-2956.9090887924317
2014-02-16,34865.55203778496,-1018.2672651710361,-2663.090860868254
2014-02-17,34842.41123113617,1548.5407603743229,-2365.0951533799825
2014-02-18,34819.270424487375,-2312.9281752865563,-2070.883897577977
2014-02-19,34796.12961783858,-2103.383552005113,-1788.195483602161
2014-02-20,34772.98881118979,-1904.756236782658,-1524.3687260085007
2014-02-21,34749.848004540996,-129.59345871829876,-1286.175844727717
2014-02-22,34726.707197892196,5920.38792757954,-1079.6687206098816
2014-02-23,34703.56639124341,-1018.2672651731106,-910.0423551977477
2014-02-24,34680.42558459462,1548.5407603802637,-781.5190309149434
2014-02-25,34657.284777945824,-2312.9281752980687,-697.256141828202
2014-02-26,34634.143971297024,-2103.3835520103216,-659.2800604381365
2014-02-27,34611.00316464823,-1904.756236798673,-668.4477385208219
2014-02-28,34587.86235799944,-129.59345870493195,-724.4370276239144
2014-03-01,34564.721551350645,5920.387927580753,-825.7659661821049
2014-03-02,34541.58074470185,-1018.2672651751851,-969.840535005217
2014-03-03,34518.43993805306,1548.5407603626197,-1153.029650698881
2014-03-04,34495.29913140426,-2312.92817527967,-1370.7654668504629
2014-03-05,34472.15832475547,-2103.3835519947843,-1617.6664038486329
2014-03-06,34449.01751810668,-1904.7562367931166,-1887.6797471922025
2014-03-07,34425.87671145789,-129.59345870468624,-2174.2401561734387
2014-03-08,34402.73590480909,5920.387927575127,-2470.4400228869604
2014-03-09,34379.595098160295,-1018.267265177259,-2769.207325994723
2014-03-10,34356.4542915115,1548.5407603615272,-3063.486442065328
2014-03-11,34333.313484862716,-2312.9281752911825,-3346.4173140512917
2014-03-12,34310.172678213916,-2103.3835519999934,-3611.508432826677
2014-03-13,34287.03187156512,-1904.7562367923279,-3852.7992619240417
2014-03-14,34263.89106491633,-129.59345870443963,-4065.0080224750077
2014-03-15,34240.75025826754,5920.3879275841255,-4243.661147090933
2014-03-16,34217.609451618744,-1018.267265173919,-4385.201197179425
2014-03-17,34194.46864496995,1548.5407603674676,-4487.07060483617
2014-03-18,34171.32783832115,-2312.9281752885795,-4547.769232831322
2014-03-19,34148.18703167236,-2103.383551988044,-4566.8844272782
2014-03-20,34125.046225023565,-1904.756236791539,-4545.092949404497
2014-03-21,34101.90541837478,-129.59345871309662,-4484.1348965350335
2014-03-22,34078.76461172598,5920.387927578499,-4386.760439020381
2014-03-23,34055.623805077186,-1018.2672651759933,-4256.650890708424
2014-03-24,34032.48299842839,1548.5407603734084,-4098.316277806613
2014-03-25,34009.3421917796,-2312.9281752859774,-3916.972158035978
2014-03-26,33986.20138513081,-2103.3835520068233,-3718.398953988146
2014-03-27,33963.060578482015,-1904.7562367859823,-3508.7874887723174
2014-03-28,33939.91977183322,-129.5934586997292,-3294.5747380641974
2014-03-29,33916.77896518442,5920.387927579713,-3082.274032895595
2014-03-30,33893.638158535636,-1018.2672651718559,-2878.3040570897842
2014-03-31,33870.49735188684,1548.5407603723156,-2688.820980407985
2014-04-01,33847.35654523804,-2312.9281752816937,-2519.5579542852915
2014-04-02,33824.21573858925,-2103.383551994874,-2375.675975593488
2014-04-03,33801.07493194046,-1904.756236780426,-2261.6298020653608
2014-04-04,33777.934125291664,-129.59345868636302,-2181.0521901703196
2014-04-05,33754.79331864287,5920.387927580926,-2136.659234181065
2014-04-06,33731.65251199408,-1018.267265166921,-2130.1790274397927
2014-04-07,33708.511705345285,1548.5407603699805,-2162.305258769009
2014-04-08,33685.370898696485,-2312.928175293206,-2232.6767148458043
2014-04-09,33662.2300920477,-2103.383552000083,-2339.883000269646
2014-04-10,33639.0892853989,-1904.7562367916728,-2481.4961282501818
2014-04-11,33615.94847875011,-129.5934586950191,-2654.1269933496046
2014-04-12,33592.80767210131,5920.387927583085,-2853.5051298547505
2014-04-13,33569.66686545252,-1018.2672651697928,-3074.579600358742
2014-04-14,33546.52605880373,1548.540760367646,-3311.6383626464385
2014-04-15,33523.385252154934,-2312.928175304718,-3558.443040851954
2014-04-16,33500.24444550614,-2103.3835519981158,-3808.3756888088715
2014-04-17,33477.10363885735,-1904.7562367740804,-4054.5938867612563
2014-04-18,33453.96283220855,-129.59345869477312,-4290.190362025788
2014-04-19,33430.822025559755,5920.387927577461,-4508.353271878783
2014-04-20,33407.68121891096,-1018.2672651718669,-4702.523332459133
2014-04-21,33384.54041226218,1548.5407603735862,-4866.544117756499
2014-04-22,33361.39960561338,-2312.9281753004343,-4994.802082328031
2014-04-23,33338.25879896459,-2103.383552003324,-5082.3531725563025
2014-04-24,33315.11799231579,-1904.7562367853272,-5125.033274201101
2014-04-25,33291.977185667,-129.5934586945271,-5119.550187408162
2014-04-26,33268.836379018205,5920.387927586459,-5063.5553113472415
2014-04-27,33245.69557236941,-1018.2672651685268,-4955.693745577955
2014-04-28,33222.55476572062,1548.540760364218,-4795.632059668334
2014-04-29,33199.41395907182,-2312.928175297832,-4584.063532130664
2014-04-30,33176.27315242303,-2103.383552008533,-4322.691199930037
2014-05-01,33153.13234577424,-1904.7562367797707,-4014.189577149305
2014-05-02,33129.99153912545,-129.59345868116029,-3662.1463830017087
2014-05-03,33106.85073247665,5920.387927581779,-3270.986053856758
2014-05-04,33083.709925827854,-1018.2672651706008,-2845.8771915065067
2014-05-05,33060.56911917907,1548.5407603701585,-2392.6264123806172
2014-05-06,33037.42831253027,-2312.9281752952293,-1917.561303767833
2014-05-07,33014.287505881475,-2103.3835520137427,-1427.4053594138886
2014-05-08,32991.14669923268,-1904.7562367957855,-929.147856170514
2014-05-09,32968.00589258389,-129.59345870293748,-429.9116461299463
2014-05-10,32944.8650859351,5920.38792758983,63.178222894566375
2014-05-11,32921.7242792863,-1018.2672651726751,543.122277091595
2014-05-12,32898.58347263751,1548.5407603678236,1003.1681903503928
2014-05-13,32875.44266598871,-2312.9281752892634,1436.9238272354269
2014-05-14,32852.301859339925,-2103.383551998205,1838.4597191231715
2014-05-15,32829.16105269113,-1904.7562367902292,2202.399273517479
2014-05-16,32806.02024604234,-129.59345868957038,2523.995379387294
2014-05-17,32782.87943939354,5920.3879275842055,2799.1924501009803
2014-05-18,32759.738632744746,-1018.2672651747492,3024.673329195211
2014-05-19,32736.597826095953,1548.5407603750064,3197.8908622172426
2014-05-20,32713.457019447163,-2312.9281752866614,3317.0843001514654
2014-05-21,32690.316212798367,-2103.3835520205716,3381.2810373647685
2014-05-22,32667.175406149574,-1904.7562367846722,3390.284491509907
2014-05-23,32644.034599500777,-129.59345868932436,3344.6491977479996
2014-05-24,32620.893792851988,5920.387927579526,3245.6444096446658
2014-05-25,32597.752986203195,-1018.2672651714096,3095.2076706085854
2014-05-26,32574.612179554402,1548.5407603726712,2895.889940601711
2014-05-27,32551.471372905606,-2312.9281752981738,2650.7939327012687
2014-05-28,32528.33056625681,-2103.3835520086227,2363.5073341023244
2014-05-29,32505.18975960802,-1904.756236779116,2038.0325589217325
2014-05-30,32482.048952959227,-129.5934587068829,1678.714609687963
2014-05-31,32458.908146310434,5920.387927580739,1290.1685158562916
2014-06-01,32435.767339661637,-1018.2672651726864,877.2076771832583
2014-06-02,32412.62653301284,1548.5407603703359,444.7742740654508
2014-06-03,32389.48572636405,-2312.928175281457,-2.1272765442072874
2014-06-04,32366.344919715262,-2103.383551993085,-458.4930349884652
2014-06-05,32343.204113066466,-1904.7562367951307,-919.3778346062435
2014-06-06,32320.06330641767,-129.59345870663688,-1379.9487639900683
2014-06-07,32296.922499768873,5920.387927575113,-1835.533622126059
2014-06-08,32273.781693120083,-1018.2672651755578,-2281.664297680976
2014-06-09,32250.640886471294,1548.5407603622107,-2714.11516691799
2014-06-10,32227.500079822497,-2312.9281752912875,-3128.936722295438
2014-06-11,32204.3592731737,-2103.3835519982945,-3522.484733061765
2014-06-12,32181.218466524908,-1904.7562367727705,-3891.4452985988187
2014-06-13,32158.077659876115,-129.59345870639063,-4232.856184587967
2014-06-14,32134.93685322732,5920.387927583165,-4544.124832317699
