ds,trend,weekly,yearly
2014-01-28,34657.87443593877,-1385.3144749978048,-2041.371225450186
2014-01-29,34632.10883075123,-1039.272638259789,-2692.863869880869
2014-01-30,34606.34322556368,-1505.5917400854173,-3319.7447442762586
2014-01-31,34580.577620376134,251.4190199937151,-3916.4773570611105
2014-02-01,34554.812015188596,7494.175873689686,-4477.7524907406905
2014-02-02,34529.04641000105,-3228.191283728301,-4998.623254374064
2014-02-03,34503.280804813505,-587.2247565919901,-5474.632445483087
2014-02-04,34477.51519962596,-1385.3144749923872,-5901.928757785899
2014-02-05,34451.74959443841,-1039.2726382400529,-6277.368674785871
2014-02-06,34425.98398925087,-1505.5917401022682,-6598.601278663053
2014-02-07,34400.21838406332,251.41901998182192,-6864.133668210902
2014-02-08,34374.45277887578,7494.175873689199,-7073.375205787693
2014-02-09,34348.68717368824,-3228.1912837280775,-7226.659386850393
2014-02-10,34322.92156850069,-587.224756593563,-7325.242730752103
2014-02-11,34297.15596331314,-1385.3144750085623,-7371.280711391882
2014-02-12,34271.3903581256,-1039.272638246996,-7367.781364010677
2014-02-13,34245.624752938056,-1505.591740115242,-7318.537803007448
2014-02-14,34219.85914775051,251.4190199843277,-7228.04144872135
2014-02-15,34194.093542562965,7494.175873688711,-7101.378273460754
2014-02-16,34168.32793737542,-3228.191283723383,-6944.1108247288685
2014-02-17,34142.56233218788,-587.2247565863373,-6762.149154641252
2014-02-18,34116.796727000336,-1385.3144750031443,-6561.614069078118
2014-02-19,34091.03112181279,-1039.2726382539392,-6348.696300693631
2014-02-20,34065.265516625244,-1505.5917400909746,-6129.5153017938155
2014-02-21,34039.499911437706,251.41901996024814,-5909.981344076033
2014-02-22,34013.73430625015,7494.175873687576,-5695.664503179465
2014-02-23,33987.96870106261,-3228.191283726844,-5491.6739002715985
2014-02-24,33962.20309587507,-587.2247565759399,-5302.550276654261
2014-02-25,33936.437490687524,-1385.3144750156127,-5132.174599214893
2014-02-26,33910.67188549998,-1039.2726382608828,-4983.694945260536
2014-02-27,33884.90628031243,-1505.5917401078252,-4859.473407531602
2014-02-28,33859.14067512489,251.41901997494028,-4761.054208306838
2014-03-01,33833.37506993735,7494.175873687089,-4689.153630796122
2014-03-02,33807.609464749796,-3228.191283730304,-4643.671782663044
2014-03-03,33781.84385956226,-587.2247566046271,-4623.7256167557425
2014-03-04,33756.07825437471,-1385.314474996016,-4627.702064251869
2014-03-05,33730.312649187166,-1039.272638241146,-4653.329600810403
2014-03-06,33704.54704399962,-1505.5917401021786,-4697.7660815179115
2014-03-07,33678.781438812075,251.41901997634008,-4757.700258356901
2014-03-08,33653.01583362453,7494.175873681269,-4829.4640457162295
2014-03-09,33627.25022843699,-3228.191283733765,-4909.152334262347
2014-03-10,33601.48462324944,-587.2247566093724,-4992.746977865829
2014-03-11,33575.71901806189,-1385.3144750084846,-5076.2414965087355
2014-03-12,33549.953412874354,-1039.2726382480896,-5155.763051620701
2014-03-13,33524.18780768681,-1505.5917401004094,-5227.688358142143
2014-03-14,33498.42220249926,251.41901997773957,-5288.750395960077
2014-03-15,33472.65659731172,7494.1758736908,-5336.1330661504035
2014-03-16,33446.89099212417,-3228.1912837290706,-5367.551296171304
2014-03-17,33421.125386936634,-587.2247565989746,-5381.314522301616
2014-03-18,33395.35978174909,-1385.3144750030667,-5376.37195506365
2014-03-19,33369.594176561535,-1039.2726382347732,-5352.338550407557
2014-03-20,33343.828571374,-1505.5917400986405,-5309.50115160491
2014-03-21,33318.06296618645,251.41901996695236,-5248.80481890269
2014-03-22,33292.2973609989,7494.175873684978,-5171.819910748732
2014-03-23,33266.53175581136,-3228.1912837325312,-5080.691006822706
2014-03-24,33240.766150623815,-587.2247565885772,-4978.069254874478
2014-03-25,33215.000545436276,-1385.3144749976486,-4867.030167267026
2014-03-26,33189.23494024873,-1039.272638255556,-4750.979277377451
2014-03-27,33163.46933506118,-1505.5917400929934,-4633.5483805972835
2014-03-28,33137.70372987364,251.41901998164485,-4518.485321621102
2014-03-29,33111.938124686094,7494.17587368449,-4409.540443252472
2014-03-30,33086.17251949855,-3228.1912837241534,-4310.352878677202
2014-03-31,33060.406914311,-587.2247565933222,-4224.33984812567
2014-04-01,33034.64130912346,-1385.3144749959379,-4154.5920135077895
2014-04-02,33008.87570393592,-1039.2726382422397,-4103.777754828059
2014-04-03,32983.11009874837,-1505.5917400873466,-4074.0589660737182
2014-04-04,32957.34449356083,251.4190199963367,-4067.02063390361
2014-04-05,32931.57888837328,7494.175873684004,-4083.616069848875
2014-04-06,32905.81328318574,-3228.1912837120917,-4124.129227224532
2014-04-07,32880.04767799819,-587.2247565948954,-4188.155060196641
2014-04-08,32854.282072810645,-1385.3144750084068,-4274.598387794762
2014-04-09,32828.51646762311,-1039.2726382491833,-4381.691223943923
2014-04-10,32802.750862435554,-1505.5917401003198,-4507.028039611429
2014-04-11,32776.985257248016,251.41901998555042,-4647.617948396154
2014-04-12,32751.219652060467,7494.175873688201,-4799.952365049597
2014-04-13,32725.454046872925,-3228.1912837192363,-4960.086289166678
2014-04-14,32699.688441685383,-587.224756596468,-5123.731023843391
2014-04-15,32673.92283649783,-1385.3144750208755,-5286.355860057301
2014-04-16,32648.157231310288,-1039.2726382432866,-5443.29604862891
2014-04-17,32622.391626122746,-1505.5917400799306,-5589.8642474478365
2014-04-18,32596.626020935204,251.4190199869496,-5721.462574804045
2014-04-19,32570.860415747655,7494.175873682381,-5833.6924204144925
2014-04-20,32545.09481056011,-3228.1912837226964,-5922.459262298111
2014-04-21,32519.329205372567,-587.2247565860702,-5984.0699060939605
2014-04-22,32493.563600185025,-1385.3144750191645,-6015.3197979243
2014-04-23,32467.79799499748,-1039.27263825023,-6013.568354903822
2014-04-24,32442.032389809934,-1505.5917400929036,-5976.800599789444
2014-04-25,32416.266784622392,251.41901998834908,-5903.673767817318
2014-04-26,32390.501179434847,7494.175873691912,-5793.547963247194
2014-04-27,32364.7355742473,-3228.191283718002,-5646.50036883831
2014-04-28,32338.969969059755,-587.2247566027868,-5463.322941342192
2014-04-29,32313.204363872213,-1385.3144750137467,-5245.50394837718
2014-04-30,32287.43875868467,-1039.2726382571732,-4995.1941051999465
2014-05-01,32261.673153497122,-1505.591740087257,-4715.158443424141
2014-05-02,32235.907548309577,251.41902000304154,-4408.715377967184
2014-05-03,32210.141943122035,7494.175873690777,-4079.664725207819
2014-05-04,32184.376337934493,-3228.191283721463,-3732.206657845168
2014-05-05,32158.610732746944,-587.2247565923884,-3370.8537551378986
2014-05-06,32132.845127559398,-1385.3144750083286,-3000.338417849865
2014-05-07,32107.079522371856,-1039.2726382641167,-2625.517964034839
2014-05-08,32081.313917184307,-1505.5917401041079,-2251.2797051020807
2014-05-09,32055.548311996765,251.41901997896167,-1882.4482238417083
2014-05-10,32029.78270680922,7494.175873695623,-1523.6969410886823
2014-05-11,32004.017101621677,-3228.191283724923,-1179.4658711242685
2014-05-12,31978.251496434135,-587.2247565939616,-853.8872345820515
2014-05-13,31952.485891246582,-1385.3144750103247,-550.7203294039326
2014-05-14,31926.72028605904,-1039.27263824438,-273.296764406941
2014-05-15,31900.9546808715,-1505.5917400984608,-24.4768453522604
2014-05-16,31875.189075683957,251.41901999365382,193.38242001485298
2014-05-17,31849.423470496404,7494.175873689802,378.44755412055713
2014-05-18,31823.65786530886,-3228.191283728383,529.417247509128
2014-05-19,31797.89226012132,-587.2247565867365,645.5198646801887
2014-05-20,31772.126654933778,-1385.3144750049069,726.5005465109874
2014-05-21,31746.361049746232,-1039.272638271583,772.5988708146202
2014-05-22,31720.595444558683,-1505.5917400928142,784.5182260107222
2014-05-23,31694.82983937114,251.4190199950533,763.38820271337
2014-05-24,31669.0642341836,7494.175873688667,710.7214113860394
2014-05-25,31643.298628996054,-3228.1912837236896,628.3661899917831
2014-05-26,31617.533023808504,-587.2247565883091,518.4566739260198
2014-05-27,31591.767418620962,-1385.314475017376,383.3616633221271
2014-05-28,31566.00181343342,-1039.2726382582669,225.63364325492597
2014-05-29,31540.236208245875,-1505.5917400871676,47.95919479406098
2014-05-30,31514.470603058326,251.41901997208004,-146.88811513367182
2014-05-31,31488.704997870784,7494.175873688179,-356.0914531910886
2014-06-01,31462.939392683238,-3228.191283723466,-576.8303315102868
2014-06-02,31437.173787495696,-587.2247565898823,-806.3156017627684
2014-06-03,31411.408182308147,-1385.3144749940716,-1041.8195316045924
2014-06-04,31385.642577120605,-1039.2726382385306,-1280.700870600307
2014-06-05,31359.87697193306,-1505.5917401040183,-1520.425008736465
2014-06-06,31334.111366745517,251.41901997347924,-1758.5795093418703
2014-06-07,31308.345761557972,7494.175873682359,-1992.8854536312394
2014-06-08,31282.58015637043,-3228.1912837306104,-2221.2051614359584
2014-06-09,31256.814551182884,-587.2247566097714,-2441.546948233401
2014-06-10,31231.048945995335,-1385.3144750102465,-2652.0676397422517
2014-06-11,31205.283340807793,-1039.272638245474,-2851.0735909712425
2014-06-12,31179.51773562025,-1505.591740079751,-3037.0209467124682
2014-06-13,31153.75213043271,251.41901997487872,-3208.515836435235
2014-06-14,31127.986525245156,7494.175873687205,-3364.3151209672897
