Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,25653.0,32542.0,29115.591397302884,30697.73,24867.627367241566,22208.89410838951,25436.098509924188,27340.738501897464
2014-01-29,20502.67,32692.0,29123.894158394076,29418.05,25010.28755638754,23208.786486209698,26810.203794868856,27250.243548201255
2014-01-30,23183.0,27306.0,26918.928777253917,29851.16,26548.439606690907,22173.55553858292,24322.82388661961,26314.548105278944
2014-01-31,26191.0,24720.0,26306.67988362549,32709.66,29418.57704764901,20070.03195188944,23761.355565749946,26362.123945171643
2014-02-01,31015.0,34321.0,31639.450550611604,37708.41,37687.59429059023,25854.840263802373,30231.479396937953,31734.23360480466
2014-02-02,20641.0,27527.0,27138.17494901978,32048.66,30812.13292374601,19085.663174394907,23524.762847615788,26090.832707804893
2014-02-03,20502.67,27120.0,25328.277700639836,30225.45,26967.899284871746,17015.76649382745,20866.163747394487,24189.831398155762
2014-02-04,21640.0,25653.0,24787.69757595005,28889.0,24714.78546662545,17859.802459939317,23894.535053143896,23845.50001196312
2014-02-05,20859.0,20502.67,24012.29898944903,28809.65,24857.44565577142,16923.751846334435,22746.727397330513,23248.56694526116
2014-02-06,22869.0,23183.0,24374.17451979052,29426.21,26395.59770607479,18373.19396162629,22653.81070793725,24057.8594938056
2014-02-07,24427.0,26191.0,26961.72891197649,34285.32,29265.73514703289,20635.30141240095,25949.33807605224,27294.11677479248
2014-02-08,24989.0,31015.0,32458.476506229417,39128.61,37534.752389974106,26871.741257864196,32445.170434117743,32819.60925469787
2014-02-09,26882.0,20641.0,27709.927302196134,35555.26,30659.291023129892,20352.97438063257,25317.149157037806,27872.720560942904
2014-02-10,23616.0,20502.67,25080.719291677662,30443.49,26815.057384255626,16570.366675198686,20477.996885009255,24031.525322292116
2014-02-11,24585.0,21640.0,26880.277308967336,31526.83,24561.943566009333,19702.09673282331,25650.047255047295,26036.401347263552
2014-02-12,26532.0,20859.0,27363.60047800163,31840.0,24704.6037551553,20340.91521631379,25849.423821364333,26514.83856477181
2014-02-13,29654.0,22869.0,29046.544002577022,35088.83,26242.75580545867,21386.945433886496,25354.309467216277,28507.43981215451
2014-02-14,32275.0,24427.0,32258.429304664198,36513.44,29112.893246416774,23966.959359710054,28652.609600743257,30912.942888124748
2014-02-15,59753.0,24989.0,59391.59763906689,65569.9295,37381.91048935799,56809.902970343675,58675.63802666933,60590.47670313685
2014-02-16,50378.0,26882.0,59312.984791502815,61591.7,30506.449122513775,49600.14959671754,51894.527915921615,56834.94479607345
2014-02-17,47833.0,23616.0,44560.59925822245,55544.49,26662.21548363951,37658.542512935346,40930.71256066872,45921.21059038593
2014-02-18,24267.0,24585.0,31662.328472825597,34641.63,24409.101665393213,15141.590312246808,16002.193861755777,27148.516261690802
2014-02-19,29607.0,26532.0,30574.738328404914,30855.43,24551.761854539185,16874.15217658489,17106.88161360379,26101.440168329933
2014-02-20,25244.0,29654.0,30565.949492447642,30195.21,26089.913904842553,17926.232804659543,15970.721255529454,26229.13076570239
2014-02-21,20502.67,32275.0,30941.96326385669,31510.95,28960.051345800654,19353.9804560438,17687.579457145646,27268.964573300163
2014-02-22,27766.0,59753.0,34250.85757745987,34926.92,37229.06858874187,24713.379671026443,23449.81675250966,31297.052416162103
2014-02-23,21963.0,50378.0,28768.07060108436,33627.43,30353.607221897655,19336.746508343058,16614.545822352597,27244.082369809137
2014-02-24,24694.0,47833.0,25078.998925666412,29340.49,26509.373583023393,18783.61367635621,13890.30823538674,24401.03420067421
2014-02-25,20502.67,24267.0,23507.652881284404,29641.74,24256.259764777096,20212.26961870869,15632.503437535677,24453.887499997698
2014-02-26,22570.0,29607.0,22950.0894530764,29116.21,24398.919953923065,20650.996017233396,15676.533659306879,24239.098490103264
2014-02-27,23609.0,25244.0,21543.635788090043,29847.58,25937.072004226437,20055.78836589763,12809.571959607594,23815.668051329227
2014-02-28,28312.0,20502.67,22147.509554301883,30425.0867,28807.209445184537,20902.61088676175,13924.813696666874,24491.73571368788
2014-03-01,28151.0,27766.0,26945.304051936124,35824.09,37076.22668812575,26122.59777455883,19265.79718947709,29630.663942164985
2014-03-02,25746.0,21963.0,24524.056203521915,33436.81,30200.76532128154,21342.93191425591,14286.04044416538,26434.59937259261
2014-03-03,24030.0,24694.0,23662.265700925487,29229.78,26356.531682407272,20668.74424168012,12600.739797283,24520.26331420187
2014-03-04,23137.0,20502.67,22809.126932507224,30059.61,24103.41786416098,20301.42762485121,14137.928449094108,24390.054852452813
2014-03-05,27313.0,22570.0,23201.33809836912,29732.34,24246.07805330695,20856.9557127319,14554.317431633606,24596.87793703367
2014-03-06,24614.0,23609.0,23960.549789637826,31042.4267,25784.230103610316,21323.348207079238,13478.292184042983,25442.108232239018
2014-03-07,26449.0,28312.0,25616.51361397177,33204.97,28654.36754456842,24459.37327032037,17283.197414553975,27760.28562809738
2014-03-08,29737.0,28151.0,29079.092335651403,37576.26,36923.38478750964,28198.672974373723,21046.33152263036,31618.00843667504
2014-03-09,29047.0,25746.0,26709.04473490596,33170.67,30047.923420665422,23641.03127697427,16440.31469052225,27840.24867062674
