Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,32518.0,34729.0,43470.5597962273,54817.73,28932.497912932886,28608.90722499979,31920.279209123604,34666.58207678356
2014-01-29,29639.0,34272.0,42182.18285858101,57596.71,26239.24052427344,28027.21076925163,31471.730785717507,33893.708137850044
2014-01-30,28327.0,31752.0,39829.777488505744,56880.67,32184.40300752187,28953.36535377663,36576.86001548117,35120.00095258785
2014-01-31,30686.0,36008.0,39427.91880033581,58156.94,37045.8853642917,30715.741065764814,39395.737324404865,36513.132396835164
2014-02-01,35363.0,44687.0,53203.865201852284,58561.53,45958.29398231034,44021.11608256291,51315.11284794504,49513.36471078675
2014-02-02,27745.0,35334.0,48207.63819431915,65076.57,37789.30460240785,35432.91828680947,43555.64353388468,42398.73333833777
2014-02-03,28000.0,33081.0,39418.684876746585,56909.03,34494.63932909015,28733.30785358871,38055.02243106597,35402.33838713376
2014-02-04,27104.28,32518.0,41655.24495909602,55957.72,28408.10826736989,24699.819514976287,34334.588917058114,33563.21779704347
2014-02-05,28546.0,29639.0,38307.52246883155,58919.69,25714.850878710444,24350.64546114726,31718.48530452877,31458.884411502528
2014-02-06,31681.0,28327.0,40052.99807402938,57621.66,31660.01336195888,27763.203110779064,33721.64353113572,33845.94823864806
2014-02-07,30934.0,30686.0,41404.84954152923,57683.39,36521.495718728715,31513.007485126796,36825.210963235964,36581.02266329733
2014-02-08,38859.0,35363.0,47314.43835583075,61580.36,45433.90433674735,42542.87577789131,44264.35163265012,44707.22192212407
2014-02-09,42119.0,27745.0,43185.7637904732,61162.4,37264.91495684486,34744.50047049673,36725.38097139848,38218.548410789466
2014-02-10,28109.0,28000.0,36856.96235853773,57325.91,33970.24968352715,29409.798335948894,33259.81503711274,33175.525243866454
2014-02-11,34032.0,27104.28,37893.275615947634,56850.43,27883.718621806904,25499.484057849462,30885.00744864394,31425.92237414701
2014-02-12,32637.0,28546.0,34212.80769858236,60239.44,25190.461233147456,24687.105449817907,28623.35165519362,29174.421601197962
