ds,trend,weekly,yearly
2014-01-28,45825.56193051659,-3247.039410214861,-3175.295730909464
2014-01-29,45756.81591199355,-3120.802613618168,-3910.557958257283
2014-01-30,45688.0698934705,-1481.5750182289107,-4555.3098878032115
2014-01-31,45619.32387494746,1327.1458264070097,-5101.890662596387
2014-02-01,45550.577856424425,6194.890992213477,-5544.138050988042
2014-02-02,45481.83183790139,-2099.8105029490216,-5877.583926776036
2014-02-03,45413.08581937834,2427.1907264222637,-6099.612479241163
2014-02-04,45344.3398008553,-3247.039410213057,-6209.576063805864
2014-02-05,45275.59378233226,-3120.802613601029,-6208.864665181274
2014-02-06,45206.84776380922,-1481.5750182508007,-6100.926134191352
2014-02-07,45138.10174528618,1327.1458263891975,-5891.235645222084
2014-02-08,45069.35572676313,6194.890992214026,-5587.214168984002
2014-02-09,45000.609708240096,-2099.8105029515823,-5198.097127989228
2014-02-10,44931.86368971706,2427.190726420167,-4734.75576218809
2014-02-11,44863.11767119401,-3247.039410222145,-4209.4750414295
2014-02-12,44794.371652670976,-3120.802613606506,-3635.693183089617
2014-02-13,44725.62563414793,-1481.5750182631914,-3027.7089325464644
2014-02-14,44656.87961562489,1327.1458263972909,-2400.363709247147
2014-02-15,44588.13359710185,6194.890992214572,-1768.7064845498517
2014-02-16,44519.38757857881,-2099.8105029480753,-1147.6498160644053
2014-02-17,44450.641560055774,2427.1907264269835,-551.6257996626539
2014-02-18,44381.89554153273,-3247.0394102203404,5.749196710479357
2014-02-19,44313.149523009684,-3120.802613611983,511.9922890295615
2014-02-20,44244.40350448665,-1481.5750182345641,956.0459670881057
2014-02-21,44175.65748596361,1327.1458263718546,1328.5363640383584
2014-02-22,44106.911467440565,6194.890992209993,1621.9909669434899
2014-02-23,44038.16544891752,-2099.810502949924,1831.0098393795038
2014-02-24,43969.41943039448,2427.190726433301,1952.385604361578
2014-02-25,43900.673411871445,-3247.039410234411,1985.168750058109
2014-02-26,43831.92739334841,-3120.8026136174603,1930.6762369995038
2014-02-27,43763.181374825355,-1481.575018256454,1792.4428660144447
