Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX
2014-01-28,32518.0,34729.0,32435.64575926985,47703.46,28932.497912932886,27636.17935074968,30704.59648047435
2014-01-29,29639.0,34272.0,33442.09075668792,48499.57,26239.24052427344,29821.949794972108,30996.566392320216
2014-01-30,28327.0,31752.0,33013.21790373386,48384.48,32184.40300752187,30282.823778313537,35537.413540486974
2014-01-31,30686.0,36008.0,34096.66885808863,48336.11,37045.8853642917,32233.015319400198,35287.42964744535
2014-02-01,35363.0,44687.0,37695.358156015325,53466.45,45958.29398231034,43724.87367857626,38443.24768742621
2014-02-02,27745.0,35334.0,40192.038305749185,52157.39,37789.30460240785,31096.269221704973,31676.624865243502
2014-02-03,28000.0,33081.0,27518.209837809547,49343.19,34494.63932909015,26049.99429276039,23522.47991965501
2014-02-04,27104.28,32518.0,28719.17312310169,49505.65,28408.10826736989,22453.713227442277,31654.510297928224
2014-02-05,28546.0,29639.0,29153.52255168563,50270.66,25714.850878710444,25285.329902057427,25070.221381801974
2014-02-06,31681.0,28327.0,31000.019083093433,50132.37,31660.01336195888,27635.989763723872,35056.091503335534
2014-02-07,30934.0,30686.0,34223.01588817524,50108.79,36521.495718728715,31337.48228902588,41551.29867508312
2014-02-08,38859.0,35363.0,35924.44791189964,52899.56,45433.90433674735,41209.22346417625,41503.90175393337
2014-02-09,42119.0,27745.0,39736.979135522226,61397.7101,37264.91495684486,30730.221167303927,31287.08280352205
2014-02-10,28109.0,28000.0,32749.449637665086,59179.79,33970.24968352715,29471.004050714153,24928.998528011274
2014-02-11,34032.0,27104.28,28257.627031129916,48519.39,27883.718621806904,20551.64540665305,34006.99450878467
2014-02-12,32637.0,28546.0,32892.56524187919,49571.34,25190.461233147456,25568.664460917847,29804.502720522192
2014-02-13,28738.0,31681.0,34477.937950847176,49630.92,31135.623716395894,26851.24934405738,32666.553224567295
2014-02-14,35529.0,30934.0,33964.72627827602,49546.92,35997.10607316573,28854.56902217913,38671.1899852603
2014-02-15,72639.0,38859.0,39476.15105659481,52253.85,44909.514691184355,41751.712868937284,87678.56743727499
2014-02-16,66425.0,42119.0,56162.77013081058,64959.36,36740.52531128187,43595.27510674598,78454.35714072835
2014-02-17,61519.0,28109.0,43764.32081605353,59465.232800000005,33445.860037964165,38716.59430150718,73568.7070388445
2014-02-18,32546.0,34032.0,45797.77338563517,51401.22,27359.328976243916,31188.54385540771,33713.80861347956
2014-02-19,35221.0,32637.0,34845.39189638234,39565.35,24666.07158758447,23631.007315664487,29349.925418390176
2014-02-20,27104.28,28738.0,37206.058709883866,40268.46,30611.2340708329,26764.531825688624,39172.227281395026
2014-02-21,33092.0,35529.0,35890.462730454456,41277.36,35472.71642760273,27059.5136067473,43949.93271222798
2014-02-22,31934.0,72639.0,43928.048379578686,53405.620299999995,44385.12504562137,40229.4339825134,41199.56188862722
2014-02-23,28618.0,66425.0,42652.2934293031,52237.99039999999,36216.13566571888,28403.361739794127,31650.144994142174
2014-02-24,27414.0,61519.0,30786.168868550805,51736.7101,32921.47039240118,26788.6307430936,29079.428970471476
2014-02-25,27637.0,32546.0,28601.595220705534,49236.61,26834.93933068092,22868.290729840744,35419.84708864805
2014-02-26,35402.0,35221.0,30157.56665459175,50001.62,24141.681942021478,26692.9356693729,30098.084657182517
2014-02-27,27506.0,27104.28,33932.98560105253,49902.93,30086.844425269912,31873.452038235635,33345.27172079416
2014-02-28,40853.0,33092.0,32821.3900169865,50108.79,34948.326782039745,31775.705971110547,38270.81166623957
2014-03-01,42069.0,31934.0,40175.98171675556,61196.240099999995,43860.73540005838,48002.0369918449,39729.76426007712
2014-03-02,33756.0,28618.0,41991.01345181869,60724.240099999995,35691.746020155886,34603.536163546574,29955.096064746147
2014-03-03,29661.0,27414.0,29953.945560325035,48251.01,32397.08074683819,28908.05663215518,29070.912836839918
2014-03-04,30804.0,27637.0,29938.695268915675,48611.22,26310.549685117934,23498.40489623435,31548.578569136094
2014-03-05,32668.0,35402.0,33070.58011515768,49420.64,23617.292296458487,26761.754057317667,27517.193890091337
2014-03-06,40452.0,27506.0,34244.88522875283,49305.55,29562.454779706924,29705.354363216487,33318.10419166822
2014-03-07,30147.0,40853.0,41337.14921777796,61395.09,34423.93713647676,34617.46627319096,46052.76715364092
2014-03-08,43578.0,42069.0,38056.6464418064,53579.25,43336.345754495385,41646.789085299904,41923.657525565555
2014-03-09,32921.0,33756.0,44165.899885787454,59053.0101,35167.3563745929,33305.898684561005,35933.451608880314
