Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,32518.0,34729.0,36941.9414739254,37893.97,28932.770167783183,26062.90322451655,30386.792736806863,33632.93823281398
2014-01-29,29639.0,34272.0,36523.32195742125,37107.31,26239.58905093087,26588.304765029956,30464.362254806976,33406.31224081707
2014-01-30,28327.0,31752.0,34778.339745813406,37264.13,32184.89409003693,26081.6948578092,30579.201363474465,32708.0548678742
2014-01-31,30686.0,36008.0,34415.457541607975,40387.38,37046.4884367015,23146.68047927549,29511.291999820834,32649.839340294482
2014-02-01,35363.0,44687.0,40127.11142105989,42890.58,45958.989670191666,29390.216871582772,34959.18342124573,37469.30276421422
2014-02-02,27745.0,35334.0,33662.700513927266,38783.16,37790.0985532555,21188.555112578902,27532.203664224293,31211.47187550206
2014-02-03,28000.0,33081.0,33697.08081856085,41292.93,34495.556993519174,19790.307035584814,26687.084971691944,31593.43928471522
2014-02-04,27104.28,32518.0,32266.758471230984,38225.9828,28409.113223944656,20179.90252415178,27900.85236864433,30224.21459846092
2014-02-05,28546.0,29639.0,31058.651268174803,39538.0128,25715.93210709235,18879.72383666145,25072.905352129324,29825.462634945416
2014-02-06,31681.0,28327.0,31000.20066745871,38197.2428,31661.237146198404,21988.118301904033,27865.128420279165,30395.187256454246
2014-02-07,30934.0,30686.0,34500.32345540747,41656.07,36522.83149286298,24731.94336142109,31685.086493242765,33629.445605609515
2014-02-08,38859.0,35363.0,41384.597477039555,50029.32,45435.33272635315,31674.177290450403,37298.258744206745,41029.36492249666
2014-02-09,42119.0,27745.0,37191.77352194436,43135.62,37266.44160941698,24090.123733445278,29963.6145409394,34805.839085129875
2014-02-10,28109.0,28000.0,36257.120120344625,45575.0,33971.900049680655,21076.766001553195,26731.75198247066,34302.96204063261
2014-02-11,34032.0,27104.28,35697.26206038682,38896.68,27885.456280106137,24003.162485384804,30693.469302515612,32865.701515257206
2014-02-12,32637.0,28546.0,36974.62727267365,40550.05,25192.27516325383,25088.557211657768,29728.738479866715,34204.41149477714
2014-02-13,28738.0,31681.0,38865.59054551351,41641.95,31137.580202359884,28084.908719922896,32265.50000798722,36197.4830884788
2014-02-14,35529.0,30934.0,40989.097063543566,46278.52,35999.17454902446,31043.485213814056,35727.489004507675,39437.03409245254
2014-02-15,72639.0,38859.0,75090.65015851663,82405.5,44911.67578251462,72885.47766952377,74855.1349464077,76793.87594268013
2014-02-16,66425.0,42119.0,76047.97567032717,81311.36,36742.78466557846,66389.2459201471,68025.52416066486,74582.8605301581
2014-02-17,61519.0,28109.0,54051.866383185254,75061.4,33448.243105842135,48458.3265997283,55626.31987539231,59190.530994304514
2014-02-18,32546.0,34032.0,42258.46994605663,46978.8328,27361.799336267617,20232.493312197254,21397.66054938173,36489.93201941797
2014-02-19,35221.0,32637.0,38865.15829342121,41175.2,24668.61821941531,20427.215482259096,20820.426534312992,33489.1912585601
2014-02-20,27104.28,28738.0,37668.896464500656,41649.2628,30613.923258521365,22935.103931318336,22190.96949249335,34084.421065272996
2014-02-21,33092.0,35529.0,37759.112937029524,41975.62,35475.51760518594,23947.615213014895,24106.72723083851,34560.782716681475
2014-02-22,31934.0,72639.0,44520.80500119716,49112.84,44388.0188386761,30162.316464152063,28865.930650782986,41265.32048844974
2014-02-23,28618.0,66425.0,36566.88044834762,44547.15,36219.12772173994,23555.46660380126,21146.747010203908,34889.83235071629
2014-02-24,27414.0,61519.0,33308.7697016518,40666.612799999995,32924.58616200361,23971.83336822677,19651.83552769355,32649.071956626187
