Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,59124.0,72897.0,69085.49422191235,70504.77,57282.040630411306,64237.39531254135,59922.68248141464,60480.70614145577
2014-01-29,53535.0,68068.0,57842.54368308591,64851.1117,53580.3749642366,57555.86954072247,53296.09108856305,54810.77853117404
2014-01-30,43814.17,63701.0,65937.9040966222,66796.54,63347.058033002715,65505.46037029288,66113.42804412862,64988.64881580808
2014-01-31,55382.0,55694.0,62562.48860214621,58463.03,65001.565839720635,68430.43101483284,66196.17509233949,66542.72398229766
2014-02-01,63565.0,68986.0,73749.31423825861,91127.66,79842.9815407737,81519.57533938033,79612.48483910772,80325.01390642059
2014-02-02,47161.0,68500.0,70445.36160489175,70135.23,67419.2564177622,68584.42592450808,67967.65848894208,67990.44694373745
2014-02-03,59616.0,56580.0,58610.47999298649,51760.1919,62748.643128063195,63134.26763779332,62484.77432226925,62789.228362708585
2014-02-04,47236.0,59124.0,62042.34356391653,61783.74,57333.94717170281,60647.72360877745,60302.31179061896,59427.99419036641
2014-02-05,49231.0,53535.0,56646.58435844941,50126.38719999999,53632.2815055281,58163.34937715196,54771.08203935191,55522.23764067733
2014-02-06,49080.0,43814.17,58344.06716487047,76804.2617,63398.96457429422,63518.07048243095,60879.769461112555,62598.934839279245
2014-02-07,63110.0,55382.0,63649.8641713748,57349.22,65053.472381012136,68824.00338313499,65546.42115677508,66474.63230697408
2014-02-08,68709.0,63565.0,71488.83809901342,84878.22,79894.8880820652,81706.7486914897,76964.18080806916,79521.93919387468
2014-02-09,72905.0,47161.0,68115.96594857762,74805.64,67471.16295905369,71913.60923944239,66736.2423013092,68707.00483326842
2014-02-10,51029.0,59616.0,60788.0132636934,59560.96,62800.549669354696,65352.170521034815,62708.1693816674,63620.29652401897
2014-02-11,50004.0,47236.0,62495.25168707268,65397.01,57385.85371299431,64745.07915542968,60594.29619638507,60908.40968826968
2014-02-12,51667.0,49231.0,56395.94696312026,50625.39269999999,53684.18804681961,60786.565448533685,54657.491453283044,56376.08164954544
2014-02-13,64247.0,49080.0,60182.86216784283,57468.91,63450.87111558572,66004.67507313659,62071.475035419295,63842.340408047196
2014-02-14,50115.0,63110.0,58647.653760033245,64093.59,65105.37892230364,66827.94434290378,62489.4109931685,64807.57808612531
2014-02-15,130963.0,68709.0,83838.50684971934,85293.81,79946.7946233567,91062.99297231101,84739.34012310755,85249.70923959174
2014-02-16,108253.0,72905.0,74674.11876826084,79735.91,67523.0695003452,74139.70533181576,70449.51208358668,70704.09563858256
2014-02-17,90446.0,51029.0,61885.09154471084,55632.6617,62852.456210646196,70220.41206666853,63774.39044417608,65615.7529071636
2014-02-18,51090.0,50004.0,57837.64405017512,54920.475099999996,57437.76025428581,63997.89187102522,57822.88834716147,59752.846824157496
2014-02-19,46273.0,51667.0,57144.9635860249,49983.0185,53736.09458811111,63331.38168908619,55222.2916812217,57429.92265280633
2014-02-20,54298.0,64247.0,59161.444873567234,62026.74,63502.777656877224,65035.07177532835,61279.85114027483,63272.566857493475
2014-02-21,53338.0,50115.0,53899.099335637395,52087.495299999995,65157.28546359514,68238.84468352913,59940.447504705095,64445.52588394311
2014-02-22,58040.0,130963.0,82688.47982050458,73789.1866,79998.7011646482,81210.71902869937,82945.11232519214,81384.84417284657
2014-02-23,43814.17,108253.0,77339.38346169126,69059.5766,67574.97604163669,71018.63728329647,71543.4989179964,70045.70408097653
2014-02-24,48786.0,90446.0,63040.768665863085,54564.576799999995,62904.3627519377,65052.516403414826,63851.747234932816,63936.20879676178
2014-02-25,51603.0,51090.0,54528.026654459674,47811.42249999999,57489.666795577315,62348.02158469882,55890.8061627718,58576.164847682645
2014-02-26,53945.0,46273.0,52101.45501661132,51737.849099999985,53788.00112940261,61283.07184657493,52345.4885226527,55805.52049954341
2014-02-27,47358.0,54298.0,51650.84868009379,53193.58,63554.684198168725,61779.843831494276,56967.71076710349,60767.4129322555
2014-02-28,60434.0,53338.0,54582.78409897337,50940.0917,65209.19200488664,67276.8262336164,60437.21757269298,64307.74527039868
2014-03-01,60828.0,58040.0,62394.39732316269,68050.75,80050.6077059397,86754.64887106357,78325.49710160884,81710.25122620404
2014-03-02,65313.0,43814.17,54934.96707806502,61604.0234,67626.8825829282,73308.69049998616,65453.700363696975,68796.42448220377
2014-03-03,61518.0,48786.0,52352.61251198176,55216.7334,62956.269293229205,70187.8897833846,64561.01714395336,65901.72540685572
2014-03-04,57205.0,51603.0,49977.946129550925,56870.5502,57541.573336868816,63507.28944346504,59572.569871078915,60207.14421713759
2014-03-05,62304.0,53945.0,51213.74422300729,57328.1,53839.90767069411,63118.88909228815,58151.658893690306,58370.15188555752
2014-03-06,52458.0,47358.0,49775.77547221168,56269.5185,63606.590739460225,65283.44866125012,62448.103134600766,63779.380845103704
2014-03-07,59424.0,60434.0,56674.74218288505,69612.62,65261.09854617814,70565.0024545455,68096.43524026303,67974.17874699556
2014-03-08,77569.0,60828.0,64388.007891646805,68374.48,80102.5142472312,83951.8255141702,79640.20512137708,81231.51496092616
2014-03-09,63947.0,65313.0,66702.18422143943,68101.9,67678.7891242197,73223.11790323158,72445.58671194076,71115.831246464
2014-03-10,61322.0,61518.0,53148.59405714221,61879.0634,63008.175834520705,64849.27886277303,64941.70292266204,64266.38587331859
2014-03-11,62399.0,57205.0,52023.64969159732,60711.68,57593.47987816032,60291.33733837525,60864.691260059735,59583.16949219844
2014-03-12,53776.0,62304.0,53827.417717372395,60273.8,53891.81421198561,59950.02462915519,59741.174199542744,57861.00434689451
2014-03-13,54897.0,52458.0,54913.75388316461,62107.81,63658.497280751726,64508.01564619755,65661.52616248072,64609.34636314333
2014-03-14,74186.0,59424.0,53069.45779546318,64674.31,65313.00508746964,65766.4668278421,66024.16363254146,65701.2118492844
2014-03-15,73714.0,77569.0,84482.78473451542,75789.91,80154.42078852271,91138.52628327477,91872.52896908189,87721.8253469598
2014-03-16,69636.0,63947.0,75533.32448469638,74149.81,67730.6956655112,77051.18871506905,78067.9219533396,74283.26877797328
2014-03-17,56931.0,61322.0,63311.130934384426,69324.16,63060.082375812206,69799.86327255351,71364.26160366816,68074.73575067795
2014-03-18,63467.0,62399.0,53536.93692452534,59843.92,57645.38641945182,59469.84767680716,61835.65223431308,59650.295443524024
2014-03-19,58730.0,53776.0,50407.53369156271,56802.14,53943.72075327711,59036.63042888853,57929.95637101049,56970.102517725376
2014-03-20,62568.0,54897.0,52915.485396696444,61717.58,63710.40382204323,63126.71918243265,64515.45742565991,63784.193476711924
2014-03-21,61478.0,74186.0,57405.751143652255,61888.67,65364.91162876114,66724.0093064685,68553.80586934868,66880.90893485944
2014-03-22,73802.0,73714.0,64681.27879459277,64266.79,80206.3273298142,80939.66435585554,79843.85518353526,80329.94895640167
2014-03-23,48120.0,69636.0,60193.05292193587,64796.86,67782.60220680271,68468.08256336875,68611.08131321936,68287.25536113027
2014-03-24,60331.0,56931.0,51479.622995742255,61409.8634,63111.98891710371,65637.9000874351,64272.745241226134,64340.87808192164
2014-03-25,60559.0,63467.0,53923.13297418246,61960.29,57697.29296074332,62349.89111161822,62190.26539796005,60745.816490107194
2014-03-26,51241.0,58730.0,53569.67128425453,64712.11,53995.627294568614,63309.014056386324,59924.84152111402,59076.494290689654
2014-03-27,57847.0,62568.0,52937.575927625636,61624.92,63762.31036333473,65248.067422143504,64516.3718690355,64508.916551504575
2014-03-28,86141.0,61478.0,56229.2924363291,66262.53,65416.81817005264,71861.33111864698,68210.80348762227,68496.3175921073
2014-03-29,92237.0,73802.0,65424.24608490901,65609.13,80258.23387110571,85117.30433951081,80438.09937438619,81937.8791950009
2014-03-30,67904.0,48120.0,60657.685902307145,55846.6317,67834.5087480942,76256.6111796438,69454.10925315187,71181.74306029662
2014-03-31,76969.0,60331.0,55583.69625965036,62555.6317,63163.89545839521,71211.63651975036,66880.16665943655,67085.23287919404
2014-04-01,59201.0,60559.0,57896.68701642656,61613.0,57749.19950203482,68185.0365166749,64074.25867865019,63336.16489911997
2014-04-02,71152.0,51241.0,57170.68062084291,58831.48,54047.533835860115,69416.29697495342,61667.77965058296,61710.5368204655
2014-04-03,61136.0,57847.0,56351.06953727529,59066.21,63814.21690462623,70361.88124945184,66089.47602977142,66755.1913946165
2014-04-04,64454.0,86141.0,65030.15291996425,64464.99,65468.72471134415,74688.52362731882,72541.76048629303,70899.66960831867
2014-04-05,77276.0,92237.0,77345.35028986106,73803.66,80310.14041239722,90419.80991074105,86819.17855212968,85849.70962508932
2014-04-06,80238.0,67904.0,68209.04735650467,64167.28,67886.41528938571,77995.15998603817,73107.71989595961,72996.43172379449
2014-04-07,58696.0,76969.0,62691.85982982253,59773.59,63215.80199968671,72558.25025097167,70321.09404742208,68698.38209936015
2014-04-08,58717.0,59201.0,58919.81981183651,68805.47,57801.10604332632,68766.28016269532,64869.85691307363,63812.41437303176
2014-04-09,70014.0,71152.0,59684.79612413922,58890.64,54099.440377151615,66464.39716142106,62970.72785369912,61178.1884640906
2014-04-10,63448.0,61136.0,57762.92018555528,72522.77,63866.12344591773,68904.97372732709,67034.84131434372,66601.97949586285
2014-04-11,71758.0,64454.0,63709.38161181105,68012.78,65520.63125263565,75189.5613681982,72284.45788549093,70998.2168354416
2014-04-12,63921.0,77276.0,72798.16590513362,79626.59,80362.04695368871,87040.00175510257,84436.42349465942,83946.15740115022
2014-04-13,64134.0,80238.0,72608.11665191302,79266.06,67938.3218306772,74720.9509014861,75723.46423711984,72794.24565642771
2014-04-14,75844.0,58696.0,57220.247418597064,59773.47,63267.70854097821,67926.06060641035,67431.41319873492,66208.3941153745
2014-04-15,60292.0,58717.0,59081.628083319294,67667.57,57853.01258461782,63979.57604852246,65115.995478370605,62316.19470383696
2014-04-16,57778.0,70014.0,60697.95258767111,56771.27,54151.346918443116,61874.356870728574,63755.8736189506,59927.1924693741
2014-04-17,67241.0,63448.0,60298.11854125064,70981.85,63918.02998720924,64303.20625839026,68693.64434211892,65638.29352923947
2014-04-18,92725.0,71758.0,62150.50439715578,64639.06,65572.53779392714,66926.2180279726,71315.23383937628,67937.99655375867
2014-04-19,94565.0,63921.0,69653.16289768563,75205.91,80413.95349498022,81279.69336693069,82889.15345723952,81527.60010638348
2014-04-20,51806.0,64134.0,63215.60343915661,66203.9,67990.22837196871,65548.1760039069,70367.79668723236,67968.73368770265
2014-04-21,71128.0,75844.0,62168.34112468602,60085.86,63319.61508226971,61918.77382286664,70292.76623531256,65177.05171348297
2014-04-22,53850.0,60292.0,58702.042955252444,64793.59,57904.91912590932,57616.279069461256,64987.35890811682,60169.5190344958
2014-04-23,62214.0,57778.0,55855.92767416996,59032.79,54203.253459734624,55499.124804453735,61137.778557532045,56946.718940573475
2014-04-24,79061.0,67241.0,59975.07305072353,55816.67,63969.93652850074,58367.03421894137,68556.75233338543,63631.24102694251
2014-04-25,74224.0,92725.0,73511.59221673204,77493.78,65624.44433521865,65777.47724838246,78066.43633275114,69822.7859721174
2014-04-26,91673.0,94565.0,81696.57125547803,74279.46,80465.86003627171,79503.32534043975,89873.63316481852,83280.93951384333
2014-04-27,66969.0,51806.0,65415.48044112222,62952.65,68042.1349132602,65929.82982756438,72104.5002321123,68692.15499097896
2014-04-28,54246.0,71128.0,65358.96230420539,68849.3,63371.52162356121,62381.59851033964,72493.6269372427,66082.24902371451
2014-04-29,68074.0,53850.0,56822.28297241997,59173.2,57956.82566720082,56094.79539414469,64087.54589935536,59379.722320233624
2014-04-30,69568.0,62214.0,62065.104827730276,62781.23,54255.160001026125,57988.4242002043,65026.30540643518,59089.963202555205
2014-05-01,56825.0,79061.0,66843.02816952021,68002.68,64021.84306979224,60336.051299577426,71943.04593409463,65433.64676782143
2014-05-02,77572.0,74224.0,66718.63117844655,68215.84,65676.35087651014,65524.00452624209,73598.77063835961,68266.37534703728
2014-05-03,76962.0,91673.0,80348.09048609756,77507.79,80517.76657756322,80818.81020785974,88467.45752599406,83268.01143713901
2014-05-04,62102.0,66969.0,75419.0531398374,78516.65,68094.04145455171,72026.5369101105,77363.97978796466,72494.8527175423
2014-05-05,69004.0,54246.0,59834.254898155574,56428.19,63423.42816485271,65329.77140326527,68778.40454955534,65843.86803922444
2014-05-06,53646.0,68074.0,63283.25553745592,63865.17,58008.73220849233,61835.537049379185,67175.43099705047,62339.90008497399
2014-05-07,58144.0,69568.0,66727.13260546008,63675.08,54307.066542317625,64561.19025319643,67135.98395207482,62001.41358252962
2014-05-08,68244.0,56825.0,62167.47664092619,65052.41,64073.74961108374,67528.02447360146,69622.65415429135,67074.80941299218
2014-05-09,65031.0,77572.0,69404.51465372927,75384.84,65728.25741780165,73368.75763950363,75330.53993208025,71475.85166312852
2014-05-10,90641.0,76962.0,73399.6998913855,75528.72,80569.67311885471,86325.31040809304,84595.5082486875,83830.16392521175
2014-05-11,68852.0,62102.0,70093.65854576448,68080.79,68145.9479958432,77178.47071595005,74303.54048266038,73209.31973148455
2014-05-12,69435.0,69004.0,67776.18325205256,69610.38,63475.33470614422,75523.18194509149,73536.97613048824,70845.16426057465
2014-05-13,60577.0,53646.0,60268.87174870867,65905.17,58060.63874978383,70486.5756657191,65729.8059068144,64759.00677410577
2014-05-14,55050.0,58144.0,60848.237426252235,57090.14,54358.973083609126,70929.0991295082,63861.12199275945,63049.73140195893
2014-05-15,57219.0,68244.0,65858.44348714186,62328.22,64125.65615237524,75732.35880547499,71818.50333140462,70558.8394297516
2014-05-16,59940.0,65031.0,71860.26597794045,71149.62,65780.16395909314,84800.35710329679,77229.5633454852,75936.69480262505
2014-05-17,75063.0,90641.0,84581.16286016494,73461.16,80621.57966014622,98257.25969966117,91377.64190469481,90085.49375483405
2014-05-18,54308.0,68852.0,68501.79322501118,61472.57,68197.85453713471,81984.93893601032,73324.716306055,74502.50325973335
2014-05-19,52151.0,69435.0,66656.96911795753,66466.26,63527.24124743572,81220.40673600917,72973.41684871442,72573.68827738643
2014-05-20,76131.0,60577.0,60244.41720045392,67730.25,58112.54529107533,75128.3485688108,65716.36308300085,66319.08564762899
2014-05-21,67548.0,55050.0,61263.2699641838,67263.74,54410.87962490063,76931.89334183745,64314.63498613307,65219.13598429039
2014-05-22,71566.0,57219.0,66304.70998773466,62673.76,64177.56269366674,82412.36777051946,72445.81691671547,73011.91579363389
2014-05-23,79831.0,59940.0,65860.9142520904,68550.5,65832.07050038465,85657.01537686717,73756.87563428044,75081.98717051075
2014-05-24,142828.0,75063.0,80137.04418946529,75987.27,80673.48620143771,101092.93424955742,89070.61666225726,90279.01237108414
2014-05-25,131289.0,54308.0,68979.19492066462,63248.23,68249.76107842622,86840.03044260194,74039.82522986244,76376.53891696353
2014-05-26,132591.0,52151.0,58184.76980084635,56813.6034,63579.14778872722,80136.19677316729,68209.63447920803,70641.65968036752
2014-05-27,59327.0,76131.0,67617.8382541231,67039.44,58164.45183236683,77243.97076952986,70108.00165293456,68505.47475161041
2014-05-28,70955.0,67548.0,66132.47597778529,61964.34,54462.78616619213,77165.01784424436,67217.80333688938,66281.86911577529
2014-05-29,48953.0,71566.0,63948.66858234549,62428.61,64229.46923495824,76992.28958994313,70846.6244725723,70689.46109915788
2014-05-30,63243.0,79831.0,71446.17727896005,78884.25,65883.97704167615,83371.88339157304,76958.66717602915,75404.8425364261
2014-05-31,72756.0,142828.0,92400.6883948063,75888.1,80725.39274272922,93774.37685792444,95468.1329228417,89989.30084116512
2014-06-01,64951.0,131289.0,84385.70481135798,69072.8,68301.66761971771,85760.51702545153,88568.21850069016,80876.8010486198
2014-06-02,63389.0,132591.0,79494.63906441338,71394.35,63631.05433001872,81426.76998060466,86319.855197907,77125.89316951012
2014-06-03,67838.0,59327.0,58302.317905159165,63230.63,58216.35837365833,75959.33168334,71181.17813851325,68452.28939850385
2014-06-04,57930.0,70955.0,62389.0261761774,63323.92,54514.69270748363,75228.92438586273,71341.69546946645,67028.4375209376
