Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,59124.0,72897.0,59115.19022324302,62638.8,57282.745177272,61764.765846140814,60409.62306087674,60721.20442803992
2014-01-29,53535.0,68068.0,60104.35610209916,63104.87,53580.25073604549,64136.76853626475,57291.46835843284,60166.898153510665
2014-01-30,43814.17,63701.0,58096.84376697581,60030.7166,63348.79298327867,65285.86101193933,63453.04004322078,60526.86680339886
2014-01-31,55382.0,55694.0,53214.505653864086,57158.2117,65003.10249149199,66591.03725093874,53537.865325545856,54636.86089313665
2014-02-01,63565.0,68986.0,61274.58094842861,68188.3832,79845.50944598869,84151.56599516516,72812.28515209278,67425.0831001738
2014-02-02,47161.0,68500.0,65339.39345019817,68190.183,67421.82631702535,69495.06477039072,58226.214188240796,63918.59687947966
2014-02-03,59616.0,56580.0,48069.95807560746,52830.000199999995,62751.84114358729,63596.519659363345,50149.55738850891,50349.83855470546
2014-02-04,47236.0,59124.0,54140.21667102963,57431.55,57337.320025716275,63717.14050566037,54614.47365225856,55395.41344109606
2014-02-05,49231.0,53535.0,49978.555998866475,55835.93,53634.825584489765,61833.0006585364,46073.39872728006,50629.29490871551
2014-02-06,49080.0,43814.17,50325.36958231261,52608.9551,63403.367831722935,65049.228107578776,55800.30407994686,52911.542920753156
2014-02-07,63110.0,55382.0,54159.76128013307,55994.4317,65057.67733993626,68480.94998992754,54872.48969238135,55008.89422417147
2014-02-08,68709.0,63565.0,61676.502180189564,68369.29,79900.08429443296,85610.63748549564,75479.18129655701,68508.32449224885
2014-02-09,72905.0,47161.0,62388.77329454649,58605.030199999994,67476.40116546961,69998.17830543606,58172.974560351984,59722.25935163282
2014-02-10,51029.0,59616.0,57719.94615542543,61565.2968,62806.41599203156,69142.76381602035,64342.02722607476,61209.09006050006
2014-02-11,50004.0,47236.0,49542.24730822831,56008.16189999999,57391.89487416054,59488.09709855712,48669.334472228016,51406.581226818766
2014-02-12,51667.0,49231.0,51323.37702265395,57103.9868,53689.400432934024,60782.00156288201,47666.74394702715,52031.36925656036
2014-02-13,64247.0,49080.0,53595.617892494054,56531.1517,63457.94268016721,63996.5941957907,58406.17592202005,56177.648504838035
2014-02-14,50115.0,63110.0,62522.35827290458,66686.8066,65112.252188380524,71186.98054580626,64953.95338770222,64721.039420202265
2014-02-15,130963.0,68709.0,59334.04440650478,75939.36940000001,79954.65914287724,80866.08437045992,69341.05636009104,68204.82338886528
2014-02-16,108253.0,72905.0,85625.80366997207,100482.42,67530.97601391388,87504.6244373196,91108.86283425192,92405.695501408
2014-02-17,90446.0,51029.0,66667.7944706527,96615.77,62860.990840475824,78029.1090004354,79734.65285519746,81006.07244195005
2014-02-18,51090.0,50004.0,64882.81371126752,76364.8017,57446.46972260481,67764.16701001252,69711.14396765451,70319.58645964068
2014-02-19,46273.0,51667.0,53950.72679656348,54168.7051,53743.9752813783,57657.749535696144,47826.132298775454,51981.85473177964
2014-02-20,54298.0,64247.0,55293.20399050442,57808.87,63512.517528611475,59588.97787404466,55363.01533234564,56155.02977428335
2014-02-21,53338.0,50115.0,56345.12797568475,53563.8534,65166.82703682479,66296.46723108535,55632.91734917011,55180.632908284955
2014-02-22,58040.0,130963.0,70502.54333530113,82551.41260000001,80009.2339913215,80172.202088753,74070.57629341692,75708.17740957269
2014-02-23,43814.17,108253.0,68616.73916455502,61192.54,67585.55086235814,66940.43093514173,55758.59242747718,61855.95719734407
2014-02-24,48786.0,90446.0,50665.91517658984,83770.89540000002,62915.56568892009,63422.51236475559,48526.64807491429,60987.81955050138
2014-02-25,51603.0,51090.0,48407.024357268725,53063.763399999996,57501.044571049075,62227.34024422463,47236.69950845718,49569.16242190864
2014-02-26,53945.0,46273.0,50114.45257809668,54809.2617,53798.55012982256,64735.76999801933,47547.95843336947,50823.89090382205
2014-02-27,47358.0,54298.0,54221.156243479025,54173.58,63567.09237705574,67971.40079018509,59548.635313154955,55981.12385221132
2014-02-28,60434.0,53338.0,52969.17520612276,59780.77,65221.40188526906,70050.24953866085,53311.928798957815,55353.958001693514
2014-03-01,60828.0,58040.0,60263.3967727369,66970.24,80063.80883976577,88127.67377360299,72673.4752947423,66635.70402249308
2014-03-02,65313.0,43814.17,59684.524335209615,60352.21,67640.12571080241,71018.35966914361,52830.61244106243,57622.44892542402
2014-03-03,61518.0,48786.0,54034.89860013241,51763.01739999998,62970.140537364365,70181.45276778852,58741.35798837469,54846.42466283569
2014-03-04,57205.0,51603.0,55646.70581892864,56101.9485,57555.61941949334,65091.05907461175,55225.34654036317,55658.00028643061
2014-03-05,62304.0,53945.0,56614.90281593398,58482.6,53853.12497826683,65065.570273673424,52635.19268846862,55910.898501467535
2014-03-06,52458.0,47358.0,59308.39734866384,57347.87,63621.66722550001,68750.0998197207,64942.92752475691,60533.06495780692
2014-03-07,59424.0,60434.0,60482.99098112251,60050.78,65275.97673371332,69195.1730180512,59167.612088106674,59900.4610230764
2014-03-08,77569.0,60828.0,64266.86118571012,71907.44,80118.38368821004,84325.95902252008,75278.29360297784,70484.19826289598
2014-03-09,63947.0,65313.0,72247.68810913656,68292.98,67694.70055924667,72381.31939014017,66098.19891987627,68879.62234300429
2014-03-10,61322.0,61518.0,58068.96093546615,63215.26,63024.71538580863,66832.37393155311,60637.094924208366,60640.43861989151
2014-03-11,62399.0,57205.0,58041.411176616995,60062.12,57610.19426793761,62572.69540889215,56485.1066207116,58196.21259910953
2014-03-12,53776.0,62304.0,61109.13147004317,65826.38,53907.699826711105,64274.184446299674,56939.4407839202,61291.65075132113
2014-03-13,54897.0,52458.0,57530.336166626075,59295.83,63676.242073944275,64620.05361525591,60539.480370389545,59121.88217900521
2014-03-14,74186.0,59424.0,60771.631385503504,62258.5,65330.55158215759,68639.98719410624,59690.18413109171,60906.77183886507
2014-03-15,73714.0,77569.0,71957.34324242866,75965.7666,80172.9585366543,87299.12627894312,84206.5092290765,77376.53969050171
2014-03-16,69636.0,63947.0,71229.21041362316,67153.49,67749.27540769095,70210.24490249765,64095.64354810207,67492.78132057509
2014-03-17,56931.0,61322.0,60645.34121799754,62967.38,63079.2902342529,67534.86364357981,64072.62594548328,62561.78238782694
2014-03-18,63467.0,62399.0,57797.6477430467,59533.01,57664.769116381874,60767.22846991358,54579.10033843186,57303.25269382619
