ds,trend,weekly,yearly
2014-01-28,79175.04856992463,-2129.519527694148,354.9073929245599
2014-01-29,79195.09773983392,-3393.2974483747907,-236.58256638881687
2014-01-30,79215.14690974318,-1471.6121634364865,-788.7959959344241
2014-01-31,79235.19607965247,849.8311251721314,-1299.5586930395214
2014-02-01,79255.24524956173,12415.971682886604,-1766.809082045631
2014-02-02,79275.29441947101,-5700.175454353919,-2188.682058282583
2014-02-03,79295.34358938028,-571.1982141674014,-2563.595183185536
2014-02-04,79315.39275928958,-2129.519527685571,-2890.3340603512047
2014-02-05,79335.44192919883,-3393.2974483416288,-3168.1336481155095
2014-02-06,79355.49109910813,-1471.612163466089,-3396.7522965538187
2014-02-07,79375.5402690174,849.8311251550545,-3576.535436361324
2014-02-08,79395.58943892668,12415.971682884072,-3708.4660912411755
2014-02-09,79415.63860883594,-5700.175454347046,-3794.199728155507
2014-02-10,79435.68777874522,-571.1982141708971,-3836.0813920834726
2014-02-11,79455.73694865449,-2129.519527712874,-3837.1435815524264
2014-02-12,79475.78611856377,-3393.297448353091,-3801.083893672555
2014-02-13,79495.83528847304,-1471.6121634858453,-3732.222085854013
2014-02-14,79515.88445838232,849.8311251581731,-3635.436847350558
2014-02-15,79535.93362829159,12415.971682881538,-3516.083227688919
2014-02-16,79555.98279820087,-5700.175454344232,-3379.8923107629466
2014-02-17,79576.03196811014,-571.1982141557327,-3232.8553328053317
2014-02-18,79596.08113801944,-2129.5195277042967,-3081.0950002553545
2014-02-19,79616.1303079287,-3393.2974483645526,-2930.7272514464344
2014-02-20,79636.17947783798,-1471.612163445185,-2787.71710795737
2014-02-21,79656.22864774725,849.8311251224237,-2657.732563124688
2014-02-22,79676.27781765653,12415.971682884187,-2546.000645791689
2014-02-23,79696.3269875658,-5700.175454348128,-2457.169868486331
2014-02-24,79716.37615747508,-571.1982141350172,-2395.1832165914057
2014-02-25,79736.42532738435,-2129.5195277285793,-2363.1656575412153
2014-02-26,79756.47449729363,-3393.297448376016,-2363.329849503197
2014-02-27,79776.5236672029,-1471.612163474787,-2396.90331369312
2014-02-28,79796.57283711218,849.8311251442138,-2464.0798134142515
2014-03-01,79816.62200702145,12415.971682881653,-2563.9970692077513
2014-03-02,79836.67117693074,-5700.175454352024,-2694.742249341548
2014-03-03,79856.72034684001,-571.198214192486,-2853.385926773076
2014-03-04,79876.7695167493,-2129.5195276901636,-3036.044408336091
2014-03-05,79896.81868665856,-3393.2974483428534,-3237.9695410914173
2014-03-06,79916.86785656784,-1471.6121634643348,-3453.6643074431713
