Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,59124.0,72897.0,61533.044479255375,59629.85,57282.745177272,60483.135833227585,59056.72202478843,60548.67677082765
2014-01-29,53535.0,68068.0,61451.51058132369,60413.25,53580.25073604549,60053.38429936535,55522.40673689876,60639.38162689635
2014-01-30,43814.17,63701.0,58054.99706823011,57817.37,63348.79298327867,59837.65630034862,58561.24254095777,58570.00778952625
2014-01-31,55382.0,55694.0,54547.983477342525,56584.67,65003.10249149199,57870.58545887482,55279.04085699792,56334.41297873911
2014-02-01,63565.0,68986.0,65929.4513289565,64250.36,79845.50944598869,68697.07094060228,64887.31211919593,66292.29408985293
2014-02-02,47161.0,68500.0,55915.15986308463,60965.7,67421.82631702535,56183.72382030608,53409.21447749152,57688.19456113023
2014-02-03,59616.0,56580.0,53428.10299333032,54046.4719,62751.84114358729,54971.75019922081,52819.474240452604,54148.775030850375
2014-02-04,47236.0,59124.0,52876.51115828775,51918.1517,57337.320025716275,55439.40973878383,54047.53112072178,53411.35753235719
2014-02-05,49231.0,53535.0,50202.09647615174,51987.55,53634.825584489765,53363.58164698522,49383.03152511822,51851.07604104566
2014-02-06,49080.0,43814.17,50502.95860560708,50943.2368,63403.367831722935,56456.73075841456,54786.18832027324,52634.30872134055
2014-02-07,63110.0,55382.0,56476.614724154424,56593.1034,65057.67733993626,61880.257925182275,58858.797537925566,58316.65868311224
2014-02-08,68709.0,63565.0,69822.51983140035,73428.75,79900.08429443296,73856.39088514163,69355.2908245257,72369.22023884732
2014-02-09,72905.0,47161.0,60102.94684141301,63713.6617,67476.40116546961,61172.72306115388,57476.68064506853,61663.110534188956
2014-02-10,51029.0,59616.0,57049.73426152961,60066.2434,62806.41599203156,55567.79685404137,52119.08210433095,57561.25817185699
2014-02-11,50004.0,47236.0,58252.561677696816,57830.6368,57391.89487416054,61597.87864149106,59686.35912714721,59227.02570639595
2014-02-12,51667.0,49231.0,58838.57713041498,56819.9534,53689.400432934024,61409.91497353574,56232.03775381739,59022.81516798358
2014-02-13,64247.0,49080.0,61201.544799508774,60131.0,63457.94268016721,65409.984593007044,63060.36139298312,62247.50979750528
2014-02-14,50115.0,63110.0,68953.8987325376,70201.81,65112.252188380524,71170.15893420254,66757.13873327189,70108.62255558003
2014-02-15,130963.0,68709.0,126551.54790212316,144565.77060000005,79954.65914287724,137475.87421063433,130588.42748747734,136197.73090425253
2014-02-16,108253.0,72905.0,124173.66320132805,125016.56620000002,67530.97601391388,122196.04101161454,113849.63745545762,123795.42347098088
2014-02-17,90446.0,51029.0,94436.85067993164,106300.0898,62860.990840475824,97056.2381552252,92240.66409861518,99264.39287838561
2014-02-18,51090.0,50004.0,61970.84330244911,60138.3534,57446.46972260481,51749.81577735847,37567.35536730005,57953.00415993587
2014-02-19,46273.0,51667.0,62081.730770859904,52550.775299999994,53743.9752813783,54233.57328550834,38577.05628825494,56288.693118789415
2014-02-20,54298.0,64247.0,60282.36683250489,54850.006799999996,63512.517528611475,56746.032219078756,43237.89251639559,57292.80195052788
2014-02-21,53338.0,50115.0,61283.12393604957,54613.9234,65166.82703682479,58558.3597088608,41818.153900536214,58151.802348303456
2014-02-22,58040.0,130963.0,75115.81774301565,73520.78,80009.2339913215,72572.93424060811,55805.582225056176,73736.51066120791
2014-02-23,43814.17,108253.0,60565.41503011571,58230.39,67585.55086235814,61634.60551312764,43029.0519028416,60143.47018108112
2014-02-24,48786.0,90446.0,52303.83996443052,55576.9434,62915.56568892009,59850.66743208912,39011.51675511823,55910.48359883988
2014-02-25,51603.0,51090.0,48374.75635072464,52081.356799999994,57501.044571049075,61424.15664576721,39321.20364524725,53960.089932163944
2014-02-26,53945.0,46273.0,47819.67074695992,53690.4017,53798.55012982256,59927.40898554787,34249.16955091714,53812.493810835935
2014-02-27,47358.0,54298.0,46330.887289250735,54459.8217,63567.09237705574,60108.00815361539,37263.590692932936,53632.9057142887
2014-02-28,60434.0,53338.0,47135.08776954669,56604.27,65221.40188526906,62396.19997426038,37571.67052057475,55378.519247935685
2014-03-01,60828.0,58040.0,56511.52300370508,68970.87,80063.80883976577,71380.24536601792,44512.775358200335,65620.87945657433
2014-03-02,65313.0,43814.17,50434.26464366026,60944.47,67640.12571080241,62493.888816247956,36895.93184953804,57957.541153302736
2014-03-03,61518.0,48786.0,51588.4246395902,53398.97529999999,62970.140537364365,61471.25812634162,35864.94643955068,55486.219355310604
2014-03-04,57205.0,51603.0,50910.04734306167,54509.51,57555.61941949334,61948.46623817475,38251.05749216678,55789.34119374547
2014-03-05,62304.0,53945.0,51595.563786570536,57009.8317,53853.12497826683,61613.41740088338,35195.0882815242,56739.60429581798
2014-03-06,52458.0,47358.0,51658.569087371274,56508.67,63621.66722550001,62956.272777243954,39219.98700361076,57041.17062153841
2014-03-07,59424.0,60434.0,55916.96893356519,60870.301699999996,65275.97673371332,68508.99727897788,43285.366018489796,61765.42263751436
2014-03-08,77569.0,60828.0,63848.33404837705,71361.86,80118.38368821004,76250.39689488358,49635.527100420084,70486.86364775355
2014-03-09,63947.0,65313.0,59811.639754833624,62864.81,67694.70055924667,67227.64205043713,41544.8680859074,63301.36393509025
2014-03-10,61322.0,61518.0,56510.07588920887,57750.0,63024.71538580863,64327.028371560176,39223.65280604924,59529.03475358969
2014-03-11,62399.0,57205.0,53614.16810869015,59618.53,57610.19426793761,63471.28428022619,39832.30074126266,58901.32746297211
2014-03-12,53776.0,62304.0,55023.89319722033,58865.6,53907.699826711105,63225.721191341916,36811.81172663483,59038.40479618742
2014-03-13,54897.0,52458.0,54694.60819550651,56072.115099999995,63676.242073944275,67024.55709754747,43212.80319652693,59263.76013101798
2014-03-14,74186.0,59424.0,61221.58732437274,65074.81,65330.55158215759,72520.16429916589,47528.61410480946,66272.1872078462
2014-03-15,73714.0,77569.0,73545.54368563739,81579.45,80172.9585366543,83025.8700095823,56388.13740560546,79383.62123173989
2014-03-16,69636.0,63947.0,63997.81339295808,70418.49,67749.27540769095,71452.83601617775,45935.069706570495,68623.04646971195
2014-03-17,56931.0,61322.0,59820.15594229236,61397.51,63079.2902342529,66753.42872923434,41345.39865707207,62657.031557175564
2014-03-18,63467.0,62399.0,57616.47406112526,59201.46,57664.769116381874,68155.87736687818,44405.7570680928,61657.937142667804
2014-03-19,58730.0,53776.0,58246.19927876493,60579.05,53962.274675155364,66466.6998342446,39700.48556723261,61763.98303766985
2014-03-20,62568.0,54897.0,57860.63566814874,60863.5617,63730.81692238854,68826.92244845806,45032.61822763621,62517.03993886893
2014-03-21,61478.0,74186.0,63358.651799863685,66101.98,65385.126430601864,73084.18124268804,48064.09740801419,67514.93768085058
2014-03-22,73802.0,73714.0,71592.62967697105,78696.56,80227.53338509856,83071.07901281443,56505.95756529643,77786.7562299285
2014-03-23,48120.0,69636.0,64635.16757842502,67319.56,67803.85025613522,73052.20976381935,47054.850426994,68335.64578074812
2014-03-24,60331.0,56931.0,56173.5367374255,59410.85,63133.865082697164,67905.42489018149,42206.29364335915,61163.27054253566
2014-03-25,60559.0,63467.0,60238.147970312486,63415.85,57719.34396482614,72372.54870760112,47772.08955478793,65342.1822259712
2014-03-26,51241.0,58730.0,58410.926132136316,59974.5417,54016.84952359964,69343.03239071342,41847.124127060684,62576.166740949906
2014-03-27,57847.0,62568.0,59461.91052346179,61477.61,63785.39177083281,73880.902859125,49659.35577093324,64940.141127528936
2014-03-28,86141.0,61478.0,64478.27697837779,65121.77,65439.70127904613,78937.4896843192,52450.47745538358,69512.51222089899
2014-03-29,92237.0,73802.0,75664.12430708988,81163.42,80282.10823354284,86238.74053921743,58294.278353431466,81022.0949487691
2014-03-30,67904.0,48120.0,67129.55458450869,70483.29,67858.42510457948,73878.52776337684,47014.47008841482,70497.12411596184
2014-03-31,76969.0,60331.0,63972.9549626216,60550.48,63188.43993114143,69361.1700316145,45128.17922510441,64628.201664745364
2014-04-01,59201.0,60559.0,63609.71275188943,60536.11,57773.918813270415,69367.72311155053,46337.965784202795,64504.51528781332
2014-04-02,71152.0,51241.0,61741.84343380257,55994.0117,54071.4243720439,67103.71505843232,42436.71442598042,61613.19006407829
2014-04-03,61136.0,57847.0,63871.650540833725,62573.3517,63839.966619277075,69150.49722856858,47464.72052365934,65198.4998231341
2014-04-04,64454.0,86141.0,68060.21955917694,67249.16,65494.2761274904,73342.45850787754,51385.04521816778,69550.61268901816
2014-04-05,77276.0,92237.0,77830.9396561038,75172.1,80336.68308198711,84517.80552190938,61191.615421952185,79173.61505933774
2014-04-06,80238.0,67904.0,69144.35905792822,68652.26,67912.99995302375,73067.85224934491,50230.90115173129,70288.15710242437
2014-04-07,58696.0,76969.0,64772.9736411833,66116.33,63243.0147795857,67032.78541817368,44531.852047816195,65974.02968645233
2014-04-08,58717.0,59201.0,61550.13874350331,59967.12,57828.49366171468,68188.0817559451,47914.88093822687,63235.113499816136
2014-04-09,70014.0,71152.0,61935.242892941475,61525.45,54125.99922048817,67128.92417729968,44452.14864134957,63529.872356747044
2014-04-10,63448.0,61136.0,61792.0587355245,62791.58,63894.54146772135,68207.20592619653,47999.7186590655,64263.61488724034
2014-04-11,71758.0,64454.0,65743.28152767906,62753.93,65548.85097593466,71406.28303953358,50755.44495332724,66634.49818907089
2014-04-12,63921.0,77276.0,76944.9812295383,84029.7166,80391.25793043137,81366.00442041227,60045.71894514538,80780.23408331686
2014-04-13,64134.0,80238.0,67912.5444749294,67356.93,67967.57480146801,71669.65894537781,51956.32555588431,68979.7111401024
2014-04-14,75844.0,58696.0,61867.08591107995,61281.86,63297.589628029964,65844.76017130187,45697.68229402145,62997.90202746061
2014-04-15,60292.0,58717.0,65826.88011522155,63097.79,57883.06851015895,68533.08342952128,50344.278731241735,65819.25118158094
2014-04-16,57778.0,70014.0,64754.66813221217,61889.93,54180.57406893243,67459.60297201561,47454.39145515831,64701.400368075934
2014-04-17,67241.0,63448.0,65502.704120306444,65104.39,63949.116316165615,70757.94993839771,53975.73657346611,67121.68135290139
2014-04-18,92725.0,71758.0,78010.90557216664,75347.08,65603.42582437894,81643.28784792376,63343.64216585319,78333.7578066968
2014-04-19,94565.0,63921.0,85797.04282691907,90494.24,80445.83277887564,86968.75539258198,66494.69922620448,87753.346073167
2014-04-20,51806.0,64134.0,77525.75285715959,76592.07,68022.14964991229,73875.40418622838,55671.72997472726,75997.742347796
2014-04-21,71128.0,75844.0,70049.03410729114,67455.7,63352.16447647423,70368.78499662041,53991.323832257636,69291.17303463719
2014-04-22,53850.0,60292.0,66184.6823876299,62692.45,57937.643358603214,66074.73897061516,50549.36503273178,64983.95711941502
2014-04-23,62214.0,57778.0,63308.185958624235,60271.46,54235.148917376704,64034.11187101142,46240.545194963495,62537.91927654521
2014-04-24,79061.0,67241.0,68744.66772743818,63699.51,64003.69116460988,70171.51434438325,55478.260662498666,67538.56402394047
2014-04-25,74224.0,92725.0,71858.49119666273,70939.22,65658.0006728232,70607.85096027429,54373.636003237945,71135.18738564568
2014-04-26,91673.0,94565.0,80774.78575608031,88350.86660000001,80500.40762731992,81840.58861806514,64268.37556820654,83655.41365804848
