ds,trend,weekly,yearly
2014-01-28,77585.86758882654,701.1435022728753,-9700.510673221277
2014-01-29,77601.33188418696,-966.0813735522574,-10291.927762464498
2014-01-30,77616.7961795474,751.8043605844646,-10825.331539246128
2014-01-31,77632.2604749078,473.0456765885355,-11296.680446931414
2014-02-01,77647.72477026822,1608.8388265600588,-11702.60900866043
2014-02-02,77663.18906562864,-2276.264069166682,-12040.544998660314
2014-02-03,77678.65336098906,-292.486923282548,-12308.805149217755
2014-02-04,77694.11765634948,701.1435022746138,-12506.66651398936
2014-02-05,77709.5819517099,-966.0813735457216,-12634.411344354256
2014-02-06,77725.0462470703,751.8043605791471,-12693.344130338188
2014-02-07,77740.51054243074,473.04567658807173,-12685.780287604248
2014-02-08,77755.97483779116,1608.8388265576737,-12615.006812804762
2014-02-09,77771.43913315158,-2276.2640691604565,-12485.216056404974
2014-02-10,77786.903428512,-292.4869232828173,-12301.414551019592
2014-02-11,77802.36772387242,701.1435022686425,-12069.309561243677
2014-02-12,77817.83201923282,-966.0813735480281,-11795.176667072119
2014-02-13,77833.29631459324,751.8043605770881,-11485.71223874805
2014-02-14,77848.76060995368,473.0456765876585,-11147.875090639698
2014-02-15,77864.2249053141,1608.8388265552885,-10788.721903705013
2014-02-16,77879.6892006745,-2276.264069163688,-10415.24117177306
2014-02-17,77895.15349603494,-292.4869232795707,-10034.190452166313
2014-02-18,77910.61779139536,701.1435022703812,-9651.941585967515
2014-02-19,77926.08208675576,-966.0813735503343,-9274.338301381531
2014-02-20,77941.54638211618,751.804360583425,-8906.570233329207
2014-02-21,77957.01067747662,473.04567658546733,-8553.066895026592
2014-02-22,77972.47497283702,1608.83882656044,-8217.414538248418
2014-02-23,77987.93926819744,-2276.2640691630304,-7902.2981559274585
2014-02-24,78003.40356355786,-292.4869232724043,-7609.470134235726
2014-02-25,78018.86785891828,701.143502264289,-7339.746273390963
2014-02-26,78034.3321542787,-966.0813735526409,-7093.029090430757
2014-02-27,78049.79644963912,751.8043605781075,-6868.357516745463
2014-02-28,78065.26074499953,473.0456765867809,-6663.98133175976
2014-03-01,78080.72504035996,1608.838826558055,-6477.457954255105
2014-03-02,78096.18933572038,-2276.264069162372,-6305.768565432405
2014-03-03,78111.65363108079,-292.4869232914642,-6145.449981514466
2014-03-04,78127.11792644122,701.1435022739795,-5992.73824462436
2014-03-05,78142.58222180164,-966.0813735461049,-5843.719571474978
2014-03-06,78158.04651716205,751.8043605802465,-5694.48409940442
2014-03-07,78173.51081252247,473.0456765872058,-5541.277803928318
2014-03-08,78188.9751078829,1608.8388265582664,-5380.648032508187
2014-03-09,78204.4394032433,-2276.264069161714,-5209.5783034815595
2014-03-10,78219.90369860372,-292.4869232956533,-5025.60835018557
2014-03-11,78235.36799396416,701.1435022678874,-4826.935838546675
2014-03-12,78250.83228932456,-966.0813735484116,-4612.496737903358
