Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX
2014-01-28,17835.0,19149.0,19728.87213382944,19648.83,14732.093169604668,16587.52603470752,15004.112717953127
2014-01-29,14361.0,18162.0,18865.493411033556,19534.65,14965.29956210468,15757.179192901749,16457.82335276541
2014-01-30,13556.0,18322.0,19652.80281448661,20661.62,16839.17745112984,17380.32083739956,17919.658618998135
2014-01-31,13370.0,17856.0,20218.210454304295,20496.59,18183.670528733724,18830.492004871834,17606.85463733006
2014-02-01,18657.0,22286.0,24386.002261074693,20775.38,22512.84777022172,23003.805530475143,20417.10348335884
2014-02-02,13645.0,17725.0,22265.539562116657,19628.82,18597.31446426817,19384.785495297376,15989.822769924376
2014-02-03,14549.0,15893.0,19120.937007130327,19866.32,17499.884961569238,17867.566805911665,14308.592622234966
2014-02-04,13891.0,17835.0,19517.466660995422,18757.11,14816.065952248926,15681.406793343496,14866.575932913916
2014-02-05,13455.0,14361.0,19352.38645364075,20160.06,15049.272344748937,15979.919355927526,14407.33659169864
2014-02-06,13207.31,13556.0,18806.44299678959,21847.76,16923.150233774097,17317.947254257266,17420.790194943125
2014-02-07,15574.0,13370.0,19210.922453456056,22376.41,18267.643311377982,18879.772124800733,19023.21480132997
2014-02-08,18417.0,18657.0,21396.763481412992,21639.5627,22596.820552865975,22240.979920714304,20952.22226068989
2014-02-09,20097.0,13645.0,20664.113932742177,20436.37,18681.287246912427,19708.497938541506,15569.805890732614
2014-02-10,13207.31,14549.0,18778.408675360028,20071.72,17583.857744213496,18564.329442811035,14408.54645114149
2014-02-11,16631.0,13891.0,17693.167217056936,19949.15,14900.038734893184,16271.811229914601,15250.019794099682
2014-02-12,13647.0,13455.0,18280.207643224752,20023.66,15133.245127393195,16559.325092548526,15473.352927371358
2014-02-13,17997.0,13207.31,17907.882054241472,22484.44,17007.123016418354,18026.85361119829,16497.06450589978
2014-02-14,16904.0,15574.0,19266.017507520643,20620.67,18351.61609402224,19723.186441806367,17975.058943607037
2014-02-15,34183.0,18417.0,27158.527352008492,33674.2594,22680.793335510236,26778.040541589675,38066.22313429956
2014-02-16,32607.0,20097.0,23341.88986328439,22153.34,18765.260029556684,21277.77289297135,32976.20209603511
2014-02-17,26286.0,13207.31,21031.01023662828,34045.8327,17667.830526857753,21434.704875762967,32237.413584102214
2014-02-18,13207.31,16631.0,18244.691207431883,17853.99,14984.011517537441,17372.584891964543,14972.383894886032
2014-02-19,17922.0,13647.0,17499.038617856168,19481.56,15217.217910037452,17358.172253022225,15165.916464637765
2014-02-20,14285.0,17997.0,18387.253335656642,18522.01,17091.095799062612,18510.336474762942,18152.250909462353
2014-02-21,15622.0,16904.0,18117.80419291459,18743.61,18435.588876666494,19853.314943594978,19293.021928756607
2014-02-22,18265.0,34183.0,24595.907852071305,24770.3,22764.76611815449,23127.48291095592,20485.470876030566
2014-02-23,13997.0,32607.0,23238.749884721485,20475.86,18849.232812200942,19423.688275976237,15309.507426729175
2014-02-24,13689.0,26286.0,19187.49323910261,19035.59,17751.80330950201,18295.938234864803,15229.721507803832
2014-02-25,17019.0,13207.31,17292.11974838327,21204.29,15067.984300181699,17730.8445263581,15319.893252817628
2014-02-26,16634.0,17922.0,17361.55724461337,18393.94,15301.19069268171,16407.555773823566,15247.177332596597
2014-02-27,13207.31,14285.0,16539.71072218629,20122.65,17175.06858170687,17937.758988394507,16394.618788807264
2014-02-28,16335.0,15622.0,16787.22291768336,22260.1,18519.56165931075,18837.174534916372,17582.499133993122
2014-03-01,17062.0,18265.0,20279.341704048988,21516.6727,22848.73890079875,24862.80315563337,19963.12024465164
2014-03-02,19403.0,13997.0,18315.148873647,21143.9,18933.2055948452,21121.96213878459,14727.855994085763
