Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,17835.0,19149.0,16498.26456215798,17599.58,14732.093169604668,15723.080662179087,16379.63371029486,16200.326311543977
2014-01-29,14361.0,18162.0,17633.619320904607,17605.99,14965.29956210468,16760.851678755294,18046.71863306967,17480.39654424319
2014-01-30,13556.0,18322.0,16366.178919473394,18815.3327,16839.17745112984,17173.298546477283,17398.42374307264,16979.300403007772
2014-01-31,13370.0,17856.0,16103.205815622478,21261.9327,18183.670528733724,17799.414845417305,16988.046405596862,16963.55568887888
2014-02-01,18657.0,22286.0,16844.778709238042,22831.2654,22512.84777022172,22055.57992058675,20245.47555854754,19715.278062790778
2014-02-02,13645.0,17725.0,19161.48930438478,20281.5481,18597.31446426817,18787.066102685276,17414.65647095091,18454.403959340325
2014-02-03,14549.0,15893.0,13701.05624366947,21519.18,17499.884961569238,16783.80634225023,15077.92318139069,15187.595255770131
2014-02-04,13891.0,17835.0,14687.735630214069,22393.36,14816.065952248926,15423.227432655227,13934.396102547084,14681.786388472128
2014-02-05,13455.0,14361.0,14462.19657139267,19293.75,15049.272344748937,15905.489485811451,14661.93478973733,15009.87361564715
2014-02-06,13207.31,13556.0,14642.482207979705,21360.5427,16923.150233774097,17482.25018384023,15872.246249515236,15998.992880445056
2014-02-07,15574.0,13370.0,14995.43380075638,24039.3181,18267.643311377982,18207.51630935378,16056.980328743091,16419.97681295108
2014-02-08,18417.0,18657.0,17105.663982098384,29385.491000000005,22596.820552865975,22888.115709078706,21159.4506430235,20384.410111400197
2014-02-09,20097.0,13645.0,18301.12353433219,20364.3054,18681.287246912427,18932.84939121146,16745.755412986062,17993.242779509907
2014-02-10,13207.31,14549.0,16184.509928343385,22081.89,17583.857744213496,19108.747356525757,18597.976563784403,17963.74461621785
2014-02-11,16631.0,13891.0,13677.753770011946,23562.73,14900.038734893184,15175.876964178562,12904.219849639127,13919.283527943211
2014-02-12,13647.0,13455.0,15709.879371375911,22223.67,15133.245127393195,16902.52608796723,16302.914697056438,16305.106718799861
2014-02-13,17997.0,13207.31,14978.462322225814,20458.78,17007.123016418354,17574.87872430539,16127.940469497174,16227.093838676126
2014-02-14,16904.0,15574.0,17808.021417815205,21345.4427,18351.61609402224,19711.738032377143,19357.6107534505,18959.123401214285
2014-02-15,34183.0,18417.0,18216.715040331204,25591.608600000003,22680.793335510236,23375.82379587454,22305.99016558097,21299.509667262242
2014-02-16,32607.0,20097.0,25500.72821515932,23159.6427,18765.260029556684,24649.410035322657,25916.8866019647,25355.67495081556
2014-02-17,26286.0,13207.31,21369.30429842373,25206.14,17667.830526857753,23927.37762924391,25503.60112318939,23600.09435028568
2014-02-18,13207.31,16631.0,20459.37386079387,25583.34,14984.011517537441,19140.309074899873,21057.919610837096,20219.200848843615
2014-02-19,17922.0,13647.0,14964.75397386669,21958.65,15217.217910037452,15247.57448340138,14370.96766422596,14861.098707164676
2014-02-20,14285.0,17997.0,18218.68551144356,19904.7127,17091.095799062612,18224.28447452543,19184.48670537388,18542.485563780956
