Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,17835.0,19149.0,17794.553542184054,17808.35,14732.085745114844,15642.461114827664,17835.000000368593,17090.671552460106
2014-01-29,14361.0,18162.0,17877.37832188223,17449.55,14965.261535549593,14811.767577580325,14361.000000365873,15683.381966609477
2014-01-30,13556.0,18322.0,17328.503290614597,16905.23,16839.113937683847,15691.274180321441,13556.00000036639,15525.259157100809
2014-01-31,13370.0,17856.0,16605.305390726917,18971.32,18183.573060956343,15277.964234545469,13370.000000365866,15084.423208546083
2014-02-01,18657.0,22286.0,18805.275130889582,20024.53,22512.748346627883,17768.52958552715,18657.000000366155,18410.26823892763
2014-02-02,13645.0,17725.0,16429.41038113358,18730.54,18597.160440320808,14317.2354231867,13645.000000363047,14797.215268227776
2014-02-03,14549.0,15893.0,16344.38028337447,16833.15,17499.70600102873,14506.390354180809,14549.000000374079,15133.256879309787
2014-02-04,13891.0,17835.0,15377.53759915199,17057.7,14815.809351989126,14177.331382892075,13891.000000373328,14481.956327472464
2014-02-05,13455.0,14361.0,14719.625298168074,16884.37,15048.985142423875,13234.50470823671,13455.00000037061,13803.043335591798
2014-02-06,13207.31,13556.0,14933.875894921452,17180.45,16922.83754455813,14849.78485997914,13207.310000371122,14330.323585090571
2014-02-07,15574.0,13370.0,16163.524436168645,19492.7,18267.296667830626,16070.956864302778,15574.000000370597,15936.160433614006
2014-02-08,18417.0,18657.0,19653.478704448273,21632.77,22596.47195350216,19292.497869495524,18417.000000370896,19120.992191438232
2014-02-09,20097.0,13645.0,17601.784458518436,19897.19,18680.884047195086,16411.97377499826,20097.00000036778,18036.919411294828
2014-02-10,13207.31,14549.0,16795.631768812007,17799.45,17583.42960790301,15113.196678217582,13207.31000037882,15038.7128158028
2014-02-11,16631.0,13891.0,16866.13682441137,18878.73,14899.532958863409,16353.834222739963,16631.00000037807,16616.990349176467
2014-02-12,13647.0,13455.0,16732.676939846904,18887.35,15132.708749298157,15645.562096341404,13647.000000375341,15341.746345521218
2014-02-13,17997.0,13207.31,17728.94391620982,19683.66,17006.561151432412,17953.52724276764,17997.000000375865,17893.157053117775
2014-02-14,16904.0,15574.0,19948.973506469483,21323.18,18351.020274704908,19416.20708335052,16904.00000037534,18756.393530065117
2014-02-15,34183.0,18417.0,36555.57627911835,38318.1724,22680.195560376444,38741.949536032036,34183.00000037562,36493.50860517534
2014-02-16,32607.0,20097.0,36004.4942773988,36613.9881,18764.60765406937,35122.161323050736,32607.00000037252,34577.885200274024
2014-02-17,26286.0,13207.31,29450.46491923474,29802.24,17667.153214777292,29544.111956237233,26286.000000383556,28426.85895861851
2014-02-18,13207.31,16631.0,18847.637347635686,19742.34,14983.256565737687,14787.22092570788,13207.310000382808,15614.056091242126
2014-02-19,17922.0,13647.0,16964.859420786146,18601.32,15216.432356172436,14337.168478623069,17922.00000038009,16408.009299929767
2014-02-20,14285.0,17997.0,16957.502347679118,18060.84,17090.284758306694,14871.02807703874,14285.000000380598,15371.176808366152
2014-02-21,15622.0,16904.0,18520.065524843012,19897.18,18434.74388157919,16365.284588223763,15622.000000380069,16835.783371148947
2014-02-22,18265.0,34183.0,21149.378653540716,21954.8,22763.919167250726,19449.409341205348,18265.000000380365,19621.262665042144
2014-02-23,13997.0,32607.0,17685.458217951033,20147.03,18848.33126094365,16559.917631195738,13997.000000377266,16080.791949841345
2014-02-24,13689.0,26286.0,15553.689222841886,17278.93,17750.876821651575,15897.410144158901,13689.0000003883,15046.699789129694
2014-02-25,17019.0,13207.31,14092.664580159724,17507.05,15066.98017261197,16157.60536764723,17019.00000038753,15756.423316064827
2014-02-26,16634.0,17922.0,14667.370588279082,17711.1,15300.155963046718,15459.545402496586,16634.000000384818,15586.971997053495
2014-02-27,13207.31,14285.0,14350.045948169514,17325.4,17174.008365180973,16511.966598148938,13207.310000385329,14689.774182234594
2014-02-28,16335.0,15622.0,14273.071436695885,17165.61,18518.46748845347,16872.113883603095,16335.000000384807,15826.728440227927
2014-03-01,17062.0,18265.0,16260.328324546,19963.59,22847.642774125005,18865.728726603134,17062.0000003851,17396.01901717808
2014-03-02,19403.0,13997.0,15218.402144859903,20240.75,18932.054867817933,16659.802957865413,19403.000000381988,17093.7350343691
2014-03-03,16336.0,13689.0,15696.02078047677,17141.9,17834.600428525857,16398.465635274086,16336.000000393018,16143.495472047958
2014-03-04,14575.0,17019.0,15176.27055581927,17568.2,15150.703779486252,16237.250522563278,14575.000000392269,15329.507026258272
2014-03-05,18259.0,16634.0,14596.898089482089,17622.11,15383.879569921,15485.554975884388,18259.00000038954,16113.817688585337
2014-03-06,17357.0,13207.31,14864.278805538559,17460.15,17257.731972055255,16615.339129392894,17357.000000390064,16278.872645107173
2014-03-07,13207.31,16335.0,16439.151301150363,20020.53,18602.19109532775,17446.32207721292,13207.310000389542,15697.594459584274
2014-03-08,21100.0,17062.0,17832.989758704836,20198.49,22931.366380999287,19802.82014349375,21100.000000389828,19578.603300862804
2014-03-09,16600.0,19403.0,16603.70300339621,19470.88,19015.77847469221,16926.55357949667,16600.000000386728,16710.08552775987
2014-03-10,18199.0,16336.0,16255.120210185501,17366.64,17918.324035400135,16457.213977823132,18199.00000039776,16970.444729468796
2014-03-11,14524.0,14575.0,15515.084766362212,17410.9,15234.427386360534,16121.44582599483,14524.000000397,15386.843530918013
2014-03-12,17472.0,18259.0,15257.75459473701,16971.79,15467.603176795283,15609.523993358542,17472.00000039428,16113.092862829944
2014-03-13,14326.0,17357.0,15692.86984725417,17236.03,17341.455578929537,17104.214894112432,14326.000000394803,15707.694913920466
2014-03-14,19386.0,13207.31,17050.488696805,20453.58,18685.914702202033,18580.652799485357,19386.000000394273,18339.047165561544
2014-03-15,18961.0,21100.0,20131.702225801357,21879.78,23015.08998787357,21054.141394911432,18961.000000394568,20048.94787370245
