sample,lucro
0,51345
1,68005
2,47530
3,21000
4,9520
5,39830
6,42945
7,47495
8,3115
9,40215
10,22225
11,58730
12,30660
13,15365
14,4760
15,59395
16,-385
17,35875
18,26810
19,58870
20,66115
21,24605
22,-11655
23,22190
24,8995
25,42665
26,63840
27,45045
28,28700
29,15155
30,35665
31,32620
32,23485
33,10500
34,4165
35,17360
36,-15085
37,53445
38,12635
39,13860
40,48580
41,52850
42,27300
43,44485
44,45745
45,42105
46,33600
47,59150
48,50645
49,31255
50,18970
51,36925
52,45255
53,61495
54,36155
55,-23975
56,6930
57,69055
58,22155
59,18725
60,46235
61,36400
62,74935
63,58450
64,17465
65,17045
66,26390
67,39830
68,54005
69,49665
70,27160
71,7315
72,28700
73,49700
74,13230
75,53935
76,43295
77,5635
78,27090
79,-28840
80,68565
81,29610
82,46585
83,20090
84,35000
85,15225
86,1505
87,49560
88,38255
89,52150
90,34545
91,21910
92,44975
93,27965
94,56175
95,58275
96,41615
97,16590
98,-14350
99,-13405
100,37800
101,13790
102,19180
103,38360
104,2870
105,29295
106,16310
107,38675
108,25305
109,52395
110,32130
111,-7490
112,10780
113,25445
114,41300
115,13125
116,27125
117,28945
118,6510
119,57190
120,15330
121,15330
122,51730
123,46235
124,23135
125,27230
126,38255
127,20475
128,-11970
129,28245
130,39585
131,44835
132,50470
133,37345
134,19215
135,17465
136,-245
137,23275
138,25725
139,50085
140,51905
141,36855
142,50435
143,31850
144,44380
145,34055
146,3955
147,59255
148,23240
149,14945
150,1715
151,27615
152,8890
153,58100
154,72345
155,51100
156,60585
157,13930
158,33810
159,9870
160,43260
161,20580
162,24990
163,-17080
164,63420
165,39690
166,30135
167,5215
168,44660
169,31780
170,15890
171,41265
172,30660
173,47600
174,57015
175,41090
176,26880
177,3220
178,27965
179,42000
180,21315
181,24955
182,37450
183,-1015
184,63315
185,50365
186,34300
187,32095
188,8505
189,25935
190,12635
191,10780
192,46725
193,25550
194,37835
195,61985
196,60375
197,24640
198,52780
199,64960
200,38325
201,20825
202,28665
203,1120
204,13755
205,7945
206,39760
207,41720
208,51520
209,28000
210,41510
211,38430
212,39305
213,44730
214,38745
215,48265
216,54985
217,55300
218,65240
219,53480
220,13860
221,5285
222,50365
223,11900
224,69020
225,24465
226,41895
227,30345
228,4305
229,-8750
230,27580
231,17850
232,31955
233,-36260
234,54705
235,45150
236,20475
237,26285
238,38080
239,62580
240,19600
241,38710
242,44030
243,35700
244,15750
245,49385
246,13860
247,8540
248,28385
249,805
250,49420
251,30205
252,26180
253,64330
254,-1890
255,15190
256,28665
257,61880
258,42700
259,385
260,31395
261,29015
262,43400
263,60830
264,40775
265,21490
266,67550
267,21455
268,37380
269,12635
270,-27965
271,40565
272,18550
273,48475
274,39900
275,24465
276,19460
277,56700
278,69195
279,46935
280,5285
281,4165
282,11235
283,26250
284,62055
285,18935
286,47740
287,19495
288,50050
289,21070
290,15995
291,20090
292,10045
293,-6755
294,20615
295,350
296,48335
297,40705
298,13510
299,26775
300,16940
301,39550
302,51240
303,16625
304,44625
305,26635
306,10570
307,20370
308,80465
309,57190
310,10885
311,76685
312,-33950
313,47075
314,25445
315,39795
316,38010
317,52045
318,8435
319,30135
320,41300
321,71470
322,10920
323,15645
324,30800
325,20685
326,22120
327,18130
328,57330
329,46760
330,42910
331,48825
332,9205
333,64190
334,42315
335,-14280
336,38220
337,24675
338,47670
339,33985
340,-4585
341,46235
342,28700
343,17605
344,40040
345,-42105
346,37135
347,48510
348,-1050
349,-5740
350,64540
351,20055
352,45290
353,49875
354,72905
355,9065
356,-12180
357,51730
358,18095
359,44905
360,16765
361,57120
362,52010
363,-10850
364,44415
365,13300
366,39725
367,25865
368,66115
369,45815
370,33425
371,23100
372,28595
373,65660
374,25655
375,-1855
376,58590
377,54320
378,11690
379,25165
380,8260
381,17675
382,28035
383,48335
384,43400
385,31255
386,45220
387,40390
388,32970
389,57610
390,15785
391,30135
392,42210
393,42420
394,63945
395,43575
396,36785
397,385
398,-2415
399,18340
400,43785
401,25760
402,30660
403,24535
404,34580
405,57995
406,42070
407,13230
408,17430
409,37870
410,10780
411,46130
412,33880
413,40145
414,60865
415,2135
416,32550
417,39480
418,41265
419,-8645
420,6545
421,26075
422,-7140
423,8610
424,6195
425,27965
426,-5950
427,64260
428,8855
429,-26320
430,21805
431,24675
432,12320
433,35560
434,46200
435,27510
436,23520
437,19845
438,37345
439,64400
440,46620
441,14560
442,36365
443,38605
444,14070
445,4375
446,47285
447,38255
448,43820
449,-42805
450,9835
451,36470
452,59255
453,23100
454,-9940
455,27020
456,25515
457,32095
458,43610
459,35175
460,37975
461,61425
462,-5565
463,14595
464,49875
465,65940
466,61250
467,49560
468,30205
469,45465
470,-3885
471,58835
472,-17570
473,17675
474,37520
475,21175
476,-8330
477,11305
478,18865
479,21735
480,32165
481,39970
482,33600
483,1365
484,33460
485,68810
486,-24500
487,59570
488,35910
489,12005
490,47915
491,9765
492,5390
493,32200
494,10955
495,54250
496,50645
497,5390
498,12460
499,33355
500,34230
501,38220
502,29855
503,15330
504,35
505,28350
506,42000
507,42490
508,4900
509,6370
510,19880
511,350
512,48685
513,11445
514,41405
515,41720
516,37660
517,315
518,38815
519,22330
520,48650
521,59010
522,23415
523,56945
524,24185
525,21980
526,-13580
527,41440
528,39830
529,28385
530,26915
531,5005
532,45395
533,48930
534,19110
535,40705
536,17360
537,24850
538,27930
539,15995
540,17920
541,53130
542,36435
543,40950
544,45675
545,14630
546,26215
547,15715
548,28035
549,15925
550,43960
551,21735
552,68390
553,24080
554,49805
555,9100
556,8645
557,47495
558,43190
559,29995
560,27125
561,40880
562,15890
563,-3395
564,41440
565,68600
566,39375
567,50820
568,40635
569,42315
570,46095
571,30030
572,46655
573,29575
574,21805
575,56000
576,12775
577,-12600
578,44905
579,61180
580,25515
581,29015
582,38675
583,47635
584,50820
585,21455
586,26005
587,58870
588,46970
589,48720
590,31360
591,60095
592,24885
593,-27055
594,28035
595,40985
596,33040
597,26985
598,55125
599,17325
600,58485
601,59745
602,15435
603,45185
604,2975
605,27790
606,34475
607,64295
608,12110
609,19670
610,4515
611,49000
612,25305
613,33180
614,30240
615,34580
616,15295
617,20055
618,19075
619,37520
620,2450
621,36750
622,33845
623,29645
624,21560
625,33460
626,-24745
627,49910
628,6825
629,41230
630,32970
631,49315
632,46445
633,52360
634,31850
635,40845
636,15330
637,25340
638,17780
639,4795
640,34125
641,910
642,2695
643,43855
644,25270
645,980
646,-10850
647,38675
648,22400
649,11760
650,53095
651,49560
652,350
653,11165
654,12425
655,18795
656,11515
657,62545
658,39025
659,65765
660,36610
661,6160
662,4235
663,24395
664,50575
665,49140
666,16205
667,23380
668,22645
669,53865
670,45570
671,67025
672,39130
673,69580
674,1680
675,40985
676,30170
677,16065
678,49280
679,59500
680,39270
681,33950
682,18025
683,61950
684,17850
685,48125
686,69440
687,45360
688,57960
689,13930
690,58625
691,36470
692,7980
693,45185
694,16940
695,44100
696,17045
697,69230
698,12565
699,29610
700,65555
701,39830
702,49875
703,23065
704,38255
705,9870
706,26075
707,23660
708,23555
709,34160
710,15505
711,43015
712,35175
713,64995
714,60760
715,6370
716,49280
717,57820
718,14875
719,19810
720,39340
721,6755
722,39830
723,14490
724,51380
725,46305
726,48475
727,72030
728,3885
729,37240
730,11585
731,68950
732,59675
733,38990
734,29680
735,62335
736,-20650
737,34335
738,33075
739,9345
740,34020
741,50645
742,49280
743,57610
744,-23520
745,21280
746,27545
747,29400
748,24605
749,12110
750,4655
751,48125
752,25235
753,22050
754,50925
755,40180
756,23065
757,50855
758,6755
759,28770
760,41440
761,30555
762,20195
763,29330
764,48545
765,-4025
766,25235
767,62370
768,43610
769,48650
770,50890
771,52605
772,4305
773,33915
774,14665
775,48125
776,-9520
777,42140
778,-4340
779,-8610
780,38675
781,45500
782,58695
783,21560
784,54460
785,33250
786,44415
787,38325
788,-1645
789,49420
790,33425
791,8890
792,40285
793,35455
794,49735
795,18375
796,30625
797,48615
798,27090
799,48125
800,21945
801,39515
802,65590
803,14980
804,14035
805,14735
806,53620
807,23590
808,49105
809,8575
810,28280
811,23065
812,32375
813,2380
814,49070
815,45220
816,-2240
817,47110
818,49140
819,42665
820,21700
821,47285
822,-420
823,19845
824,49945
825,47285
826,5215
827,33705
828,34930
829,47810
830,38115
831,27580
832,-18025
833,19565
834,26775
835,17815
836,28350
837,50995
838,64295
839,13370
840,29155
841,45885
842,7630
843,-32585
844,23100
845,1435
846,22960
847,22645
848,16170
849,72940
850,15855
851,-5075
852,9485
853,26740
854,41370
855,66500
856,49070
857,52430
858,-3570
859,19740
860,43715
861,56000
862,33845
863,24325
864,15120
865,34300
866,8925
867,48650
868,54075
869,44065
870,56560
871,37905
872,-1540
873,-1225
874,56525
875,41125
876,37730
877,29645
878,25620
879,-10360
880,44905
881,36155
882,-3955
883,29785
884,33285
885,39550
886,18725
887,48930
888,47285
889,57435
890,4130
891,8890
892,-26390
893,7560
894,33845
895,68740
896,30240
897,17290
898,55790
899,45290
900,57155
901,36225
902,49735
903,15295
904,42105
905,70490
906,40040
907,41545
908,20685
909,36470
910,34265
911,11270
912,30135
913,48265
914,46900
915,39515
916,49700
917,-2660
918,37380
919,45255
920,13545
921,28525
922,26215
923,12775
924,37730
925,63560
926,60200
927,10675
928,34020
929,59990
930,24010
931,21525
932,31955
933,20370
934,69020
935,64855
936,15785
937,22680
938,48195
939,51030
940,21840
941,60130
942,38675
943,33285
944,31010
945,25830
946,42035
947,7280
948,24640
949,44135
950,28910
951,25025
952,31745
953,40215
954,9555
955,5250
956,33390
957,19705
958,44695
959,54915
960,53375
961,28805
962,31885
963,36470
964,46655
965,-5005
966,34720
967,54320
968,24815
969,35945
970,13440
971,49525
972,14455
973,-14980
974,70735
975,29365
976,27615
977,32200
978,175
979,14840
980,1050
981,31780
982,6195
983,66115
984,-35105
985,54425
986,52360
987,52570
988,41965
989,21000
990,32340
991,46760
992,22785
993,-37835
994,-6230
995,30485
996,-28490
997,20300
998,56945
999,39970
1000,45255
1001,48720
1002,37345
1003,6440
1004,32445
1005,13615
1006,35980
1007,52220
1008,67060
1009,12915
1010,11620
1011,42630
