sample,best_lucro
0,51345
1,68005
2,68005
3,68005
4,68005
5,68005
6,68005
7,68005
8,68005
9,68005
10,68005
11,68005
12,68005
13,68005
14,68005
15,68005
16,68005
17,68005
18,68005
19,68005
20,68005
21,68005
22,68005
23,68005
24,68005
25,68005
26,68005
27,68005
28,68005
29,68005
30,68005
31,68005
32,68005
33,68005
34,68005
35,68005
36,68005
37,68005
38,68005
39,68005
40,68005
41,68005
42,68005
43,68005
44,68005
45,68005
46,68005
47,68005
48,68005
49,68005
50,68005
51,68005
52,68005
53,68005
54,68005
55,68005
56,68005
57,69055
58,69055
59,69055
60,69055
61,69055
62,74935
63,74935
64,74935
65,74935
66,74935
67,74935
68,74935
69,74935
70,74935
71,74935
72,74935
73,74935
74,74935
75,74935
76,74935
77,74935
78,74935
79,74935
80,74935
81,74935
82,74935
83,74935
84,74935
85,74935
86,74935
87,74935
88,74935
89,74935
90,74935
91,74935
92,74935
93,74935
94,74935
95,74935
96,74935
97,74935
98,74935
99,74935
100,74935
101,74935
102,74935
103,74935
104,74935
105,74935
106,74935
107,74935
108,74935
109,74935
110,74935
111,74935
112,74935
113,74935
114,74935
115,74935
116,74935
117,74935
118,74935
119,74935
120,74935
121,74935
122,74935
123,74935
124,74935
125,74935
126,74935
127,74935
128,74935
129,74935
130,74935
131,74935
132,74935
133,74935
134,74935
135,74935
136,74935
137,74935
138,74935
139,74935
140,74935
141,74935
142,74935
143,74935
144,74935
145,74935
146,74935
147,74935
148,74935
149,74935
150,74935
151,74935
152,74935
153,74935
154,74935
155,74935
156,74935
157,74935
158,74935
159,74935
160,74935
161,74935
162,74935
163,74935
164,74935
165,74935
166,74935
167,74935
168,74935
169,74935
170,74935
171,74935
172,74935
173,74935
174,74935
175,74935
176,74935
177,74935
178,74935
179,74935
180,74935
181,74935
182,74935
183,74935
184,74935
185,74935
186,74935
187,74935
188,74935
189,74935
190,74935
191,74935
192,74935
193,74935
194,74935
195,74935
196,74935
197,74935
198,74935
199,74935
200,74935
201,74935
202,74935
203,74935
204,74935
205,74935
206,74935
207,74935
208,74935
209,74935
210,74935
211,74935
212,74935
213,74935
214,74935
215,74935
216,74935
217,74935
218,74935
219,74935
220,74935
221,74935
222,74935
223,74935
224,74935
225,74935
226,74935
227,74935
228,74935
229,74935
230,74935
231,74935
232,74935
233,74935
234,74935
235,74935
236,74935
237,74935
238,74935
239,74935
240,74935
241,74935
242,74935
243,74935
244,74935
245,74935
246,74935
247,74935
248,74935
249,74935
250,74935
251,74935
252,74935
253,74935
254,74935
255,74935
256,74935
257,74935
258,74935
259,74935
260,74935
261,74935
262,74935
263,74935
264,74935
265,74935
266,74935
267,74935
268,74935
269,74935
270,74935
271,74935
272,74935
273,74935
274,74935
275,74935
276,74935
277,74935
278,74935
279,74935
280,74935
281,74935
282,74935
283,74935
284,74935
285,74935
286,74935
287,74935
288,74935
289,74935
290,74935
291,74935
292,74935
293,74935
294,74935
295,74935
296,74935
297,74935
298,74935
299,74935
300,74935
301,74935
302,74935
303,74935
304,74935
305,74935
306,74935
307,74935
308,80465
309,80465
310,80465
311,80465
312,80465
313,80465
314,80465
315,80465
316,80465
317,80465
318,80465
319,80465
320,80465
321,80465
322,80465
323,80465
324,80465
325,80465
326,80465
327,80465
328,80465
329,80465
330,80465
331,80465
332,80465
333,80465
334,80465
335,80465
336,80465
337,80465
338,80465
339,80465
340,80465
341,80465
342,80465
343,80465
344,80465
345,80465
346,80465
347,80465
348,80465
349,80465
350,80465
351,80465
352,80465
353,80465
354,80465
355,80465
356,80465
357,80465
358,80465
359,80465
360,80465
361,80465
362,80465
363,80465
364,80465
365,80465
366,80465
367,80465
368,80465
369,80465
370,80465
371,80465
372,80465
373,80465
374,80465
375,80465
376,80465
377,80465
378,80465
379,80465
380,80465
381,80465
382,80465
383,80465
384,80465
385,80465
386,80465
387,80465
388,80465
389,80465
390,80465
391,80465
392,80465
393,80465
394,80465
395,80465
396,80465
397,80465
398,80465
399,80465
400,80465
401,80465
402,80465
403,80465
404,80465
405,80465
406,80465
407,80465
408,80465
409,80465
410,80465
411,80465
412,80465
413,80465
414,80465
415,80465
416,80465
417,80465
418,80465
419,80465
420,80465
421,80465
422,80465
423,80465
424,80465
425,80465
426,80465
427,80465
428,80465
429,80465
430,80465
431,80465
432,80465
433,80465
434,80465
435,80465
436,80465
437,80465
438,80465
439,80465
440,80465
441,80465
442,80465
443,80465
444,80465
445,80465
446,80465
447,80465
448,80465
449,80465
450,80465
451,80465
452,80465
453,80465
454,80465
455,80465
456,80465
457,80465
458,80465
459,80465
460,80465
461,80465
462,80465
463,80465
464,80465
465,80465
466,80465
467,80465
468,80465
469,80465
470,80465
471,80465
472,80465
473,80465
474,80465
475,80465
476,80465
477,80465
478,80465
479,80465
480,80465
481,80465
482,80465
483,80465
484,80465
485,80465
486,80465
487,80465
488,80465
489,80465
490,80465
491,80465
492,80465
493,80465
494,80465
495,80465
496,80465
497,80465
498,80465
499,80465
500,80465
501,80465
502,80465
503,80465
504,80465
505,80465
506,80465
507,80465
508,80465
509,80465
510,80465
511,80465
512,80465
513,80465
514,80465
515,80465
516,80465
517,80465
518,80465
519,80465
520,80465
521,80465
522,80465
523,80465
524,80465
525,80465
526,80465
527,80465
528,80465
529,80465
530,80465
531,80465
532,80465
533,80465
534,80465
535,80465
536,80465
537,80465
538,80465
539,80465
540,80465
541,80465
542,80465
543,80465
544,80465
545,80465
546,80465
547,80465
548,80465
549,80465
550,80465
551,80465
552,80465
553,80465
554,80465
555,80465
556,80465
557,80465
558,80465
559,80465
560,80465
561,80465
562,80465
563,80465
564,80465
565,80465
566,80465
567,80465
568,80465
569,80465
570,80465
571,80465
572,80465
573,80465
574,80465
575,80465
576,80465
577,80465
578,80465
579,80465
580,80465
581,80465
582,80465
583,80465
584,80465
585,80465
586,80465
587,80465
588,80465
589,80465
590,80465
591,80465
592,80465
593,80465
594,80465
595,80465
596,80465
597,80465
598,80465
599,80465
600,80465
601,80465
602,80465
603,80465
604,80465
605,80465
606,80465
607,80465
608,80465
609,80465
610,80465
611,80465
612,80465
613,80465
614,80465
615,80465
616,80465
617,80465
618,80465
619,80465
620,80465
621,80465
622,80465
623,80465
624,80465
625,80465
626,80465
627,80465
628,80465
629,80465
630,80465
631,80465
632,80465
633,80465
634,80465
635,80465
636,80465
637,80465
638,80465
639,80465
640,80465
641,80465
642,80465
643,80465
644,80465
645,80465
646,80465
647,80465
648,80465
649,80465
650,80465
651,80465
652,80465
653,80465
654,80465
655,80465
656,80465
657,80465
658,80465
659,80465
660,80465
661,80465
662,80465
663,80465
664,80465
665,80465
666,80465
667,80465
668,80465
669,80465
670,80465
671,80465
672,80465
673,80465
674,80465
675,80465
676,80465
677,80465
678,80465
679,80465
680,80465
681,80465
682,80465
683,80465
684,80465
685,80465
686,80465
687,80465
688,80465
689,80465
690,80465
691,80465
692,80465
693,80465
694,80465
695,80465
696,80465
697,80465
698,80465
699,80465
700,80465
701,80465
702,80465
703,80465
704,80465
705,80465
706,80465
707,80465
708,80465
709,80465
710,80465
711,80465
712,80465
713,80465
714,80465
715,80465
716,80465
717,80465
718,80465
719,80465
720,80465
721,80465
722,80465
723,80465
724,80465
725,80465
726,80465
727,80465
728,80465
729,80465
730,80465
731,80465
732,80465
733,80465
734,80465
735,80465
736,80465
737,80465
738,80465
739,80465
740,80465
741,80465
742,80465
743,80465
744,80465
745,80465
746,80465
747,80465
748,80465
749,80465
750,80465
751,80465
752,80465
753,80465
754,80465
755,80465
756,80465
757,80465
758,80465
759,80465
760,80465
761,80465
762,80465
763,80465
764,80465
765,80465
766,80465
767,80465
768,80465
769,80465
770,80465
771,80465
772,80465
773,80465
774,80465
775,80465
776,80465
777,80465
778,80465
779,80465
780,80465
781,80465
782,80465
783,80465
784,80465
785,80465
786,80465
787,80465
788,80465
789,80465
790,80465
791,80465
792,80465
793,80465
794,80465
795,80465
796,80465
797,80465
798,80465
799,80465
800,80465
801,80465
802,80465
803,80465
804,80465
805,80465
806,80465
807,80465
808,80465
809,80465
810,80465
811,80465
812,80465
813,80465
814,80465
815,80465
816,80465
817,80465
818,80465
819,80465
820,80465
821,80465
822,80465
823,80465
824,80465
825,80465
826,80465
827,80465
828,80465
829,80465
830,80465
831,80465
832,80465
833,80465
834,80465
835,80465
836,80465
837,80465
838,80465
839,80465
840,80465
841,80465
842,80465
843,80465
844,80465
845,80465
846,80465
847,80465
848,80465
849,80465
850,80465
851,80465
852,80465
853,80465
854,80465
855,80465
856,80465
857,80465
858,80465
859,80465
860,80465
861,80465
862,80465
863,80465
864,80465
865,80465
866,80465
867,80465
868,80465
869,80465
870,80465
871,80465
872,80465
873,80465
874,80465
875,80465
876,80465
877,80465
878,80465
879,80465
880,80465
881,80465
882,80465
883,80465
884,80465
885,80465
886,80465
887,80465
888,80465
889,80465
890,80465
891,80465
892,80465
893,80465
894,80465
895,80465
896,80465
897,80465
898,80465
899,80465
900,80465
901,80465
902,80465
903,80465
904,80465
905,80465
906,80465
907,80465
908,80465
909,80465
910,80465
911,80465
912,80465
913,80465
914,80465
915,80465
916,80465
917,80465
918,80465
919,80465
920,80465
921,80465
922,80465
923,80465
924,80465
925,80465
926,80465
927,80465
928,80465
929,80465
930,80465
931,80465
932,80465
933,80465
934,80465
935,80465
936,80465
937,80465
938,80465
939,80465
940,80465
941,80465
942,80465
943,80465
944,80465
945,80465
946,80465
947,80465
948,80465
949,80465
950,80465
951,80465
952,80465
953,80465
954,80465
955,80465
956,80465
957,80465
958,80465
959,80465
960,80465
961,80465
962,80465
963,80465
964,80465
965,80465
966,80465
967,80465
968,80465
969,80465
970,80465
971,80465
972,80465
973,80465
974,80465
975,80465
976,80465
977,80465
978,80465
979,80465
980,80465
981,80465
982,80465
983,80465
984,80465
985,80465
986,80465
987,80465
988,80465
989,80465
990,80465
991,80465
992,80465
993,80465
994,80465
995,80465
996,80465
997,80465
998,80465
999,80465
1000,80465
1001,80465
1002,80465
1003,80465
1004,80465
1005,80465
1006,80465
1007,80465
1008,80465
1009,80465
1010,80465
1011,80465
1012,80465
1013,80465
1014,80465
1015,80465
1016,80465
1017,80465
1018,80465
1019,80465
1020,80465
