sample,lucro
0,61670
1,87115
2,69405
3,62650
4,65380
5,62685
6,79520
7,88515
8,54775
9,73395
10,68705
11,81830
12,46935
13,42910
14,37590
15,83580
16,46235
17,83125
18,70770
19,81690
20,91630
21,81480
22,28945
23,51135
24,61215
25,64470
26,78680
27,104755
28,66885
29,67900
30,54390
31,74305
32,67480
33,44310
34,43260
35,68845
36,29820
37,104125
38,61915
39,53795
40,95025
41,84455
42,67690
43,75460
44,82390
45,86240
46,71610
47,102900
48,64995
49,45535
50,77315
51,88200
52,80185
53,85330
54,67165
55,16310
56,49420
57,105245
58,70840
59,45570
60,80815
61,68180
62,93555
63,85085
64,63700
65,54810
66,54005
67,94080
68,77595
69,69475
70,80115
71,53760
72,70420
73,98210
74,61425
75,85750
76,51660
77,45605
78,50225
79,36995
80,106505
81,67795
82,67200
83,80990
84,90195
85,70490
86,42945
87,101150
88,59535
89,80150
90,71260
91,64470
92,87570
93,73115
94,82285
95,94010
96,93800
97,46025
98,39165
99,40005
100,60830
101,53830
102,56700
103,61425
104,43505
105,55300
106,55545
107,82810
108,71155
109,92155
110,77140
111,32515
112,52185
113,73395
114,103530
115,54950
116,68180
117,50680
118,45990
119,117600
120,53935
121,49770
122,67165
123,70385
124,44065
125,51275
126,74690
127,44835
128,24780
129,82985
130,68320
131,67305
132,83265
133,62580
134,47460
135,65800
136,61635
137,60900
138,42770
139,87185
140,67130
141,92995
142,74130
143,74165
144,99540
145,66605
146,29085
147,110810
148,68355
149,54810
150,43400
151,59395
152,65940
153,99015
154,109340
155,77000
156,82075
157,71330
158,74060
159,44345
160,82705
161,59255
162,69160
163,32200
164,90720
165,76650
166,75425
167,42840
168,87570
169,65590
170,50295
171,62020
172,71540
173,64610
174,88550
175,82285
176,43295
177,43085
178,52325
179,74480
180,63385
181,61775
182,66465
183,45920
184,108710
185,79485
186,70385
187,67935
188,47635
189,68495
190,70945
191,57435
192,82775
193,55650
194,79590
195,93485
196,84630
197,61005
198,92435
199,104545
200,75495
201,75600
202,77805
203,49560
204,67235
205,64225
206,100485
207,85925
208,82460
209,52150
210,69720
211,83755
212,85960
213,58485
214,75670
215,90755
216,103215
217,75460
218,100695
219,87185
220,47635
221,54425
222,62440
223,40145
224,92540
225,66500
226,76230
227,51765
228,51975
229,39165
230,63840
231,67130
232,53200
233,-2590
234,86170
235,76055
236,56560
237,76475
238,66395
239,102795
240,41055
241,59500
242,84035
243,64225
244,75810
245,80255
246,71890
247,58975
248,61670
249,51590
250,75880
251,71785
252,60515
253,98595
254,48055
255,58310
256,47040
257,95690
258,91315
259,37065
260,59185
261,77140
262,76930
263,80570
264,71925
265,74410
266,108430
267,55720
268,78715
269,46340
270,14175
271,58590
272,48755
273,78470
274,81060
275,52850
276,65555
277,67725
278,99050
279,72170
280,52395
281,64540
282,53865
283,72170
284,88095
285,52325
286,67830
287,42315
288,83650
289,67095
290,82705
291,80535
292,27335
293,42490
294,70105
295,42105
296,78015
297,70420
298,63840
299,71960
300,49525
301,65765
302,80605
303,48965
304,89740
305,60620
306,63595
307,62860
308,99855
309,100800
310,44625
311,115710
312,21490
313,84980
314,58730
315,76720
316,89950
317,86555
318,61740
319,61985
320,60270
321,112385
322,52500
323,60165
324,65905
325,50785
326,60900
327,64820
328,80185
329,78155
330,81830
331,79345
332,66640
333,84140
334,103600
335,40425
336,43155
337,61915
338,82495
339,60095
340,39830
341,89880
342,48790
343,63980
344,66710
345,-2590
346,72170
347,78820
348,36400
349,27860
350,95410
351,56840
352,64820
353,89705
354,124425
355,52080
356,45465
357,65590
358,81410
359,91805
360,59500
361,90440
362,102550
363,31465
364,71365
365,52500
366,75600
367,47600
