sample,best_lucro
0,61670
1,87115
2,87115
3,87115
4,87115
5,87115
6,87115
7,88515
8,88515
9,88515
10,88515
11,88515
12,88515
13,88515
14,88515
15,88515
16,88515
17,88515
18,88515
19,88515
20,91630
21,91630
22,91630
23,91630
24,91630
25,91630
26,91630
27,104755
28,104755
29,104755
30,104755
31,104755
32,104755
33,104755
34,104755
35,104755
36,104755
37,104755
38,104755
39,104755
40,104755
41,104755
42,104755
43,104755
44,104755
45,104755
46,104755
47,104755
48,104755
49,104755
50,104755
51,104755
52,104755
53,104755
54,104755
55,104755
56,104755
57,105245
58,105245
59,105245
60,105245
61,105245
62,105245
63,105245
64,105245
65,105245
66,105245
67,105245
68,105245
69,105245
70,105245
71,105245
72,105245
73,105245
74,105245
75,105245
76,105245
77,105245
78,105245
79,105245
80,106505
81,106505
82,106505
83,106505
84,106505
85,106505
86,106505
87,106505
88,106505
89,106505
90,106505
91,106505
92,106505
93,106505
94,106505
95,106505
96,106505
97,106505
98,106505
99,106505
100,106505
101,106505
102,106505
103,106505
104,106505
105,106505
106,106505
107,106505
108,106505
109,106505
110,106505
111,106505
112,106505
113,106505
114,106505
115,106505
116,106505
117,106505
118,106505
119,117600
120,117600
121,117600
122,117600
123,117600
124,117600
125,117600
126,117600
127,117600
128,117600
129,117600
130,117600
131,117600
132,117600
133,117600
134,117600
135,117600
136,117600
137,117600
138,117600
139,117600
140,117600
141,117600
142,117600
143,117600
144,117600
145,117600
146,117600
147,117600
148,117600
149,117600
150,117600
151,117600
152,117600
153,117600
154,117600
155,117600
156,117600
157,117600
158,117600
159,117600
160,117600
161,117600
162,117600
163,117600
164,117600
165,117600
166,117600
167,117600
168,117600
169,117600
170,117600
171,117600
172,117600
173,117600
174,117600
175,117600
176,117600
177,117600
178,117600
179,117600
180,117600
181,117600
182,117600
183,117600
184,117600
185,117600
186,117600
187,117600
188,117600
189,117600
190,117600
191,117600
192,117600
193,117600
194,117600
195,117600
196,117600
197,117600
198,117600
199,117600
200,117600
201,117600
202,117600
203,117600
204,117600
205,117600
206,117600
207,117600
208,117600
209,117600
210,117600
211,117600
212,117600
213,117600
214,117600
215,117600
216,117600
217,117600
218,117600
219,117600
220,117600
221,117600
222,117600
223,117600
224,117600
225,117600
226,117600
227,117600
228,117600
229,117600
230,117600
231,117600
232,117600
233,117600
234,117600
235,117600
236,117600
237,117600
238,117600
239,117600
240,117600
241,117600
242,117600
243,117600
244,117600
245,117600
246,117600
247,117600
248,117600
249,117600
250,117600
251,117600
252,117600
253,117600
254,117600
255,117600
256,117600
257,117600
258,117600
259,117600
260,117600
261,117600
262,117600
263,117600
264,117600
265,117600
266,117600
267,117600
268,117600
269,117600
270,117600
271,117600
272,117600
273,117600
274,117600
275,117600
276,117600
277,117600
278,117600
279,117600
280,117600
281,117600
282,117600
283,117600
284,117600
285,117600
286,117600
287,117600
288,117600
289,117600
290,117600
291,117600
292,117600
293,117600
294,117600
295,117600
296,117600
297,117600
298,117600
299,117600
300,117600
301,117600
302,117600
303,117600
304,117600
305,117600
306,117600
307,117600
308,117600
309,117600
310,117600
311,117600
312,117600
313,117600
314,117600
315,117600
316,117600
317,117600
318,117600
319,117600
320,117600
321,117600
322,117600
323,117600
324,117600
325,117600
326,117600
327,117600
328,117600
329,117600
330,117600
331,117600
332,117600
333,117600
334,117600
335,117600
336,117600
337,117600
338,117600
339,117600
340,117600
341,117600
342,117600
343,117600
344,117600
345,117600
346,117600
347,117600
348,117600
349,117600
350,117600
351,117600
352,117600
353,117600
354,124425
355,124425
356,124425
357,124425
358,124425
359,124425
360,124425
361,124425
362,124425
363,124425
364,124425
365,124425
366,124425
367,124425
