sample,lucro
0,64330
1,87500
2,72205
3,125300
4,109550
5,80745
6,97965
7,98770
8,104965
9,74410
10,102585
11,97160
12,56175
13,78120
14,84770
15,115430
16,110110
17,123865
18,118510
19,101220
20,85610
21,137060
22,125125
23,96705
24,119490
25,68950
26,67585
27,131845
28,134190
29,128730
30,91805
31,110005
32,98315
33,88865
34,103880
35,153510
36,125475
37,115080
38,137830
39,112630
40,111265
41,103180
42,108115
43,112525
44,97370
45,108675
46,82145
47,118055
48,59850
49,62405
50,113435
51,123935
52,84805
53,89600
54,73570
55,106575
56,115045
57,101815
58,90615
59,87675
60,86695
61,111125
62,91770
63,84525
64,119175
65,111860
66,95340
67,105280
68,94920
69,97125
70,131110
71,126875
72,94605
73,110145
74,118615
75,76930
76,51520
77,122430
78,98385
79,163975
80,101990
81,105105
82,77875
83,143745
84,135100
85,119000
86,95795
87,125055
88,89530
89,90790
90,95760
91,121625
92,116165
93,108080
94,75040
95,103740
96,127050
97,96810
98,150885
99,110670
100,99470
101,111475
102,90825
103,71540
104,125265
105,107065
106,129220
107,135695
108,122325
109,115465
110,118335
111,125230
112,116935
113,111125
114,122570
115,112455
116,101570
117,93660
118,101290
119,123130
120,85015
121,97615
122,64890
123,86030
124,74830
125,85540
126,83720
127,67515
128,105245
129,135205
130,81165
131,84805
132,96845
133,80500
134,83895
135,137305
136,123235
137,96565
138,66395
139,111545
140,68075
141,110250
142,84735
143,107345
144,111265
145,98070
146,67795
147,114135
148,124040
149,106960
150,97055
151,78085
152,135450
153,102025
154,117285
155,108535
156,84840
157,133245
158,105175
159,74935
160,92400
161,99225
162,93870
163,128695
164,92470
165,90895
166,99785
167,105595
168,116235
169,106190
170,106645
171,64330
172,103425
173,74690
174,80920
175,115535
176,64575
177,94990
178,92470
179,90020
180,103635
181,110355
182,73185
183,125440
184,115745
185,110145
186,77210
187,101220
188,112700
189,104160
190,120960
191,92015
192,88025
193,79345
194,119210
195,106365
196,95060
197,122990
198,111580
199,121030
200,115290
201,126770
202,104510
203,102130
204,132440
205,127190
206,120540
207,88655
208,83580
209,72065
210,91560
211,132895
212,118650
213,55405
214,78820
215,106750
216,132125
217,76860
218,96705
219,97755
220,109235
221,118790
222,62055
223,65695
224,91245
225,105595
226,102690
227,71645
228,132475
229,127435
230,103530
231,116830
232,78960
233,101920
234,88235
235,93660
236,114940
237,96635
238,103985
239,115115
240,68180
241,55230
242,93100
243,85645
244,118545
245,101535
246,121380
247,119000
248,83230
249,108080
250,116410
251,113470
252,87885
253,110950
254,134330
255,106015
256,45815
257,100555
258,112665
259,101080
260,103040
261,136290
262,93940
263,75565
264,82180
265,110320
266,108745
267,87640
268,99505
269,96530
270,105105
271,71645
272,92750
273,94360
274,113505
275,58695
276,124845
277,72310
278,93310
279,105420
280,113610
281,136815
282,108955
283,93800
284,80290
285,96530
286,72660
287,68915
288,82915
289,118685
290,127645
291,132440
292,63945
293,114835
294,125790
295,111055
296,115430
297,93380
298,118230
299,127470
300,89460
301,83090
302,85435
303,108115
304,106225
305,85575
306,129430
307,91035
308,94255
309,104090
310,95865
311,125300
312,137970
313,93555
314,104440
315,101115
316,134750
317,104230
318,117215
319,87745
320,53655
321,124530
322,119840
323,122745
324,85750
325,69650
326,98175
327,134295
328,82075
329,89215
330,97370
331,88480
332,140910
333,78190
334,113190
335,140280
336,44450
337,100030
338,99295
339,98700
340,128940
341,117285
342,73640
343,121800
344,78400
345,114765
346,90265
347,70700
348,105385
349,109480
350,101535
351,92050
352,78680
353,99015
354,119140
355,154280
356,126350
357,65030
358,138355
359,121625
360,117005
361,95550
362,107100
363,143710
364,92120
365,115605
366,88830
367,63070
368,82250
369,101850
370,113400
371,99960
372,78015
373,108780
374,123900
375,141155
376,122640
377,74410
378,96425
379,106610
380,68810
381,113400
382,129780
383,88375
384,65065
385,84070
386,104650
387,82600
388,116130
389,86520
390,119035
391,93520
392,68250
393,105805
394,92960
395,108290
396,105770
397,89320
398,134190
399,92715
400,101465
401,100275
402,112000
403,89845
404,97580
405,89320
406,99995
407,105945
408,69300
409,98770
410,99680
411,94640
412,94045
413,115430
414,88235
415,42980
416,87710
417,87430
418,90125
419,159425
420,129325
421,61705
422,98175
423,91210
424,100975
425,82670
426,78750
427,100240
428,126945
429,104545
430,116515
431,94815
432,116410
433,103110
434,96565
435,108850
436,94815
437,106225
438,131810
439,92750
440,88515
441,73220
442,86345
443,46795
444,126700
445,130620
446,67235
447,135625
448,95690
449,149765
450,63595
451,141295
452,96390
453,71085
454,132055
455,97160
456,92295
457,104580
458,116690
459,72695
460,116655
461,73535
462,104195
463,149345
464,90475
465,78225
466,76685
467,95410
468,121975
469,125755
470,115675
471,106645
472,109060
473,100240
474,97440
475,73745
476,93100
477,56385
478,120505
479,107415
480,102865
481,105035
482,85155
483,131705
484,77875
485,100450
486,121590
487,78260
488,114800
489,109165
490,80255
491,121555
492,119910
493,71015
494,120785
495,98840
496,98210
497,140385
498,140840
499,62405
500,77035
501,52360
502,104370
503,127295
504,109340
505,81375
506,126280
507,85225
508,116060
509,89880
510,119700
511,149170
512,52675
513,63315
514,78820
515,93275
516,96530
517,140700
518,89635
