sample,best_lucro
0,64330
1,87500
2,87500
3,125300
4,125300
5,125300
6,125300
7,125300
8,125300
9,125300
10,125300
11,125300
12,125300
13,125300
14,125300
15,125300
16,125300
17,125300
18,125300
19,125300
20,125300
21,137060
22,137060
23,137060
24,137060
25,137060
26,137060
27,137060
28,137060
29,137060
30,137060
31,137060
32,137060
33,137060
34,137060
35,153510
36,153510
37,153510
38,153510
39,153510
40,153510
41,153510
42,153510
43,153510
44,153510
45,153510
46,153510
47,153510
48,153510
49,153510
50,153510
51,153510
52,153510
53,153510
54,153510
55,153510
56,153510
57,153510
58,153510
59,153510
60,153510
61,153510
62,153510
63,153510
64,153510
65,153510
66,153510
67,153510
68,153510
69,153510
70,153510
71,153510
72,153510
73,153510
74,153510
75,153510
76,153510
77,153510
78,153510
79,163975
80,163975
81,163975
82,163975
83,163975
84,163975
85,163975
86,163975
87,163975
88,163975
89,163975
90,163975
91,163975
92,163975
93,163975
94,163975
95,163975
96,163975
97,163975
98,163975
99,163975
100,163975
101,163975
102,163975
103,163975
104,163975
105,163975
106,163975
107,163975
108,163975
109,163975
110,163975
111,163975
112,163975
113,163975
114,163975
115,163975
116,163975
117,163975
118,163975
119,163975
120,163975
121,163975
122,163975
123,163975
124,163975
125,163975
126,163975
127,163975
128,163975
129,163975
130,163975
131,163975
132,163975
133,163975
134,163975
135,163975
136,163975
137,163975
138,163975
139,163975
140,163975
141,163975
142,163975
143,163975
144,163975
145,163975
146,163975
147,163975
148,163975
149,163975
150,163975
151,163975
152,163975
153,163975
154,163975
155,163975
156,163975
157,163975
158,163975
159,163975
160,163975
161,163975
162,163975
163,163975
164,163975
165,163975
166,163975
167,163975
168,163975
169,163975
170,163975
171,163975
172,163975
173,163975
174,163975
175,163975
176,163975
177,163975
178,163975
179,163975
180,163975
181,163975
182,163975
183,163975
184,163975
185,163975
186,163975
187,163975
188,163975
189,163975
190,163975
191,163975
192,163975
193,163975
194,163975
195,163975
196,163975
197,163975
198,163975
199,163975
200,163975
201,163975
202,163975
203,163975
204,163975
205,163975
206,163975
207,163975
208,163975
209,163975
210,163975
211,163975
212,163975
213,163975
214,163975
215,163975
216,163975
217,163975
218,163975
219,163975
220,163975
221,163975
222,163975
223,163975
224,163975
225,163975
226,163975
227,163975
228,163975
229,163975
230,163975
231,163975
232,163975
233,163975
234,163975
235,163975
236,163975
237,163975
238,163975
239,163975
240,163975
241,163975
242,163975
243,163975
244,163975
245,163975
246,163975
247,163975
248,163975
249,163975
250,163975
251,163975
252,163975
253,163975
254,163975
255,163975
256,163975
257,163975
258,163975
259,163975
260,163975
261,163975
262,163975
263,163975
264,163975
265,163975
266,163975
267,163975
268,163975
269,163975
270,163975
271,163975
272,163975
273,163975
274,163975
275,163975
276,163975
277,163975
278,163975
279,163975
280,163975
281,163975
282,163975
283,163975
284,163975
285,163975
286,163975
287,163975
288,163975
289,163975
290,163975
291,163975
292,163975
293,163975
294,163975
295,163975
296,163975
297,163975
298,163975
299,163975
300,163975
301,163975
302,163975
303,163975
304,163975
305,163975
306,163975
307,163975
308,163975
309,163975
310,163975
311,163975
312,163975
313,163975
314,163975
315,163975
316,163975
317,163975
318,163975
319,163975
320,163975
321,163975
322,163975
323,163975
324,163975
325,163975
326,163975
327,163975
328,163975
329,163975
330,163975
331,163975
332,163975
333,163975
334,163975
335,163975
336,163975
337,163975
338,163975
339,163975
340,163975
341,163975
342,163975
343,163975
344,163975
345,163975
346,163975
347,163975
348,163975
349,163975
350,163975
351,163975
352,163975
353,163975
354,163975
355,163975
356,163975
357,163975
358,163975
359,163975
360,163975
361,163975
362,163975
363,163975
364,163975
365,163975
366,163975
367,163975
368,163975
369,163975
370,163975
371,163975
372,163975
373,163975
374,163975
375,163975
376,163975
377,163975
378,163975
379,163975
380,163975
381,163975
382,163975
383,163975
384,163975
385,163975
386,163975
387,163975
388,163975
389,163975
390,163975
391,163975
392,163975
393,163975
394,163975
395,163975
396,163975
397,163975
398,163975
399,163975
400,163975
401,163975
402,163975
403,163975
404,163975
405,163975
406,163975
407,163975
408,163975
409,163975
410,163975
411,163975
412,163975
413,163975
414,163975
415,163975
416,163975
417,163975
418,163975
419,163975
420,163975
421,163975
422,163975
423,163975
424,163975
425,163975
426,163975
427,163975
428,163975
429,163975
430,163975
431,163975
432,163975
433,163975
434,163975
435,163975
436,163975
437,163975
438,163975
439,163975
440,163975
441,163975
442,163975
443,163975
444,163975
445,163975
446,163975
447,163975
448,163975
449,163975
450,163975
451,163975
452,163975
453,163975
454,163975
455,163975
456,163975
457,163975
458,163975
459,163975
460,163975
461,163975
462,163975
463,163975
464,163975
465,163975
466,163975
467,163975
468,163975
469,163975
470,163975
471,163975
472,163975
473,163975
474,163975
475,163975
476,163975
477,163975
478,163975
479,163975
480,163975
481,163975
482,163975
483,163975
484,163975
485,163975
486,163975
487,163975
488,163975
489,163975
490,163975
491,163975
492,163975
493,163975
494,163975
495,163975
496,163975
497,163975
498,163975
499,163975
500,163975
501,163975
502,163975
503,163975
504,163975
505,163975
506,163975
507,163975
508,163975
509,163975
510,163975
511,163975
512,163975
513,163975
514,163975
515,163975
516,163975
517,163975
