sample,lucro
0,34195
1,34300
2,13160
3,-21035
4,-67095
5,18655
6,-14770
7,-9135
8,-50785
9,-2660
10,-38850
11,5950
12,20545
13,6860
14,-23170
15,-7805
16,-47075
17,-39410
18,-43890
19,-3745
20,4165
21,-71890
22,-59500
23,-31395
24,-67340
25,31710
26,51695
27,-34300
28,-58625
29,-43155
30,15260
31,-28140
32,-27090
33,-21805
34,-43750
35,-75495
36,-60515
37,-34020
38,-62720
39,-29365
40,-15470
41,2135
42,-16345
43,7630
44,27195
45,-350
46,-3605
47,-25515
48,38360
49,25410
50,-49665
51,-47845
52,14210
53,9870
54,5425
55,-76615
56,-39515
57,4025
58,-15365
59,-24010
60,-2485
61,-6580
62,33985
63,19250
64,-37765
65,-5880
66,-10115
67,-19950
68,26845
69,4550
70,-52990
71,-80920
72,-27685
73,-10955
74,-50925
75,18725
76,34090
77,-32690
78,1190
79,-113050
80,-1015
81,-32375
82,22190
83,-62685
84,-55860
85,-52815
86,-36225
87,-53760
88,11585
89,5705
90,-27545
91,-48195
92,-30205
93,-39795
94,33565
95,14490
96,-44100
97,-11060
98,-107310
99,-91210
100,-13475
101,-54075
102,-28035
103,18165
104,-50050
105,-22190
106,-66185
107,-54145
108,-34930
109,-9205
110,-29680
111,-72030
112,-16905
113,-50435
114,-34720
115,-39620
116,-13090
117,3535
118,-30555
119,-29190
120,-17535
121,-30030
122,42105
123,40110
124,-8330
125,0
126,-4900
127,-17150
128,-49875
129,-54110
130,5040
131,-7560
132,-2905
133,4165
134,490
135,-81095
136,-68845
137,-6265
138,25655
139,-11690
140,38640
141,-42175
142,16905
143,-37835
144,-14910
145,-11900
146,-10605
147,-31535
148,-46760
149,-29295
150,-50260
151,-33005
152,-60865
153,-7210
154,-17920
155,-13755
156,14735
157,-71225
158,-28630
159,-20615
160,16625
161,-40180
162,-22015
163,-82215
164,29120
165,-7000
166,-34475
167,-29400
168,-12915
169,-19180
170,-36120
171,32690
172,-7350
173,21070
174,14140
175,-19915
176,-4025
177,-30730
178,-10395
179,-4305
180,-43505
181,-33040
182,8540
183,-54460
184,-16905
185,-5845
186,-4620
187,-12390
188,-61285
189,-24920
190,-66780
191,-25340
192,-2205
193,-12635
194,-19390
195,-5180
196,14910
197,-29890
198,-24955
199,-19810
200,-1785
201,-36120
202,-44415
203,-48230
204,-65240
205,-58030
206,-36890
207,-27580
208,19985
209,13440
210,13685
211,-41510
212,-27370
213,10395
214,5530
215,-11305
216,-31080
217,3710
218,3745
219,1330
220,-26005
221,-52500
222,47635
223,-1610
224,14980
225,-23800
226,-5180
227,-2800
228,-65240
229,-73780
230,-24045
231,-45850
232,1960
233,-92505
234,17465
235,4865
236,-32340
237,-35665
238,-24220
239,-1820
240,6160
241,20475
242,-17010
243,-8365
244,-55860
245,-10115
246,-67690
247,-35070
248,-8120
249,-58310
250,-7000
251,-17955
252,-25795
253,-6545
254,-80885
255,-20720
256,13720
257,18375
258,-25830
259,-55125
260,-105
261,-50715
262,12810
263,14420
264,-5705
265,-37765
266,-18900
267,-12775
268,-10675
269,-29505
270,-83195
271,24010
272,-11935
273,16345
274,-13755
275,9380
276,-53130
277,51625
278,9870
279,-1085
280,-24010
281,-89950
282,-46550
283,-12985
284,28035
285,-15575
286,25515
287,-5670
288,12705
289,-46655
290,-75705
291,-69580
292,-8610
293,-68915
294,-36750
295,-54250
296,-16170
297,-8295
298,-53900
299,-53970
300,-16905
301,10045
302,19530
303,-16905
304,4655
305,-6615
306,-56105
307,-34405
308,32445
309,-35280
310,-49980
311,-39340
312,-90300
313,15820
314,1190
315,-26775
316,-53585
317,-18410
318,-54075
319,-24395
320,17150
321,-41370
322,-50645
323,-33950
