sample,best_lucro
0,34195
1,34300
2,34300
3,34300
4,34300
5,34300
6,34300
7,34300
8,34300
9,34300
10,34300
11,34300
12,34300
13,34300
14,34300
15,34300
16,34300
17,34300
18,34300
19,34300
20,34300
21,34300
22,34300
23,34300
24,34300
25,34300
26,51695
27,51695
28,51695
29,51695
30,51695
31,51695
32,51695
33,51695
34,51695
35,51695
36,51695
37,51695
38,51695
39,51695
40,51695
41,51695
42,51695
43,51695
44,51695
45,51695
46,51695
47,51695
48,51695
49,51695
50,51695
51,51695
52,51695
53,51695
54,51695
55,51695
56,51695
57,51695
58,51695
59,51695
60,51695
61,51695
62,51695
63,51695
64,51695
65,51695
66,51695
67,51695
68,51695
69,51695
70,51695
71,51695
72,51695
73,51695
74,51695
75,51695
76,51695
77,51695
78,51695
79,51695
80,51695
81,51695
82,51695
83,51695
84,51695
85,51695
86,51695
87,51695
88,51695
89,51695
90,51695
91,51695
92,51695
93,51695
94,51695
95,51695
96,51695
97,51695
98,51695
99,51695
100,51695
101,51695
102,51695
103,51695
104,51695
105,51695
106,51695
107,51695
108,51695
109,51695
110,51695
111,51695
112,51695
113,51695
114,51695
115,51695
116,51695
117,51695
118,51695
119,51695
120,51695
121,51695
122,51695
123,51695
124,51695
125,51695
126,51695
127,51695
128,51695
129,51695
130,51695
131,51695
132,51695
133,51695
134,51695
135,51695
136,51695
137,51695
138,51695
139,51695
140,51695
141,51695
142,51695
143,51695
144,51695
145,51695
146,51695
147,51695
148,51695
149,51695
150,51695
151,51695
152,51695
153,51695
154,51695
155,51695
156,51695
157,51695
158,51695
159,51695
160,51695
161,51695
162,51695
163,51695
164,51695
165,51695
166,51695
167,51695
168,51695
169,51695
170,51695
171,51695
172,51695
173,51695
174,51695
175,51695
176,51695
177,51695
178,51695
179,51695
180,51695
181,51695
182,51695
183,51695
184,51695
185,51695
186,51695
187,51695
188,51695
189,51695
190,51695
191,51695
192,51695
193,51695
194,51695
195,51695
196,51695
197,51695
198,51695
199,51695
200,51695
201,51695
202,51695
203,51695
204,51695
205,51695
206,51695
207,51695
208,51695
209,51695
210,51695
211,51695
212,51695
213,51695
214,51695
215,51695
216,51695
217,51695
218,51695
219,51695
220,51695
221,51695
222,51695
223,51695
224,51695
225,51695
226,51695
227,51695
228,51695
229,51695
230,51695
231,51695
232,51695
233,51695
234,51695
235,51695
236,51695
237,51695
238,51695
239,51695
240,51695
241,51695
242,51695
243,51695
244,51695
245,51695
246,51695
247,51695
248,51695
249,51695
250,51695
251,51695
252,51695
253,51695
254,51695
255,51695
256,51695
257,51695
258,51695
259,51695
260,51695
261,51695
262,51695
263,51695
264,51695
265,51695
266,51695
267,51695
268,51695
269,51695
270,51695
271,51695
272,51695
273,51695
274,51695
275,51695
276,51695
277,51695
278,51695
279,51695
280,51695
281,51695
282,51695
283,51695
284,51695
285,51695
286,51695
287,51695
288,51695
289,51695
290,51695
291,51695
292,51695
293,51695
294,51695
295,51695
296,51695
297,51695
298,51695
299,51695
300,51695
301,51695
302,51695
303,51695
304,51695
305,51695
306,51695
307,51695
308,51695
309,51695
310,51695
311,51695
312,51695
313,51695
314,51695
315,51695
316,51695
317,51695
318,51695
319,51695
320,51695
321,51695
322,51695
323,51695
324,51695
325,51695
326,51695
327,51695
328,51695
329,51695
330,51695
331,51695
332,51695
333,51695
334,51695
335,51695
336,51695
337,51695
338,51695
339,51695
340,51695
341,51695
342,51695
343,51695
344,51695
345,51695
346,51695
347,51695
348,51695
349,51695
350,51695
351,51695
352,51695
353,51695
354,51695
355,51695
356,51695
357,51695
358,51695
359,51695
360,51695
361,51695
362,51695
363,51695
364,51695
365,51695
366,51695
367,51695
368,51695
369,51695
370,51695
