iteration,lucro
0,-12285
1,-12285
2,-11235
3,-11235
4,-8715
5,-8715
6,-8715
7,-6615
8,-6615
9,-5565
10,-5565
11,-3465
12,-3465
13,-1995
14,805
15,805
16,3605
17,3605
18,4620
19,4620
20,4620
21,10115
22,11095
23,11095
24,11095
25,11095
26,13195
27,13195
28,15505
29,15505
30,19705
31,19705
32,21875
33,21875
34,21875
35,21910
36,27055
37,27930
38,27930
39,30030
40,31115
41,31115
42,31115
43,31115
44,33215
45,33215
46,38430
47,38430
48,38430
49,41230
50,41230
51,41230
52,46830
53,46830
54,46830
55,47915
56,50610
57,50610
58,50610
59,50610
60,50610
61,50610
62,50610
63,50610
64,53095
65,53095
66,53095
67,53095
68,55510
69,55510
70,56245
71,58345
72,58345
73,58345
74,59675
75,59675
76,59675
77,59675
78,59675
79,59675
80,59675
81,64820
82,64820
83,64820
84,64820
85,64820
86,64820
87,64820
88,64820
89,64820
90,70420
91,70420
92,70420
93,70420
94,70420
95,70420
96,70420
97,70420
98,70560
99,70560
100,70560
101,70560
102,70560
103,71085
104,71085
105,71085
106,71540
107,71610
108,74620
109,74620
110,74865
111,75075
112,75075
113,75075
114,75075
115,75075
116,75250
117,76335
118,76335
119,76335
120,76335
121,76335
122,76335
123,76335
124,78435
125,78435
126,78435
127,78435
128,78435
129,78435
130,78435
131,78435
132,80710
133,84910
134,84910
135,87010
136,89110
137,89110
138,89110
139,89110
140,89110
141,89110
142,89110
143,89110
144,89110
145,89110
146,89110
147,89110
148,89110
149,89110
150,89110
151,89110
152,89110
153,89110
154,89110
155,91210
156,91210
157,91210
158,91210
159,91210
160,91210
161,91210
162,91210
163,91210
164,91210
165,91210
166,91210
167,91210
168,91210
169,91630
170,91630
171,91630
172,91630
173,91630
174,91630
175,91630
176,91630
177,91630
178,91630
179,91630
180,91630
181,91630
182,91630
183,91630
184,91630
185,91630
186,91630
187,91630
188,91630
189,91630
190,91630
191,91805
192,91805
193,91805
194,91805
195,91805
196,91805
197,91805
198,91805
199,91805
200,91805
201,91805
202,91805
203,91805
204,91805
205,91805
206,91805
207,91805
208,91805
209,91805
210,91805
211,91805
212,91805
213,91805
214,91805
215,92365
216,92365
217,92365
218,92365
219,92365
220,92365
221,92365
222,92365
223,92365
224,92365
225,92365
226,92365
227,92365
228,92365
229,92365
230,92365
231,92365
232,92365
233,92365
234,92365
235,92365
236,92365
237,92365
238,92365
239,92820
240,92820
241,92820
242,92820
243,92820
244,92820
245,92820
246,92820
247,92820
248,92820
249,92820
250,92820
251,92820
252,92820
253,92820
254,92820
255,92820
256,92820
257,92820
258,92820
259,92820
260,92820
261,92820
262,92820
263,92820
264,92820
265,92820
266,92820
267,92820
268,92820
269,92820
270,92820
271,92820
272,92820
273,92820
274,92820
275,92820
276,92820
277,92820
278,92820
279,92820
280,92820
281,92820
282,92820
283,92820
284,92820
285,92820
286,92820
287,92820
288,92820
289,92820
290,92820
291,92820
292,92820
293,92820
294,92820
295,92820
296,92820
297,92820
298,92820
299,92820
300,92820
301,92820
302,92820
303,92820
304,92820
305,92820
306,92820
307,92820
308,92820
309,92820
310,92820
311,92820
312,92820
313,92820
314,92820
315,92820
316,92820
317,92820
318,92820
319,92820
320,92820
321,92820
322,92820
323,92820
324,92820
325,92820
326,92820
327,92820
328,92820
329,92820
330,92820
331,92820
332,92820
333,93660
334,93660
335,93660
336,93660
337,93660
338,93660
339,93660
340,93660
341,93660
342,93660
343,93660
344,93660
345,93660
346,93660
347,93660
348,93660
349,93660
350,93660
351,93660
352,93660
353,93660
354,93660
355,93660
356,93660
357,93660
358,93660
359,93660
360,93660
361,93660
362,93660
363,93660
364,93660
365,93660
366,93660
367,93660
368,93660
369,93660
370,93660
371,93660
372,93660
373,93660
374,93660
375,93660
376,93660
377,93660
378,93835
379,93835
380,93835
381,93835
382,93835
383,93835
384,93835
385,93835
386,93835
387,93835
388,93835
389,93835
390,93835
391,93835
392,93835
393,93835
394,93835
395,93835
396,93835
397,93835
398,93835
399,93835
400,93835
401,93835
402,93835
403,93835
404,93835
405,93835
406,93835
407,93835
408,93835
409,93835
410,93835
411,93835
412,93835
413,93835
414,94220
415,94220
416,94220
417,94220
418,94220
419,94220
420,94220
421,94220
422,94220
423,94220
424,94220
425,94220
426,94220
427,94220
428,94220
429,94220
430,94220
431,94220
432,94220
433,94220
434,94220
435,94220
436,94220
437,94220
438,94220
439,94220
440,94220
441,94220
442,94220
443,94220
444,94220
445,94220
446,94220
447,94220
448,94220
449,94220
450,94220
451,94220
452,94220
453,94220
454,94220
455,94220
456,94220
457,94220
458,94220
459,94220
460,94220
461,94220
462,94220
463,94220
464,94220
465,94220
466,94220
467,94220
468,94220
469,94220
470,94220
471,94220
472,94220
473,94220
474,94220
475,94220
476,94220
477,94220
478,94220
479,94220
480,94220
481,94220
482,94220
483,94220
484,94220
485,94220
486,94220
487,94220
488,94220
489,94220
490,94220
491,94220
492,94220
493,94220
494,94220
495,94220
496,94220
497,94220
498,94220
499,94220
500,94220
501,94220
502,94220
503,94220
504,94220
505,94220
506,94220
507,94220
508,94220
509,94220
510,94220
511,94220
512,94220
513,94220
514,94220
515,94220
516,94220
517,94220
518,94220
519,94220
520,94220
521,94220
522,94220
523,94220
524,94220
525,94220
526,94220
527,94220
528,94220
529,94220
530,94220
531,94220
532,94220
533,94220
534,94220
535,94220
536,94220
537,94255
538,94255
539,94255
540,94255
541,94255
542,94255
543,94255
544,94255
545,94255
546,94255
547,94255
548,94255
549,94255
550,94255
551,94255
552,94255
553,94255
554,94255
555,94255
556,94255
557,94255
558,94255
559,94255
560,94255
561,94255
562,94255
563,94255
564,94255
565,94255
566,94255
567,94255
568,94255
569,94255
570,94255
571,94255
572,94255
573,94255
574,94255
575,94255
576,94255
577,94255
578,94255
579,94255
580,94255
581,94255
582,94255
583,94255
584,94255
585,94255
586,94255
587,94255
588,94255
589,94255
590,94255
591,94255
592,94255
593,94255
594,94255
595,94255
596,94255
597,94255
598,94255
599,94255
600,94255
601,94255
602,94255
603,94255
604,94255
605,94255
606,94255
607,94255
608,94255
609,94255
610,94255
611,94255
612,94255
613,94255
614,94255
615,94255
616,94255
617,94255
618,94255
619,94255
620,94255
621,94255
622,94255
623,94255
624,94255
625,94255
626,94255
627,94255
628,94255
629,94255
630,94255
631,94255
632,94255
633,94255
634,94255
635,94255
636,94255
637,94255
638,94255
639,94255
640,94255
641,94255
642,94255
643,94255
644,94255
645,94255
646,94255
647,94255
648,94255
649,94255
650,94255
651,94255
652,94255
653,94255
654,94255
655,94255
656,94255
657,94255
658,94255
