temp_step,best_lucro
0,47215
1,60515
2,60515
3,60515
4,60515
5,60515
6,60515
7,60515
8,60515
9,60725
10,71260
11,71260
12,71260
13,77070
14,81900
15,81900
16,81900
17,81900
18,81900
19,85540
20,86415
21,87920
22,92190
23,97055
24,97055
25,97055
26,97055
27,97055
28,97055
29,97055
30,97055
31,97055
32,97055
33,97055
34,97055
35,97055
36,97055
37,97055
38,97055
39,97055
40,97055
41,97055
42,97055
43,97055
44,97055
45,97055
46,97055
47,97055
48,97055
49,97055
50,97055
51,97055
52,97055
53,97055
54,97055
55,97055
56,97055
57,97055
58,97055
59,97055
60,97055
61,97055
62,97055
63,97055
64,97055
65,97055
66,97055
67,97055
68,97055
69,97055
70,97055
71,97055
72,97055
73,97055
74,97055
75,97055
76,97055
77,97055
78,97055
79,97055
80,97055
81,97055
82,97055
83,97055
84,97055
85,97055
86,97055
87,97055
88,97055
89,97055
90,97055
91,97055
92,97055
93,97055
94,97055
95,97055
96,97055
97,97055
98,97055
99,97055
100,97055
101,97055
102,97055
103,97055
104,97055
105,97055
106,97055
107,97055
108,97055
109,97055
110,97055
111,97055
112,97055
113,97055
114,97055
115,97055
116,97055
117,97055
118,97055
119,97055
120,97055
121,97055
122,97055
123,97055
124,97055
125,97055
126,97055
127,97055
128,97055
129,97055
130,97055
131,97055
132,97055
133,97055
134,97055
135,97055
136,97055
137,97055
138,97055
139,97055
140,97055
141,97895
142,97895
143,97895
144,97895
145,97895
146,97895
147,97895
148,97895
149,97895
150,97895
151,97895
152,97895
153,97895
154,97895
155,97895
156,97895
157,97895
158,97895
159,97895
160,97895
161,97895
162,97895
163,97895
164,97895
165,97895
166,97895
167,97895
168,97895
169,97895
170,97895
171,97895
172,97895
173,97895
174,97895
175,99225
176,99225
177,99225
178,99225
179,99225
180,99225
181,99225
182,99225
183,99225
184,99225
185,99225
186,101255
187,101605
188,103425
189,103425
190,103425
191,103705
192,103705
193,103705
194,103705
195,103705
196,103705
197,106085
198,106575
199,106575
200,106575
201,106575
202,106575
203,108990
204,108990
205,108990
206,108990
207,108990
208,108990
209,108990
210,108990
211,108990
212,108990
213,108990
214,108990
215,108990
216,108990
217,108990
218,108990
219,108990
220,108990
221,108990
222,108990
223,108990
224,108990
225,108990
226,108990
227,108990
228,108990
229,108990
230,108990
231,108990
232,108990
233,108990
234,108990
235,108990
236,108990
237,108990
238,108990
239,108990
240,108990
241,108990
242,108990
243,108990
244,108990
245,108990
246,108990
247,108990
248,108990
249,108990
250,108990
251,108990
252,108990
253,108990
254,108990
255,108990
256,108990
257,108990
258,108990
259,108990
260,108990
261,108990
262,108990
263,108990
264,108990
265,108990
266,108990
267,108990
268,108990
269,108990
270,108990
271,108990
272,108990
273,108990
274,108990
275,108990
276,108990
277,108990
278,108990
279,108990
280,108990
281,108990
282,108990
283,108990
284,108990
285,108990
286,108990
287,108990
288,108990
289,108990
290,108990
291,108990
292,108990
293,108990
294,108990
295,108990
296,108990
297,108990
298,108990
299,108990
300,108990
301,108990
302,108990
303,108990
304,108990
305,108990
306,108990
307,108990
308,108990
309,108990
310,108990
311,108990
312,108990
313,108990
314,108990
315,108990
316,108990
317,108990
318,108990
319,108990
320,108990
321,108990
322,108990
323,108990
324,108990
325,108990
326,108990
327,108990
328,108990
329,108990
330,108990
331,108990
332,108990
333,108990
334,108990
335,108990
336,108990
337,108990
338,109725
339,109725
340,109725
341,109725
342,109725
343,109725
344,109725
345,109725
346,109725
347,109725
348,109725
349,109725
350,109725
351,110355
352,110355
353,110355
354,110355
355,110355
356,110355
357,110355
358,110355
359,110355
360,110355
361,110355
362,110355
363,110355
364,110390
365,110390
366,110390
367,110810
368,111230
369,111230
370,111370
371,112385
372,112385
373,112385
374,112385
375,112385
376,112385
377,113260
378,113260
379,113260
380,113260
381,113260
382,113260
383,113435
384,113435
385,113435
386,113435
387,113435
388,113435
389,113435
390,113435
391,113435
392,113435
393,113435
394,113435
395,113435
396,113435
397,113435
398,113435
399,113435
400,113435
401,113435
402,113435
403,113435
404,113435
405,113435
406,113435
407,113435
408,113435
409,113435
410,113435
411,113435
412,113575
