temp_step,best_lucro
0,82635
1,113995
2,116690
3,116690
4,116690
5,116690
6,116690
7,116690
8,116690
9,116690
10,128170
11,128170
12,128170
13,128170
14,128170
15,128170
16,128170
17,128170
18,128170
19,128170
20,128170
21,128170
22,128170
23,128170
24,128170
25,128170
26,128170
27,128170
28,128170
29,128170
30,128170
31,128170
32,128170
33,128170
34,128170
35,128170
36,128170
37,128170
38,128170
39,128170
40,128170
41,128170
42,128170
43,128170
44,128170
45,128170
46,130270
47,133875
48,133875
49,133875
50,133875
51,133875
52,133875
53,133875
54,136010
55,137340
56,137340
57,140630
58,140630
59,140630
60,140630
61,140630
62,140630
63,140630
64,140630
65,140630
66,140630
67,140630
68,140630
69,140630
70,140630
71,140630
72,140630
73,140630
74,140630
75,140630
76,140630
77,140630
78,140630
79,140630
80,140630
81,140630
82,140630
83,140630
84,140630
85,140630
86,140630
87,140630
88,140630
89,140630
90,140630
91,145180
92,145180
93,145180
94,145180
95,145180
96,145180
97,145180
98,145180
99,145180
100,145180
101,145180
102,145180
103,145180
104,145180
105,145180
106,145180
107,145180
108,145180
109,145180
110,145180
111,145180
112,145180
113,145180
114,145180
115,145180
116,145180
117,145180
118,145180
119,145180
120,145180
121,145180
122,145180
123,145180
124,145180
125,145180
126,145180
127,145180
128,145180
129,145180
130,145180
131,145180
132,145180
133,145180
134,145180
135,145180
136,145180
137,145180
138,145180
139,145180
140,145180
141,145180
142,145180
143,145180
144,145180
145,145180
146,145180
147,145180
148,145180
149,145180
150,145180
151,145180
152,145180
153,145180
154,145180
155,145180
156,145180
157,145180
158,145180
159,145180
160,145180
161,145180
162,145180
163,145180
164,145180
165,145180
166,145180
167,145180
168,145180
169,145180
170,145180
171,145180
172,145180
173,145180
174,145180
175,145180
176,145180
177,145180
178,145180
179,145180
180,145180
181,145180
182,145180
183,145180
184,145180
185,145180
186,145180
187,148505
188,148505
189,148505
190,148505
191,148505
192,148505
193,148505
194,148505
195,148505
196,150045
197,150045
198,150045
199,150045
200,150045
201,150045
202,150045
203,154770
204,154770
205,154770
206,154770
207,154770
208,154770
209,154770
210,154770
211,154770
212,154770
213,154770
214,154770
215,154770
216,154770
217,154770
218,154770
219,154770
220,154770
221,154770
222,154770
223,154770
224,154770
225,154770
226,154770
227,154770
228,154770
229,154770
230,154770
231,154770
232,154770
233,154770
234,154770
235,154770
236,154770
237,154770
238,154770
239,154770
240,154770
241,154770
242,154770
243,154770
244,154770
245,154770
246,154770
247,154770
248,154770
249,154770
250,154770
251,154770
252,154770
253,154770
254,154770
255,154770
256,154770
257,154770
258,154770
259,154770
260,154770
261,154770
262,154770
263,154770
264,154770
265,154770
266,154770
267,154770
268,154770
269,155225
270,155225
271,155225
272,155225
273,156170
274,156660
275,156660
276,156660
277,156660
278,156660
279,158935
280,158935
281,160195
282,161245
283,161245
284,161245
285,161245
286,161245
287,161245
288,161245
289,161245
290,161245
291,161245
292,161245
293,161245
294,161245
295,161245
296,161245
297,161245
298,161245
299,161245
300,162400
301,162400
302,162400
303,162400
304,162400
305,162400
306,162400
307,162400
308,162400
309,162400
310,162400
311,162400
312,162400
313,162400
314,162400
315,162400
316,164045
317,164570
318,164570
319,164570
320,164570
321,164570
322,164570
323,164570
324,164570
325,164570
326,164570
327,164570
328,164570
329,164570
330,164570
331,164570
332,164570
333,164570
334,164570
335,164570
336,164570
337,164570
338,164570
339,164570
340,164570
341,164570
342,164570
343,164570
344,164570
345,164570
346,164570
347,164570
348,164570
349,164570
350,164570
351,164570
352,164570
353,164570
354,164570
355,164570
356,164570
357,164570
358,164570
359,164570
360,164570
361,164570
362,164570
363,164570
364,164570
365,164570
366,164570
367,164570
368,164570
369,164570
370,164570
371,164570
372,164570
373,164570
374,164570
375,164570
376,164570
377,164570
378,164570
379,164570
380,164570
381,164570
382,164570
383,164570
384,164570
385,164570
386,164570
387,164570
388,164570
389,164570
390,164570
391,164570
392,164570
393,164570
394,164570
395,164570
396,164570
397,164570
398,164570
399,164570
400,164570
401,164570
402,164570
403,164570
404,164570
405,164570
406,164570
407,164570
408,164570
409,164570
410,164570
411,164570
412,164570
413,164570
414,164570
415,164570
416,164570
417,164570
418,164570
419,164570
420,164570
421,164570
422,164570
423,164570
424,164570
425,164570
426,164570
427,164780
428,164780
429,164780
430,164780
431,165375
432,165375
433,166075
434,166985
435,166985
436,166985
437,166985
438,166985
439,166985
440,166985
441,166985
442,166985
443,166985
444,166985
445,166985
446,166985
447,166985
448,166985
449,166985
450,166985
451,166985
452,166985
453,166985
454,166985
455,166985
456,166985
457,166985
458,166985
459,166985
460,166985
461,166985
462,166985
463,166985
464,166985
465,166985
466,166985
467,166985
468,166985
469,166985
470,166985
471,166985
472,166985
473,166985
474,166985
475,167020
476,167020
477,167020
478,167020
479,167020
480,167020
481,167020
482,167020
483,167300
484,167965
485,167965
486,169295
487,169295
488,169295
489,169295
490,169295
491,169295
492,169295
493,169295
494,169295
495,169295
496,169295
497,169295
498,169295
499,169295
500,169295
501,169295
502,169295
503,169295
504,170450
505,170450
506,170450
507,170450
508,170450
509,170450
510,170450
511,170450
512,170450
513,170450
514,170450
515,170450
516,170450
517,170450
518,170450
519,170450
520,170450
521,170450
522,170450
523,170450
524,170450
525,170450
526,170450
527,170450
528,170450
529,170450
530,170450
531,170450
532,170625
533,170625
534,170625
535,170625
536,170625
537,170625
538,170625
539,170625
540,170625
541,170625
542,170625
543,170625
544,170625
545,170625
546,170625
547,170625
548,170625
549,170625
550,170625
551,170625
552,170625
553,170625
554,170625
555,170625
556,170625
557,170730
558,170730
559,170730
560,170730
561,170730
562,170730
563,170730
564,170730
565,170730
566,170730
567,170730
568,170730
569,170730
570,170730
571,170730
572,170730
573,170730
574,170730
575,170730
576,170730
577,170800
578,170800
579,170800
580,170800
581,170800
582,170800
583,170800
584,170800
585,170800
586,170800
587,170800
588,170800
589,170800
590,170800
591,170800
592,170800
593,170800
594,170800
595,170800
596,170800
597,170800
598,170800
599,170800
600,170800
601,170800
602,170800
603,170800
604,170800
605,170800
606,170800
607,170800
608,170800
609,170800
610,170800
611,170800
612,170800
613,170800
614,170800
615,170800
616,170800
617,170800
618,170800
619,171045
620,171045
621,171045
622,171045
623,171045
624,171045
625,171045
626,171045
627,171045
628,171045
629,171045
630,171045
631,171045
632,171045
633,171045
634,171045
635,171045
636,171045
637,171045
638,171045
639,171045
640,171045
641,171045
642,171045
643,171045
644,171045
645,171045
646,171045
647,171045
648,171045
649,171045
650,171045
651,171045
652,171045
653,171045
654,171045
655,171045
656,171045
657,171045
658,171045
659,171045
660,171045
661,171045
662,171045
663,171045
664,171045
665,171045
666,171045
667,171045
668,171045
669,171045
670,171045
671,171045
672,171045
673,171045
674,171045
675,171045
676,171045
677,171045
678,171045
679,171045
680,171045
681,171045
682,171045
683,171045
684,171045
685,171045
686,171045
687,171045
688,171045
689,171045
690,171045
691,171045
692,171045
693,171045
694,171045
695,171045
696,171045
697,171045
698,171045
699,171045
700,171045
701,171045
702,171045
703,171045
704,171045
705,171045
706,171080
707,171150
708,171150
709,171150
710,171150
711,171150
712,171150
713,171150
714,171150
715,171150
716,171150
717,171185
718,171185
719,171185
720,171185
721,171185
722,171185
723,171185
724,171185
725,171185
726,171185
727,171185
728,171185
729,171185
730,171185
731,171185
732,171185
733,171185
734,171185
735,171185
736,171185
737,171185
738,171185
739,171185
740,171185
741,171185
742,171185
743,171185
744,171185
745,171185
746,171185
747,171185
748,171185
