temp_step,best_lucro
0,64330
1,73640
2,73640
3,96775
4,114170
5,122605
6,134995
7,163030
8,182105
9,191800
10,191800
11,191800
12,191800
13,197785
14,197785
15,197785
16,208250
17,219520
18,219520
19,219520
20,219520
21,219520
22,219520
23,219520
24,219520
25,219520
26,219520
27,219520
28,219520
29,219520
30,219520
31,219520
32,219520
33,219520
34,219520
35,219520
36,219520
37,219520
38,219520
39,219520
40,219520
41,219520
42,219520
43,219520
44,219520
45,219520
46,219520
47,219520
48,219520
49,219520
50,219520
51,219520
52,219520
53,219520
54,219520
55,219520
56,219520
57,219520
58,219520
59,219520
60,219520
61,219520
62,219520
63,219520
64,219520
65,219520
66,219520
67,219520
68,219520
69,219520
70,219520
71,219520
72,219520
73,219520
74,219520
75,219520
76,219520
77,219520
78,219520
79,219520
80,219520
81,219520
82,219520
83,219520
84,219520
85,219520
86,219520
87,224490
88,225925
89,225925
90,225925
91,225925
92,225925
93,225925
94,225925
95,226660
96,226660
97,226660
98,226660
99,226660
100,226660
101,226660
102,226660
103,226660
104,226660
105,226660
106,226660
107,226660
108,226660
109,226660
110,226660
111,226660
112,226660
113,226660
114,226660
115,226660
116,226660
117,226660
118,226660
119,226660
120,226660
121,226660
122,226660
123,226660
124,226660
125,226660
126,226660
127,226660
128,226660
129,226660
130,226660
131,226660
132,226660
133,226660
134,226660
135,226660
136,226660
137,226660
138,226660
139,226660
140,230370
141,230370
142,230370
143,230370
144,230370
145,230370
146,230370
147,231175
148,238070
149,239925
150,239925
151,239925
152,239925
153,239925
154,243355
155,243355
156,243355
157,243355
158,243355
159,243355
160,243355
161,243355
162,243355
163,243355
164,243355
165,243355
166,243355
167,243355
168,243355
169,243355
170,243355
171,243355
172,243355
173,243355
174,243355
175,243355
176,243355
177,243355
178,243355
179,243355
180,243355
181,243355
182,243355
183,243355
184,243355
185,243355
186,243355
187,243355
188,243355
189,243355
190,243355
191,243355
192,243355
193,243355
194,243355
195,243355
196,243355
197,243355
198,243355
199,243355
200,243355
201,243355
202,243355
203,243355
204,243355
205,243355
206,243355
207,243355
208,251195
209,251195
210,251195
211,251195
212,251195
213,251195
214,251195
215,251195
216,251195
217,251195
218,251195
