temp_step,best_lucro
0,-76720
1,-22190
2,-2835
3,20405
4,36995
5,55475
6,64470
7,64470
8,77665
9,77665
10,78610
11,78610
12,83895
13,83895
14,83895
15,83895
16,83895
17,83895
18,83895
19,83895
20,83895
21,83895
22,83895
23,83895
24,83895
25,83895
26,83895
27,83895
28,83895
29,83895
30,83895
31,83895
32,83895
33,83895
34,83895
35,83895
36,83895
37,83895
38,83895
39,83895
40,83895
41,83895
42,83895
43,83895
44,83895
45,83895
46,83895
47,83895
48,83895
49,83895
50,83895
51,83895
52,83895
53,83895
54,83895
55,83895
56,83895
57,83895
58,83895
59,83895
60,83895
61,83895
62,83895
63,83895
64,83895
65,83895
66,83895
67,83895
68,83895
69,83895
70,83895
71,83895
72,83895
73,84280
74,84280
75,84280
76,84280
77,84280
78,84280
79,84280
80,84280
81,84280
82,84280
83,84280
84,84280
85,84280
86,84280
87,84280
88,84280
89,84280
90,84280
91,84280
92,84280
93,84280
94,84280
95,84280
96,84280
97,84280
98,84280
99,84280
100,84280
101,84280
102,84280
103,84280
104,84280
105,84280
106,84280
107,84280
108,84280
109,84280
110,84280
111,84280
112,84280
113,86100
114,86100
115,86100
116,86100
117,86100
118,86100
119,86100
120,86100
121,86100
122,86100
123,86100
124,86100
125,86100
126,86100
127,86100
128,86100
129,86100
130,86100
131,86100
132,86100
133,86100
134,88620
135,91070
136,91070
137,91070
138,91070
139,91070
140,91070
141,91070
142,91070
143,91070
144,91070
145,91070
146,91070
147,91070
148,91070
149,91070
150,91070
151,91070
152,91070
153,91070
154,91070
155,91070
156,91070
157,91070
158,91070
159,91070
160,91070
161,91070
162,91070
163,91070
164,91070
165,91070
166,91070
167,91070
168,91070
169,91070
170,91070
171,91070
172,91070
173,91070
174,91070
175,91070
176,91070
177,91070
178,91070
179,91070
180,91070
181,91070
182,91070
183,91070
184,91070
185,91070
186,91070
187,91070
188,91070
189,91070
190,91070
191,91070
192,91070
193,91070
194,91070
195,91070
196,91070
197,91070
198,91070
199,91070
200,91070
201,91070
202,91070
203,91070
204,91070
205,91070
206,91070
207,91070
208,91070
209,91070
210,91070
211,91070
212,91070
213,91070
214,91070
215,91070
216,91070
217,91070
218,91070
219,91070
220,91070
221,91070
222,91070
223,91070
224,91070
225,91070
226,91070
227,91070
228,91070
229,91070
230,91070
231,91070
232,91070
233,91070
234,91070
235,91070
236,91070
237,91070
238,91070
239,91070
240,91070
241,91070
242,91070
243,91070
244,91070
245,91070
246,91070
247,91070
248,91070
249,91070
250,91070
251,91070
252,91070
253,91070
254,91070
255,91070
256,91070
257,91070
258,91070
259,91910
260,92470
261,92470
262,92470
263,93100
264,93100
265,93100
266,93100
267,93100
268,93730
269,93870
270,93870
271,93870
272,93870
273,94115
274,94815
275,96425
276,96425
277,97020
278,97020
279,97020
280,97020
281,97020
282,97020
283,97020
284,97020
285,97020
286,97020
287,97020
288,97020
289,97020
290,97020
291,97020
292,97020
293,97020
294,97020
295,97020
296,97020
297,97020
298,97020
299,97020
300,97020
301,97020
302,97020
303,97020
304,97020
305,97020
306,97020
307,97020
308,97020
309,97020
310,97020
311,97020
312,97020
313,97020
314,97020
315,97020
316,97020
317,97020
318,97020
319,97020
320,97020
321,97020
322,97020
323,97020
324,97020
325,97020
326,97020
327,97020
328,97020
329,97020
330,97020
331,97020
332,97020
333,97020
334,97020
335,97020
336,97020
337,97020
338,97020
339,97020
340,97020
341,97020
342,97020
343,97020
344,97020
345,97020
346,97020
347,97020
348,97020
349,97020
350,97020
351,97020
352,97020
353,97020
354,97020
355,97020
356,97020
357,97020
358,97020
359,97020
360,97020
361,97020
362,97020
363,97020
