lucro_total,staff_total,baltimore_pr_Sun,baltimore_hr_x_Sun,baltimore_hr_j_Sun,baltimore_pr_Mon,baltimore_hr_x_Mon,baltimore_hr_j_Mon,baltimore_pr_Tue,baltimore_hr_x_Tue,baltimore_hr_j_Tue,baltimore_pr_Wed,baltimore_hr_x_Wed,baltimore_hr_j_Wed,baltimore_pr_Thu,baltimore_hr_x_Thu,baltimore_hr_j_Thu,baltimore_pr_Fri,baltimore_hr_x_Fri,baltimore_hr_j_Fri,baltimore_pr_Sat,baltimore_hr_x_Sat,baltimore_hr_j_Sat,lancaster_pr_Sun,lancaster_hr_x_Sun,lancaster_hr_j_Sun,lancaster_pr_Mon,lancaster_hr_x_Mon,lancaster_hr_j_Mon,lancaster_pr_Tue,lancaster_hr_x_Tue,lancaster_hr_j_Tue,lancaster_pr_Wed,lancaster_hr_x_Wed,lancaster_hr_j_Wed,lancaster_pr_Thu,lancaster_hr_x_Thu,lancaster_hr_j_Thu,lancaster_pr_Fri,lancaster_hr_x_Fri,lancaster_hr_j_Fri,lancaster_pr_Sat,lancaster_hr_x_Sat,lancaster_hr_j_Sat,philadelphia_pr_Sun,philadelphia_hr_x_Sun,philadelphia_hr_j_Sun,philadelphia_pr_Mon,philadelphia_hr_x_Mon,philadelphia_hr_j_Mon,philadelphia_pr_Tue,philadelphia_hr_x_Tue,philadelphia_hr_j_Tue,philadelphia_pr_Wed,philadelphia_hr_x_Wed,philadelphia_hr_j_Wed,philadelphia_pr_Thu,philadelphia_hr_x_Thu,philadelphia_hr_j_Thu,philadelphia_pr_Fri,philadelphia_hr_x_Fri,philadelphia_hr_j_Fri,philadelphia_pr_Sat,philadelphia_hr_x_Sat,philadelphia_hr_j_Sat,richmond_pr_Sun,richmond_hr_x_Sun,richmond_hr_j_Sun,richmond_pr_Mon,richmond_hr_x_Mon,richmond_hr_j_Mon,richmond_pr_Tue,richmond_hr_x_Tue,richmond_hr_j_Tue,richmond_pr_Wed,richmond_hr_x_Wed,richmond_hr_j_Wed,richmond_pr_Thu,richmond_hr_x_Thu,richmond_hr_j_Thu,richmond_pr_Fri,richmond_hr_x_Fri,richmond_hr_j_Fri,richmond_pr_Sat,richmond_hr_x_Sat,richmond_hr_j_Sat
21210.0,84,0.0258,2,0,0.006,3,0,0.0544,2,1,0.092,2,0,0.0059,4,0,0.0087,3,1,0.022,0,2,0.0637,3,0,0.0616,1,1,0.0394,3,1,0.0265,3,1,0.1229,2,1,0.0448,2,1,0.034,1,1,0.0287,2,2,0.1398,3,1,0.1402,2,1,0.0013,3,0,0.0409,1,0,0.0707,2,1,0.1068,1,0,0.0501,1,1,0.0073,3,1,0.0357,3,2,0.1069,1,1,0.0086,2,2,0.1065,3,1,0.0447,2,1
19670.0,83,0.1169,2,0,0.006,3,0,0.0544,2,1,0.092,2,0,0.0059,4,0,0.0087,3,1,0.022,0,2,0.0637,3,0,0.0616,1,1,0.0394,3,1,0.0265,3,1,0.1229,2,1,0.0448,2,1,0.034,1,1,0.0287,2,2,0.1396,3,1,0.1402,2,1,0.0013,3,0,0.0409,1,0,0.0707,2,1,0.1068,1,0,0.0501,1,1,0.0073,3,1,0.0357,3,2,0.1069,1,1,0.0086,2,2,0.1065,3,1,0.0447,2,0
18760.0,82,0.1169,2,0,0.006,3,0,0.0544,2,1,0.092,2,0,0.0059,4,0,0.0087,3,1,0.022,0,2,0.0637,3,0,0.0616,1,1,0.0394,3,1,0.0265,3,1,0.1229,2,1,0.0448,2,1,0.034,1,1,0.0287,2,0,0.1398,3,1,0.1402,2,1,0.0013,3,0,0.0409,1,0,0.0707,2,1,0.1068,1,0,0.0501,1,1,0.0073,3,1,0.0357,3,2,0.1069,1,1,0.0086,2,2,0.1065,3,1,0.0447,2,1
16870.0,80,0.1169,0,0,0.006,3,0,0.0544,2,1,0.092,1,0,0.0059,4,0,0.0087,3,1,0.022,0,1,0.0637,3,0,0.0616,1,1,0.0394,3,1,0.0264,3,1,0.1229,2,1,0.0448,2,1,0.034,1,1,0.0287,2,2,0.1396,3,1,0.1402,2,1,0.0001,3,0,0.0409,1,0,0.0707,2,1,0.1068,1,0,0.0501,1,1,0.0073,3,1,0.0357,3,2,0.1048,1,1,0.0086,2,2,0.1065,3,1,0.0447,2,1
14840.0,78,0.1169,0,0,0.006,3,0,0.0544,2,1,0.092,1,0,0.0059,4,0,0.0087,3,1,0.022,0,1,0.0637,3,0,0.0616,1,1,0.0394,3,1,0.0264,3,1,0.1229,2,1,0.0448,2,1,0.034,1,1,0.0287,0,2,0.1396,3,1,0.1402,2,1,0.0013,3,0,0.0409,1,0,0.0707,2,1,0.1068,1,0,0.0498,1,1,0.0073,3,1,0.0357,3,2,0.1048,1,1,0.0086,2,2,0.1065,3,1,0.0447,2,1
13475.0,77,0.1169,0,0,0.006,3,0,0.0544,2,1,0.092,1,0,0.0059,4,0,0.0087,3,1,0.022,0,1,0.0637,3,0,0.0616,1,1,0.0394,3,0,0.0264,3,1,0.1229,2,1,0.0448,2,1,0.034,1,1,0.0287,0,2,0.1396,3,1,0.1402,2,1,0.0013,3,0,0.0409,1,0,0.0707,2,1,0.1068,1,0,0.0498,1,1,0.0073,3,1,0.0357,3,2,0.1048,1,1,0.0086,2,2,0.1065,3,1,0.0447,2,1
10080.0,75,0.1174,0,0,0.006,3,0,0.0084,2,1,0.0534,2,0,0.0061,4,0,0.0369,3,0,0.0243,0,1,0.0637,3,0,0.0616,0,1,0.0394,3,1,0.0265,3,1,0.1229,1,1,0.045,3,4,0.1179,1,1,0.0397,0,0,0.1441,3,1,0.1402,2,1,0.091,3,0,0.1022,1,0,0.0527,2,0,0.0945,1,0,0.0652,1,0,0.0903,3,1,0.0356,3,2,0.1048,1,1,0.0084,2,2,0.0374,3,1,0.0194,1,1
7910.0,73,0.1174,0,0,0.006,3,0,0.0084,2,1,0.0534,2,0,0.0061,4,0,0.0369,3,0,0.0243,0,0,0.0637,3,0,0.0616,0,1,0.0394,3,0,0.0265,3,1,0.1229,1,1,0.045,3,4,0.1179,1,1,0.0397,0,0,0.1397,3,1,0.1402,2,1,0.091,3,0,0.1022,1,0,0.0527,2,0,0.0945,1,0,0.0652,1,0,0.0903,3,1,0.0356,3,2,0.1048,1,1,0.0084,2,2,0.0395,3,1,0.0194,1,1
490.0,67,0.0929,0,0,0.006,3,0,0.0084,2,1,0.0534,2,0,0.0061,4,0,0.1402,1,0,0.022,0,1,0.0637,0,0,0.0599,0,1,0.0394,3,0,0.0265,3,1,0.0394,1,1,0.045,3,1,0.0364,1,1,0.0397,0,0,0.1441,3,1,0.1402,2,1,0.0911,3,0,0.101,1,0,0.0052,2,0,0.0987,1,0,0.0652,1,1,0.0903,3,1,0.0356,3,2,0.1048,1,1,0.0097,2,2,0.0395,3,1,0.0194,1,1
-70.0,66,0.0929,0,0,0.006,3,0,0.0084,2,1,0.0534,2,0,0.0061,4,0,0.1402,1,0,0.022,0,1,0.0637,0,0,0.0599,0,1,0.0394,3,0,0.0265,3,1,0.0394,1,1,0.045,3,1,0.0364,1,1,0.0397,0,0,0.1441,3,1,0.1402,2,1,0.0911,3,0,0.101,1,0,0.0052,2,0,0.0945,1,0,0.0652,1,0,0.0093,3,1,0.0356,3,2,0.1048,1,1,0.0097,2,2,0.0395,3,1,0.0194,1,1
