lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
80810.0,100.0,10.17,0.0938,12,6,0.2477,14,0,0.1406,12,0,0.0099,7,4,0.0723,11,0,0.1381,15,0,0.0097,13,6
