lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
105370.0,128.0,10.91,0.0315,11,8,0.1119,2,13,0.0874,12,1,0.0877,9,6,0.2048,15,1,0.1529,13,9,0.0875,14,14
