lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
144735.0,201.0,9.2,0.0085,15,15,0.1385,15,11,0.0767,15,13,0.0708,15,13,0.1401,15,14,0.1382,15,15,0.0711,15,15
