lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
66500.0,64.0,1.15,0.0072,5,7,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0006,8,0,0.0723,8,0,0.0003,12,0
65625.0,63.0,1.15,0.007,5,6,0.0001,8,0,0.0001,8,0,0.0,8,0,0.0007,8,0,0.0721,8,0,0.0002,12,0
64750.0,62.0,1.1400000000000001,0.0072,5,5,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0,8,0,0.0721,8,0,0.0003,12,0
63630.0,61.0,1.15,0.0072,4,5,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0007,8,0,0.0723,8,0,0.0003,12,0
62440.0,60.0,1.15,0.0072,5,5,0.0001,8,0,0.0001,8,0,0.0,8,0,0.0005,8,0,0.0721,8,0,0.0002,10,0
61495.0,58.0,1.06,0.001,6,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0007,8,0,0.0721,8,0,0.0003,12,0
60375.0,57.0,1.06,0.001,5,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0007,8,0,0.0721,8,0,0.0003,12,0
59255.0,56.0,1.06,0.0011,4,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0007,8,0,0.0721,8,0,0.0002,12,0
58135.0,55.0,1.06,0.0012,5,0,0.0001,8,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0723,8,0,0.0003,10,0
56980.0,54.0,1.0699999999999998,0.0013,4,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0007,8,0,0.0721,8,0,0.0002,10,0
55860.0,53.0,1.08,0.0021,1,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0006,8,0,0.0721,8,0,0.0003,12,0
54740.0,52.0,1.0699999999999998,0.0013,0,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0008,8,0,0.0721,8,0,0.0003,12,0
53585.0,51.0,1.23,0.0128,0,0,0.0001,8,0,0.0,8,0,0.0,8,0,0.0006,8,0,0.0723,8,0,0.0003,11,0
52465.0,50.0,1.0699999999999998,0.0013,0,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0007,8,0,0.0721,8,0,0.0003,10,0
51345.0,49.0,1.06,0.001,0,0,0.0,8,0,0.0001,8,0,0.0001,8,0,0.0004,8,0,0.0721,8,0,0.0003,9,0
50225.0,48.0,1.06,0.0012,5,0,0.0001,8,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0721,8,0,0.0003,3,0
49035.0,47.0,1.0699999999999998,0.0011,4,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0015,8,0,0.0721,8,0,0.0003,3,0
47950.0,46.0,1.06,0.0013,0,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0006,8,0,0.0721,8,0,0.0003,6,0
46795.0,45.0,1.06,0.001,5,0,0.0,8,0,0.0001,8,0,0.0001,8,0,0.0007,8,0,0.0721,8,0,0.0003,0,0
45675.0,44.0,1.06,0.001,1,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0007,8,0,0.0721,8,0,0.0003,3,0
44590.0,43.0,1.06,0.0012,0,0,0.0001,8,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0721,8,0,0.0003,3,0
43470.0,42.0,1.05,0.0008,0,0,0.0001,8,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0721,8,0,0.0002,2,0
42280.0,41.0,1.06,0.001,0,0,0.0,8,0,0.0001,8,0,0.0001,8,0,0.0004,8,0,0.0721,8,0,0.0003,1,0
41160.0,40.0,1.06,0.0011,0,0,0.0001,8,0,0.0,8,0,0.0,8,0,0.0006,8,0,0.0721,8,0,0.0003,0,0
39585.0,39.0,1.23,0.013,0,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0006,8,0,0.0721,7,0,0.0003,0,0
38010.0,38.0,1.06,0.0013,0,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0006,8,0,0.0721,6,0,0.0003,0,0
36295.0,37.0,1.06,0.001,0,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0006,6,0,0.0721,7,0,0.0003,0,0
34650.0,36.0,1.0699999999999998,0.0008,0,0,0.0001,6,0,0.0001,8,0,0.0001,8,0,0.0016,8,0,0.0721,6,0,0.0003,0,0
32970.0,35.0,1.23,0.013,0,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0007,4,0,0.0721,7,0,0.0003,0,0
31675.0,34.0,1.06,0.0007,0,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0007,8,0,0.0721,2,0,0.0002,0,0
30100.0,33.0,1.06,0.0012,0,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0007,8,0,0.0721,1,0,0.0003,0,0
28525.0,32.0,0.75,0.0122,0,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0007,8,0,0.039,0,0,0.0003,0,0
26845.0,31.0,1.78,0.0017,0,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0015,7,0,0.0721,0,0,0.0493,0,0
25235.0,30.0,1.06,0.0012,0,0,0.0,8,0,0.0,8,0,0.0001,8,0,0.0006,6,0,0.0721,0,0,0.0003,0,0
23555.0,29.0,1.06,0.0012,0,0,0.0,7,0,0.0,8,0,0.0,8,0,0.0006,6,0,0.0721,0,0,0.0003,0,0
21910.0,28.0,1.08,0.0012,0,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0015,4,0,0.0723,0,0,0.0003,0,0
20230.0,27.0,1.08,0.0012,0,0,0.0001,8,0,0.0,7,0,0.0001,8,0,0.0015,4,0,0.0723,0,0,0.0003,0,0
18620.0,26.0,1.23,0.0131,0,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0006,2,0,0.0721,0,0,0.0003,0,0
16940.0,25.0,1.06,0.0012,0,0,0.0001,8,0,0.0,8,0,0.0001,3,0,0.0006,6,0,0.0721,0,0,0.0003,0,0
15295.0,24.0,0.76,0.013,0,0,0.0001,8,0,0.0001,8,0,0.0001,8,0,0.0007,0,0,0.039,0,0,0.0003,0,0
13615.0,23.0,1.0699999999999998,0.0016,0,0,0.0001,8,0,0.0,8,0,0.0001,3,0,0.0007,4,0,0.0721,0,0,0.0003,0,0
11970.0,22.0,1.08,0.0016,0,0,0.0001,8,0,0.0001,2,0,0.0001,8,0,0.0015,4,0,0.0721,0,0,0.0003,0,0
10325.0,21.0,1.1400000000000001,0.0067,0,0,0.0001,8,0,0.0,8,0,0.0001,3,0,0.0006,2,0,0.0721,0,0,0.0003,0,0
8680.0,20.0,1.1400000000000001,0.0067,0,0,0.0001,8,0,0.0,2,0,0.0001,8,0,0.0006,2,0,0.0721,0,0,0.0003,0,0
7000.0,19.0,1.16,0.008,0,0,0.0001,8,0,0.0001,8,0,0.0001,2,0,0.0007,1,0,0.0721,0,0,0.0003,0,0
5355.0,18.0,1.24,0.013,0,0,0.0,8,0,0.0001,8,0,0.0001,2,0,0.0006,0,0,0.0721,0,0,0.0009,0,0
3675.0,17.0,1.08,0.0016,0,0,0.0001,8,0,0.0,2,0,0.0001,3,0,0.0015,4,0,0.0721,0,0,0.0003,0,0
2030.0,16.0,1.17,0.0076,0,0,0.0,6,0,0.0001,8,0,0.0001,2,0,0.0016,0,0,0.0721,0,0,0.0003,0,0
385.0,15.0,1.1400000000000001,0.0067,0,0,0.0001,8,0,0.0,2,0,0.0001,3,0,0.0006,2,0,0.0721,0,0,0.0003,0,0
-1295.0,14.0,1.16,0.0067,0,0,0.0001,8,0,0.0001,2,0,0.0001,3,0,0.0015,1,0,0.0721,0,0,0.0002,0,0
-2940.0,13.0,1.08,0.0022,0,0,0.0001,8,0,0.0001,2,0,0.0001,2,0,0.0007,1,0,0.0721,0,0,0.0002,0,0
-4585.0,12.0,1.0699999999999998,0.0012,0,0,0.0001,8,0,0.0,2,0,0.0001,2,0,0.0007,0,0,0.0721,0,0,0.0003,0,0
-6265.0,11.0,1.08,0.0022,0,0,0.0001,6,0,0.0001,2,0,0.0001,2,0,0.0007,1,0,0.0721,0,0,0.0002,0,0
-7910.0,10.0,1.15,0.0065,0,0,0.0001,6,0,0.0001,2,0,0.0001,2,0,0.0015,0,0,0.0721,0,0,0.0003,0,0
-9590.0,9.0,1.08,0.0022,0,0,0.0001,6,0,0.0001,2,0,0.0001,0,0,0.0007,1,0,0.0721,0,0,0.0002,0,0
