lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
70175.0,60.0,5.56,0.0237,6,2,0.0149,8,0,0.0989,8,0,0.0158,8,0,0.2052,8,0,0.0157,8,0,0.015,12,0
68495.0,58.0,5.56,0.0237,6,0,0.0148,8,0,0.0991,8,0,0.0157,8,0,0.2052,8,0,0.0157,8,0,0.015,12,0
67375.0,57.0,5.489999999999999,0.0237,5,0,0.0149,8,0,0.0946,8,0,0.0157,8,0,0.205,8,0,0.0157,8,0,0.015,12,0
66115.0,56.0,5.5,0.0237,4,0,0.0149,8,0,0.0946,8,0,0.0157,8,0,0.2052,8,0,0.0157,8,0,0.015,12,0
64785.0,55.0,5.48,0.0228,4,0,0.0148,8,0,0.0946,8,0,0.0157,8,0,0.2051,8,0,0.0157,8,0,0.0151,11,0
63770.0,54.0,4.82,0.0246,4,0,0.0149,8,0,0.0909,8,0,0.0157,8,0,0.1607,8,0,0.0157,8,0,0.015,10,0
62335.0,53.0,5.45,0.0237,2,0,0.0149,8,0,0.091,8,0,0.0157,8,0,0.2053,8,0,0.0157,8,0,0.015,11,0
61005.0,52.0,5.47,0.026,2,0,0.0148,8,0,0.0909,8,0,0.0156,8,0,0.2051,8,0,0.0157,8,0,0.0151,10,0
60130.0,51.0,4.8,0.026,0,0,0.0149,8,0,0.0903,8,0,0.0157,8,0,0.1581,8,0,0.0157,8,0,0.0151,11,0
58800.0,50.0,4.760000000000001,0.0237,0,0,0.0149,8,0,0.0903,8,0,0.0157,8,0,0.1581,8,0,0.0157,8,0,0.0149,10,0
57050.0,49.0,4.9399999999999995,0.0261,0,0,0.0149,8,0,0.0992,8,0,0.0165,8,0,0.1584,8,0,0.0157,8,0,0.0151,9,0
55685.0,48.0,5.43,0.0261,0,0,0.0148,8,0,0.0877,8,0,0.0157,8,0,0.2053,7,0,0.0157,8,0,0.0151,9,0
54355.0,47.0,5.43,0.0261,0,0,0.0148,8,0,0.0877,8,0,0.0157,8,0,0.2053,7,0,0.0157,8,0,0.0151,8,0
53060.0,46.0,5.52,0.0261,0,0,0.0149,8,0,0.0938,8,0,0.0157,8,0,0.205,8,0,0.0157,8,0,0.0151,6,0
51940.0,45.0,4.79,0.0237,4,0,0.0149,8,0,0.0881,8,0,0.0157,8,0,0.1618,8,0,0.0157,8,0,0.0151,1,0
50610.0,44.0,4.78,0.0237,4,0,0.0149,8,0,0.089,8,0,0.0157,8,0,0.1608,8,0,0.0157,8,0,0.015,0,0
48930.0,43.0,5.5,0.0236,2,0,0.0148,8,0,0.0954,8,0,0.0157,8,0,0.205,8,0,0.0157,8,0,0.0151,1,0
47950.0,42.0,4.82,0.0237,2,0,0.0149,8,0,0.0946,8,0,0.0157,8,0,0.1581,8,0,0.0157,8,0,0.0151,0,0
46585.0,41.0,5.4399999999999995,0.0237,0,0,0.0149,8,0,0.0904,8,0,0.0157,8,0,0.205,8,0,0.0157,8,0,0.0156,1,0
45570.0,40.0,4.760000000000001,0.0237,0,0,0.0149,8,0,0.0903,8,0,0.0157,8,0,0.1581,8,0,0.0157,8,0,0.0151,0,0
43820.0,39.0,4.8,0.026,0,0,0.0149,8,0,0.0904,7,0,0.0157,8,0,0.1581,8,0,0.0157,8,0,0.015,0,0
41965.0,38.0,4.8,0.026,0,0,0.0149,7,0,0.0904,7,0,0.0157,8,0,0.1581,8,0,0.0157,8,0,0.015,0,0
40390.0,37.0,5.52,0.026,0,0,0.0149,8,0,0.0937,8,0,0.0156,8,0,0.2053,5,0,0.0157,8,0,0.015,0,0
38640.0,36.0,4.81,0.0238,0,0,0.0148,8,0,0.0949,8,0,0.0157,8,0,0.1564,3,0,0.0157,8,0,0.0151,1,0
37240.0,35.0,4.82,0.0283,0,0,0.0157,8,0,0.0946,8,0,0.0158,8,0,0.1609,3,0,0.0157,8,0,0.0067,0,0
35315.0,34.0,5.74,0.0237,0,0,0.0149,8,0,0.0993,7,0,0.0157,8,0,0.2051,3,0,0.0157,8,0,0.0277,0,0
34265.0,33.0,4.84,0.0291,0,0,0.0149,8,0,0.0902,8,0,0.0158,8,0,0.1579,1,0,0.0157,8,0,0.0151,0,0
32655.0,32.0,5.510000000000001,0.0291,0,0,0.0149,8,0,0.0902,8,0,0.0158,8,0,0.2052,0,0,0.0157,8,0,0.0151,0,0
30730.0,31.0,5.54,0.0243,0,0,0.0149,8,0,0.096,7,0,0.0156,8,0,0.2063,0,0,0.0157,8,0,0.0151,0,0
29050.0,30.0,5.53,0.0285,0,0,0.0149,7,0,0.0908,7,0,0.0157,8,0,0.2064,0,0,0.0157,8,0,0.0151,0,0
27195.0,29.0,5.53,0.0285,0,0,0.0149,6,0,0.0908,7,0,0.0157,8,0,0.2064,0,0,0.0157,8,0,0.0151,0,0
25550.0,28.0,4.87,0.0275,0,0,0.0149,8,0,0.0937,3,0,0.0157,8,0,0.158,1,0,0.0157,8,0,0.015,0,0
23870.0,27.0,5.4,0.0129,0,0,0.0149,8,0,0.0992,3,0,0.0157,8,0,0.2053,0,0,0.0153,8,0,0.0149,0,0
22085.0,26.0,5.489999999999999,0.0237,0,0,0.0149,8,0,0.0937,1,0,0.0158,8,0,0.2051,1,0,0.0157,8,0,0.015,0,0
20510.0,25.0,5.6000000000000005,0.0291,0,0,0.0149,8,0,0.0962,1,0,0.0157,8,0,0.2058,0,0,0.0154,8,0,0.015,0,0
18795.0,24.0,5.6000000000000005,0.0291,0,0,0.0149,8,0,0.0962,0,0,0.0157,8,0,0.2058,0,0,0.0154,8,0,0.015,0,0
16940.0,23.0,5.74,0.0237,0,0,0.0149,7,0,0.0962,0,0,0.0158,8,0,0.2052,0,0,0.0153,8,0,0.0304,0,0
15085.0,22.0,6.370000000000001,0.0287,0,0,0.0149,7,0,0.1499,0,0,0.0157,8,0,0.2059,0,0,0.0157,7,0,0.015,0,0
13230.0,21.0,6.45,0.0359,0,0,0.0149,7,0,0.1483,0,0,0.0165,6,0,0.2052,0,0,0.0157,8,0,0.015,0,0
11375.0,20.0,6.329999999999999,0.0247,0,0,0.0149,7,0,0.1511,0,0,0.0165,6,0,0.205,0,0,0.0157,7,0,0.0152,0,0
9520.0,19.0,5.59,0.0263,0,0,0.0161,3,0,0.0957,0,0,0.0156,8,0,0.2065,0,0,0.0157,8,0,0.015,0,0
7700.0,18.0,5.16,0.0037,0,0,0.015,2,0,0.0911,0,0,0.0157,8,0,0.2052,0,0,0.0154,8,0,0.0151,0,0
5880.0,17.0,6.069999999999999,0.0238,0,0,0.0149,8,0,0.1346,0,0,0.0157,8,0,0.205,0,0,0.0157,1,0,0.015,0,0
4025.0,16.0,5.87,0.0261,0,0,0.0149,7,0,0.1031,0,0,0.0157,8,0,0.2052,0,0,0.0153,1,0,0.0304,0,0
2170.0,15.0,6.2,0.0261,0,0,0.0149,7,0,0.1363,0,0,0.0156,8,0,0.2079,0,0,0.0157,0,0,0.0172,0,0
315.0,14.0,5.66,0.0247,0,0,0.0149,7,0,0.0956,0,0,0.0165,6,0,0.2064,0,0,0.0157,1,0,0.0227,0,0
-1540.0,13.0,6.370000000000001,0.0247,0,0,0.0373,0,0,0.132,0,0,0.0157,5,0,0.2052,0,0,0.0157,8,0,0.0151,0,0
-3395.0,12.0,6.260000000000001,0.0235,0,0,0.015,3,0,0.149,0,0,0.0158,8,0,0.2035,0,0,0.0157,1,0,0.0157,0,0
-5215.0,11.0,6.49,0.0255,0,0,0.0149,2,0,0.1506,0,0,0.0157,8,0,0.2064,0,0,0.0157,1,0,0.0255,0,0
-7070.0,10.0,6.49,0.0255,0,0,0.0149,2,0,0.1506,0,0,0.0157,8,0,0.2064,0,0,0.0157,0,0,0.0255,0,0
-8925.0,9.0,6.39,0.0283,0,0,0.0169,1,0,0.1506,0,0,0.0157,8,0,0.2051,0,0,0.0157,0,0,0.0148,0,0
-10780.0,8.0,6.32,0.0247,0,0,0.015,1,0,0.1514,0,0,0.0157,6,0,0.2059,0,0,0.0157,1,0,0.0142,0,0
-12600.0,7.0,6.35,0.0247,0,0,0.0169,1,0,0.1505,0,0,0.0157,5,0,0.2058,0,0,0.0157,1,0,0.0151,0,0
-14455.0,6.0,6.63,0.0247,0,0,0.0373,0,0,0.1505,0,0,0.0157,5,0,0.2052,0,0,0.0157,1,0,0.0151,0,0
