lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
60830.0,63.0,4.77,0.1388,4,7,0.0002,5,3,0.0005,7,1,0.1391,7,1,0.0549,1,7,0.0001,7,1,0.0004,9,3
59605.0,62.0,4.79,0.1393,4,7,0.0002,5,3,0.0005,7,1,0.1398,7,1,0.0551,1,7,0.0002,7,1,0.0003,8,3
58415.0,61.0,4.84,0.14,4,7,0.0002,5,3,0.0005,7,1,0.1398,7,1,0.0582,1,7,0.0002,7,1,0.0001,7,3
57680.0,59.0,4.8,0.1254,0,8,0.0001,5,3,0.0005,7,1,0.1388,7,1,0.0709,4,4,0.0001,8,0,0.0002,8,3
56595.0,58.0,4.8,0.1254,0,7,0.0001,5,3,0.0005,7,1,0.1388,7,1,0.0711,4,4,0.0001,8,0,0.0002,8,3
55405.0,57.0,4.8,0.1254,0,8,0.0001,5,3,0.0005,7,1,0.1388,7,1,0.0709,4,4,0.0001,8,0,0.0002,8,1
54145.0,56.0,4.8,0.1254,0,7,0.0001,5,3,0.0002,7,1,0.1388,7,1,0.0711,4,4,0.0002,7,1,0.0002,9,0
52920.0,55.0,4.9,0.1254,0,3,0.0002,5,3,0.0001,7,1,0.1456,7,1,0.0711,4,4,0.0001,7,1,0.0002,9,3
52220.0,54.0,4.8,0.1254,0,3,0.0001,5,3,0.0005,7,1,0.1388,7,1,0.0711,4,4,0.0001,8,0,0.0002,8,3
50785.0,53.0,4.81,0.1254,0,4,0.0002,5,3,0.0001,7,1,0.1398,7,1,0.0711,4,4,0.0002,7,1,0.0001,9,0
49980.0,52.0,4.83,0.1258,0,0,0.0001,5,3,0.0001,7,1,0.1407,7,1,0.0709,4,4,0.0001,8,0,0.0004,9,3
48965.0,51.0,4.79,0.1254,0,0,0.0001,5,3,0.0001,7,1,0.1388,7,1,0.0709,4,4,0.0001,8,0,0.0002,8,3
47810.0,50.0,4.83,0.125,0,0,0.0002,6,2,0.0001,7,1,0.141,8,0,0.0711,4,4,0.0002,7,1,0.0002,9,1
46725.0,49.0,4.71,0.1188,0,0,0.0001,6,2,0.0002,7,1,0.1389,8,0,0.0711,4,4,0.0002,7,1,0.0002,9,0
45535.0,48.0,5.0200000000000005,0.1408,0,0,0.0001,5,3,0.0004,7,1,0.1389,7,1,0.0709,4,4,0.0001,8,0,0.0004,8,0
44135.0,47.0,4.99,0.1387,0,0,0.0001,5,3,0.0005,7,1,0.1388,7,0,0.0709,4,4,0.0001,8,0,0.0004,8,0
42910.0,46.0,4.84,0.1251,0,3,0.0002,5,3,0.0007,7,1,0.1408,7,1,0.0711,4,4,0.0001,7,1,0.0004,0,3
41720.0,45.0,4.83,0.1251,0,4,0.0002,5,3,0.0005,7,1,0.1407,7,1,0.0711,4,4,0.0002,7,1,0.0002,0,1
41055.0,44.0,4.8,0.1254,0,0,0.0001,5,3,0.0005,7,1,0.1388,7,1,0.0709,4,4,0.0001,8,0,0.0002,1,3
39830.0,43.0,4.83,0.1258,0,0,0.0001,5,3,0.0001,7,1,0.1407,7,1,0.0709,4,4,0.0001,8,0,0.0004,0,3
38745.0,42.0,4.82,0.1248,0,0,0.0002,6,2,0.0001,7,1,0.1406,8,0,0.0711,4,4,0.0002,7,1,0.0002,1,1
37695.0,41.0,4.7,0.1181,0,0,0.0002,6,2,0.0004,7,1,0.1388,8,0,0.0711,4,4,0.0002,7,1,0.0002,0,1
36470.0,40.0,4.73,0.1188,0,0,0.0002,6,2,0.0001,7,1,0.1406,8,0,0.0711,4,4,0.0002,7,1,0.0002,0,0
35350.0,39.0,4.58,0.1192,0,0,0.0002,7,1,0.0001,8,0,0.1424,8,0,0.0556,0,7,0.0001,8,0,0.0028,0,0
33670.0,38.0,5.11,0.1198,0,0,0.0002,7,1,0.0001,7,0,0.1424,8,0,0.0556,0,7,0.0001,8,0,0.0395,0,0
32305.0,37.0,4.859999999999999,0.1429,0,0,0.0002,7,1,0.0001,7,0,0.1399,7,0,0.0556,0,7,0.0001,8,0,0.0014,0,0
30870.0,36.0,5.08,0.1408,0,0,0.0001,7,1,0.0005,7,1,0.1429,4,0,0.0711,4,4,0.0001,8,0,0.0002,0,0
29435.0,35.0,5.08,0.1408,0,0,0.0001,7,1,0.0001,7,1,0.1429,7,0,0.0711,4,0,0.0002,8,0,0.0002,0,0
27720.0,34.0,5.26,0.1387,0,0,0.0001,7,1,0.0005,7,0,0.1416,4,0,0.0711,4,4,0.0002,7,0,0.0162,0,0
26425.0,33.0,5.08,0.1409,0,0,0.0001,7,1,0.0004,7,1,0.1427,4,1,0.0711,4,0,0.0001,8,0,0.0002,0,0
25060.0,32.0,5.07,0.1409,0,0,0.0001,7,1,0.0001,7,1,0.1427,4,0,0.0711,4,0,0.0001,8,0,0.0002,0,0
23485.0,31.0,6.03,0.1191,0,0,0.0001,7,0,0.0002,7,1,0.2037,0,0,0.0711,4,4,0.0001,8,0,0.0276,0,0
22120.0,30.0,5.609999999999999,0.1268,0,0,0.0002,7,0,0.0001,8,0,0.2001,0,0,0.0536,0,7,0.0001,8,0,0.0113,0,0
20545.0,29.0,5.08,0.1409,0,0,0.0001,7,1,0.0004,7,1,0.1427,0,1,0.0711,4,0,0.0001,8,0,0.0002,0,0
19355.0,28.0,5.8500000000000005,0.1268,0,0,0.0002,7,1,0.0001,8,0,0.2001,0,0,0.0712,4,0,0.0001,8,0,0.0113,0,0
17675.0,27.0,4.82,0.1247,0,0,0.0001,7,0,0.0004,7,1,0.1409,0,0,0.0711,4,0,0.0001,8,0,0.0002,0,0
16170.0,26.0,4.81,0.1188,0,0,0.0002,7,0,0.0001,7,0,0.1453,0,0,0.0711,4,0,0.0001,8,0,0.0011,0,0
14490.0,25.0,6.32,0.1258,0,0,0.0002,7,0,0.0004,7,0,0.2439,0,0,0.0716,4,0,0.0002,7,0,0.0004,0,0
13020.0,24.0,5.8500000000000005,0.1268,0,0,0.0002,7,1,0.0001,8,0,0.2001,0,0,0.0712,0,0,0.0001,8,0,0.0113,0,0
11515.0,23.0,5.84,0.1268,0,0,0.0002,7,0,0.0001,8,0,0.2001,0,0,0.0704,0,0,0.0001,8,0,0.0113,0,0
9835.0,22.0,5.64,0.1191,0,0,0.0002,7,0,0.0004,7,0,0.2037,0,0,0.0711,0,0,0.0001,8,0,0.0001,0,0
8225.0,21.0,5.82,0.1253,0,0,0.0002,5,0,0.0001,8,0,0.2001,0,0,0.0704,0,0,0.0001,8,0,0.0113,0,0
6545.0,20.0,5.41,0.1257,0,0,0.0002,5,0,0.0002,7,0,0.1949,0,0,0.057,0,0,0.0,8,0,0.0004,0,0
4865.0,19.0,6.3,0.1254,0,0,0.0002,5,0,0.0002,7,0,0.2439,0,0,0.0711,0,0,0.0001,7,0,0.0002,0,0
3255.0,18.0,4.91,0.1253,0,0,0.0002,5,0,0.0,5,0,0.1461,0,0,0.0716,0,0,0.0001,8,0,0.0004,0,0
1575.0,17.0,5.16,0.1403,0,0,0.0002,6,0,0.0001,3,0,0.1487,0,0,0.0711,0,0,0.0001,8,0,0.0007,0,0
-70.0,16.0,5.16,0.1403,0,0,0.0002,6,0,0.0001,2,0,0.1487,0,0,0.0711,0,0,0.0001,8,0,0.0007,0,0
-1715.0,15.0,6.34,0.1246,0,0,0.0002,5,0,0.0005,2,0,0.2468,0,0,0.0714,0,0,0.0001,8,0,0.0002,0,0
-3395.0,14.0,5.87,0.1409,0,0,0.0002,5,0,0.0004,7,0,0.1947,0,0,0.0736,0,0,0.0001,2,0,0.0006,0,0
-5075.0,13.0,5.63,0.1409,0,0,0.0002,6,0,0.0004,5,0,0.143,0,0,0.0711,0,0,0.0001,2,0,0.0383,0,0
-6685.0,12.0,7.140000000000001,0.1551,0,0,0.0002,5,0,0.0001,5,0,0.2346,0,0,0.0711,0,0,0.0001,2,0,0.0383,0,0
-8365.0,11.0,5.75,0.1356,0,0,0.0002,6,0,0.0005,3,0,0.194,0,0,0.0708,0,0,0.0006,2,0,0.0006,0,0
-10010.0,10.0,6.04,0.1398,0,0,0.0001,6,0,0.0004,2,0,0.1947,0,0,0.0711,0,0,0.0001,2,0,0.0162,0,0
-11655.0,9.0,4.87,0.1403,0,0,0.0002,5,0,0.0004,2,0,0.1411,0,0,0.0578,0,0,0.0002,2,0,0.0007,0,0
