lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
75110.0,61.0,5.86,0.0745,4,8,0.1609,8,0,0.0352,6,1,0.0348,7,0,0.0351,4,3,0.0348,8,0,0.0353,12,0
74165.0,59.0,5.83,0.0715,3,9,0.1609,8,0,0.0352,6,0,0.0348,7,0,0.0351,6,0,0.035,8,0,0.0357,12,0
72870.0,58.0,5.83,0.0713,3,8,0.1608,8,0,0.0352,6,0,0.0348,7,0,0.035,6,0,0.0351,8,0,0.0357,12,0
71610.0,57.0,5.83,0.0719,0,10,0.1608,8,0,0.0351,6,0,0.0348,7,0,0.035,6,0,0.035,8,0,0.0352,12,0
70280.0,56.0,5.83,0.0719,0,9,0.1608,8,0,0.0351,6,0,0.0348,7,0,0.035,6,0,0.035,8,0,0.0352,12,0
69020.0,55.0,5.81,0.0711,0,8,0.1609,8,0,0.0352,6,0,0.0348,7,0,0.0347,6,0,0.035,8,0,0.0352,12,0
67690.0,54.0,5.81,0.0711,0,7,0.1609,8,0,0.0352,6,0,0.0348,7,0,0.0347,6,0,0.035,8,0,0.0352,12,0
65905.0,53.0,5.87,0.0753,0,8,0.1607,8,0,0.0351,6,0,0.0348,7,0,0.0347,6,0,0.035,8,0,0.0354,10,0
65030.0,52.0,5.83,0.0715,3,2,0.1608,8,0,0.0352,6,0,0.0348,7,0,0.0351,6,0,0.035,8,0,0.0357,12,0
63455.0,51.0,6.25,0.1022,3,0,0.1609,8,0,0.0352,6,0,0.0348,7,0,0.0347,4,3,0.0348,8,0,0.0351,12,0
62405.0,50.0,5.8500000000000005,0.0734,3,0,0.1608,8,0,0.0352,6,0,0.0348,7,0,0.035,6,0,0.0348,8,0,0.0357,12,0
60760.0,49.0,5.82,0.0714,0,2,0.1608,8,0,0.0352,5,1,0.0348,7,0,0.035,6,0,0.0351,8,0,0.0352,12,0
59815.0,48.0,5.82,0.0714,0,1,0.1608,8,0,0.0351,6,0,0.0348,7,0,0.0351,6,0,0.0348,8,0,0.0357,12,0
58555.0,47.0,5.83,0.0719,0,0,0.1609,8,0,0.0351,6,0,0.0348,7,0,0.035,6,0,0.035,8,0,0.0351,12,0
57050.0,46.0,5.87,0.0745,0,0,0.1608,8,0,0.0352,6,0,0.0348,7,0,0.035,6,0,0.035,8,0,0.0357,11,0
55580.0,45.0,5.88,0.0753,0,0,0.1607,8,0,0.0352,6,0,0.0348,7,0,0.0351,6,0,0.035,8,0,0.0354,10,0
54110.0,44.0,5.91,0.078,0,0,0.1608,8,0,0.0352,6,0,0.0348,7,0,0.0346,6,0,0.035,8,0,0.0354,9,0
52605.0,43.0,5.8999999999999995,0.0769,0,0,0.1609,8,0,0.0352,6,0,0.0348,7,0,0.0347,6,0,0.0348,8,0,0.0357,8,0
50610.0,42.0,6.78,0.1387,0,0,0.1609,8,0,0.0352,5,0,0.0348,7,0,0.0351,6,0,0.0348,8,0,0.0354,8,0
49385.0,41.0,6.83,0.1425,0,1,0.1607,8,0,0.0351,6,0,0.0348,7,0,0.0347,6,0,0.0351,8,0,0.0354,5,0
48160.0,40.0,6.74,0.1366,0,0,0.1607,8,0,0.0351,6,0,0.0348,7,0,0.0347,6,0,0.0348,8,0,0.0354,5,0
46690.0,39.0,5.82,0.0714,0,0,0.1607,8,0,0.0352,6,0,0.0348,7,0,0.0351,6,0,0.035,8,0,0.0354,4,0
44870.0,38.0,5.93,0.0787,0,0,0.1609,7,0,0.0352,6,0,0.0348,7,0,0.035,6,0,0.035,8,0,0.0356,4,0
43540.0,37.0,5.84,0.0724,0,1,0.1609,8,0,0.0351,6,0,0.0348,7,0,0.0351,6,0,0.0348,8,0,0.0357,1,0
42245.0,36.0,5.83,0.0719,0,0,0.1609,8,0,0.0351,6,0,0.0348,7,0,0.035,6,0,0.035,8,0,0.0351,1,0
40775.0,35.0,6.75,0.1366,0,0,0.1609,8,0,0.0351,6,0,0.0348,7,0,0.0347,6,0,0.0348,8,0,0.0354,0,0
38955.0,34.0,5.93,0.0787,0,0,0.1609,7,0,0.0352,6,0,0.0348,7,0,0.035,6,0,0.035,8,0,0.0356,0,0
37135.0,33.0,5.7299999999999995,0.0752,0,0,0.1608,6,0,0.0352,6,0,0.0348,7,0,0.0351,6,0,0.0348,8,0,0.0253,0,0
34965.0,32.0,5.6899999999999995,0.0703,0,0,0.1609,7,0,0.0351,5,0,0.0348,7,0,0.035,5,0,0.0348,8,0,0.0274,0,0
33145.0,31.0,5.800000000000001,0.0707,0,0,0.1608,3,0,0.0352,6,0,0.0348,7,0,0.0347,6,0,0.0348,8,0,0.0352,1,0
31675.0,30.0,5.81,0.0707,0,0,0.1607,3,0,0.0352,6,0,0.0348,7,0,0.035,6,0,0.0348,8,0,0.0354,0,0
29855.0,29.0,6.83,0.1416,0,0,0.1607,2,0,0.0352,6,0,0.0348,7,0,0.0351,6,0,0.0348,8,0,0.0357,0,0
28035.0,28.0,6.81,0.1412,0,0,0.1608,1,0,0.0352,6,0,0.0348,7,0,0.035,6,0,0.0348,8,0,0.0352,0,0
26215.0,27.0,5.6899999999999995,0.0714,0,0,0.1609,0,0,0.0352,6,0,0.0348,7,0,0.0351,6,0,0.0348,8,0,0.026,0,0
24220.0,26.0,6.619999999999999,0.1368,0,0,0.1609,0,0,0.0352,5,0,0.0348,7,0,0.0351,6,0,0.0351,8,0,0.026,0,0
22225.0,25.0,5.680000000000001,0.07,0,0,0.1609,0,0,0.0351,5,0,0.0348,7,0,0.0347,5,0,0.0348,8,0,0.0274,0,0
20195.0,24.0,5.6899999999999995,0.0714,0,0,0.1607,0,0,0.0352,5,0,0.0348,7,0,0.0351,4,0,0.0351,8,0,0.026,0,0
18200.0,23.0,6.260000000000001,0.1026,0,0,0.1608,0,0,0.0351,6,0,0.0348,7,0,0.0347,2,0,0.0348,8,0,0.0351,0,0
16205.0,22.0,6.78,0.1383,0,0,0.1607,0,0,0.0352,5,0,0.0348,7,0,0.0351,2,0,0.0348,8,0,0.0357,0,0
14175.0,21.0,5.6899999999999995,0.0713,0,0,0.1609,0,0,0.0352,6,0,0.0348,7,0,0.0351,6,0,0.0348,2,0,0.026,0,0
12180.0,20.0,5.6899999999999995,0.0714,0,0,0.1609,0,0,0.0352,5,0,0.0348,7,0,0.0351,6,0,0.0348,2,0,0.026,0,0
10150.0,19.0,5.7,0.0723,0,0,0.1609,0,0,0.0352,5,0,0.0348,7,0,0.0351,6,0,0.0348,1,0,0.026,0,0
