lucro,staff,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
64120.0,64.0,0.007,3,9,0.0,8,0,0.0,8,0,0.0001,8,0,0.0074,4,4,0.0,8,0,0.0003,10,2
64120.0,64.0,0.007,3,9,0.0,8,0,0.0,8,0,0.0001,8,0,0.0074,4,4,0.0,8,0,0.0002,10,2
63140.0,62.0,0.007,4,7,0.0,8,0,0.0,8,0,0.0001,8,0,0.0072,4,4,0.0001,8,0,0.0007,11,0
60830.0,61.0,0.007,0,9,0.0,8,0,0.0,8,0,0.0001,8,0,0.0074,4,4,0.0,8,0,0.0002,10,2
60550.0,60.0,0.0071,0,9,0.0,8,0,0.0,8,0,0.0001,8,0,0.0074,4,4,0.0,8,0,0.0006,11,0
60550.0,60.0,0.0071,0,9,0.0,8,0,0.0,8,0,0.0001,8,0,0.0074,4,4,0.0,8,0,0.0006,11,0
58730.0,58.0,0.007,0,7,0.0,8,0,0.0,8,0,0.0001,8,0,0.0072,4,4,0.0001,8,0,0.0007,11,0
58730.0,58.0,0.007,0,7,0.0,8,0,0.0,8,0,0.0001,8,0,0.0074,4,4,0.0001,8,0,0.0002,11,0
57785.0,56.0,0.007,4,1,0.0,8,0,0.0,8,0,0.0001,8,0,0.0072,4,4,0.0001,8,0,0.0007,11,0
56595.0,54.0,0.0003,6,0,0.0001,8,0,0.0,8,0,0.0,8,0,0.0006,6,0,0.0001,8,0,0.0002,10,0
55370.0,52.0,0.0005,3,0,0.0,8,0,0.0,8,0,0.0001,8,0,0.0005,8,0,0.0,8,0,0.0002,9,0
55370.0,52.0,0.0005,3,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0005,8,0,0.0,8,0,0.0002,9,0
53725.0,51.0,0.0002,3,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0006,7,0,0.0001,8,0,0.0002,9,0
53725.0,51.0,0.0002,3,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0006,7,0,0.0001,8,0,0.0002,9,0
52080.0,50.0,0.0002,3,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0006,6,0,0.0001,8,0,0.0002,9,0
51975.0,49.0,0.0004,0,0,0.0,8,0,0.0,8,0,0.0001,8,0,0.0005,8,0,0.0,8,0,0.0002,9,0
49770.0,48.0,0.0071,0,0,0.0001,8,0,0.0,8,0,0.0001,8,0,0.0006,6,0,0.0,8,0,0.0014,10,0
