iteration,lucro
0,370
1,370
2,490
3,490
4,501
5,501
6,539
7,578
8,578
9,639
10,639
11,649
12,705
13,705
14,721
15,721
16,784
17,789
18,789
19,848
20,848
21,850
22,850
23,850
24,850
25,850
26,850
27,850
28,850
29,850
30,850
31,850
32,850
33,850
34,850
35,850
36,850
37,850
38,850
39,850
40,850
41,850
42,850
43,850
44,850
45,850
46,850
47,850
48,930
49,930
50,930
51,939
52,939
53,942
54,942
55,942
56,942
57,942
58,942
59,942
60,942
61,942
62,942
63,942
64,942
65,942
66,942
67,942
68,942
69,942
70,1078
71,1091
72,1091
73,1209
74,1209
75,1209
76,1209
77,1329
78,1381
79,1381
80,1381
81,1381
82,1381
83,1501
84,1620
85,1624
86,1663
87,1663
88,1701
89,1701
90,1701
91,1701
92,1701
93,1701
94,1701
95,1701
96,1701
97,1701
98,1701
99,1701
100,1701
101,1701
102,1701
103,1701
104,1701
105,1703
106,1703
107,1711
108,1711
109,1711
110,1711
111,1711
112,1711
113,1735
114,1735
115,1735
116,1735
117,1735
118,1855
119,1855
120,1855
121,1855
122,1872
123,1872
124,1872
125,1872
126,1872
127,1872
128,1872
129,1872
130,1872
131,1872
132,1872
133,1876
134,1876
135,1876
136,1876
137,1876
138,1876
139,1876
140,1876
141,1876
142,1996
143,1996
144,1996
145,2002
146,2002
147,2005
148,2005
149,2005
150,2005
151,2005
152,2005
153,2005
154,2005
155,2005
156,2005
157,2005
158,2005
159,2005
160,2005
161,2005
162,2005
163,2005
164,2005
165,2005
166,2005
167,2005
168,2005
169,2005
170,2005
171,2005
172,2005
173,2005
174,2005
175,2005
176,2005
177,2005
178,2005
179,2005
180,2005
181,2007
182,2007
183,2007
184,2007
185,2007
186,2007
187,2007
188,2007
189,2023
190,2023
191,2023
192,2023
193,2023
194,2023
195,2023
196,2023
197,2061
198,2061
199,2061
200,2061
201,2080
202,2080
203,2080
204,2140
205,2140
206,2140
207,2140
208,2140
209,2140
210,2140
211,2140
212,2140
213,2140
214,2140
215,2140
216,2140
217,2140
218,2140
219,2140
220,2140
221,2140
222,2140
223,2140
224,2140
225,2140
226,2140
227,2140
228,2140
229,2140
230,2140
231,2140
232,2140
233,2140
234,2140
235,2140
236,2140
237,2140
238,2140
239,2140
240,2140
241,2140
242,2140
243,2140
244,2140
245,2140
246,2140
247,2140
248,2140
249,2140
250,2140
251,2140
252,2140
253,2140
254,2140
255,2140
256,2140
257,2140
258,2140
259,2140
260,2140
261,2140
262,2140
263,2140
264,2140
265,2140
266,2140
267,2140
268,2140
269,2140
270,2140
271,2140
272,2140
273,2140
274,2140
275,2140
276,2140
277,2140
278,2140
279,2140
280,2140
281,2140
282,2142
283,2142
284,2156
285,2156
286,2156
287,2156
288,2156
289,2156
290,2156
291,2156
292,2182
293,2182
294,2182
295,2182
296,2182
297,2182
298,2182
299,2182
300,2182
301,2182
302,2182
303,2182
304,2182
305,2182
306,2182
307,2182
308,2182
309,2182
310,2182
311,2182
312,2182
313,2182
314,2182
315,2182
316,2182
317,2182
318,2182
319,2182
320,2182
321,2182
322,2182
323,2182
324,2182
325,2182
326,2182
327,2182
328,2182
329,2182
330,2182
331,2182
332,2182
333,2182
334,2182
335,2183
336,2183
337,2183
338,2183
339,2183
340,2183
341,2183
342,2183
343,2183
344,2183
345,2196
346,2196
347,2196
348,2196
349,2196
350,2196
351,2196
352,2196
353,2196
354,2196
355,2196
356,2196
357,2196
358,2196
359,2196
360,2196
361,2196
362,2196
363,2196
364,2196
365,2196
366,2196
367,2196
368,2196
369,2196
370,2196
371,2196
372,2196
373,2196
374,2196
375,2196
376,2196
377,2196
378,2196
379,2196
380,2196
381,2196
382,2196
383,2196
384,2196
385,2196
386,2196
387,2196
388,2196
389,2196
390,2196
391,2196
392,2196
393,2196
394,2196
395,2196
396,2196
397,2196
398,2196
399,2197
400,2197
401,2197
402,2197
403,2197
404,2197
405,2197
406,2197
407,2197
408,2197
409,2197
410,2197
411,2197
412,2197
413,2197
414,2197
415,2197
416,2197
417,2197
418,2200
419,2200
420,2200
421,2200
422,2200
423,2200
424,2200
425,2200
426,2200
427,2200
428,2200
429,2200
430,2200
431,2200
432,2202
433,2202
434,2202
435,2202
436,2202
437,2202
438,2202
439,2202
440,2202
441,2202
442,2202
443,2202
444,2202
445,2202
446,2202
447,2202
448,2202
449,2202
450,2202
451,2202
452,2202
453,2202
454,2202
455,2202
456,2202
457,2202
458,2202
459,2204
460,2204
461,2204
462,2204
463,2204
464,2204
465,2204
466,2204
467,2204
468,2204
469,2204
470,2204
471,2204
472,2204
473,2204
474,2204
475,2204
476,2204
477,2204
478,2204
479,2204
480,2204
481,2204
482,2204
483,2204
484,2204
485,2204
486,2204
487,2204
488,2204
489,2204
490,2204
491,2204
492,2204
493,2204
494,2204
495,2204
496,2204
497,2223
498,2223
499,2223
500,2223
501,2223
502,2223
503,2223
504,2223
505,2223
506,2223
507,2223
508,2223
509,2223
510,2223
511,2223
512,2223
513,2223
514,2223
515,2223
516,2223
517,2223
518,2229
519,2229
520,2229
521,2229
522,2229
523,2229
524,2229
525,2229
526,2229
527,2229
528,2229
529,2229
530,2229
531,2229
532,2229
533,2229
534,2234
535,2234
536,2234
537,2234
538,2234
539,2234
540,2234
541,2234
542,2234
543,2234
544,2236
545,2236
546,2236
547,2236
548,2236
549,2236
550,2236
551,2236
552,2236
553,2236
554,2236
555,2236
556,2236
557,2236
558,2236
559,2236
560,2236
561,2236
562,2236
563,2236
564,2236
565,2236
566,2236
567,2236
568,2236
569,2236
570,2236
571,2236
572,2236
573,2236
574,2236
575,2236
576,2236
577,2236
578,2236
579,2236
580,2236
581,2236
582,2236
583,2236
584,2236
585,2236
586,2236
587,2236
588,2236
589,2236
590,2236
591,2236
592,2236
593,2236
594,2236
595,2236
596,2236
597,2236
598,2236
599,2236
600,2236
601,2236
602,2236
603,2236
604,2236
605,2236
606,2236
607,2236
608,2236
609,2236
610,2236
611,2236
612,2236
613,2236
614,2271
615,2271
616,2271
617,2271
618,2271
619,2271
620,2271
621,2271
622,2271
623,2271
624,2271
625,2271
626,2271
627,2271
628,2271
629,2271
630,2271
631,2271
632,2271
633,2271
634,2271
635,2271
636,2271
637,2271
638,2271
639,2271
640,2271
641,2285
642,2285
643,2285
644,2285
645,2285
646,2285
647,2285
648,2285
649,2285
650,2285
651,2285
652,2285
653,2285
654,2285
655,2285
656,2285
657,2285
658,2285
659,2285
660,2285
661,2285
662,2285
663,2285
664,2285
665,2285
666,2285
667,2285
668,2285
669,2285
670,2285
671,2285
672,2285
673,2285
674,2285
675,2285
676,2285
677,2285
678,2285
679,2285
680,2285
681,2285
682,2285
683,2285
684,2285
685,2285
686,2285
687,2285
688,2285
689,2285
690,2285
691,2285
692,2285
693,2285
694,2285
695,2285
696,2285
697,2285
698,2285
699,2285
700,2285
701,2285
702,2285
703,2285
704,2285
705,2285
706,2285
707,2285
708,2285
709,2285
710,2285
711,2285
712,2285
713,2285
714,2285
715,2285
716,2285
717,2285
718,2285
719,2285
720,2285
721,2285
722,2285
723,2285
724,2285
725,2285
726,2285
727,2285
728,2285
729,2285
730,2285
731,2289
732,2289
733,2289
734,2289
735,2289
736,2289
737,2289
738,2289
739,2289
740,2289
741,2289
742,2289
743,2289
744,2289
745,2289
746,2289
747,2289
748,2289
749,2289
750,2289
751,2289
752,2289
753,2289
754,2289
755,2289
756,2289
757,2289
758,2289
759,2289
760,2289
761,2289
762,2289
763,2289
764,2289
765,2289
766,2289
767,2289
768,2289
769,2289
770,2289
771,2289
772,2289
773,2289
774,2289
775,2289
776,2289
777,2289
778,2289
779,2289
780,2289
781,2293
782,2293
783,2304
784,2304
785,2304
786,2304
787,2304
788,2304
789,2304
790,2304
791,2304
792,2304
793,2304
794,2304
795,2304
796,2304
797,2304
798,2304
799,2304
800,2304
801,2304
802,2304
803,2304
804,2304
805,2304
806,2304
807,2304
808,2304
809,2304
810,2304
811,2304
812,2304
813,2304
814,2304
815,2304
816,2304
817,2304
818,2304
819,2304
820,2304
821,2304
822,2304
823,2304
824,2304
825,2305
826,2305
827,2305
828,2305
829,2305
830,2305
831,2305
832,2305
833,2305
834,2305
835,2305
836,2305
837,2305
838,2305
839,2305
840,2305
841,2305
842,2305
843,2305
844,2305
845,2305
846,2305
847,2305
848,2305
849,2305
850,2305
851,2305
852,2305
853,2305
854,2305
855,2305
856,2305
857,2305
858,2305
859,2305
860,2305
861,2305
862,2305
863,2305
864,2305
865,2305
866,2305
867,2305
868,2305
869,2305
870,2305
871,2305
872,2305
873,2305
874,2305
875,2305
876,2305
877,2305
878,2305
879,2305
880,2305
881,2305
882,2305
883,2305
884,2305
885,2305
886,2305
887,2305
888,2305
889,2305
890,2305
891,2305
892,2305
893,2305
894,2305
895,2305
896,2305
897,2305
898,2305
899,2305
900,2305
901,2305
902,2312
903,2312
904,2312
905,2312
906,2312
907,2312
908,2317
909,2317
910,2317
911,2317
912,2317
913,2317
914,2317
915,2317
916,2317
917,2317
918,2317
919,2317
920,2317
921,2317
922,2317
923,2317
924,2317
925,2317
926,2317
927,2317
928,2317
929,2317
930,2317
931,2317
932,2317
933,2317
934,2317
935,2317
936,2317
937,2317
938,2317
939,2317
940,2317
941,2317
942,2317
943,2317
944,2317
945,2317
946,2317
947,2317
948,2317
949,2317
950,2317
951,2317
952,2317
953,2317
954,2317
955,2317
956,2317
957,2317
958,2317
959,2317
960,2317
961,2317
962,2317
963,2317
964,2317
965,2317
966,2317
967,2317
968,2317
969,2317
970,2317
971,2317
972,2317
973,2317
974,2317
975,2317
976,2317
977,2317
978,2317
979,2317
980,2317
981,2317
982,2317
983,2317
984,2317
985,2317
986,2317
987,2317
988,2317
989,2317
990,2317
991,2317
992,2317
993,2317
994,2317
995,2317
996,2317
997,2317
998,2317
999,2317
1000,2317
1001,2317
1002,2317
1003,2317
1004,2317
1005,2317
1006,2317
1007,2317
1008,2317
1009,2317
1010,2317
1011,2317
1012,2317
1013,2317
1014,2317
1015,2317
1016,2317
1017,2317
1018,2317
1019,2317
1020,2317
1021,2317
1022,2317
1023,2317
1024,2317
1025,2317
1026,2317
1027,2317
1028,2317
1029,2317
1030,2317
1031,2317
1032,2317
1033,2317
1034,2317
1035,2317
1036,2317
1037,2317
1038,2317
1039,2317
1040,2317
1041,2317
1042,2317
1043,2317
1044,2317
1045,2317
1046,2317
1047,2317
1048,2317
1049,2317
1050,2317
1051,2317
1052,2317
1053,2317
1054,2317
1055,2317
1056,2317
1057,2317
1058,2317
1059,2317
1060,2317
1061,2317
1062,2317
1063,2317
1064,2317
1065,2317
1066,2317
1067,2317
1068,2317
1069,2317
1070,2317
1071,2317
1072,2317
1073,2317
1074,2317
1075,2317
1076,2317
1077,2317
1078,2317
1079,2317
1080,2317
1081,2317
1082,2317
1083,2317
1084,2317
1085,2317
1086,2317
1087,2317
1088,2317
1089,2317
1090,2317
1091,2317
1092,2317
1093,2317
1094,2317
1095,2317
1096,2317
1097,2317
1098,2317
1099,2317
1100,2317
1101,2317
1102,2317
1103,2317
1104,2317
1105,2317
1106,2317
1107,2317
1108,2317
1109,2317
1110,2317
1111,2317
1112,2317
1113,2317
1114,2317
1115,2317
1116,2317
1117,2317
1118,2317
1119,2317
1120,2317
1121,2317
1122,2317
1123,2317
1124,2317
1125,2317
1126,2317
1127,2317
1128,2317
1129,2317
1130,2317
1131,2317
1132,2317
1133,2317
1134,2317
1135,2317
1136,2317
1137,2317
1138,2317
1139,2317
1140,2317
1141,2317
1142,2317
1143,2317
1144,2317
1145,2317
1146,2317
1147,2317
1148,2317
1149,2317
1150,2317
1151,2317
1152,2317
1153,2317
1154,2317
1155,2317
1156,2317
1157,2317
1158,2317
1159,2317
1160,2317
1161,2317
1162,2317
1163,2317
1164,2317
1165,2317
1166,2317
1167,2317
1168,2317
1169,2317
1170,2317
1171,2317
1172,2317
1173,2317
1174,2317
1175,2317
1176,2317
1177,2317
1178,2317
1179,2317
1180,2317
1181,2317
1182,2317
1183,2317
1184,2317
1185,2317
1186,2317
1187,2317
1188,2317
1189,2317
1190,2317
1191,2317
1192,2317
1193,2317
1194,2317
1195,2317
1196,2317
1197,2317
1198,2317
1199,2317
1200,2317
1201,2317
1202,2317
1203,2317
1204,2317
1205,2317
1206,2317
1207,2317
1208,2317
1209,2317
1210,2317
1211,2317
1212,2317
1213,2317
1214,2317
1215,2317
1216,2317
1217,2317
1218,2317
1219,2317
1220,2317
1221,2317
1222,2317
1223,2317
1224,2317
1225,2317
1226,2317
1227,2317
1228,2317
1229,2317
1230,2317
1231,2317
1232,2317
1233,2317
1234,2317
1235,2317
1236,2317
1237,2317
1238,2317
1239,2317
1240,2317
1241,2317
1242,2317
1243,2317
1244,2317
1245,2317
1246,2317
1247,2317
1248,2317
1249,2317
1250,2317
1251,2317
1252,2317
1253,2317
1254,2317
1255,2317
1256,2317
1257,2317
1258,2317
1259,2317
1260,2317
1261,2317
1262,2317
1263,2317
1264,2317
1265,2317
1266,2317
1267,2317
1268,2317
1269,2317
1270,2317
1271,2317
1272,2317
1273,2317
1274,2317
1275,2317
1276,2317
1277,2317
1278,2317
1279,2317
1280,2317
1281,2317
1282,2317
1283,2317
1284,2317
1285,2317
1286,2317
1287,2317
1288,2317
1289,2317
1290,2317
1291,2317
1292,2317
1293,2317
1294,2317
1295,2317
1296,2317
1297,2317
1298,2317
1299,2317
1300,2317
1301,2317
1302,2317
1303,2317
1304,2317
1305,2317
1306,2317
1307,2317
1308,2317
1309,2317
1310,2317
1311,2317
1312,2317
1313,2317
1314,2317
1315,2317
1316,2317
1317,2317
1318,2317
1319,2317
1320,2317
1321,2317
1322,2317
1323,2317
1324,2317
1325,2317
1326,2317
1327,2317
1328,2317
1329,2317
1330,2317
1331,2317
1332,2317
1333,2317
1334,2317
1335,2317
1336,2317
1337,2317
1338,2317
1339,2317
1340,2317
1341,2317
1342,2317
1343,2317
1344,2317
1345,2317
1346,2317
1347,2317
1348,2317
1349,2317
1350,2317
1351,2317
1352,2317
1353,2317
1354,2317
1355,2317
1356,2317
1357,2317
1358,2317
1359,2317
1360,2317
1361,2317
1362,2317
1363,2317
1364,2317
1365,2317
1366,2317
1367,2317
1368,2317
1369,2317
1370,2317
1371,2317
1372,2317
1373,2317
1374,2318
1375,2318
1376,2318
1377,2318
1378,2318
1379,2318
1380,2318
1381,2318
1382,2318
1383,2318
1384,2318
1385,2318
1386,2318
1387,2318
1388,2318
1389,2318
1390,2318
1391,2318
1392,2318
1393,2318
1394,2318
1395,2318
1396,2318
1397,2318
1398,2318
1399,2318
1400,2318
1401,2318
1402,2318
1403,2318
1404,2318
1405,2318
1406,2318
1407,2318
1408,2318
1409,2318
1410,2318
1411,2318
1412,2318
1413,2318
1414,2318
1415,2318
1416,2318
1417,2318
1418,2318
1419,2318
1420,2318
1421,2318
1422,2318
1423,2318
1424,2318
1425,2318
1426,2318
1427,2318
1428,2318
1429,2318
1430,2318
1431,2318
1432,2318
1433,2318
1434,2318
1435,2318
1436,2318
1437,2318
1438,2318
1439,2318
1440,2318
1441,2318
1442,2318
1443,2318
1444,2318
1445,2318
1446,2318
1447,2318
1448,2318
1449,2318
1450,2318
1451,2318
1452,2318
1453,2318
1454,2318
1455,2318
1456,2318
1457,2318
1458,2318
1459,2318
1460,2318
1461,2318
1462,2318
1463,2318
1464,2318
1465,2318
1466,2318
1467,2318
1468,2318
1469,2318
1470,2318
1471,2318
1472,2318
1473,2318
1474,2318
1475,2318
1476,2318
1477,2318
1478,2318
1479,2318
1480,2318
1481,2318
1482,2318
1483,2318
1484,2318
1485,2318
1486,2318
1487,2318
1488,2318
1489,2318
1490,2318
1491,2318
1492,2318
1493,2318
1494,2318
1495,2318
1496,2318
1497,2318
1498,2318
1499,2318
1500,2318
1501,2318
1502,2318
1503,2318
1504,2318
1505,2318
1506,2318
1507,2318
1508,2318
1509,2318
1510,2318
1511,2318
1512,2318
1513,2318
1514,2318
1515,2318
1516,2318
1517,2318
1518,2318
1519,2318
1520,2318
1521,2318
1522,2318
1523,2318
1524,2318
1525,2318
1526,2318
1527,2318
1528,2318
1529,2318
1530,2318
1531,2318
1532,2318
1533,2318
1534,2318
1535,2318
1536,2318
1537,2318
1538,2318
1539,2318
1540,2318
1541,2318
1542,2318
1543,2318
1544,2318
1545,2318
1546,2318
1547,2318
1548,2318
1549,2318
1550,2318
1551,2318
1552,2318
1553,2318
1554,2318
1555,2318
1556,2318
1557,2318
1558,2318
1559,2318
1560,2318
