iteration,lucro
0,2375
1,2461
2,2539
3,2580
4,2580
5,2592
6,2592
7,2592
8,2682
9,2683
10,2767
11,2848
12,2915
13,2915
14,2915
15,2915
16,2915
17,2915
18,2915
19,2915
20,2956
21,2956
22,3028
23,3110
24,3110
25,3153
26,3153
27,3153
28,3196
29,3266
30,3266
31,3266
32,3335
33,3335
34,3335
35,3355
36,3398
37,3398
38,3430
39,3477
40,3519
41,3556
42,3556
43,3598
44,3598
45,3598
46,3660
47,3660
48,3741
49,3827
50,3827
51,3827
52,3827
53,3827
54,3913
55,3944
56,3959
57,3959
58,3959
59,3959
60,3959
61,3994
62,4012
63,4044
64,4044
65,4044
66,4069
67,4069
68,4069
69,4069
70,4133
71,4133
72,4133
73,4133
74,4133
75,4133
76,4133
77,4133
78,4133
79,4180
80,4180
81,4180
82,4222
83,4308
84,4308
85,4308
86,4403
87,4451
88,4451
89,4468
90,4468
91,4468
92,4540
93,4540
94,4540
95,4540
96,4540
97,4615
98,4615
99,4615
100,4615
101,4615
102,4615
103,4615
104,4647
105,4647
106,4651
107,4651
108,4651
109,4717
110,4717
111,4733
112,4733
113,4733
114,4733
115,4784
116,4810
117,4875
118,4875
119,4875
120,4875
121,4875
122,4895
123,4895
124,4895
125,4895
126,4895
127,4895
128,4895
129,4895
130,4895
131,4895
132,4895
133,4943
134,5028
135,5028
136,5028
137,5028
138,5028
139,5073
140,5073
141,5105
142,5105
143,5105
144,5193
145,5193
146,5193
147,5193
148,5193
149,5193
150,5193
151,5193
152,5193
153,5226
154,5226
155,5226
156,5226
157,5273
158,5273
159,5273
160,5273
161,5273
162,5273
163,5273
164,5273
165,5273
166,5273
167,5273
168,5273
169,5273
170,5273
171,5318
172,5318
173,5351
174,5351
175,5351
176,5351
177,5351
178,5351
179,5351
180,5351
181,5351
182,5351
183,5440
184,5440
185,5440
186,5440
187,5483
188,5564
189,5564
190,5564
191,5564
192,5564
193,5564
194,5564
195,5564
196,5564
197,5608
198,5608
199,5641
200,5730
201,5730
202,5730
203,5730
204,5730
205,5730
206,5730
207,5737
208,5822
209,5822
210,5822
211,5822
212,5822
213,5839
214,5839
215,5839
216,5839
217,5882
218,5882
219,5882
220,5882
221,5882
222,5882
223,5929
224,5929
225,5929
226,5929
227,5929
228,5929
229,5929
230,5929
231,5929
232,5929
233,5929
234,5929
235,5929
236,5929
237,5929
238,5929
239,5929
240,5929
241,5929
242,5929
243,5929
244,5929
245,5929
246,5929
247,5929
248,5929
249,5929
250,5929
251,5929
252,5929
253,5929
254,5929
255,5929
256,5929
257,5929
258,5929
259,5929
260,5929
261,5929
262,5929
263,5929
264,5929
265,5929
266,5929
267,5929
268,5929
269,5929
270,5929
271,5929
272,5929
273,5929
274,5929
275,5929
276,5929
277,5929
278,5929
279,5993
280,5993
281,5993
282,5993
283,5993
284,5993
285,6018
286,6018
287,6018
288,6018
289,6018
290,6018
291,6018
292,6018
293,6018
294,6018
295,6018
296,6018
297,6018
298,6018
299,6051
300,6051
301,6051
302,6051
303,6051
304,6051
305,6051
306,6051
307,6051
308,6051
309,6051
310,6051
311,6051
312,6051
313,6116
314,6116
315,6116
316,6116
317,6116
318,6116
319,6116
320,6116
321,6116
322,6116
323,6116
324,6116
325,6116
326,6116
327,6116
328,6116
329,6116
330,6116
331,6116
332,6116
333,6116
334,6116
335,6116
336,6116
337,6116
338,6116
339,6116
340,6116
341,6116
342,6116
343,6116
344,6116
