lucro,staff,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
77525.0,64.0,0.0313,4,8,0.0149,8,0,0.0162,8,0,0.0148,8,0,0.0148,8,0,0.0149,8,0,0.015,12,0
77525.0,64.0,0.0313,4,8,0.0149,8,0,0.0162,8,0,0.0148,8,0,0.0148,8,0,0.0149,8,0,0.0148,12,0
76055.0,63.0,0.0312,4,8,0.0149,8,0,0.0169,8,0,0.0148,8,0,0.017,8,0,0.0149,8,0,0.0148,11,0
76055.0,63.0,0.0312,4,8,0.0149,8,0,0.0169,8,0,0.0148,8,0,0.017,8,0,0.0149,8,0,0.0148,11,0
74410.0,62.0,0.0312,3,8,0.0149,8,0,0.0149,7,0,0.0148,8,0,0.017,8,0,0.0149,8,0,0.0149,12,0
74410.0,62.0,0.0312,3,8,0.0149,8,0,0.0149,7,0,0.0148,8,0,0.017,8,0,0.0149,8,0,0.0149,12,0
72590.0,60.0,0.0313,0,8,0.0149,8,0,0.0148,8,0,0.0148,8,0,0.015,8,0,0.0149,8,0,0.0149,12,0
72590.0,60.0,0.0313,0,8,0.0149,8,0,0.0148,8,0,0.0148,8,0,0.015,8,0,0.0149,8,0,0.0149,12,0
70665.0,59.0,0.0312,0,8,0.0149,8,0,0.0149,7,0,0.0148,8,0,0.017,8,0,0.0149,8,0,0.0149,12,0
69895.0,58.0,0.0313,0,8,0.0149,8,0,0.0162,8,0,0.0149,8,0,0.0149,8,0,0.0149,8,0,0.0149,10,0
69510.0,56.0,0.0199,4,0,0.0149,8,0,0.0162,8,0,0.0148,8,0,0.0148,8,0,0.0149,8,0,0.0149,12,0
68250.0,55.0,0.0185,3,0,0.0149,8,0,0.0155,8,0,0.0149,8,0,0.0148,8,0,0.0149,8,0,0.0149,12,0
66885.0,54.0,0.0183,3,0,0.0149,8,0,0.0162,8,0,0.0148,8,0,0.0148,8,0,0.0148,8,0,0.0149,11,0
66885.0,54.0,0.018,3,0,0.0149,8,0,0.0162,8,0,0.0148,8,0,0.0148,8,0,0.0148,8,0,0.0149,11,0
65555.0,53.0,0.0192,3,0,0.0149,8,0,0.0162,8,0,0.0148,8,0,0.0148,8,0,0.0148,8,0,0.0149,10,0
64330.0,52.0,0.0321,0,0,0.0149,8,0,0.0149,8,0,0.0148,8,0,0.015,8,0,0.0149,8,0,0.0149,12,0
62965.0,51.0,0.0301,0,0,0.0149,8,0,0.0162,8,0,0.0149,8,0,0.0148,8,0,0.0148,8,0,0.0149,11,0
62965.0,51.0,0.0301,0,0,0.0149,8,0,0.0162,8,0,0.0149,8,0,0.0148,8,0,0.0148,8,0,0.0149,11,0
61635.0,50.0,0.0313,0,0,0.0149,8,0,0.0162,8,0,0.0149,8,0,0.0149,8,0,0.0149,8,0,0.0149,10,0
60375.0,49.0,0.0433,0,0,0.0149,8,0,0.0149,8,0,0.0149,8,0,0.0148,8,0,0.0149,8,0,0.0149,9,0
59010.0,48.0,0.0434,0,0,0.0149,8,0,0.0162,8,0,0.0149,8,0,0.0148,8,0,0.0149,8,0,0.0149,8,0
59010.0,48.0,0.0434,0,0,0.0149,8,0,0.0162,8,0,0.0149,8,0,0.0148,8,0,0.0149,8,0,0.0149,8,0
57190.0,47.0,0.0434,0,0,0.0149,8,0,0.0149,8,0,0.0149,8,0,0.0148,8,0,0.0149,7,0,0.0148,8,0
57190.0,47.0,0.0434,0,0,0.0149,8,0,0.0149,8,0,0.0149,8,0,0.0148,8,0,0.0149,7,0,0.0148,8,0
