lucro,staff,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
62930.0,63.0,0.0711,3,8,0.0005,6,2,0.0001,6,2,0.001,5,3,0.0527,1,7,0.0,8,0,0.0001,7,5
61670.0,62.0,0.0714,2,8,0.0005,6,2,0.0001,6,2,0.001,5,3,0.0527,1,7,0.0001,7,1,0.0001,7,5
60620.0,61.0,0.0714,1,8,0.0005,6,2,0.0001,6,2,0.001,5,3,0.0527,1,7,0.0001,7,1,0.0001,7,5
59150.0,60.0,0.0714,1,8,0.0005,6,1,0.0001,6,2,0.001,5,3,0.0527,1,7,0.0001,7,1,0.0001,7,5
58590.0,59.0,0.0657,0,8,0.0004,6,2,0.0002,6,2,0.0016,5,3,0.0536,1,7,0.0001,7,1,0.0002,6,5
57295.0,58.0,0.0715,0,8,0.0005,6,2,0.0005,6,2,0.0015,5,3,0.0527,1,7,0.0001,7,1,0.0001,6,4
57295.0,58.0,0.0715,0,8,0.0005,6,2,0.0005,6,2,0.0015,5,3,0.0527,1,7,0.0001,7,1,0.0001,6,4
56175.0,57.0,0.0714,3,2,0.0004,6,2,0.0001,6,2,0.001,5,3,0.0527,1,7,0.0001,7,1,0.0001,7,5
56175.0,57.0,0.0714,3,2,0.0004,6,2,0.0001,6,2,0.001,5,3,0.0527,1,7,0.0001,7,1,0.0001,7,5
54355.0,55.0,0.0657,0,8,0.0004,6,2,0.0003,7,1,0.0016,5,3,0.0527,1,7,0.0001,8,0,0.0,7,0
53025.0,54.0,0.0658,0,2,0.0004,6,2,0.0001,6,2,0.001,5,3,0.0527,1,7,0.0004,7,1,0.0001,7,5
51975.0,53.0,0.0711,0,7,0.0005,6,2,0.0002,7,1,0.0017,5,3,0.0527,1,7,0.0001,8,0,0.0001,6,0
50785.0,52.0,0.0658,0,0,0.0004,6,2,0.0001,6,2,0.001,5,3,0.0527,1,7,0.0004,7,1,0.0002,7,5
50785.0,52.0,0.0716,0,0,0.0004,6,2,0.0001,6,2,0.001,5,3,0.0527,1,7,0.0004,7,1,0.0002,7,5
49595.0,51.0,0.066,0,0,0.0006,6,2,0.0003,6,2,0.0031,5,3,0.0527,1,7,0.0001,7,1,0.0001,6,5
48510.0,50.0,0.0715,0,0,0.0004,6,2,0.0005,6,2,0.001,5,3,0.0527,1,7,0.0001,7,1,0.0001,6,4
47250.0,49.0,0.065,0,8,0.0005,6,2,0.0001,6,2,0.0017,5,3,0.0527,1,7,0.0,7,1,0.0001,0,1
46550.0,48.0,0.0716,0,0,0.0005,6,2,0.0002,7,1,0.001,5,3,0.0527,1,7,0.0001,8,0,0.0,7,1
45430.0,47.0,0.0722,0,0,0.0004,6,2,0.0001,7,1,0.0016,5,3,0.0527,1,7,0.0001,8,0,0.0,6,1
45430.0,47.0,0.0722,0,0,0.0004,6,2,0.0001,7,1,0.0016,5,3,0.0527,1,7,0.0001,8,0,0.0,6,1
44310.0,46.0,0.0716,0,0,0.0005,6,2,0.0002,7,1,0.0016,5,3,0.0527,1,7,0.0001,8,0,0.0,5,1
44310.0,46.0,0.0716,0,0,0.0005,6,2,0.0002,7,1,0.0016,5,3,0.0527,1,7,0.0001,8,0,0.0,5,1
43190.0,45.0,0.0646,0,0,0.0006,6,2,0.0001,7,1,0.0013,5,3,0.0536,1,7,0.0,8,0,0.0001,0,5
42315.0,44.0,0.065,0,0,0.0004,6,2,0.0001,8,0,0.0009,7,0,0.0525,0,8,0.0001,8,0,0.0001,0,5
40460.0,43.0,0.0725,1,0,0.0004,6,2,0.0001,6,2,0.0016,5,3,0.0527,1,7,0.0001,7,1,0.0001,1,1
40460.0,43.0,0.0725,1,0,0.0004,6,2,0.0001,6,2,0.0016,5,3,0.0527,1,7,0.0001,7,1,0.0001,1,1
39305.0,42.0,0.0725,1,0,0.0004,6,2,0.0001,6,2,0.0016,5,3,0.0527,1,7,0.0001,7,1,0.0001,1,0
37695.0,40.0,0.065,0,0,0.0004,6,2,0.0001,8,0,0.0017,7,0,0.0525,0,8,0.0001,8,0,0.0001,0,1
36050.0,39.0,0.0651,0,0,0.0005,6,2,0.0001,7,1,0.0017,5,3,0.0527,0,7,0.0,8,0,0.0001,0,0
36050.0,39.0,0.0651,0,0,0.0005,6,2,0.0001,7,1,0.0017,5,3,0.0527,0,7,0.0,8,0,0.0001,0,0
34825.0,38.0,0.0716,0,0,0.0004,6,2,0.0,8,0,0.001,6,0,0.0526,1,7,0.0001,8,0,0.0009,0,0
34825.0,38.0,0.0716,0,0,0.0004,6,2,0.0,8,0,0.001,6,0,0.0526,1,7,0.0001,8,0,0.0009,0,0
33530.0,37.0,0.065,0,0,0.0004,6,2,0.0001,8,0,0.0009,7,0,0.0525,0,6,0.0001,8,0,0.0001,0,0
33530.0,37.0,0.065,0,0,0.0004,6,2,0.0001,8,0,0.0009,7,0,0.0525,0,6,0.0001,8,0,0.0001,0,0
32060.0,36.0,0.065,0,0,0.0004,6,1,0.0001,8,0,0.0009,7,0,0.0529,0,6,0.0,8,0,0.0001,0,0
32060.0,36.0,0.065,0,0,0.0004,6,1,0.0001,8,0,0.0009,7,0,0.0529,0,6,0.0001,8,0,0.0001,0,0
30555.0,35.0,0.065,0,0,0.0004,6,0,0.0001,8,0,0.0009,7,0,0.0525,0,6,0.0001,8,0,0.0001,0,0
30555.0,35.0,0.065,0,0,0.0004,6,0,0.0001,8,0,0.0009,7,0,0.0525,0,6,0.0001,8,0,0.0001,0,0
28910.0,34.0,0.0722,0,0,0.0005,6,0,0.0001,8,0,0.0013,6,0,0.0524,0,6,0.0,8,0,0.001,0,0
28910.0,34.0,0.0722,0,0,0.0004,6,0,0.0001,8,0,0.0013,6,0,0.0524,0,6,0.0,8,0,0.001,0,0
27335.0,33.0,0.0657,0,0,0.0004,6,0,0.0001,7,1,0.0015,7,0,0.0527,0,4,0.0001,8,0,0.0001,0,0
27335.0,33.0,0.0657,0,0,0.0004,6,0,0.0,7,1,0.0015,7,0,0.0527,0,4,0.0001,8,0,0.0001,0,0
25795.0,32.0,0.0657,0,0,0.0004,6,0,0.0,7,1,0.001,7,0,0.0527,0,3,0.0001,8,0,0.0001,0,0
25795.0,32.0,0.0657,0,0,0.0004,6,0,0.0,7,1,0.001,7,0,0.0527,0,3,0.0001,8,0,0.0001,0,0
24430.0,31.0,0.065,0,0,0.0004,6,2,0.0001,8,0,0.0009,7,0,0.0525,0,0,0.0001,8,0,0.0001,0,0
24430.0,31.0,0.065,0,0,0.0004,6,2,0.0001,8,0,0.0009,7,0,0.0525,0,0,0.0,8,0,0.0001,0,0
22750.0,30.0,0.0729,0,0,0.0004,6,2,0.0001,8,0,0.0016,6,0,0.0704,0,0,0.0001,8,0,0.0001,0,0
22750.0,30.0,0.0729,0,0,0.0004,6,2,0.0,8,0,0.0016,6,0,0.0704,0,0,0.0001,8,0,0.0001,0,0
21455.0,29.0,0.065,0,0,0.0004,6,0,0.0001,8,0,0.0009,7,0,0.0518,0,0,0.0001,8,0,0.0001,0,0
21455.0,29.0,0.065,0,0,0.0004,6,0,0.0001,8,0,0.0009,7,0,0.0525,0,0,0.0001,8,0,0.0001,0,0
19775.0,28.0,0.0729,0,0,0.0004,6,0,0.0001,8,0,0.001,6,0,0.0711,0,0,0.0,8,0,0.0,0,0
19775.0,28.0,0.0665,0,0,0.0004,6,0,0.0001,8,0,0.001,6,0,0.0708,0,0,0.0001,8,0,0.0,0,0
18130.0,27.0,0.0723,0,0,0.0004,6,0,0.0001,8,0,0.0016,5,0,0.0723,0,0,0.0001,8,0,0.0001,0,0
18130.0,27.0,0.0723,0,0,0.0004,6,0,0.0001,8,0,0.0016,5,0,0.0723,0,0,0.0001,8,0,0.0001,0,0
