Store,Fold,Train_Size,Test_Size,RF_MAE,RF_RMSE,RF_MAPE,RF_NMAE,LR_MAE,LR_RMSE,LR_MAPE,LR_NMAE,HW_MAE,HW_RMSE,HW_MAPE,HW_NMAE
Baltimore,1,66,62,12147.1816,16548.3635,19.5397,22.9495,10893.7624,14237.8612,18.7302,20.5814,14860.2815,20279.4259,23.719,28.0753
Baltimore,2,128,62,8584.6321,10782.9103,17.8002,15.3037,6790.5808,9250.4468,14.2562,12.1055,19277.9711,24247.1049,47.7941,34.3666
Baltimore,3,190,62,3876.183,4849.8178,11.7383,10.5604,4547.9281,5508.0287,13.0312,12.3905,8154.404,11619.0366,20.3087,22.2161
Baltimore,4,252,62,3506.604,4334.4236,9.4612,9.2848,3708.9723,5181.6599,9.9018,9.8207,5253.7521,8844.746,12.2355,13.911
Baltimore,5,314,62,3942.9923,4807.6007,11.6828,11.0116,4288.056,5323.7307,12.7543,11.9753,4396.6237,5447.1786,12.434,12.2785
Baltimore,6,376,62,3907.3555,4816.2704,12.3044,11.4611,3873.2412,4583.1512,11.9626,11.3611,4544.3832,6723.9242,12.4916,13.3297
Baltimore,7,438,62,5822.2591,7350.8362,12.2602,12.3018,5579.205,7042.7133,11.9277,11.7883,16565.2012,21666.1093,29.881,35.0006
Baltimore,8,500,62,7259.5336,8558.9843,21.0262,17.8523,5793.9764,7145.6717,15.5948,14.2483,19049.3318,22549.6157,64.8367,46.8452
Baltimore,9,562,62,3476.1315,4631.0504,12.45,12.1948,2795.2811,3812.2625,10.4039,9.8063,6689.38,8566.4617,21.8076,23.4673
Baltimore,10,624,62,3570.2858,4866.4653,12.3422,11.919,3865.8401,5108.5229,13.7305,12.9057,4381.7768,7197.2925,13.224,14.6281
Lancaster,1,66,62,20938.8924,26497.1479,20.8746,23.1295,22105.2764,28348.1892,23.3253,24.4179,25215.3237,33435.9019,24.394,27.8533
Lancaster,2,128,62,11954.1798,15430.8301,16.9655,13.1468,11995.2055,15052.3404,15.9472,13.1919,30257.7428,38352.2093,46.8212,33.2764
Lancaster,3,190,62,9688.0307,11738.099,17.005,15.7078,9206.2104,10877.3657,15.2319,14.9266,15654.5183,21472.5762,23.2644,25.3816
Lancaster,4,252,62,6630.6775,8594.5474,11.4392,11.1512,6876.6202,8725.469,12.1232,11.5649,10123.4755,13736.6184,17.1219,17.0253
Lancaster,5,314,62,7193.3727,8757.4466,14.4918,13.6081,6485.4946,8021.9268,13.0754,12.269,8421.3641,10714.2708,16.6756,15.9311
Lancaster,6,376,62,7669.829,9013.095,17.6226,15.9042,6377.6751,7492.4245,13.8236,13.2248,6650.1975,9404.8701,13.3918,13.7899
Lancaster,7,438,62,7565.1658,9228.87,12.2016,11.7471,7125.1953,8613.169,11.9355,11.0639,23151.1294,31189.2869,30.4025,35.9487
Lancaster,8,500,62,11184.2407,13427.2605,26.101,20.4738,7178.6376,9253.5078,15.3306,13.1412,23147.6266,27453.3362,59.7296,42.374
Lancaster,9,562,62,5251.2542,6654.136,14.5797,14.3805,4537.2027,5694.6666,12.8475,12.4251,8312.6179,11028.0906,21.1299,22.7641
Lancaster,10,624,62,4342.9847,5714.8822,11.9012,11.8258,5016.285,6483.0806,14.6542,13.6592,6412.7598,10245.3529,15.2055,17.4618
Philadelphia,1,66,62,20366.5869,28351.9447,21.7764,25.5948,21590.1428,28143.4212,25.5256,27.1325,25574.2552,35644.4854,27.0787,32.1393
Philadelphia,2,128,62,12294.2308,16762.4291,14.2569,13.7478,11070.4683,14496.5052,13.4925,12.3794,41580.4853,51783.3637,61.7554,46.4967
Philadelphia,3,190,62,8999.7092,11338.9643,14.6773,14.0697,9533.4536,11329.0285,15.4134,14.9041,12935.0175,19638.9649,17.4184,20.222
Philadelphia,4,252,62,7080.4831,8980.9928,10.9535,10.6235,7250.2509,9080.8288,11.0992,10.8782,12113.5006,16857.41,17.6727,18.175
Philadelphia,5,314,62,5463.9525,7098.4963,8.2474,8.3362,5850.2478,7045.606,9.1411,8.9256,10051.4407,12222.6203,15.8772,15.3353
Philadelphia,6,376,62,6733.1504,8304.6879,10.0905,10.1694,6437.8151,8302.893,9.8363,9.7234,8588.4862,13139.7492,12.631,12.9717
Philadelphia,7,438,62,10864.8883,14044.5052,11.3386,11.5071,12638.4016,15108.7804,13.2961,13.3854,32056.6863,40552.6932,29.4033,33.9514
Philadelphia,8,500,62,9720.8052,12697.9067,12.2161,11.0883,9562.3369,12246.6634,12.1772,10.9075,38011.9979,44790.3778,58.2382,43.3594
Philadelphia,9,562,62,6470.8153,8610.1982,10.2009,10.1116,7073.2371,8962.846,11.4033,11.0529,9843.8349,14480.7707,14.0025,15.3824
Philadelphia,10,624,62,7297.6737,9497.8565,11.2696,10.4509,8154.8659,9957.351,12.6065,11.6785,13336.2328,20303.9696,16.6231,19.0986
Richmond,1,66,62,7188.8935,9030.9957,22.4751,25.0698,6892.102,8879.9874,22.5183,24.0348,7521.7044,10436.2986,22.6144,26.2304
Richmond,2,128,62,3970.6597,5077.386,14.8278,13.0362,3528.1314,4516.3793,13.2876,11.5833,9787.8232,12309.2931,43.1465,32.1346
Richmond,3,190,62,2306.369,3204.9261,11.0489,10.7446,3183.1192,3928.09,14.7536,14.829,13378.7583,15291.6424,60.1804,62.3269
Richmond,4,252,62,2043.7297,2574.9948,9.3708,9.3975,2349.2223,3025.3145,10.9694,10.8022,5395.7875,6174.9796,25.7749,24.811
Richmond,5,314,62,1967.3382,2444.6703,9.8688,9.443,2093.9543,2497.0307,10.4944,10.0507,2809.4048,3353.2833,14.1386,13.4848
Richmond,6,376,62,2162.8128,2588.4498,11.6244,10.9858,2030.9597,2546.6259,10.5195,10.316,2780.4814,4028.8927,13.5224,14.1231
Richmond,7,438,62,3380.4634,4299.5786,12.292,11.8887,3294.5302,4408.4937,11.5658,11.5865,9413.4105,12185.5028,28.4554,33.1059
Richmond,8,500,62,3141.0773,3982.1948,14.0461,12.4403,3076.2409,3861.9399,13.529,12.1836,11083.2809,13012.4863,59.6737,43.8957
Richmond,9,562,62,2309.6944,2791.5096,13.6079,12.834,2000.879,2366.9931,11.5224,11.1181,2565.5627,3870.5864,12.9471,14.2558
Richmond,10,624,62,2203.3662,3126.3631,11.7059,11.439,2238.1319,3113.1632,12.2261,11.6195,2701.3957,4718.7625,12.4061,14.0245
