Store,T_init,alpha,Profit,Exec_Time_sec
Baltimore,1000,0.85,106750,0.36
Baltimore,1000,0.9,111930,0.51
Baltimore,1000,0.95,113225,1.04
Baltimore,1000,0.99,118440,5.18
Baltimore,5000,0.85,105980,0.4
Baltimore,5000,0.9,112175,0.61
Baltimore,5000,0.95,111335,1.28
Baltimore,5000,0.99,117775,6.33
Baltimore,10000,0.85,110635,0.43
Baltimore,10000,0.9,108710,0.65
Baltimore,10000,0.95,109690,1.35
Baltimore,10000,0.99,117495,6.85
Lancaster,1000,0.85,155190,0.35
Lancaster,1000,0.9,151515,0.5
Lancaster,1000,0.95,163870,1.01
Lancaster,1000,0.99,168840,5.17
Lancaster,5000,0.85,153125,0.39
Lancaster,5000,0.9,154245,0.61
Lancaster,5000,0.95,167790,1.25
Lancaster,5000,0.99,170310,6.31
Lancaster,10000,0.85,150395,0.42
Lancaster,10000,0.9,161665,0.66
Lancaster,10000,0.95,163555,1.33
Lancaster,10000,0.99,171290,6.86
Philadelphia,1000,0.85,254835,0.32
Philadelphia,1000,0.9,252770,0.5
Philadelphia,1000,0.95,262115,1.01
Philadelphia,1000,0.99,262955,5.41
Philadelphia,5000,0.85,253820,0.41
Philadelphia,5000,0.9,258685,0.62
Philadelphia,5000,0.95,262885,1.48
Philadelphia,5000,0.99,263760,6.8
Philadelphia,10000,0.85,255185,0.43
Philadelphia,10000,0.9,262220,0.66
Philadelphia,10000,0.95,260120,1.36
Philadelphia,10000,0.99,262990,6.96
Richmond,1000,0.85,91105,0.32
Richmond,1000,0.9,92995,1.35
Richmond,1000,0.95,97300,3.6
Richmond,1000,0.99,103740,12.88
Richmond,5000,0.85,93100,0.55
Richmond,5000,0.9,99855,0.8
Richmond,5000,0.95,99540,4.41
Richmond,5000,0.99,104580,27.79
Richmond,10000,0.85,97965,1.8
Richmond,10000,0.9,99015,3.07
Richmond,10000,0.95,100555,5.7
Richmond,10000,0.99,103460,31.32
